Wavelength (nm),Pd I (6.4e-02)
340.36,1.099e+7
340.365,2.505e+7
340.37,5.468e+7
340.375,1.143e+8
340.38,2.290e+8
340.385,4.392e+8
340.39,8.069e+8
340.395,1.420e+9
340.4,2.393e+9
340.405,3.863e+9
340.41,5.972e+9
340.415,8.842e+9
340.42,1.254e+10
340.425,1.703e+10
340.43,2.216e+10
340.435,2.762e+10
340.44,3.296e+10
340.445,3.767e+10
340.45,4.125e+10
340.455,4.325e+10
340.46,4.344e+10
340.465,4.178e+10
340.47,3.849e+10
340.475,3.397e+10
340.48,2.871e+10
340.485,2.324e+10
340.49,1.802e+10
340.495,1.338e+10
340.5,9.515e+9
340.505,6.482e+9
340.51,4.229e+9
340.515,2.643e+9
340.52,1.582e+9
340.525,9.066e+8
340.53,4.978e+8
340.535,2.618e+8
340.54,1.318e+8
340.545,6.359e+7
340.55,2.938e+7
340.555,1.300e+7
340.56,5.511e+6
340.565,2.237e+6
340.57,8.697e+5
340.575,3.239e+5
340.58,1.155e+5
340.585,3.946e+4
340.59,1.291e+4
340.595,4.046e+3
340.6,1.214e+3
340.605,3.491e+2
340.61,9.612e+1
340.615,2.535e+1
340.62,6.402e+0
340.625,1.549e+0
340.63,3.588e-1
340.635,7.963e-2
340.64,1.692e-2
340.645,3.445e-3
340.65,6.718e-4
340.655,1.255e-4
340.66,2.244e-5
345.867,2.259e-6
345.872,1.246e-5
345.877,6.590e-5
345.882,3.343e-4
345.887,1.627e-3
345.892,7.592e-3
345.897,3.398e-2
345.902,1.459e-1
345.907,6.007e-1
345.912,2.372e+0
345.917,8.986e+0
345.922,3.264e+1
345.927,1.137e+2
345.932,3.801e+2
345.937,1.218e+3
345.942,3.745e+3
345.947,1.104e+4
345.952,3.122e+4
345.957,8.469e+4
345.962,2.203e+5
345.967,5.496e+5
345.972,1.315e+6
345.977,3.019e+6
345.982,6.645e+6
345.987,1.403e+7
345.992,2.841e+7
345.997,5.517e+7
346.002,1.028e+8
346.007,1.836e+8
346.012,3.146e+8
346.017,5.171e+8
346.022,8.150e+8
346.027,1.232e+9
346.032,1.787e+9
346.037,2.485e+9
346.042,3.314e+9
346.047,4.240e+9
346.052,5.202e+9
346.057,6.122e+9
346.062,6.910e+9
346.067,7.480e+9
346.072,7.766e+9
346.077,7.734e+9
346.082,7.387e+9
346.087,6.767e+9
346.092,5.945e+9
346.097,5.010e+9
346.102,4.049e+9
346.107,3.139e+9
346.112,2.334e+9
346.117,1.664e+9
346.122,1.138e+9
346.127,7.466e+8
346.132,4.697e+8
346.137,2.834e+8
346.142,1.640e+8
346.147,9.105e+7
346.152,4.847e+7
346.157,2.475e+7
346.162,1.212e+7
346.167,5.694e+6
346.172,2.565e+6
346.177,1.108e+6
346.182,4.593e+5
346.187,1.826e+5
346.192,6.960e+4
346.197,2.545e+4
346.202,8.924e+3
346.207,3.002e+3
346.212,9.683e+2
346.217,2.996e+2
346.222,8.891e+1
346.227,2.530e+1
346.232,6.908e+0
346.237,1.809e+0
346.242,4.542e-1
346.247,1.094e-1
346.252,2.527e-2
346.257,5.598e-3
346.262,1.190e-3
346.267,2.424e-4
346.272,4.739e-5
346.277,8.885e-6
346.282,1.598e-6
351.484,3.325e-6
351.489,1.780e-5
351.494,9.150e-5
351.499,4.517e-4
351.504,2.142e-3
351.509,9.753e-3
351.514,4.265e-2
351.519,1.791e-1
351.524,7.225e-1
351.529,2.799e+0
351.534,1.041e+1
351.539,3.720e+1
351.544,1.276e+2
351.549,4.206e+2
351.554,1.331e+3
351.559,4.046e+3
351.564,1.181e+4
351.569,3.311e+4
351.574,8.913e+4
351.579,2.305e+5
351.584,5.723e+5
351.589,1.365e+6
351.594,3.126e+6
351.599,6.876e+6
351.604,1.452e+7
351.609,2.947e+7
351.614,5.741e+7
351.619,1.074e+8
351.624,1.931e+8
351.629,3.332e+8
351.634,5.522e+8
351.639,8.791e+8
351.644,1.344e+9
351.649,1.973e+9
351.654,2.782e+9
351.659,3.767e+9
351.664,4.899e+9
351.669,6.119e+9
351.674,7.340e+9
351.679,8.456e+9
351.684,9.355e+9
351.689,9.940e+9
351.694,1.014e+10
351.699,9.940e+9
351.704,9.355e+9
351.709,8.456e+9
351.714,7.340e+9
351.719,6.119e+9
351.724,4.899e+9
351.729,3.767e+9
351.734,2.782e+9
351.739,1.973e+9
351.744,1.344e+9
351.749,8.791e+8
351.754,5.522e+8
351.759,3.332e+8
351.764,1.931e+8
351.769,1.074e+8
351.774,5.741e+7
351.779,2.947e+7
351.784,1.452e+7
351.789,6.876e+6
351.794,3.126e+6
351.799,1.365e+6
351.804,5.723e+5
351.809,2.305e+5
351.814,8.913e+4
351.819,3.311e+4
351.824,1.181e+4
351.829,4.046e+3
351.834,1.331e+3
351.839,4.206e+2
351.844,1.276e+2
351.849,3.720e+1
351.854,1.041e+1
351.859,2.799e+0
351.864,7.225e-1
351.869,1.791e-1
351.874,4.265e-2
351.879,9.753e-3
351.884,2.142e-3
351.889,4.517e-4
351.894,9.150e-5
351.899,1.780e-5
351.904,3.325e-6
360.737,2.821e-6
360.742,1.475e-5
360.747,7.421e-5
360.752,3.593e-4
360.757,1.674e-3
360.762,7.507e-3
360.767,3.239e-2
360.772,1.345e-1
360.777,5.376e-1
360.782,2.068e+0
360.787,7.652e+0
360.792,2.726e+1
360.797,9.342e+1
360.802,3.082e+2
360.807,9.783e+2
360.812,2.989e+3
360.817,8.786e+3
360.822,2.486e+4
360.827,6.768e+4
360.832,1.773e+5
360.837,4.472e+5
360.842,1.085e+6
360.847,2.534e+6
360.852,5.695e+6
360.857,1.232e+7
360.862,2.563e+7
360.867,5.134e+7
360.872,9.896e+7
360.877,1.836e+8
360.882,3.277e+8
