Wavelength (nm),Sum,Zn I (1.1e-01),Zn II (8.9e-01)
210.328,1.619e-3,,1.619e-3
210.333,1.270e-4,,1.270e-4
210.338,8.893e-6,,8.893e-6
210.343,5.561e-7,,5.561e-7
213.729,1.940e-4,1.940e-4,
213.734,3.016e-3,3.016e-3,
213.739,4.205e-2,4.205e-2,
213.744,5.255e-1,5.255e-1,
213.749,5.886e+0,5.886e+0,
213.754,5.911e+1,5.911e+1,
213.759,5.321e+2,5.321e+2,
213.764,4.294e+3,4.294e+3,
213.769,3.106e+4,3.106e+4,
213.774,2.014e+5,2.014e+5,
213.779,1.171e+6,1.171e+6,
213.784,6.102e+6,6.102e+6,
213.789,2.851e+7,2.851e+7,
213.794,1.194e+8,1.194e+8,
213.799,4.482e+8,4.482e+8,
213.804,1.508e+9,1.508e+9,
213.809,4.550e+9,4.550e+9,
213.814,1.230e+10,1.230e+10,
213.819,2.983e+10,2.983e+10,
213.824,6.482e+10,6.482e+10,
213.829,1.263e+11,1.263e+11,
213.834,2.206e+11,2.206e+11,
213.839,3.453e+11,3.453e+11,
213.844,4.846e+11,4.846e+11,
213.849,6.096e+11,6.096e+11,
213.854,6.875e+11,6.875e+11,
213.859,6.951e+11,6.951e+11,
213.864,6.300e+11,6.300e+11,
213.869,5.118e+11,5.118e+11,
213.874,3.727e+11,3.727e+11,
213.879,2.434e+11,2.434e+11,
213.884,1.424e+11,1.424e+11,
213.889,7.472e+10,7.472e+10,
213.894,3.514e+10,3.514e+10,
213.899,1.482e+10,1.482e+10,
213.904,5.600e+9,5.600e+9,
213.909,1.897e+9,1.897e+9,
213.914,5.763e+8,5.763e+8,
213.919,1.569e+8,1.569e+8,
213.924,3.829e+7,3.829e+7,
213.929,8.379e+6,8.379e+6,
213.934,1.643e+6,1.643e+6,
213.939,2.889e+5,2.889e+5,
213.944,4.554e+4,4.554e+4,
213.949,6.435e+3,6.435e+3,
213.954,8.150e+2,8.150e+2,
213.959,9.254e+1,9.254e+1,
213.964,9.419e+0,9.419e+0,
213.969,8.594e-1,8.594e-1,
213.974,7.029e-2,7.029e-2,
213.979,5.154e-3,5.154e-3,
213.984,3.388e-4,3.388e-4,
250.046,1.550e-7,,1.550e-7
250.051,1.716e-6,,1.716e-6
250.056,1.753e-5,,1.753e-5
250.061,1.654e-4,,1.654e-4
250.066,1.441e-3,,1.441e-3
250.071,1.159e-2,,1.159e-2
250.076,8.604e-2,,8.604e-2
250.081,5.898e-1,,5.898e-1
250.086,3.732e+0,,3.732e+0
250.091,2.181e+1,,2.181e+1
250.096,1.176e+2,,1.176e+2
250.101,5.858e+2,,5.858e+2
250.106,2.693e+3,,2.693e+3
250.111,1.143e+4,,1.143e+4
250.116,4.481e+4,,4.481e+4
250.121,1.621e+5,,1.621e+5
250.126,5.415e+5,,5.415e+5
250.131,1.670e+6,,1.670e+6
250.136,4.755e+6,,4.755e+6
250.141,1.250e+7,,1.250e+7
250.146,3.033e+7,,3.033e+7
250.151,6.796e+7,,6.796e+7
250.156,1.406e+8,,1.406e+8
250.161,2.685e+8,,2.685e+8
250.166,4.733e+8,,4.733e+8
250.171,7.705e+8,,7.705e+8
250.176,1.158e+9,,1.158e+9
250.181,1.607e+9,,1.607e+9
250.186,2.058e+9,,2.058e+9
250.191,2.434e+9,,2.434e+9
250.196,2.657e+9,,2.657e+9
250.201,2.679e+9,,2.679e+9
250.206,2.493e+9,,2.493e+9
250.211,2.142e+9,,2.142e+9
250.216,1.699e+9,,1.699e+9
250.221,1.244e+9,,1.244e+9
250.226,8.413e+8,,8.413e+8
250.231,5.251e+8,,5.251e+8
250.236,3.026e+8,,3.026e+8
250.241,1.610e+8,,1.610e+8
250.246,7.910e+7,,7.910e+7
250.251,3.587e+7,,3.587e+7
250.256,1.502e+7,,1.502e+7
250.261,5.806e+6,,5.806e+6
250.266,2.072e+6,,2.072e+6
250.271,6.827e+5,,6.827e+5
250.276,2.077e+5,,2.077e+5
250.281,5.832e+4,,5.832e+4
250.286,1.512e+4,,1.512e+4
250.291,3.620e+3,,3.620e+3
250.296,7.999e+2,,7.999e+2
250.301,1.632e+2,,1.632e+2
250.306,3.074e+1,,3.074e+1
250.311,5.347e+0,,5.347e+0
250.316,8.585e-1,,8.585e-1
250.321,1.273e-1,,1.273e-1
250.326,1.742e-2,,1.742e-2
250.331,2.200e-3,,2.200e-3
250.336,2.567e-4,,2.567e-4
250.341,2.764e-5,,2.764e-5
250.346,2.748e-6,,2.748e-6
250.351,2.523e-7,,2.523e-7
255.643,2.366e-6,,2.366e-6
255.648,2.325e-5,,2.325e-5
255.653,2.116e-4,,2.116e-4
255.658,1.784e-3,,1.784e-3
255.663,1.393e-2,,1.393e-2
255.668,1.008e-1,,1.008e-1
255.673,6.761e-1,,6.761e-1
255.678,4.199e+0,,4.199e+0
255.683,2.416e+1,,2.416e+1
255.688,1.288e+2,,1.288e+2
255.693,6.362e+2,,6.362e+2
255.698,2.911e+3,,2.911e+3
255.703,1.234e+4,,1.234e+4
255.708,4.845e+4,,4.845e+4
255.713,1.763e+5,,1.763e+5
255.718,5.941e+5,,5.941e+5
255.723,1.855e+6,,1.855e+6
255.728,5.366e+6,,5.366e+6
255.733,1.438e+7,,1.438e+7
255.738,3.570e+7,,3.570e+7
255.743,8.212e+7,,8.212e+7
255.748,1.750e+8,,1.750e+8
255.753,3.454e+8,,3.454e+8
255.758,6.317e+8,,6.317e+8
255.763,1.070e+9,,1.070e+9
255.768,1.680e+9,,1.680e+9
255.773,2.443e+9,,2.443e+9
255.778,3.291e+9,,3.291e+9
255.783,4.108e+9,,4.108e+9
255.788,4.750e+9,,4.750e+9
255.793,5.088e+9,,5.088e+9
255.798,5.049e+9,,5.049e+9
255.803,4.642e+9,,4.642e+9
255.808,3.954e+9,,3.954e+9
255.813,3.120e+9,,3.120e+9
255.818,2.281e+9,,2.281e+9
255.823,1.545e+9,,1.545e+9
255.828,9.691e+8,,9.691e+8
255.833,5.633e+8,,5.633e+8
255.838,3.033e+8,,3.033e+8
255.843,1.513e+8,,1.513e+8
255.848,6.994e+7,,6.994e+7
255.853,2.995e+7,,2.995e+7
255.858,1.188e+7,,1.188e+7
255.863,4.365e+6,,4.365e+6
255.868,1.486e+6,,1.486e+6
255.873,4.688e+5,,4.688e+5
255.878,1.370e+5,,1.370e+5
255.883,3.708e+4,,3.708e+4
255.888,9.300e+3,,9.300e+3
255.893,2.161e+3,,2.161e+3
255.898,4.651e+2,,4.651e+2
255.903,9.274e+1,,9.274e+1
255.908,1.713e+1,,1.713e+1
255.913,2.932e+0,,2.932e+0
255.918,4.649e-1,,4.649e-1
255.923,6.830e-2,,6.830e-2
255.928,9.294e-3,,9.294e-3
255.933,1.172e-3,,1.172e-3
255.938,1.369e-4,,1.369e-4
255.943,1.481e-5,,1.481e-5
255.948,1.485e-6,,1.485e-6
256.908,5.630e-9,,5.630e-9
256.913,5.833e-8,,5.833e-8
256.918,5.603e-7,,5.603e-7
256.923,4.990e-6,,4.990e-6
256.928,4.120e-5,,4.120e-5
256.933,3.154e-4,,3.154e-4
256.938,2.238e-3,,2.238e-3
256.943,1.473e-2,,1.473e-2
256.948,8.984e-2,,8.984e-2
256.953,5.081e-1,,5.081e-1
256.958,2.664e+0,,2.664e+0
256.963,1.295e+1,,1.295e+1
256.968,5.838e+1,,5.838e+1
256.973,2.440e+2,,2.440e+2
256.978,9.452e+2,,9.452e+2
256.983,3.395e+3,,3.395e+3
256.988,1.131e+4,,1.131e+4
256.993,3.491e+4,,3.491e+4
256.998,9.993e+4,,9.993e+4
257.003,2.652e+5,,2.652e+5
257.008,6.526e+5,,6.526e+5
257.013,1.489e+6,,1.489e+6
257.018,3.149e+6,,3.149e+6
257.023,6.174e+6,,6.174e+6
257.028,1.122e+7,,1.122e+7
257.033,1.892e+7,,1.892e+7
257.038,2.956e+7,,2.956e+7
257.043,4.283e+7,,4.283e+7
257.048,5.754e+7,,5.754e+7
257.053,7.165e+7,,7.165e+7
257.058,8.273e+7,,8.273e+7
257.063,8.856e+7,,8.856e+7
257.068,8.789e+7,,8.789e+7
257.073,8.087e+7,,8.087e+7
257.078,6.899e+7,,6.899e+7
257.083,5.457e+7,,5.457e+7
257.088,4.001e+7,,4.001e+7
257.093,2.720e+7,,2.720e+7
257.098,1.715e+7,,1.715e+7
257.103,1.002e+7,,1.002e+7
257.108,5.429e+6,,5.429e+6
257.113,2.727e+6,,2.727e+6
257.118,1.270e+6,,1.270e+6
257.123,5.483e+5,,5.483e+5
257.128,2.195e+5,,2.195e+5
257.133,8.147e+4,,8.147e+4
257.138,2.803e+4,,2.803e+4
257.143,8.943e+3,,8.943e+3
257.148,2.645e+3,,2.645e+3
257.153,7.253e+2,,7.253e+2
257.158,1.844e+2,,1.844e+2
257.163,4.346e+1,,4.346e+1
257.168,9.498e+0,,9.498e+0
257.173,1.924e+0,,1.924e+0
257.178,3.615e-1,,3.615e-1
257.183,6.295e-2,,6.295e-2
257.188,1.016e-2,,1.016e-2
257.193,1.522e-3,,1.522e-3
257.198,2.112e-4,,2.112e-4
257.203,2.717e-5,,2.717e-5
257.208,3.242e-6,,3.242e-6
257.213,3.585e-7,,3.585e-7
257.218,3.677e-8,,3.677e-8
328.036,1.168e-6,1.168e-6,
328.041,7.101e-6,7.101e-6,
328.046,4.123e-5,4.123e-5,
328.051,2.285e-4,2.285e-4,
328.056,1.209e-3,1.209e-3,
328.061,6.109e-3,6.109e-3,
328.066,2.946e-2,2.946e-2,
328.071,1.356e-1,1.356e-1,
328.076,5.961e-1,5.961e-1,
328.081,2.501e+0,2.501e+0,
328.086,1.002e+1,1.002e+1,
328.091,3.830e+1,3.830e+1,
328.096,1.398e+2,1.398e+2,
328.101,4.872e+2,4.872e+2,
328.106,1.621e+3,1.621e+3,
328.111,5.148e+3,5.148e+3,
328.116,1.561e+4,1.561e+4,
328.121,4.518e+4,4.518e+4,
328.126,1.248e+5,1.248e+5,
328.131,3.293e+5,3.293e+5,
328.136,8.292e+5,8.292e+5,
328.141,1.993e+6,1.993e+6,
328.146,4.575e+6,4.575e+6,
328.151,1.002e+7,1.002e+7,
328.156,2.096e+7,2.096e+7,
328.161,4.186e+7,4.186e+7,
328.166,7.979e+7,7.979e+7,
328.171,1.452e+8,1.452e+8,
328.176,2.522e+8,2.522e+8,
328.181,4.183e+8,4.183e+8,
328.186,6.623e+8,6.623e+8,
328.191,1.001e+9,1.001e+9,
328.196,1.444e+9,1.444e+9,
328.201,1.989e+9,1.989e+9,
328.206,2.616e+9,2.616e+9,
328.211,3.284e+9,3.284e+9,
328.216,3.935e+9,3.935e+9,
328.221,4.502e+9,4.502e+9,
328.226,4.918e+9,4.918e+9,
328.231,5.127e+9,5.127e+9,
328.236,5.104e+9,5.104e+9,
328.241,4.850e+9,4.850e+9,
328.246,4.399e+9,4.399e+9,
328.251,3.810e+9,3.810e+9,
328.256,3.150e+9,3.150e+9,
328.261,2.486e+9,2.486e+9,
