Wavelength (nm),Sum,Zn I (1.1e-01),Zn II (8.9e-01)
334.523,1.546e+10,1.546e+10,
334.528,1.310e+10,1.310e+10,
334.533,1.093e+10,1.093e+10,
334.538,9.075e+9,9.075e+9,
334.543,7.588e+9,7.588e+9,
334.548,6.442e+9,6.442e+9,
334.553,5.562e+9,5.562e+9,
334.558,4.861e+9,4.861e+9,
334.563,4.254e+9,4.254e+9,
334.568,3.687e+9,3.687e+9,
334.573,3.130e+9,3.130e+9,
334.578,2.582e+9,2.582e+9,
334.583,2.059e+9,2.059e+9,
334.588,1.579e+9,1.579e+9,
334.593,1.164e+9,1.164e+9,
334.598,8.218e+8,8.218e+8,
334.603,5.558e+8,5.558e+8,
334.608,3.599e+8,3.599e+8,
334.613,2.229e+8,2.229e+8,
334.618,1.321e+8,1.321e+8,
334.623,7.489e+7,7.489e+7,
334.628,4.060e+7,4.060e+7,
334.633,2.105e+7,2.105e+7,
334.638,1.044e+7,1.044e+7,
334.643,4.951e+6,4.951e+6,
334.648,2.245e+6,2.245e+6,
334.653,9.739e+5,9.739e+5,
334.658,4.039e+5,4.039e+5,
334.663,1.602e+5,1.602e+5,
334.668,6.078e+4,6.078e+4,
334.673,2.205e+4,2.205e+4,
334.678,7.648e+3,7.648e+3,
334.683,2.537e+3,2.537e+3,
334.688,8.049e+2,8.049e+2,
334.693,2.442e+2,2.442e+2,
334.698,7.085e+1,7.085e+1,
334.703,1.966e+1,1.966e+1,
334.708,5.216e+0,5.216e+0,
334.713,1.324e+0,1.324e+0,
334.718,3.212e-1,3.212e-1,
334.723,7.454e-2,7.454e-2,
334.728,1.654e-2,1.654e-2,
334.733,3.511e-3,3.511e-3,
334.738,7.125e-4,7.125e-4,
334.743,1.383e-4,1.383e-4,
334.748,2.567e-5,2.567e-5,
334.753,4.556e-6,4.556e-6,
334.758,7.733e-7,7.733e-7,
490.864,7.168e-9,,7.168e-9
490.869,2.430e-8,,2.430e-8
490.874,8.068e-8,,8.068e-8
490.879,2.624e-7,,2.624e-7
490.884,8.358e-7,,8.358e-7
490.889,2.608e-6,,2.608e-6
490.894,7.970e-6,,7.970e-6
490.899,2.386e-5,,2.386e-5
490.904,6.995e-5,,6.995e-5
490.909,2.009e-4,,2.009e-4
490.914,5.651e-4,,5.651e-4
490.919,1.557e-3,,1.557e-3
490.924,4.202e-3,,4.202e-3
490.929,1.111e-2,,1.111e-2
490.934,2.876e-2,,2.876e-2
490.939,7.293e-2,,7.293e-2
490.944,1.812e-1,,1.812e-1
490.949,4.408e-1,,4.408e-1
490.954,1.050e+0,,1.050e+0
490.959,2.452e+0,,2.452e+0
490.964,5.607e+0,,5.607e+0
490.969,1.256e+1,,1.256e+1
490.974,2.754e+1,,2.754e+1
490.979,5.918e+1,,5.918e+1
490.984,1.245e+2,,1.245e+2
490.989,2.567e+2,,2.567e+2
490.994,5.183e+2,,5.183e+2
