Wavelength (nm),Sum,Mg I (3.8e-02),Mg II (9.5e-01),Mg III (8.2e-03)
261.72,2.117e-21,,,2.117e-21
261.725,6.653e-21,,,6.653e-21
261.73,1.944e-20,,,1.944e-20
261.735,5.282e-20,,,5.282e-20
261.74,1.334e-19,,,1.334e-19
261.745,3.132e-19,,,3.132e-19
261.75,6.837e-19,,,6.837e-19
261.755,1.387e-18,,,1.387e-18
261.76,2.617e-18,,,2.617e-18
261.765,4.589e-18,,,4.589e-18
261.77,7.482e-18,,,7.482e-18
261.775,1.134e-17,,,1.134e-17
261.78,1.598e-17,,,1.598e-17
261.785,2.093e-17,,,2.093e-17
261.79,2.548e-17,,,2.548e-17
261.795,2.885e-17,,,2.885e-17
261.8,3.036e-17,,,3.036e-17
261.805,2.970e-17,,,2.970e-17
261.81,2.702e-17,,,2.702e-17
261.815,2.284e-17,,,2.284e-17
261.82,1.796e-17,,,1.796e-17
261.825,1.312e-17,,,1.312e-17
261.83,8.914e-18,,,8.914e-18
261.835,5.629e-18,,,5.629e-18
261.84,3.305e-18,,,3.305e-18
261.845,1.804e-18,,,1.804e-18
261.85,9.153e-19,,,9.153e-19
261.855,4.318e-19,,,4.318e-19
261.86,1.893e-19,,,1.893e-19
261.865,7.719e-20,,,7.719e-20
261.87,2.925e-20,,,2.925e-20
261.875,1.031e-20,,,1.031e-20
261.88,3.376e-21,,,3.376e-21
261.885,1.028e-21,,,1.028e-21
261.89,2.910e-22,,,2.910e-22
261.895,7.658e-23,,,7.658e-23
261.9,1.873e-23,,,1.873e-23
261.905,4.261e-24,,,4.261e-24
261.91,9.009e-25,,,9.009e-25
261.915,1.771e-25,,,1.771e-25
261.92,3.236e-26,,,3.236e-26
261.925,5.497e-27,,,5.497e-27
261.93,8.680e-28,,,8.680e-28
261.935,1.274e-28,,,1.274e-28
261.94,1.739e-29,,,1.739e-29
261.945,2.207e-30,,,2.207e-30
261.95,2.603e-31,,,2.603e-31
261.955,2.855e-32,,,2.855e-32
261.96,2.910e-33,,,2.910e-33
265.916,4.645e-8,,4.645e-8,
265.921,4.368e-7,,4.368e-7,
265.926,3.724e-6,,3.724e-6,
265.931,2.960e-5,,2.960e-5,
265.936,2.192e-4,,2.192e-4,
265.941,1.514e-3,,1.514e-3,
265.946,9.744e-3,,9.744e-3,
265.951,5.847e-2,,5.847e-2,
265.956,3.271e-1,,3.271e-1,
265.961,1.706e+0,,1.706e+0,
265.966,8.295e+0,,8.295e+0,
265.971,3.761e+1,,3.761e+1,
265.976,1.590e+2,,1.590e+2,
265.981,6.269e+2,,6.269e+2,
265.986,2.305e+3,,2.305e+3,
265.991,7.904e+3,,7.904e+3,
265.996,2.528e+4,,2.528e+4,
266.001,7.541e+4,,7.541e+4,
266.006,2.099e+5,,2.099e+5,
266.011,5.449e+5,,5.449e+5,
266.016,1.320e+6,,1.320e+6,
266.021,2.983e+6,,2.983e+6,
266.026,6.293e+6,,6.293e+6,
266.031,1.239e+7,,1.239e+7,
266.036,2.276e+7,,2.276e+7,
266.041,3.903e+7,,3.903e+7,
266.046,6.249e+7,,6.249e+7,
266.051,9.340e+7,,9.340e+7,
266.056,1.303e+8,,1.303e+8,
266.061,1.698e+8,,1.698e+8,
266.066,2.067e+8,,2.067e+8,
266.071,2.349e+8,,2.349e+8,
266.076,2.493e+8,,2.493e+8,
266.081,2.471e+8,,2.471e+8,
266.086,2.288e+8,,2.288e+8,
266.091,1.979e+8,,1.979e+8,
266.096,1.599e+8,,1.599e+8,
266.101,1.207e+8,,1.207e+8,
266.106,8.506e+7,,8.506e+7,
266.111,5.601e+7,,5.601e+7,
266.116,3.445e+7,,3.445e+7,
266.121,1.979e+7,,1.979e+7,
266.126,1.061e+7,,1.061e+7,
266.131,5.318e+6,,5.318e+6,
266.136,2.488e+6,,2.488e+6,
266.141,1.087e+6,,1.087e+6,
266.146,4.435e+5,,4.435e+5,
266.151,1.689e+5,,1.689e+5,
266.156,6.006e+4,,6.006e+4,
266.161,1.993e+4,,1.993e+4,
266.166,6.175e+3,,6.175e+3,
266.171,1.785e+3,,1.785e+3,
266.176,4.816e+2,,4.816e+2,
266.181,1.213e+2,,1.213e+2,
266.186,2.848e+1,,2.848e+1,
266.191,6.241e+0,,6.241e+0,
266.196,1.276e+0,,1.276e+0,
266.201,2.433e-1,,2.433e-1,
266.206,4.327e-2,,4.327e-2,
266.211,7.178e-3,,7.178e-3,
266.216,1.111e-3,,1.111e-3,
266.221,1.602e-4,,1.602e-4,
266.226,2.155e-5,,2.155e-5,
266.231,2.703e-6,,2.703e-6,
266.236,3.161e-7,,3.161e-7,
266.241,3.260e-8,,3.260e-8,
273.033,1.659e-8,1.659e-8,,
273.038,1.484e-7,1.484e-7,,
273.043,1.240e-6,1.240e-6,,
273.048,9.699e-6,9.699e-6,,
273.053,7.093e-5,7.093e-5,,
273.058,4.851e-4,4.851e-4,,
273.063,3.102e-3,3.102e-3,,
273.068,1.856e-2,1.856e-2,,
273.073,1.038e-1,1.038e-1,,
273.078,5.430e-1,5.430e-1,,
273.083,2.656e+0,2.656e+0,,
273.088,1.215e+1,1.215e+1,,
273.093,5.201e+1,5.201e+1,,
273.098,2.081e+2,2.081e+2,,
273.103,7.788e+2,7.788e+2,,
273.108,2.726e+3,2.726e+3,,
273.113,8.921e+3,8.921e+3,,
273.118,2.731e+4,2.731e+4,,
273.123,7.817e+4,7.817e+4,,
273.128,2.093e+5,2.093e+5,,
273.133,5.240e+5,5.240e+5,,
273.138,1.227e+6,1.227e+6,,
273.143,2.686e+6,2.686e+6,,
273.148,5.501e+6,5.501e+6,,
273.153,1.054e+7,1.054e+7,,
273.158,1.887e+7,1.887e+7,,
273.163,3.161e+7,3.161e+7,,
273.168,4.952e+7,4.952e+7,,
273.173,7.254e+7,7.254e+7,,
273.178,9.938e+7,9.938e+7,,
273.183,1.273e+8,1.273e+8,,
273.188,1.526e+8,1.526e+8,,
273.193,1.710e+8,1.710e+8,,
273.198,1.792e+8,1.792e+8,,
273.203,1.756e+8,1.756e+8,,
273.208,1.610e+8,1.610e+8,,
273.213,1.380e+8,1.380e+8,,
273.218,1.106e+8,1.106e+8,,
273.223,8.294e+7,8.294e+7,,
273.229,5.373e+7,5.373e+7,,
273.234,3.476e+7,3.476e+7,,
273.239,2.103e+7,2.103e+7,,
273.244,1.190e+7,1.190e+7,,
273.249,6.299e+6,6.299e+6,,
273.254,3.120e+6,3.120e+6,,
273.259,1.451e+6,1.451e+6,,
273.264,6.499e+5,6.499e+5,,
273.269,3.293e+5,3.293e+5,,
273.274,3.117e+5,3.117e+5,,
273.279,6.037e+5,6.037e+5,,
273.284,1.418e+6,1.418e+6,,
273.289,3.250e+6,3.250e+6,,
273.294,7.009e+6,7.009e+6,,
273.299,1.415e+7,1.415e+7,,
273.304,2.672e+7,2.672e+7,,
273.309,4.719e+7,4.719e+7,,
273.314,7.795e+7,7.795e+7,,
273.319,1.204e+8,1.204e+8,,
273.324,1.740e+8,1.740e+8,,
273.329,2.351e+8,2.351e+8,,
273.334,2.972e+8,2.972e+8,,
273.339,3.513e+8,3.513e+8,,
273.344,3.884e+8,3.884e+8,,
273.349,4.016e+8,4.016e+8,,
273.354,3.884e+8,3.884e+8,,
273.359,3.513e+8,3.513e+8,,
273.364,2.972e+8,2.972e+8,,
273.369,2.351e+8,2.351e+8,,
273.374,1.740e+8,1.740e+8,,
273.379,1.204e+8,1.204e+8,,
273.384,7.795e+7,7.795e+7,,
273.389,4.719e+7,4.719e+7,,
273.394,2.672e+7,2.672e+7,,
273.399,1.415e+7,1.415e+7,,
273.404,7.008e+6,7.008e+6,,
273.409,3.246e+6,3.246e+6,,
273.414,1.406e+6,1.406e+6,,
273.419,5.699e+5,5.699e+5,,
273.424,2.160e+5,2.160e+5,,
273.429,7.655e+4,7.655e+4,,
273.434,2.538e+4,2.538e+4,,
273.439,7.867e+3,7.867e+3,,
273.444,2.281e+3,2.281e+3,,
273.449,6.187e+2,6.187e+2,,
273.454,1.569e+2,1.569e+2,,
273.459,3.723e+1,3.723e+1,,
273.464,8.261e+0,8.261e+0,,
273.469,1.714e+0,1.714e+0,,
273.474,3.327e-1,3.327e-1,,
273.479,6.040e-2,6.040e-2,,
273.484,1.025e-2,1.025e-2,,
273.489,1.628e-3,1.628e-3,,
273.494,2.429e-4,2.429e-4,,
273.499,4.232e-5,4.232e-5,,
273.504,7.128e-5,7.128e-5,,
273.509,4.802e-4,4.802e-4,,
273.514,3.217e-3,3.217e-3,,
273.519,2.017e-2,2.017e-2,,
273.524,1.184e-1,1.184e-1,,
273.529,6.496e-1,6.496e-1,,
273.534,3.335e+0,3.335e+0,,
273.539,1.601e+1,1.601e+1,,
273.544,7.193e+1,7.193e+1,,
273.549,3.022e+2,3.022e+2,,
273.554,1.188e+3,1.188e+3,,
273.559,4.367e+3,4.367e+3,,
273.564,1.502e+4,1.502e+4,,
273.569,4.832e+4,4.832e+4,,
273.574,1.454e+5,1.454e+5,,
273.579,4.093e+5,4.093e+5,,
273.584,1.078e+6,1.078e+6,,
273.589,2.654e+6,2.654e+6,,
273.594,6.114e+6,6.114e+6,,
273.599,1.318e+7,1.318e+7,,
273.604,2.656e+7,2.656e+7,,
273.609,5.009e+7,5.009e+7,,
273.614,8.836e+7,8.836e+7,,
273.619,1.458e+8,1.458e+8,,
273.624,2.250e+8,2.250e+8,,
273.629,3.248e+8,3.248e+8,,
273.634,4.387e+8,4.387e+8,,
273.639,5.542e+8,5.542e+8,,
273.644,6.548e+8,6.548e+8,,
273.649,7.238e+8,7.238e+8,,
273.654,7.484e+8,7.484e+8,,
273.659,7.238e+8,7.238e+8,,
273.664,6.548e+8,6.548e+8,,
273.669,5.542e+8,5.542e+8,,
273.674,4.387e+8,4.387e+8,,
273.679,3.248e+8,3.248e+8,,
273.684,2.250e+8,2.250e+8,,
273.689,1.458e+8,1.458e+8,,
273.694,8.836e+7,8.836e+7,,
273.699,5.009e+7,5.009e+7,,
273.704,2.656e+7,2.656e+7,,
273.709,1.318e+7,1.318e+7,,
273.714,6.114e+6,6.114e+6,,
273.719,2.654e+6,2.654e+6,,
273.724,1.078e+6,1.078e+6,,
273.729,4.093e+5,4.093e+5,,
273.734,1.454e+5,1.454e+5,,
273.739,4.832e+4,4.832e+4,,
273.744,1.502e+4,1.502e+4,,
273.749,4.367e+3,4.367e+3,,
273.754,1.188e+3,1.188e+3,,
273.759,3.022e+2,3.022e+2,,
273.764,7.193e+1,7.193e+1,,
273.769,1.601e+1,1.601e+1,,
273.774,3.335e+0,3.335e+0,,
273.779,6.496e-1,6.496e-1,,
273.784,1.184e-1,1.184e-1,,
273.789,2.017e-2,2.017e-2,,
273.794,3.216e-3,3.216e-3,,
273.799,4.797e-4,4.797e-4,,
273.804,6.692e-5,6.692e-5,,
273.809,8.733e-6,8.733e-6,,
273.814,1.066e-6,1.066e-6,,
273.819,1.217e-7,1.217e-7,,
277.5,4.804e-7,4.804e-7,,
277.505,4.164e-6,4.164e-6,,
277.51,3.382e-5,3.382e-5,,
277.515,2.575e-4,2.575e-4,,
277.52,1.837e-3,1.837e-3,,
277.525,1.228e-2,1.228e-2,,
277.53,7.698e-2,7.698e-2,,
277.535,4.521e-1,4.521e-1,,
277.54,2.489e+0,2.489e+0,,
277.545,1.284e+1,1.284e+1,,
277.55,6.208e+1,6.208e+1,,
277.555,2.813e+2,2.813e+2,,
277.56,1.195e+3,1.195e+3,,
277.565,4.755e+3,4.755e+3,,
277.57,1.774e+4,1.774e+4,,
277.575,6.201e+4,6.201e+4,,
277.58,2.032e+5,2.032e+5,,
277.585,6.239e+5,6.239e+5,,
277.59,1.795e+6,1.795e+6,,
277.595,4.843e+6,4.843e+6,,
277.6,1.224e+7,1.224e+7,,
277.605,2.900e+7,2.900e+7,,
277.61,6.439e+7,6.439e+7,,
277.615,1.340e+8,1.340e+8,,
277.62,2.613e+8,2.613e+8,,
277.625,4.777e+8,4.777e+8,,
277.63,8.183e+8,8.183e+8,,
277.635,1.314e+9,1.314e+9,,
277.64,1.977e+9,1.977e+9,,
277.645,2.787e+9,2.787e+9,,
277.65,3.684e+9,3.684e+9,,
277.655,4.563e+9,4.563e+9,,
277.66,5.297e+9,5.297e+9,,
277.665,5.763e+9,5.763e+9,,
277.67,5.876e+9,5.876e+9,,
277.675,5.615e+9,5.615e+9,,
277.68,5.029e+9,5.029e+9,,
277.685,4.221e+9,4.221e+9,,
277.69,3.321e+9,3.321e+9,,
277.695,2.448e+9,2.448e+9,,
277.7,1.692e+9,1.692e+9,,
277.705,1.096e+9,1.096e+9,,
277.71,6.649e+8,6.649e+8,,
277.715,3.782e+8,3.782e+8,,
277.72,2.016e+8,2.016e+8,,
277.725,1.007e+8,1.007e+8,,
277.73,4.719e+7,4.719e+7,,
277.735,2.078e+7,2.078e+7,,
277.74,8.783e+6,8.783e+6,,
277.745,4.087e+6,4.087e+6,,
277.75,3.440e+6,3.440e+6,,
277.755,6.320e+6,6.320e+6,,
277.76,1.469e+7,1.469e+7,,
277.765,3.363e+7,3.363e+7,,
277.77,7.261e+7,7.261e+7,,
277.775,1.471e+8,1.471e+8,,
277.78,2.793e+8,2.793e+8,,
277.785,4.971e+8,4.971e+8,,
277.79,8.293e+8,8.293e+8,,
277.795,1.297e+9,1.297e+9,,
277.8,1.900e+9,1.900e+9,,
277.805,2.610e+9,2.610e+9,,
277.81,3.360e+9,3.360e+9,,
277.815,4.055e+9,4.055e+9,,
277.82,4.586e+9,4.586e+9,,
277.825,4.861e+9,4.861e+9,,
277.83,4.830e+9,4.830e+9,,
277.835,4.498e+9,4.498e+9,,
277.84,3.926e+9,3.926e+9,,
277.845,3.211e+9,3.211e+9,,
277.85,2.462e+9,2.462e+9,,
277.855,1.770e+9,1.770e+9,,
277.86,1.192e+9,1.192e+9,,
277.865,7.525e+8,7.525e+8,,
277.87,4.453e+8,4.453e+8,,
277.875,2.470e+8,2.470e+8,,
277.88,1.284e+8,1.284e+8,,
277.885,6.264e+7,6.264e+7,,
277.89,2.888e+7,2.888e+7,,
277.895,1.324e+7,1.324e+7,,
277.9,7.956e+6,7.956e+6,,
277.905,1.047e+7,1.047e+7,,
277.91,2.350e+7,2.350e+7,,
277.915,5.698e+7,5.698e+7,,
277.92,1.322e+8,1.322e+8,,
277.925,2.885e+8,2.885e+8,,
277.93,5.901e+8,5.901e+8,,
277.935,1.132e+9,1.132e+9,,
277.94,2.034e+9,2.034e+9,,
277.945,3.427e+9,3.427e+9,,
277.95,5.413e+9,5.413e+9,,
277.955,8.015e+9,8.015e+9,,
277.96,1.112e+10,1.112e+10,,
277.965,1.447e+10,1.447e+10,,
277.97,1.764e+10,1.764e+10,,
277.975,2.017e+10,2.017e+10,,
277.98,2.161e+10,2.161e+10,,
277.985,2.170e+10,2.170e+10,,
277.99,2.043e+10,2.043e+10,,
277.995,1.803e+10,1.803e+10,,
278,1.491e+10,1.491e+10,,
278.005,1.156e+10,1.156e+10,,
278.01,8.404e+9,8.404e+9,,
278.015,5.725e+9,5.725e+9,,
278.02,3.656e+9,3.656e+9,,
278.025,2.189e+9,2.189e+9,,
278.03,1.228e+9,1.228e+9,,
278.035,6.459e+8,6.459e+8,,
278.04,3.185e+8,3.185e+8,,
278.045,1.472e+8,1.472e+8,,
278.05,6.384e+7,6.384e+7,,
278.055,2.616e+7,2.616e+7,,
278.06,1.067e+7,1.067e+7,,
278.065,5.798e+6,5.798e+6,,
278.07,7.154e+6,7.154e+6,,
278.075,1.505e+7,1.505e+7,,
278.08,3.390e+7,3.390e+7,,
278.085,7.294e+7,7.294e+7,,
278.09,1.475e+8,1.475e+8,,
278.095,2.797e+8,2.797e+8,,
278.1,4.971e+8,4.971e+8,,
278.105,8.283e+8,8.283e+8,,
278.11,1.294e+9,1.294e+9,,
278.115,1.894e+9,1.894e+9,,
278.12,2.600e+9,2.600e+9,,
278.125,3.346e+9,3.346e+9,,
278.13,4.035e+9,4.035e+9,,
278.135,4.563e+9,4.563e+9,,
278.14,4.836e+9,4.836e+9,,
278.145,4.805e+9,4.805e+9,,
278.15,4.475e+9,4.475e+9,,
278.155,3.907e+9,3.907e+9,,
278.16,3.198e+9,3.198e+9,,
278.165,2.453e+9,2.453e+9,,
278.17,1.764e+9,1.764e+9,,
278.175,1.190e+9,1.190e+9,,
278.18,7.518e+8,7.518e+8,,
278.185,4.454e+8,4.454e+8,,
278.19,2.474e+8,2.474e+8,,
278.195,1.288e+8,1.288e+8,,
278.2,6.287e+7,6.287e+7,,
278.205,2.885e+7,2.885e+7,,
278.21,1.266e+7,1.266e+7,,
278.215,5.928e+6,5.928e+6,,
278.22,4.579e+6,4.579e+6,,
278.225,7.755e+6,7.755e+6,,
278.23,1.762e+7,1.762e+7,,
278.235,4.009e+7,4.009e+7,,
278.24,8.632e+7,8.632e+7,,
278.245,1.744e+8,1.744e+8,,
278.25,3.305e+8,3.305e+8,,
278.255,5.871e+8,5.871e+8,,
278.26,9.777e+8,9.777e+8,,
278.265,1.526e+9,1.526e+9,,
278.27,2.234e+9,2.234e+9,,
278.275,3.065e+9,3.065e+9,,
278.28,3.943e+9,3.943e+9,,
278.285,4.755e+9,4.755e+9,,
278.29,5.375e+9,5.375e+9,,
278.295,5.697e+9,5.697e+9,,
278.3,5.660e+9,5.660e+9,,
278.305,5.272e+9,5.272e+9,,
278.31,4.604e+9,4.604e+9,,
278.315,3.769e+9,3.769e+9,,
278.32,2.892e+9,2.892e+9,,
278.325,2.081e+9,2.081e+9,,
278.33,1.403e+9,1.403e+9,,
278.335,8.874e+8,8.874e+8,,
278.34,5.261e+8,5.261e+8,,
278.345,2.923e+8,2.923e+8,,
278.35,1.523e+8,1.523e+8,,
278.355,7.439e+7,7.439e+7,,
278.36,3.406e+7,3.406e+7,,
278.365,1.462e+7,1.462e+7,,
278.37,5.884e+6,5.884e+6,,
278.375,2.220e+6,2.220e+6,,
278.38,7.850e+5,7.850e+5,,
278.385,2.603e+5,2.603e+5,,
278.39,8.090e+4,8.090e+4,,
278.395,2.357e+4,2.357e+4,,
278.4,6.440e+3,6.440e+3,,
278.405,1.649e+3,1.649e+3,,
278.41,3.960e+2,3.960e+2,,
278.415,8.913e+1,8.913e+1,,
278.42,1.881e+1,1.881e+1,,
278.425,3.720e+0,3.720e+0,,
278.43,6.899e-1,6.899e-1,,
278.435,1.199e-1,1.199e-1,,
278.44,1.955e-2,1.955e-2,,
278.445,2.987e-3,2.987e-3,,
278.45,4.279e-4,4.279e-4,,
278.455,5.746e-5,5.746e-5,,
278.46,7.234e-6,7.234e-6,,
278.465,8.538e-7,8.538e-7,,
278.91,1.381e-5,,1.381e-5,
278.915,1.156e-4,,1.156e-4,
278.92,9.077e-4,,9.077e-4,
278.925,6.684e-3,,6.684e-3,
278.93,4.616e-2,,4.616e-2,
278.935,2.989e-1,,2.989e-1,
278.94,1.816e+0,,1.816e+0,
278.945,1.034e+1,,1.034e+1,
278.95,5.524e+1,,5.524e+1,
278.955,2.767e+2,,2.767e+2,
278.96,1.300e+3,,1.300e+3,
278.965,5.729e+3,,5.729e+3,
278.97,2.367e+4,,2.367e+4,
278.975,9.173e+4,,9.173e+4,
278.98,3.333e+5,,3.333e+5,
278.985,1.136e+6,,1.136e+6,
278.99,3.631e+6,,3.631e+6,
278.995,1.088e+7,,1.088e+7,
279,3.060e+7,,3.060e+7,
279.005,8.067e+7,,8.067e+7,
279.01,1.994e+8,,1.994e+8,
279.015,4.624e+8,,4.624e+8,
279.02,1.006e+9,,1.006e+9,
279.025,2.051e+9,,2.051e+9,
279.03,3.922e+9,,3.922e+9,
279.035,7.034e+9,,7.034e+9,
279.04,1.183e+10,,1.183e+10,
279.045,1.866e+10,,1.866e+10,
279.05,2.761e+10,,2.761e+10,
279.055,3.830e+10,,3.830e+10,
279.06,4.984e+10,,4.984e+10,
279.065,6.081e+10,,6.081e+10,
279.07,6.959e+10,,6.959e+10,
279.075,7.468e+10,,7.468e+10,
279.08,7.516e+10,,7.516e+10,
279.085,7.094e+10,,7.094e+10,
279.09,6.280e+10,,6.280e+10,
279.095,5.213e+10,,5.213e+10,
279.1,4.058e+10,,4.058e+10,
279.105,2.963e+10,,2.963e+10,
279.11,2.029e+10,,2.029e+10,
279.115,1.303e+10,,1.303e+10,
279.12,7.845e+9,,7.845e+9,
279.125,4.431e+9,,4.431e+9,
279.13,2.347e+9,,2.347e+9,
279.135,1.166e+9,,1.166e+9,
279.14,5.429e+8,,5.429e+8,
279.145,2.372e+8,,2.372e+8,
279.15,9.717e+7,,9.717e+7,
279.155,3.734e+7,,3.734e+7,
279.16,1.345e+7,,1.345e+7,
279.165,4.546e+6,,4.546e+6,
279.17,1.441e+6,,1.441e+6,
279.175,4.282e+5,,4.282e+5,
279.18,1.193e+5,,1.193e+5,
279.185,3.120e+4,,3.120e+4,
279.19,7.647e+3,,7.647e+3,
279.195,1.758e+3,,1.758e+3,
279.2,3.790e+2,,3.790e+2,
279.205,7.664e+1,,7.664e+1,
279.21,1.453e+1,,1.453e+1,
279.215,2.584e+0,,2.584e+0,
279.22,4.310e-1,,4.310e-1,
279.225,6.741e-2,,6.741e-2,
279.23,9.888e-3,,9.888e-3,
279.235,1.360e-3,,1.360e-3,
279.24,1.755e-4,,1.755e-4,
279.245,2.123e-5,,2.123e-5,
279.385,8.469e-4,,8.469e-4,
279.39,7.040e-3,,7.040e-3,
279.395,5.489e-2,,5.489e-2,
279.401,5.931e-1,,5.931e-1,
279.406,4.017e+0,,4.017e+0,
279.411,2.552e+1,,2.552e+1,
279.416,1.521e+2,,1.521e+2,
279.421,8.504e+2,,8.504e+2,
279.426,4.459e+3,,4.459e+3,
279.431,2.194e+4,,2.194e+4,
279.436,1.012e+5,,1.012e+5,
279.441,4.381e+5,,4.381e+5,
279.446,1.778e+6,,1.778e+6,
279.451,6.773e+6,,6.773e+6,
279.456,2.419e+7,,2.419e+7,
279.461,8.107e+7,,8.107e+7,
279.466,2.548e+8,,2.548e+8,
279.471,7.513e+8,,7.513e+8,
279.476,2.078e+9,,2.078e+9,
279.481,5.391e+9,,5.391e+9,
279.486,1.312e+10,,1.312e+10,
279.491,2.994e+10,,2.994e+10,
279.496,6.411e+10,,6.411e+10,
279.501,1.288e+11,,1.288e+11,
279.506,2.426e+11,,2.426e+11,
279.511,4.287e+11,,4.287e+11,
279.516,7.107e+11,,7.107e+11,
279.521,1.105e+12,,1.105e+12,
279.526,1.612e+12,,1.612e+12,
279.531,2.206e+12,,2.206e+12,
279.536,2.831e+12,,2.831e+12,
279.541,3.408e+12,,3.408e+12,
279.546,3.848e+12,,3.848e+12,
279.551,4.076e+12,,4.076e+12,
279.556,4.050e+12,,4.050e+12,
279.561,3.775e+12,,3.775e+12,
279.566,3.300e+12,,3.300e+12,
279.571,2.707e+12,,2.707e+12,
279.576,2.082e+12,,2.082e+12,
279.581,1.502e+12,,1.502e+12,
279.586,1.017e+12,,1.017e+12,
279.591,6.457e+11,,6.457e+11,
279.596,3.846e+11,,3.846e+11,
279.601,2.148e+11,,2.148e+11,
279.606,1.126e+11,,1.126e+11,
279.611,5.534e+10,,5.534e+10,
279.616,2.552e+10,,2.552e+10,
279.621,1.104e+10,,1.104e+10,
279.626,4.478e+9,,4.478e+9,
279.631,1.704e+9,,1.704e+9,
279.636,6.083e+8,,6.083e+8,
279.641,2.037e+8,,2.037e+8,
279.646,6.398e+7,,6.398e+7,
279.651,1.885e+7,,1.885e+7,
279.656,5.210e+6,,5.210e+6,
279.661,1.351e+6,,1.351e+6,
279.666,3.285e+5,,3.285e+5,
279.671,7.509e+4,,7.509e+4,
279.676,1.681e+4,,1.681e+4,
279.681,6.739e+3,,6.739e+3,
279.686,1.558e+4,,1.558e+4,
279.691,5.995e+4,,5.995e+4,
279.696,2.248e+5,,2.248e+5,
279.701,7.939e+5,,7.939e+5,
279.706,2.635e+6,,2.635e+6,
279.711,8.219e+6,,8.219e+6,
279.716,2.409e+7,,2.409e+7,
279.721,6.638e+7,,6.638e+7,
279.726,1.718e+8,,1.718e+8,
279.731,4.180e+8,,4.180e+8,
279.736,9.553e+8,,9.553e+8,
279.741,2.051e+9,,2.051e+9,
279.746,4.139e+9,,4.139e+9,
279.751,7.843e+9,,7.843e+9,
279.756,1.396e+10,,1.396e+10,
279.761,2.334e+10,,2.334e+10,
279.766,3.666e+10,,3.666e+10,
279.771,5.406e+10,,5.406e+10,
279.776,7.487e+10,,7.487e+10,
279.781,9.737e+10,,9.737e+10,
279.786,1.189e+11,,1.189e+11,
279.791,1.363e+11,,1.363e+11,
279.796,1.467e+11,,1.467e+11,
279.801,1.483e+11,,1.483e+11,
279.806,1.407e+11,,1.407e+11,
279.811,1.253e+11,,1.253e+11,
279.816,1.047e+11,,1.047e+11,
279.821,8.217e+10,,8.217e+10,
279.826,6.052e+10,,6.052e+10,
279.831,4.183e+10,,4.183e+10,
279.836,2.714e+10,,2.714e+10,
279.841,1.652e+10,,1.652e+10,
279.846,9.439e+9,,9.439e+9,
279.851,5.061e+9,,5.061e+9,
279.856,2.547e+9,,2.547e+9,
279.861,1.202e+9,,1.202e+9,
279.866,5.328e+8,,5.328e+8,
279.871,2.215e+8,,2.215e+8,
279.876,8.642e+7,,8.642e+7,
279.881,3.164e+7,,3.164e+7,
279.886,1.087e+7,,1.087e+7,
279.891,3.502e+6,,3.502e+6,
279.896,1.059e+6,,1.059e+6,
279.901,3.005e+5,,3.005e+5,
279.906,7.998e+4,,7.998e+4,
279.911,1.998e+4,,1.998e+4,
279.916,4.681e+3,,4.681e+3,
279.921,1.029e+3,,1.029e+3,
279.926,2.123e+2,,2.123e+2,
279.931,4.109e+1,,4.109e+1,
279.936,7.461e+0,,7.461e+0,
279.941,1.271e+0,,1.271e+0,
279.946,2.031e-1,,2.031e-1,
279.951,3.046e-2,,3.046e-2,
279.956,4.285e-3,,4.285e-3,
279.961,5.655e-4,,5.655e-4,
279.966,6.965e-5,,6.965e-5,
280.101,2.143e-4,,2.143e-4,
280.106,1.807e-3,,1.807e-3,
280.111,1.430e-2,,1.430e-2,
280.116,1.062e-1,,1.062e-1,
280.121,7.402e-1,,7.402e-1,
280.126,4.840e+0,,4.840e+0,
280.131,2.970e+1,,2.970e+1,
280.136,1.710e+2,,1.710e+2,
280.141,9.236e+2,,9.236e+2,
280.146,4.682e+3,,4.682e+3,
280.151,2.227e+4,,2.227e+4,
280.156,9.938e+4,,9.938e+4,
280.161,4.162e+5,,4.162e+5,
280.166,1.635e+6,,1.635e+6,
280.171,6.030e+6,,6.030e+6,
280.176,2.086e+7,,2.086e+7,
280.181,6.773e+7,,6.773e+7,
280.186,2.063e+8,,2.063e+8,
280.191,5.898e+8,,5.898e+8,
280.196,1.582e+9,,1.582e+9,
280.201,3.981e+9,,3.981e+9,
280.206,9.402e+9,,9.402e+9,
280.211,2.083e+10,,2.083e+10,
280.216,4.332e+10,,4.332e+10,
280.221,8.451e+10,,8.451e+10,
280.226,1.547e+11,,1.547e+11,
280.231,2.658e+11,,2.658e+11,
280.236,4.284e+11,,4.284e+11,
280.241,6.479e+11,,6.479e+11,
280.246,9.196e+11,,9.196e+11,
280.251,1.225e+12,,1.225e+12,
280.256,1.530e+12,,1.530e+12,
280.261,1.794e+12,,1.794e+12,
280.266,1.974e+12,,1.974e+12,
280.271,2.038e+12,,2.038e+12,
280.276,1.974e+12,,1.974e+12,
280.281,1.794e+12,,1.794e+12,
280.286,1.530e+12,,1.530e+12,
280.291,1.225e+12,,1.225e+12,
280.296,9.196e+11,,9.196e+11,
280.301,6.479e+11,,6.479e+11,
280.306,4.284e+11,,4.284e+11,
280.311,2.658e+11,,2.658e+11,
280.316,1.547e+11,,1.547e+11,
280.321,8.451e+10,,8.451e+10,
