Wavelength (nm),Sum,Mg I (3.8e-02),Mg II (9.5e-01),Mg III (8.2e-03)
213.444,4.449e-15,,,4.449e-15
213.449,1.789e-15,,,1.789e-15
213.454,6.443e-16,,,6.443e-16
213.459,2.079e-16,,,2.079e-16
213.464,6.014e-17,,,6.014e-17
213.469,1.558e-17,,,1.558e-17
213.474,3.618e-18,,,3.618e-18
213.479,7.528e-19,,,7.528e-19
213.484,1.403e-19,,,1.403e-19
213.489,2.344e-20,,,2.344e-20
213.494,3.508e-21,,,3.508e-21
213.499,4.704e-22,,,4.704e-22
213.504,5.653e-23,,,5.653e-23
213.509,6.086e-24,,,6.086e-24
213.514,5.871e-25,,,5.871e-25
213.519,5.075e-26,,,5.075e-26
213.524,3.931e-27,,,3.931e-27
213.529,2.728e-28,,,2.728e-28
213.534,1.696e-29,,,1.696e-29
217.64,6.766e-29,,,6.766e-29
217.645,9.953e-28,,,9.953e-28
217.651,2.181e-26,,,2.181e-26
217.656,2.544e-25,,,2.544e-25
217.661,2.671e-24,,,2.671e-24
217.666,2.523e-23,,,2.523e-23
217.671,2.145e-22,,,2.145e-22
217.676,1.641e-21,,,1.641e-21
217.681,1.130e-20,,,1.130e-20
217.686,7.002e-20,,,7.002e-20
217.691,3.905e-19,,,3.905e-19
217.696,1.960e-18,,,1.960e-18
217.701,8.850e-18,,,8.850e-18
217.706,3.597e-17,,,3.597e-17
217.711,1.316e-16,,,1.316e-16
217.716,4.330e-16,,,4.330e-16
217.721,1.283e-15,,,1.283e-15
217.726,3.420e-15,,,3.420e-15
217.731,8.204e-15,,,8.204e-15
217.736,1.771e-14,,,1.771e-14
217.741,3.442e-14,,,3.442e-14
217.746,6.018e-14,,,6.018e-14
217.751,9.470e-14,,,9.470e-14
217.756,1.341e-13,,,1.341e-13
217.761,1.709e-13,,,1.709e-13
217.766,1.960e-13,,,1.960e-13
217.771,2.023e-13,,,2.023e-13
217.776,1.879e-13,,,1.879e-13
217.781,1.571e-13,,,1.571e-13
217.786,1.182e-13,,,1.182e-13
217.791,8.000e-14,,,8.000e-14
217.796,4.874e-14,,,4.874e-14
217.801,2.672e-14,,,2.672e-14
217.806,1.319e-14,,,1.319e-14
217.811,5.855e-15,,,5.855e-15
217.816,2.340e-15,,,2.340e-15
217.821,8.414e-16,,,8.414e-16
217.826,2.723e-16,,,2.723e-16
217.831,7.931e-17,,,7.931e-17
217.836,2.079e-17,,,2.079e-17
217.841,4.904e-18,,,4.904e-18
217.846,1.041e-18,,,1.041e-18
217.851,1.989e-19,,,1.989e-19
217.856,3.419e-20,,,3.419e-20
217.861,5.289e-21,,,5.289e-21
217.866,7.365e-22,,,7.365e-22
217.871,9.228e-23,,,9.228e-23
217.876,1.041e-23,,,1.041e-23
217.881,1.056e-24,,,1.056e-24
217.886,9.644e-26,,,9.644e-26
217.891,7.926e-27,,,7.926e-27
217.896,5.862e-28,,,5.862e-28
217.901,3.902e-29,,,3.902e-29
225.253,1.127e-8,,1.127e-8,
225.258,1.634e-7,,1.634e-7,
225.263,1.984e-6,,1.984e-6,
225.268,2.185e-5,,2.185e-5,
225.273,2.181e-4,,2.181e-4,
225.278,1.975e-3,,1.975e-3,
225.283,1.621e-2,,1.621e-2,
225.288,1.207e-1,,1.207e-1,
225.293,8.151e-1,,8.151e-1,
225.298,4.991e+0,,4.991e+0,
225.303,2.772e+1,,2.772e+1,
225.308,1.396e+2,,1.396e+2,
225.313,6.379e+2,,6.379e+2,
225.318,2.643e+3,,2.643e+3,
225.323,9.938e+3,,9.938e+3,
225.328,3.389e+4,,3.389e+4,
225.333,1.048e+5,,1.048e+5,
225.338,2.943e+5,,2.943e+5,
225.343,7.494e+5,,7.494e+5,
225.348,1.732e+6,,1.732e+6,
225.353,3.630e+6,,3.630e+6,
225.358,6.906e+6,,6.906e+6,
225.363,1.192e+7,,1.192e+7,
225.368,1.868e+7,,1.868e+7,
225.373,2.655e+7,,2.655e+7,
225.378,3.426e+7,,3.426e+7,
225.383,4.012e+7,,4.012e+7,
225.388,4.264e+7,,4.264e+7,
225.393,4.114e+7,,4.114e+7,
225.398,3.602e+7,,3.602e+7,
225.403,2.862e+7,,2.862e+7,
225.408,2.065e+7,,2.065e+7,
225.413,1.352e+7,,1.352e+7,
225.418,8.033e+6,,8.033e+6,
225.423,4.333e+6,,4.333e+6,
225.428,2.121e+6,,2.121e+6,
225.433,9.426e+5,,9.426e+5,
225.438,3.802e+5,,3.802e+5,
225.443,1.392e+5,,1.392e+5,
225.448,4.624e+4,,4.624e+4,
225.453,1.394e+4,,1.394e+4,
225.458,3.815e+3,,3.815e+3,
225.463,9.474e+2,,9.474e+2,
225.468,2.135e+2,,2.135e+2,
225.473,4.366e+1,,4.366e+1,
225.478,8.101e+0,,8.101e+0,
225.483,1.364e+0,,1.364e+0,
225.488,2.083e-1,,2.083e-1,
225.493,2.887e-2,,2.887e-2,
225.498,3.630e-3,,3.630e-3,
225.503,4.140e-4,,4.140e-4,
225.508,4.284e-5,,4.284e-5,
225.513,4.021e-6,,4.021e-6,
225.518,3.423e-7,,3.423e-7,
225.523,2.643e-8,,2.643e-8,
225.528,1.596e-9,,1.596e-9,
232.815,4.423e-9,,4.423e-9,
232.82,5.987e-8,,5.987e-8,
232.825,7.043e-7,,7.043e-7,
232.83,7.559e-6,,7.559e-6,
232.835,7.402e-5,,7.402e-5,
232.84,6.614e-4,,6.614e-4,
232.845,5.393e-3,,5.393e-3,
232.85,4.013e-2,,4.013e-2,
232.855,2.725e-1,,2.725e-1,
232.86,1.689e+0,,1.689e+0,
232.865,9.552e+0,,9.552e+0,
232.87,4.931e+1,,4.931e+1,
232.875,2.324e+2,,2.324e+2,
232.88,9.996e+2,,9.996e+2,
232.885,3.926e+3,,3.926e+3,
232.89,1.408e+4,,1.408e+4,
232.895,4.608e+4,,4.608e+4,
232.9,1.378e+5,,1.378e+5,
232.905,3.760e+5,,3.760e+5,
232.91,9.375e+5,,9.375e+5,
232.915,2.135e+6,,2.135e+6,
232.92,4.439e+6,,4.439e+6,
232.925,8.434e+6,,8.434e+6,
232.93,1.464e+7,,1.464e+7,
232.935,2.321e+7,,2.321e+7,
232.94,3.362e+7,,3.362e+7,
232.945,4.449e+7,,4.449e+7,
232.95,5.381e+7,,5.381e+7,
232.955,5.947e+7,,5.947e+7,
232.96,6.006e+7,,6.006e+7,
232.965,5.544e+7,,5.544e+7,
232.97,4.676e+7,,4.676e+7,
232.975,3.605e+7,,3.605e+7,
232.98,2.539e+7,,2.539e+7,
232.985,1.635e+7,,1.635e+7,
232.99,9.622e+6,,9.622e+6,
232.995,5.174e+6,,5.174e+6,
233,2.543e+6,,2.543e+6,
233.005,1.142e+6,,1.142e+6,
233.01,4.687e+5,,4.687e+5,
233.015,1.758e+5,,1.758e+5,
233.02,6.023e+4,,6.023e+4,
233.025,1.886e+4,,1.886e+4,
233.03,5.393e+3,,5.393e+3,
233.035,1.409e+3,,1.409e+3,
233.04,3.364e+2,,3.364e+2,
233.045,7.333e+1,,7.333e+1,
233.05,1.460e+1,,1.460e+1,
233.055,2.655e+0,,2.655e+0,
233.06,4.410e-1,,4.410e-1,
233.065,6.687e-2,,6.687e-2,
233.07,9.258e-3,,9.258e-3,
233.075,1.170e-3,,1.170e-3,
233.08,1.351e-4,,1.351e-4,
233.085,1.423e-5,,1.423e-5,
233.091,8.473e-7,,8.473e-7,
233.096,7.302e-8,,7.302e-8,
233.101,5.207e-9,,5.207e-9,
239.373,9.114e-29,,,9.114e-29
239.378,1.055e-27,,,1.055e-27
239.383,1.120e-26,,,1.120e-26
239.388,1.089e-25,,,1.089e-25
239.393,9.708e-25,,,9.708e-25
239.398,7.932e-24,,,7.932e-24
239.403,5.939e-23,,,5.939e-23
239.408,4.076e-22,,,4.076e-22
239.413,2.564e-21,,,2.564e-21
239.418,1.478e-20,,,1.478e-20
239.423,7.812e-20,,,7.812e-20
239.428,3.783e-19,,,3.783e-19
239.433,1.679e-18,,,1.679e-18
239.438,6.832e-18,,,6.832e-18
239.443,2.547e-17,,,2.547e-17
239.448,8.706e-17,,,8.706e-17
239.453,2.727e-16,,,2.727e-16
239.458,7.828e-16,,,7.828e-16
239.463,2.060e-15,,,2.060e-15
239.468,4.967e-15,,,4.967e-15
239.473,1.098e-14,,,1.098e-14
239.478,2.224e-14,,,2.224e-14
239.483,4.130e-14,,,4.130e-14
239.488,7.028e-14,,,7.028e-14
239.493,1.096e-13,,,1.096e-13
239.498,1.567e-13,,,1.567e-13
239.503,2.053e-13,,,2.053e-13
239.508,2.465e-13,,,2.465e-13
239.513,2.713e-13,,,2.713e-13
239.518,2.737e-13,,,2.737e-13
239.523,2.531e-13,,,2.531e-13
239.528,2.144e-13,,,2.144e-13
239.533,1.666e-13,,,1.666e-13
239.538,1.186e-13,,,1.186e-13
239.543,7.735e-14,,,7.735e-14
239.548,4.625e-14,,,4.625e-14
239.553,2.535e-14,,,2.535e-14
239.558,1.273e-14,,,1.273e-14
239.563,5.862e-15,,,5.862e-15
239.568,2.474e-15,,,2.474e-15
239.573,9.566e-16,,,9.566e-16
239.578,3.391e-16,,,3.391e-16
239.583,1.102e-16,,,1.102e-16
239.588,3.280e-17,,,3.280e-17
239.593,8.951e-18,,,8.951e-18
239.598,2.239e-18,,,2.239e-18
239.603,5.133e-19,,,5.133e-19
239.608,1.078e-19,,,1.078e-19
239.613,2.077e-20,,,2.077e-20
239.618,3.666e-21,,,3.666e-21
239.623,5.930e-22,,,5.930e-22
239.628,8.792e-23,,,8.792e-23
239.633,1.195e-23,,,1.195e-23
239.638,1.488e-24,,,1.488e-24
239.643,1.699e-25,,,1.699e-25
239.648,1.777e-26,,,1.777e-26
239.653,1.704e-27,,,1.704e-27
239.658,1.498e-28,,,1.498e-28
244.809,1.535e-8,,1.535e-8,
244.814,1.814e-7,,1.814e-7,
244.819,1.864e-6,,1.864e-6,
244.824,1.764e-5,,1.764e-5,
244.829,1.536e-4,,1.536e-4,
244.834,1.231e-3,,1.231e-3,
244.839,9.084e-3,,9.084e-3,
244.844,6.170e-2,,6.170e-2,
244.849,3.858e-1,,3.858e-1,
244.854,2.221e+0,,2.221e+0,
244.859,1.177e+1,,1.177e+1,
244.864,5.744e+1,,5.744e+1,
244.869,2.581e+2,,2.581e+2,
244.874,1.068e+3,,1.068e+3,
244.879,4.068e+3,,4.068e+3,
244.884,1.427e+4,,1.427e+4,
244.889,4.611e+4,,4.611e+4,
244.894,1.372e+5,,1.372e+5,
244.899,3.761e+5,,3.761e+5,
244.904,9.494e+5,,9.494e+5,
244.909,2.208e+6,,2.208e+6,
244.914,4.730e+6,,4.730e+6,
244.919,9.334e+6,,9.334e+6,
244.924,1.697e+7,,1.697e+7,
244.929,2.843e+7,,2.843e+7,
244.934,4.388e+7,,4.388e+7,
244.939,6.241e+7,,6.241e+7,
244.944,8.179e+7,,8.179e+7,
244.949,9.878e+7,,9.878e+7,
244.954,1.099e+8,,1.099e+8,
244.959,1.128e+8,,1.128e+8,
244.964,1.066e+8,,1.066e+8,
244.969,9.285e+7,,9.285e+7,
244.974,7.455e+7,,7.455e+7,
244.979,5.517e+7,,5.517e+7,
244.984,3.763e+7,,3.763e+7,
244.989,2.365e+7,,2.365e+7,
244.994,1.370e+7,,1.370e+7,
244.999,7.315e+6,,7.315e+6,
245.004,3.600e+6,,3.600e+6,
245.009,1.632e+6,,1.632e+6,
245.014,6.822e+5,,6.822e+5,
245.019,2.627e+5,,2.627e+5,
245.024,9.323e+4,,9.323e+4,
245.029,3.049e+4,,3.049e+4,
245.034,9.186e+3,,9.186e+3,
