Wavelength (nm),Sum,Pb I (4.4e-02),Pb II (9.5e-01)
367.224,1.385e+7,1.385e+7,
367.229,7.794e+6,7.794e+6,
367.234,4.226e+6,4.226e+6,
367.239,2.208e+6,2.208e+6,
367.244,1.112e+6,1.112e+6,
367.249,5.394e+5,5.394e+5,
367.254,2.522e+5,2.522e+5,
367.259,1.136e+5,1.136e+5,
367.264,4.930e+4,4.930e+4,
367.269,2.062e+4,2.062e+4,
367.274,8.311e+3,8.311e+3,
367.279,3.227e+3,3.227e+3,
367.284,1.208e+3,1.208e+3,
367.289,4.355e+2,4.355e+2,
367.294,1.513e+2,1.513e+2,
367.299,5.066e+1,5.066e+1,
367.304,1.634e+1,1.634e+1,
367.309,5.080e+0,5.080e+0,
367.314,1.522e+0,1.522e+0,
367.319,4.392e-1,4.392e-1,
367.324,1.222e-1,1.222e-1,
367.329,3.274e-2,3.274e-2,
367.334,8.454e-3,8.454e-3,
367.339,2.104e-3,2.104e-3,
367.344,5.044e-4,5.044e-4,
367.349,1.165e-4,1.165e-4,
367.354,2.595e-5,2.595e-5,
367.359,5.566e-6,5.566e-6,
367.364,1.151e-6,1.151e-6,
367.369,2.292e-7,2.292e-7,
368.124,1.210e-6,1.210e-6,
368.129,6.103e-6,6.103e-6,
368.134,2.966e-5,2.966e-5,
368.139,1.389e-4,1.389e-4,
368.144,6.271e-4,6.271e-4,
368.149,2.728e-3,2.728e-3,
368.154,1.144e-2,1.144e-2,
368.159,4.624e-2,4.624e-2,
368.164,1.801e-1,1.801e-1,
368.169,6.763e-1,6.763e-1,
368.174,2.447e+0,2.447e+0,
368.179,8.536e+0,8.536e+0,
368.184,2.870e+1,2.870e+1,
368.189,9.297e+1,9.297e+1,
368.194,2.903e+2,2.903e+2,
368.199,8.738e+2,8.738e+2,
368.204,2.535e+3,2.535e+3,
368.209,7.087e+3,7.087e+3,
368.214,1.910e+4,1.910e+4,
368.219,4.960e+4,4.960e+4,
368.224,1.242e+5,1.242e+5,
368.229,2.996e+5,2.996e+5,
368.234,6.967e+5,6.967e+5,
368.239,1.562e+6,1.562e+6,
368.244,3.373e+6,3.373e+6,
368.249,7.023e+6,7.023e+6,
368.254,1.409e+7,1.409e+7,
368.259,2.726e+7,2.726e+7,
368.264,5.081e+7,5.081e+7,
368.269,9.129e+7,9.129e+7,
368.274,1.581e+8,1.581e+8,
368.279,2.639e+8,2.639e+8,
368.284,4.244e+8,4.244e+8,
368.289,6.581e+8,6.581e+8,
368.294,9.834e+8,9.834e+8,
368.299,1.416e+9,1.416e+9,
368.304,1.966e+9,1.966e+9,
368.309,2.631e+9,2.631e+9,
368.314,3.392e+9,3.392e+9,
368.319,4.216e+9,4.216e+9,
368.324,5.050e+9,5.050e+9,
368.329,5.831e+9,5.831e+9,
368.334,6.489e+9,6.489e+9,
368.339,6.959e+9,6.959e+9,
368.344,7.194e+9,7.194e+9,
368.349,7.168e+9,7.168e+9,
368.354,6.883e+9,6.883e+9,
368.359,6.370e+9,6.370e+9,
368.364,5.683e+9,5.683e+9,
368.369,4.886e+9,4.886e+9,
368.374,4.049e+9,4.049e+9,
368.379,3.234e+9,3.234e+9,
368.384,2.489e+9,2.489e+9,
368.389,1.847e+9,1.847e+9,
368.394,1.321e+9,1.321e+9,
368.399,9.102e+8,9.102e+8,
368.404,6.046e+8,6.046e+8,
368.409,3.871e+8,3.871e+8,
368.414,2.389e+8,2.389e+8,
368.419,1.421e+8,1.421e+8,
368.424,8.144e+7,8.144e+7,
368.429,4.499e+7,4.499e+7,
368.434,2.396e+7,2.396e+7,
368.439,1.230e+7,1.230e+7,
368.444,6.083e+6,6.083e+6,
368.449,2.900e+6,2.900e+6,
368.454,1.333e+6,1.333e+6,
368.459,5.902e+5,5.902e+5,
368.464,2.520e+5,2.520e+5,
368.469,1.037e+5,1.037e+5,
368.474,4.111e+4,4.111e+4,
368.479,1.571e+4,1.571e+4,
368.484,5.787e+3,5.787e+3,
368.489,2.055e+3,2.055e+3,
368.494,7.031e+2,7.031e+2,
