Wavelength (nm),Sum(calc),Ti I (1.8e-2),Ti II (9.6e-1),Ti III (2.1e-2)
251.539,9.017e+4,2.046e-11,8.952e-10,9.017e+4
251.544,2.538e+5,2.044e-11,8.919e-10,2.538e+5
251.549,6.599e+5,2.042e-11,8.886e-10,6.599e+5
251.554,1.586e+6,2.041e-11,8.853e-10,1.586e+6
251.559,3.521e+6,2.039e-11,8.820e-10,3.521e+6
251.564,7.224e+6,2.037e-11,8.787e-10,7.224e+6
251.569,1.370e+7,2.036e-11,8.753e-10,1.370e+7
251.574,2.400e+7,2.034e-11,8.720e-10,2.400e+7
251.579,3.885e+7,2.032e-11,8.687e-10,3.885e+7
251.584,5.812e+7,2.031e-11,1.111e-8,5.812e+7
251.589,8.035e+7,2.029e-11,1.312e-7,8.035e+7
251.594,1.026e+8,2.027e-11,1.433e-6,1.026e+8
251.599,1.212e+8,2.026e-11,1.446e-5,1.212e+8
251.604,1.322e+8,2.024e-11,1.349e-4,1.322e+8
251.609,1.332e+8,2.022e-11,1.162e-3,1.332e+8
251.614,1.241e+8,2.021e-11,9.256e-3,1.241e+8
251.619,1.068e+8,2.019e-11,6.813e-2,1.068e+8
251.624,8.492e+7,2.017e-11,4.634e-1,8.492e+7
251.629,6.241e+7,2.016e-11,2.913e+0,6.241e+7
251.634,4.238e+7,2.014e-11,1.692e+1,4.238e+7
251.639,2.659e+7,2.012e-11,9.082e+1,2.659e+7
251.644,1.542e+7,2.011e-11,4.506e+2,1.542e+7
251.649,8.265e+6,2.009e-11,2.066e+3,8.263e+6
251.654,4.100e+6,2.007e-11,8.752e+3,4.091e+6
251.659,1.906e+6,2.006e-11,3.427e+4,1.872e+6
251.664,9.153e+5,2.004e-11,1.240e+5,7.914e+5
251.669,7.237e+5,2.002e-11,4.146e+5,3.092e+5
251.674,1.393e+6,2.001e-11,1.281e+6,1.116e+5
251.679,3.696e+6,1.999e-11,3.658e+6,3.723e+4
251.684,9.666e+6,1.997e-11,9.655e+6,1.148e+4
251.689,2.355e+7,1.996e-11,2.355e+7,3.269e+3
251.694,5.307e+7,1.994e-11,5.307e+7,8.605e+2
251.699,1.105e+8,1.992e-11,1.105e+8,2.093e+2
251.704,2.128e+8,1.991e-11,2.128e+8,4.704e+1
251.709,3.785e+8,1.989e-11,3.785e+8,9.769e+0
251.714,6.221e+8,1.987e-11,6.221e+8,1.875e+0
251.719,9.451e+8,1.985e-11,9.451e+8,3.325e-1
251.724,1.327e+9,1.984e-11,1.327e+9,5.448e-2
251.729,1.721e+9,1.982e-11,1.721e+9,8.250e-3
251.734,2.064e+9,1.980e-11,2.064e+9,1.154e-3
251.739,2.287e+9,1.979e-11,2.287e+9,1.493e-4
251.744,2.342e+9,2.482e-10,2.342e+9,1.783e-5
251.749,2.216e+9,2.878e-9,2.216e+9,1.969e-6
251.754,1.938e+9,3.085e-8,1.938e+9,2.009e-7
251.759,1.566e+9,3.055e-7,1.566e+9,1.894e-8
251.764,1.170e+9,2.797e-6,1.170e+9,1.650e-9
251.769,8.072e+8,2.366e-5,8.072e+8,1.328e-10
251.774,5.148e+8,1.850e-4,5.148e+8,1.327e-10
251.779,3.034e+8,1.337e-3,3.034e+8,1.326e-10
251.784,1.653e+8,8.929e-3,1.653e+8,1.324e-10
251.789,8.321e+7,5.512e-2,8.321e+7,1.323e-10
251.794,3.871e+7,3.145e-1,3.871e+7,1.322e-10
251.799,1.664e+7,1.658e+0,1.664e+7,1.321e-10
251.804,6.611e+6,8.082e+0,6.611e+6,1.319e-10
251.809,2.427e+6,3.640e+1,2.427e+6,1.318e-10
251.814,8.237e+5,1.515e+2,8.236e+5,1.317e-10
251.819,2.588e+5,5.830e+2,2.582e+5,1.316e-10
251.824,7.690e+4,2.073e+3,7.483e+4,1.315e-10
251.829,2.685e+4,6.814e+3,2.004e+4,1.313e-10
251.834,2.565e+4,2.070e+4,4.959e+3,1.312e-10
251.839,5.923e+4,5.810e+4,1.134e+3,1.311e-10
251.844,1.510e+5,1.507e+5,2.397e+2,1.310e-10
251.849,3.615e+5,3.615e+5,4.682e+1,1.308e-10
251.854,8.012e+5,8.012e+5,8.450e+0,1.307e-10
251.859,1.641e+6,1.641e+6,1.409e+0,1.306e-10
251.864,3.107e+6,3.107e+6,2.173e-1,1.305e-10
251.869,5.436e+6,5.436e+6,3.095e-2,1.303e-10
251.874,8.791e+6,8.791e+6,4.075e-3,1.302e-10
251.879,1.314e+7,1.314e+7,4.957e-4,1.301e-10
251.884,1.815e+7,1.815e+7,5.573e-5,1.300e-10
251.889,2.317e+7,2.317e+7,5.791e-6,1.299e-10
251.894,2.734e+7,2.734e+7,5.560e-7,1.297e-10
251.899,2.982e+7,2.982e+7,4.934e-8,1.296e-10
251.904,3.005e+7,3.005e+7,4.046e-9,1.295e-10
251.909,2.800e+7,2.800e+7,4.076e-9,1.294e-10
251.914,2.410e+7,2.410e+7,4.105e-9,1.292e-10
251.919,1.918e+7,1.918e+7,4.135e-9,1.291e-10
251.924,1.410e+7,1.410e+7,4.165e-9,1.290e-10
251.929,9.587e+6,9.587e+6,4.194e-9,1.289e-10
251.934,6.023e+6,6.023e+6,4.224e-9,1.287e-10
251.939,3.497e+6,3.497e+6,4.254e-9,1.286e-10
251.944,1.876e+6,1.876e+6,4.283e-9,1.285e-10
251.949,9.306e+5,9.306e+5,4.313e-9,1.284e-10
251.954,4.266e+5,4.266e+5,4.343e-9,1.283e-10
251.959,1.808e+5,1.808e+5,4.372e-9,1.281e-10
251.964,7.109e+4,7.109e+4,4.402e-9,1.280e-10
251.969,2.695e+4,2.695e+4,4.432e-9,1.279e-10
251.974,1.350e+4,1.350e+4,4.461e-9,1.278e-10
251.979,1.937e+4,1.937e+4,4.491e-9,1.276e-10
251.984,5.310e+4,5.310e+4,4.521e-9,1.275e-10
251.989,1.517e+5,1.517e+5,4.550e-9,1.274e-10
251.994,4.051e+5,4.051e+5,4.580e-9,1.273e-10
251.999,1.001e+6,1.001e+6,4.610e-9,1.271e-10
252.004,2.288e+6,2.288e+6,4.639e-9,1.270e-10
252.008,4.188e+6,4.188e+6,4.663e-9,1.269e-10
252.013,8.305e+6,8.305e+6,4.693e-9,1.268e-10
252.018,1.522e+7,1.522e+7,4.722e-9,1.267e-10
252.023,2.579e+7,2.579e+7,4.752e-9,1.266e-10
252.028,4.040e+7,4.040e+7,4.782e-9,1.264e-10
252.033,5.848e+7,5.848e+7,4.811e-9,1.263e-10
252.038,7.825e+7,7.825e+7,4.841e-9,1.262e-10
252.043,9.677e+7,9.677e+7,4.871e-9,1.261e-10
252.048,1.106e+8,1.106e+8,4.900e-9,1.259e-10
252.053,1.169e+8,1.169e+8,4.930e-9,1.258e-10
252.058,1.142e+8,1.142e+8,4.960e-9,1.257e-10
252.063,1.031e+8,1.031e+8,4.989e-9,1.256e-10
252.068,8.600e+7,8.600e+7,5.019e-9,1.254e-10
252.073,6.633e+7,6.633e+7,5.049e-9,1.253e-10
252.078,4.728e+7,4.728e+7,5.078e-9,1.252e-10
252.083,3.116e+7,3.116e+7,5.108e-9,1.251e-10
252.088,1.898e+7,1.898e+7,5.138e-9,1.250e-10
252.093,1.068e+7,1.068e+7,5.167e-9,1.248e-10
252.098,5.559e+6,5.559e+6,5.197e-9,1.247e-10
252.103,2.674e+6,2.674e+6,5.227e-9,1.246e-10
252.108,1.189e+6,1.189e+6,5.256e-9,1.245e-10
252.113,4.885e+5,4.885e+5,5.286e-9,1.243e-10
252.118,1.856e+5,1.856e+5,5.316e-9,1.242e-10
252.123,6.515e+4,6.515e+4,5.345e-9,1.241e-10
252.128,2.114e+4,2.114e+4,5.375e-9,1.240e-10
252.133,6.341e+3,6.341e+3,5.405e-9,1.238e-10
252.138,1.758e+3,1.758e+3,5.434e-9,1.237e-10
252.143,4.505e+2,4.505e+2,5.464e-9,1.236e-10
252.148,1.067e+2,1.067e+2,5.494e-9,1.235e-10
252.153,2.337e+1,2.337e+1,5.523e-9,1.234e-10
252.158,4.729e+0,4.729e+0,5.553e-9,1.232e-10
252.163,8.845e-1,8.845e-1,5.582e-9,1.231e-10
252.168,1.529e-1,1.529e-1,5.612e-9,1.230e-10
252.173,2.444e-2,2.444e-2,5.642e-9,1.229e-10
252.178,3.610e-3,3.610e-3,5.671e-9,1.227e-10
252.183,4.930e-4,4.930e-4,5.701e-9,1.226e-10
252.188,6.222e-5,6.222e-5,5.731e-9,1.225e-10
252.193,7.258e-6,7.258e-6,5.760e-9,1.224e-10
252.198,7.826e-7,7.826e-7,5.790e-9,1.222e-10
252.203,7.799e-8,7.799e-8,5.820e-9,1.221e-10
252.208,7.185e-9,7.185e-9,5.849e-9,1.220e-10
252.213,6.118e-10,6.118e-10,5.879e-9,1.219e-10
252.303,6.413e-9,4.839e-10,6.413e-9,1.197e-10
252.308,7.710e-8,4.768e-10,7.710e-8,1.195e-10
252.313,8.569e-7,4.697e-10,8.569e-7,1.194e-10
252.318,8.806e-6,4.626e-10,8.806e-6,1.193e-10
252.323,8.367e-5,4.555e-10,8.367e-5,1.192e-10
252.328,7.350e-4,4.484e-10,7.350e-4,1.190e-10
252.333,5.969e-3,4.413e-10,5.969e-3,1.189e-10
252.338,4.482e-2,4.342e-10,4.482e-2,1.188e-10
252.343,3.111e-1,4.271e-10,3.111e-1,1.187e-10
252.348,1.997e+0,4.200e-10,1.997e+0,1.186e-10
252.353,1.185e+1,4.129e-10,1.185e+1,1.184e-10
252.358,6.502e+1,4.058e-10,6.502e+1,1.183e-10
252.363,3.298e+2,3.987e-10,3.298e+2,1.182e-10
252.368,1.547e+3,3.916e-10,1.547e+3,1.181e-10
252.373,6.707e+3,3.845e-10,6.707e+3,1.179e-10
252.378,2.689e+4,3.774e-10,2.689e+4,1.178e-10
252.383,9.965e+4,3.703e-10,9.965e+4,1.177e-10
252.388,3.415e+5,3.632e-10,3.415e+5,1.176e-10
252.393,1.082e+6,3.561e-10,1.082e+6,1.175e-10
252.398,3.169e+6,3.490e-10,3.169e+6,1.173e-10
252.403,8.582e+6,3.419e-10,8.582e+6,1.172e-10
252.408,2.149e+7,3.348e-10,2.149e+7,1.171e-10
252.413,4.974e+7,3.277e-10,4.974e+7,1.170e-10
252.418,1.065e+8,3.206e-10,1.065e+8,1.168e-10
252.423,2.107e+8,3.135e-10,2.107e+8,1.167e-10
252.428,3.854e+8,3.064e-10,3.854e+8,1.166e-10
252.433,6.519e+8,2.993e-10,6.519e+8,1.165e-10
252.438,1.019e+9,2.922e-10,1.019e+9,1.163e-10
252.443,1.474e+9,2.851e-10,1.474e+9,1.162e-10
252.448,1.970e+9,2.780e-10,1.970e+9,1.161e-10
252.453,2.435e+9,2.709e-10,2.435e+9,1.160e-10
252.458,2.783e+9,2.638e-10,2.783e+9,1.159e-10
252.463,2.940e+9,2.567e-10,2.940e+9,1.157e-10
252.468,2.871e+9,2.496e-10,2.871e+9,1.156e-10
252.473,2.593e+9,2.425e-10,2.593e+9,1.155e-10
252.478,2.165e+9,2.354e-10,2.165e+9,1.154e-10
252.483,1.673e+9,2.283e-10,1.673e+9,1.152e-10
252.488,1.198e+9,2.212e-10,1.198e+9,1.151e-10
252.493,8.035e+8,2.141e-10,8.035e+8,1.150e-10
252.498,5.257e+8,2.070e-10,5.257e+8,1.149e-10
252.503,3.866e+8,1.999e-10,3.866e+8,1.147e-10
252.508,4.135e+8,1.928e-10,4.135e+8,1.146e-10
252.513,6.597e+8,1.857e-10,6.597e+8,1.145e-10
252.518,1.219e+9,1.786e-10,1.219e+9,1.144e-10
252.523,2.220e+9,1.715e-10,2.220e+9,1.143e-10
252.528,3.797e+9,1.644e-10,3.797e+9,1.141e-10
252.533,6.024e+9,1.573e-10,6.024e+9,1.140e-10
252.538,8.843e+9,1.502e-10,8.843e+9,1.139e-10
252.543,1.200e+10,1.431e-10,1.200e+10,1.138e-10
252.548,1.507e+10,1.359e-10,1.507e+10,1.136e-10
252.553,1.749e+10,1.288e-10,1.749e+10,1.135e-10
252.558,1.877e+10,1.217e-10,1.877e+10,1.134e-10
252.563,1.862e+10,1.146e-10,1.862e+10,1.133e-10
252.568,1.708e+10,1.075e-10,1.708e+10,1.131e-10
252.573,1.449e+10,1.004e-10,1.449e+10,1.130e-10
252.578,1.136e+10,9.334e-11,1.136e+10,1.129e-10
252.583,8.240e+9,8.624e-11,8.240e+9,1.128e-10
252.588,5.525e+9,7.914e-11,5.525e+9,1.127e-10
252.593,3.425e+9,7.203e-11,3.425e+9,1.125e-10
252.598,1.963e+9,6.493e-11,1.963e+9,1.124e-10
252.603,1.040e+9,5.783e-11,1.040e+9,1.123e-10
252.608,5.098e+8,5.073e-11,5.098e+8,1.122e-10
252.613,2.310e+8,4.363e-11,2.310e+8,1.120e-10
252.618,9.676e+7,3.652e-11,9.676e+7,1.119e-10
252.623,3.748e+7,2.942e-11,3.748e+7,1.118e-10
252.628,1.342e+7,2.232e-11,1.342e+7,1.117e-10
252.633,4.444e+6,1.522e-11,4.444e+6,1.115e-10
252.638,1.361e+6,1.935e-10,1.361e+6,1.114e-10
252.643,3.852e+5,2.275e-9,3.852e+5,1.113e-10
252.648,1.008e+5,2.474e-8,1.008e+5,1.112e-10
252.653,2.440e+4,2.487e-7,2.440e+4,1.111e-10
252.658,5.460e+3,2.313e-6,5.460e+3,1.109e-10
252.663,1.130e+3,1.989e-5,1.130e+3,1.108e-10
252.668,2.161e+2,1.581e-4,2.161e+2,1.107e-10
252.673,3.822e+1,1.163e-3,3.822e+1,1.106e-10
252.678,6.258e+0,7.905e-3,6.250e+0,1.104e-10
252.683,9.947e-1,4.970e-2,9.450e-1,1.103e-10
252.688,4.211e-1,2.890e-1,1.321e-1,1.102e-10
252.693,1.571e+0,1.554e+0,1.708e-2,1.101e-10
252.698,7.729e+0,7.727e+0,2.041e-3,1.099e-10
252.703,3.553e+1,3.553e+1,2.256e-4,1.098e-10
252.708,1.511e+2,1.511e+2,2.305e-5,1.097e-10
252.713,5.941e+2,5.941e+2,2.178e-6,1.096e-10
252.718,2.160e+3,2.160e+3,1.902e-7,1.095e-10
252.723,7.263e+3,7.263e+3,1.536e-8,1.093e-10
252.728,2.259e+4,2.259e+4,1.467e-8,1.092e-10
252.733,6.494e+4,6.494e+4,1.397e-8,1.091e-10
252.738,1.727e+5,1.727e+5,1.327e-8,1.090e-10
252.743,4.246e+5,4.246e+5,1.257e-8,1.088e-10
252.748,9.656e+5,9.656e+5,1.188e-8,1.087e-10
252.753,2.030e+6,2.030e+6,1.118e-8,1.086e-10
252.758,3.948e+6,3.948e+6,1.048e-8,1.085e-10
252.763,7.100e+6,7.100e+6,9.785e-9,1.083e-10
252.768,1.181e+7,1.181e+7,9.088e-9,1.082e-10
252.773,1.816e+7,1.816e+7,8.391e-9,1.081e-10
252.778,2.582e+7,2.582e+7,7.694e-9,1.080e-10
252.783,3.395e+7,3.395e+7,6.997e-9,1.079e-10
252.788,4.128e+7,4.128e+7,6.299e-9,1.077e-10
252.793,4.642e+7,4.642e+7,5.602e-9,1.076e-10
252.798,4.828e+7,4.828e+7,4.905e-9,1.075e-10
252.803,4.642e+7,4.642e+7,4.208e-9,1.074e-10
252.808,4.128e+7,4.128e+7,3.511e-9,1.072e-10
252.813,3.395e+7,3.395e+7,2.813e-9,1.071e-10
252.818,2.582e+7,2.582e+7,3.401e-8,1.070e-10
252.823,1.816e+7,1.816e+7,3.803e-7,1.069e-10
252.828,1.181e+7,1.181e+7,3.932e-6,1.067e-10
252.833,7.100e+6,7.100e+6,3.761e-5,1.066e-10
252.838,3.948e+6,3.948e+6,3.326e-4,1.065e-10
252.843,2.030e+6,2.030e+6,2.721e-3,1.064e-10
252.848,9.656e+5,9.656e+5,2.058e-2,1.063e-10
252.853,4.246e+5,4.246e+5,1.440e-1,1.061e-10
252.858,1.727e+5,1.727e+5,9.319e-1,1.060e-10
252.863,6.495e+4,6.494e+4,5.577e+0,1.059e-10
252.868,2.262e+4,2.259e+4,3.087e+1,1.058e-10
252.873,7.422e+3,7.264e+3,1.580e+2,1.056e-10
252.878,2.910e+3,2.162e+3,7.480e+2,1.055e-10
252.883,3.878e+3,6.029e+2,3.275e+3,1.054e-10
252.888,1.345e+4,1.943e+2,1.326e+4,1.053e-10
252.893,4.989e+4,2.305e+2,4.966e+4,1.051e-10
252.898,1.728e+5,8.223e+2,1.720e+5,1.050e-10
252.903,5.541e+5,3.149e+3,5.509e+5,1.049e-10
252.908,1.643e+6,1.124e+4,1.632e+6,1.048e-10
252.913,4.509e+6,3.716e+4,4.471e+6,1.047e-10
252.918,1.144e+7,1.136e+5,1.133e+7,1.045e-10
252.923,2.687e+7,3.210e+5,2.655e+7,1.044e-10
252.928,5.838e+7,8.390e+5,5.754e+7,1.043e-10
252.933,1.174e+8,2.028e+6,1.153e+8,1.042e-10
252.938,2.183e+8,4.535e+6,2.138e+8,1.040e-10
252.943,3.760e+8,9.378e+6,3.666e+8,1.039e-10
252.948,5.992e+8,1.794e+7,5.812e+8,1.038e-10
252.953,8.841e+8,3.173e+7,8.524e+8,1.037e-10
252.958,1.208e+9,5.190e+7,1.156e+9,1.035e-10
252.963,1.528e+9,7.852e+7,1.450e+9,1.034e-10
252.968,1.792e+9,1.099e+8,1.682e+9,1.033e-10
252.973,1.947e+9,1.422e+8,1.805e+9,1.032e-10
252.978,1.961e+9,1.702e+8,1.790e+9,1.031e-10
252.983,1.831e+9,1.883e+8,1.643e+9,1.029e-10
252.988,1.587e+9,1.928e+8,1.394e+9,1.028e-10
252.993,1.277e+9,1.826e+8,1.094e+9,1.027e-10
252.998,9.543e+8,1.598e+8,7.945e+8,1.026e-10
253.003,6.628e+8,1.295e+8,5.334e+8,1.024e-10
253.007,4.699e+8,1.034e+8,3.666e+8,1.023e-10
253.012,2.865e+8,7.273e+7,2.138e+8,1.022e-10
253.017,1.627e+8,4.733e+7,1.153e+8,1.021e-10
253.022,8.603e+7,2.848e+7,5.754e+7,1.020e-10
253.027,4.241e+7,1.585e+7,2.655e+7,1.018e-10
253.032,1.951e+7,8.161e+6,1.135e+7,1.017e-10
253.037,8.431e+6,3.885e+6,4.546e+6,1.016e-10
253.042,3.626e+6,1.711e+6,1.915e+6,1.015e-10
253.047,2.243e+6,6.966e+5,1.546e+6,1.014e-10
253.052,3.668e+6,2.624e+5,3.405e+6,1.012e-10
253.057,9.857e+6,9.139e+4,9.766e+6,1.011e-10
253.062,2.705e+7,2.944e+4,2.702e+7,1.010e-10
253.067,6.944e+7,8.771e+3,6.943e+7,1.009e-10
253.072,1.651e+8,2.417e+3,1.651e+8,1.007e-10
253.077,3.631e+8,6.159e+2,3.631e+8,1.006e-10
253.082,7.387e+8,1.452e+2,7.386e+8,1.005e-10
253.087,1.390e+9,3.164e+1,1.390e+9,1.004e-10
253.092,2.419e+9,6.378e+0,2.419e+9,1.003e-10
253.097,3.893e+9,1.189e+0,3.893e+9,1.001e-10
253.102,5.796e+9,2.051e-1,5.796e+9,1.000e-10
253.107,7.982e+9,3.270e-2,7.982e+9,9.988e-11
253.112,1.017e+10,4.823e-3,1.017e+10,9.976e-11
253.117,1.198e+10,6.579e-4,1.198e+10,9.964e-11
253.122,1.305e+10,8.300e-5,1.305e+10,9.951e-11
253.127,1.315e+10,9.684e-6,1.315e+10,9.939e-11
253.132,1.226e+10,1.045e-6,1.226e+10,9.927e-11
253.137,1.057e+10,1.043e-7,1.057e+10,9.914e-11
253.142,8.430e+9,9.626e-9,8.430e+9,9.902e-11
253.147,6.218e+9,8.217e-10,6.218e+9,9.890e-11
253.152,4.242e+9,8.175e-10,4.242e+9,9.877e-11
253.157,2.677e+9,8.134e-10,2.677e+9,9.865e-11
253.162,1.562e+9,8.092e-10,1.562e+9,9.853e-11
253.167,8.434e+8,8.051e-10,8.434e+8,9.840e-11
253.172,4.211e+8,8.009e-10,4.211e+8,9.828e-11
253.177,1.945e+8,7.967e-10,1.945e+8,9.816e-11
253.182,8.308e+7,7.926e-10,8.308e+7,9.804e-11
253.187,3.282e+7,7.884e-10,3.282e+7,9.791e-11
253.192,1.199e+7,7.843e-10,1.199e+7,9.779e-11
253.197,4.054e+6,7.801e-10,4.054e+6,9.767e-11
253.202,1.267e+6,7.760e-10,1.267e+6,9.754e-11
253.207,3.665e+5,7.718e-10,3.665e+5,9.742e-11
253.212,9.802e+4,7.676e-10,9.802e+4,9.730e-11
253.217,2.425e+4,7.635e-10,2.425e+4,9.717e-11
253.222,5.548e+3,7.593e-10,5.548e+3,9.705e-11
253.227,1.174e+3,7.552e-10,1.174e+3,9.693e-11
253.232,2.298e+2,7.510e-10,2.298e+2,9.681e-11
253.237,4.161e+1,7.469e-10,4.161e+1,9.668e-11
253.242,6.967e+0,7.427e-10,6.967e+0,9.656e-11
253.247,1.079e+0,7.385e-10,1.079e+0,9.644e-11
253.252,1.546e-1,7.344e-10,1.546e-1,9.631e-11
253.257,2.048e-2,7.302e-10,2.048e-2,9.619e-11
253.262,2.510e-3,7.261e-10,2.510e-3,9.607e-11
253.267,2.846e-4,7.219e-10,2.846e-4,9.594e-11
253.272,2.984e-5,7.178e-10,2.984e-5,9.582e-11
253.277,2.893e-6,7.136e-10,2.893e-6,9.570e-11
253.282,2.595e-7,7.094e-10,2.595e-7,9.557e-11
253.287,2.153e-8,7.053e-10,2.153e-8,9.545e-11
253.297,2.810e-9,6.970e-10,2.810e-9,9.521e-11
253.302,3.526e-8,6.928e-10,3.526e-8,9.508e-11
253.307,4.092e-7,6.887e-10,4.092e-7,9.496e-11
253.312,4.394e-6,6.845e-10,4.394e-6,9.484e-11
253.317,4.365e-5,6.803e-10,4.365e-5,9.471e-11
253.322,4.012e-4,6.762e-10,4.012e-4,9.459e-11
253.327,3.411e-3,6.720e-10,3.411e-3,9.447e-11
253.332,2.683e-2,6.679e-10,2.683e-2,9.434e-11
253.337,1.952e-1,6.637e-10,1.952e-1,9.422e-11
253.342,1.314e+0,6.596e-10,1.314e+0,9.410e-11
253.347,8.184e+0,6.554e-10,8.184e+0,9.398e-11
253.352,4.715e+1,6.512e-10,4.715e+1,9.385e-11
253.357,2.513e+2,6.471e-10,2.513e+2,9.373e-11
253.362,1.239e+3,6.429e-10,1.239e+3,9.361e-11
253.367,5.653e+3,6.388e-10,5.653e+3,9.348e-11
253.372,2.385e+4,6.346e-10,2.385e+4,9.336e-11
253.377,9.313e+4,6.305e-10,9.313e+4,9.324e-11
253.382,3.364e+5,6.263e-10,3.364e+5,9.311e-11
253.387,1.124e+6,6.221e-10,1.124e+6,9.299e-11
253.392,3.474e+6,6.180e-10,3.474e+6,9.287e-11
253.397,9.934e+6,6.138e-10,9.934e+6,9.275e-11
253.402,2.628e+7,6.097e-10,2.628e+7,9.262e-11
253.407,6.432e+7,6.055e-10,6.432e+7,9.250e-11
253.412,1.456e+8,6.014e-10,1.456e+8,9.238e-11
253.417,3.051e+8,5.972e-10,3.051e+8,9.225e-11
253.422,5.911e+8,5.930e-10,5.911e+8,9.213e-11
253.427,1.060e+9,5.889e-10,1.060e+9,9.201e-11
253.432,1.758e+9,5.847e-10,1.758e+9,9.188e-11
253.437,2.697e+9,5.806e-10,2.697e+9,9.176e-11
253.442,3.828e+9,5.764e-10,3.828e+9,9.164e-11
253.447,5.026e+9,5.723e-10,5.026e+9,9.151e-11
253.452,6.105e+9,5.681e-10,6.105e+9,9.139e-11
253.457,6.862e+9,5.639e-10,6.862e+9,9.127e-11
253.462,7.134e+9,5.598e-10,7.134e+9,9.115e-11
253.467,6.862e+9,5.556e-10,6.862e+9,9.102e-11
253.472,6.105e+9,5.515e-10,6.105e+9,9.090e-11
253.477,5.026e+9,5.473e-10,5.026e+9,9.078e-11
253.482,3.828e+9,5.432e-10,3.828e+9,9.065e-11
253.487,2.697e+9,5.390e-10,2.697e+9,9.053e-11
253.492,1.758e+9,5.348e-10,1.758e+9,9.041e-11
253.497,1.060e+9,5.307e-10,1.060e+9,9.028e-11
253.502,5.912e+8,5.265e-10,5.912e+8,9.016e-11
253.507,3.053e+8,5.224e-10,3.053e+8,9.004e-11
253.512,1.466e+8,5.182e-10,1.466e+8,8.992e-11
253.517,6.724e+7,5.141e-10,6.724e+7,8.979e-11
253.522,3.461e+7,5.099e-10,3.461e+7,8.967e-11
253.527,3.194e+7,5.057e-10,3.194e+7,8.955e-11
253.532,5.729e+7,5.016e-10,5.729e+7,8.942e-11
253.537,1.229e+8,4.974e-10,1.229e+8,8.930e-11
253.542,2.552e+8,4.933e-10,2.552e+8,8.918e-11
253.547,4.936e+8,4.891e-10,4.936e+8,8.905e-11
253.552,8.841e+8,4.850e-10,8.841e+8,8.893e-11
253.557,1.466e+9,4.808e-10,1.466e+9,8.881e-11
253.562,2.248e+9,4.766e-10,2.248e+9,8.869e-11
253.567,3.189e+9,4.725e-10,3.189e+9,8.856e-11
253.572,4.187e+9,4.683e-10,4.187e+9,8.844e-11
253.577,5.085e+9,4.642e-10,5.085e+9,8.832e-11
253.582,5.714e+9,4.600e-10,5.714e+9,8.819e-11
253.587,5.940e+9,4.559e-10,5.940e+9,8.807e-11
253.592,5.714e+9,4.517e-10,5.714e+9,8.795e-11
253.597,5.085e+9,4.475e-10,5.085e+9,8.782e-11
253.602,4.187e+9,4.434e-10,4.187e+9,8.770e-11
253.607,3.189e+9,4.392e-10,3.189e+9,8.758e-11
253.612,2.248e+9,4.351e-10,2.248e+9,8.745e-11
253.617,1.466e+9,4.309e-10,1.466e+9,8.733e-11
253.622,8.841e+8,4.268e-10,8.841e+8,8.721e-11
253.627,4.935e+8,4.226e-10,4.935e+8,8.709e-11
253.632,2.548e+8,4.184e-10,2.548e+8,8.696e-11
253.637,1.217e+8,4.143e-10,1.217e+8,8.684e-11
253.642,5.381e+7,4.101e-10,5.381e+7,8.672e-11
253.647,2.201e+7,4.060e-10,2.201e+7,8.659e-11
253.652,8.326e+6,4.018e-10,8.326e+6,8.647e-11
253.657,2.915e+6,3.977e-10,2.915e+6,8.635e-11
253.662,9.440e+5,3.935e-10,9.440e+5,8.622e-11
253.667,2.829e+5,3.893e-10,2.829e+5,8.610e-11
253.672,7.841e+4,3.852e-10,7.841e+4,8.598e-11
253.677,2.011e+4,3.810e-10,2.011e+4,8.586e-11
253.682,4.773e+3,3.769e-10,4.773e+3,8.573e-11
253.687,1.048e+3,3.727e-10,1.048e+3,8.561e-11
253.692,2.128e+2,3.686e-10,2.128e+2,8.549e-11
253.697,4.000e+1,3.644e-10,4.000e+1,8.536e-11
253.702,6.955e+0,3.602e-10,6.955e+0,8.524e-11
253.707,1.119e+0,3.561e-10,1.119e+0,8.512e-11
253.712,1.665e-1,3.519e-10,1.665e-1,8.499e-11
253.717,2.293e-2,3.478e-10,2.293e-2,8.487e-11
253.722,2.921e-3,3.436e-10,2.921e-3,8.475e-11
253.727,3.443e-4,3.395e-10,3.443e-4,8.462e-11
253.732,3.754e-5,3.353e-10,3.754e-5,8.450e-11
253.737,3.788e-6,3.311e-10,3.788e-6,8.438e-11
253.742,3.536e-7,3.270e-10,3.536e-7,8.426e-11
253.747,3.054e-8,3.228e-10,3.054e-8,8.413e-11
254.026,9.086e-11,9.086e-11,2.769e-8,7.727e-11
254.031,1.141e-9,1.141e-9,2.764e-8,7.714e-11
254.036,1.326e-8,1.326e-8,2.759e-8,7.702e-11
254.041,1.427e-7,1.427e-7,2.754e-8,7.690e-11
254.046,1.421e-6,1.421e-6,2.749e-8,7.678e-11
254.051,1.309e-5,1.309e-5,2.743e-8,7.665e-11
254.056,1.117e-4,1.117e-4,2.738e-8,7.653e-11
254.061,8.816e-4,8.816e-4,2.733e-8,7.641e-11
254.066,6.441e-3,6.441e-3,2.728e-8,7.628e-11
254.071,4.356e-2,4.356e-2,2.723e-8,7.616e-11
