Wavelength (nm),Sum(calc),Ti I (1.8e-2),Ti II (9.6e-1),Ti III (2.1e-2)
209.821,1.846e-3,,,1.846e-3
209.826,2.204e-4,,,2.204e-4
209.831,2.348e-5,,,2.348e-5
209.836,2.232e-6,,,2.232e-6
209.841,1.894e-7,,,1.894e-7
209.846,1.435e-8,,,1.435e-8
209.851,9.704e-10,,,9.704e-10
209.856,6.199e-11,,,6.199e-11
209.861,6.522e-11,,,6.522e-11
209.866,9.987e-10,,,9.987e-10
209.871,1.434e-8,,,1.434e-8
209.876,1.840e-7,,,1.840e-7
209.881,2.106e-6,,,2.106e-6
209.886,2.153e-5,,,2.153e-5
209.891,1.965e-4,,,1.965e-4
209.896,1.601e-3,,,1.601e-3
209.901,1.165e-2,,,1.165e-2
209.906,7.565e-2,,,7.565e-2
209.911,4.387e-1,,,4.387e-1
209.916,2.271e+0,,,2.271e+0
209.921,1.050e+1,,,1.050e+1
209.925,3.292e+1,,,3.292e+1
209.930,1.241e+2,,,1.241e+2
209.935,4.174e+2,,,4.174e+2
209.940,1.254e+3,,,1.254e+3
209.945,3.363e+3,,,3.363e+3
209.950,8.052e+3,,,8.052e+3
209.955,1.721e+4,,,1.721e+4
209.960,3.285e+4,,,3.285e+4
209.965,5.598e+4,,,5.598e+4
209.970,8.515e+4,,,8.515e+4
209.975,1.157e+5,,,1.157e+5
209.980,1.402e+5,,,1.402e+5
209.985,1.518e+5,,,1.518e+5
209.990,1.468e+5,,,1.468e+5
209.995,1.266e+5,,,1.266e+5
210.000,9.757e+4,,,9.757e+4
210.005,6.711e+4,,,6.711e+4
210.010,4.121e+4,,,4.121e+4
210.015,2.260e+4,,,2.260e+4
210.020,1.106e+4,,,1.106e+4
210.025,4.834e+3,,,4.834e+3
210.030,1.886e+3,,,1.886e+3
210.035,6.570e+2,,,6.570e+2
210.040,2.043e+2,,,2.043e+2
210.045,5.673e+1,,,5.673e+1
210.050,1.406e+1,,,1.406e+1
210.055,3.112e+0,,,3.112e+0
