Wavelength (nm),Sum(calc),Cr I (2.7e-2),Cr II (9.7e-1)
476.010,8.476e-6,8.476e-6,
476.015,2.765e-6,2.765e-6,
476.020,8.823e-7,8.823e-7,
476.025,2.754e-7,2.754e-7,
476.030,8.397e-8,8.397e-8,
476.035,2.508e-8,2.508e-8,
476.040,7.328e-9,7.328e-9,
476.046,1.626e-9,1.626e-9,
476.051,4.525e-10,4.525e-10,
476.133,7.656e-10,7.656e-10,
476.138,2.790e-9,2.790e-9,
476.143,9.944e-9,9.944e-9,
476.148,3.467e-8,3.467e-8,
476.153,1.183e-7,1.183e-7,
476.158,3.946e-7,3.946e-7,
476.163,1.288e-6,1.288e-6,
476.168,4.112e-6,4.112e-6,
476.174,1.608e-5,1.608e-5,
476.179,4.892e-5,4.892e-5,
476.184,1.456e-4,1.456e-4,
476.189,4.237e-4,4.237e-4,
476.194,1.206e-3,1.206e-3,
476.199,3.360e-3,3.360e-3,
476.204,9.153e-3,9.153e-3,
476.209,2.439e-2,2.439e-2,
476.215,7.683e-2,7.683e-2,
476.220,1.951e-1,1.951e-1,
476.225,4.845e-1,4.845e-1,
476.230,1.177e+0,1.177e+0,
476.235,2.798e+0,2.798e+0,
476.240,6.504e+0,6.504e+0,
476.245,1.479e+1,1.479e+1,
476.250,3.291e+1,3.291e+1,
476.256,8.344e+1,8.344e+1,
476.261,1.768e+2,1.768e+2,
476.266,3.667e+2,3.667e+2,
476.271,7.436e+2,7.436e+2,
476.276,1.475e+3,1.475e+3,
476.281,2.863e+3,2.863e+3,
476.286,5.435e+3,5.435e+3,
476.291,1.009e+4,1.009e+4,
476.297,2.061e+4,2.061e+4,
476.302,3.646e+4,3.646e+4,
476.307,6.309e+4,6.309e+4,
476.312,1.068e+5,1.068e+5,
476.317,1.769e+5,1.769e+5,
476.322,2.865e+5,2.865e+5,
476.327,4.541e+5,4.541e+5,
476.332,7.039e+5,7.039e+5,
476.337,1.067e+6,1.067e+6,
476.343,1.709e+6,1.709e+6,
476.348,2.468e+6,2.468e+6,
476.353,3.488e+6,3.488e+6,
476.358,4.822e+6,4.822e+6,
476.363,6.521e+6,6.521e+6,
476.368,8.626e+6,8.626e+6,
476.373,1.116e+7,1.116e+7,
476.378,1.413e+7,1.413e+7,
476.384,1.821e+7,1.821e+7,
476.389,2.196e+7,2.196e+7,
476.394,2.590e+7,2.590e+7,
476.399,2.989e+7,2.989e+7,
476.404,3.374e+7,3.374e+7,
476.409,3.726e+7,3.726e+7,
476.414,4.024e+7,4.024e+7,
476.419,4.252e+7,4.252e+7,
476.425,4.413e+7,4.413e+7,
476.430,4.442e+7,4.442e+7,
476.435,4.374e+7,4.374e+7,
476.440,4.213e+7,4.213e+7,
476.445,3.970e+7,3.970e+7,
476.450,3.659e+7,3.659e+7,
476.455,3.299e+7,3.299e+7,
476.460,2.910e+7,2.910e+7,
476.466,2.431e+7,2.431e+7,
476.471,2.043e+7,2.043e+7,
476.476,1.679e+7,1.679e+7,
476.481,1.350e+7,1.350e+7,
476.486,1.062e+7,1.062e+7,
476.491,8.171e+6,8.171e+6,
476.496,6.150e+6,6.150e+6,
476.501,4.528e+6,4.528e+6,
476.506,3.261e+6,3.261e+6,
476.512,2.136e+6,2.136e+6,
476.517,1.466e+6,1.466e+6,
476.522,9.838e+5,9.838e+5,
476.527,6.460e+5,6.460e+5,
476.532,4.149e+5,4.149e+5,
476.537,2.607e+5,2.607e+5,
476.542,1.602e+5,1.602e+5,
476.547,9.631e+4,9.631e+4,
476.553,5.080e+4,5.080e+4,
476.558,2.909e+4,2.909e+4,
476.563,1.630e+4,1.630e+4,
476.568,8.934e+3,8.934e+3,
476.573,4.790e+3,4.790e+3,
476.578,2.512e+3,2.512e+3,
476.583,1.289e+3,1.289e+3,
476.588,6.475e+2,6.475e+2,
476.594,2.768e+2,2.768e+2,
476.599,1.364e+2,1.364e+2,
476.604,7.281e+1,7.281e+1,
476.609,5.320e+1,5.320e+1,
476.614,6.667e+1,6.667e+1,
476.619,1.195e+2,1.195e+2,
476.624,2.375e+2,2.375e+2,
476.629,4.752e+2,4.752e+2,
476.635,1.070e+3,1.070e+3,
476.640,2.055e+3,2.055e+3,
476.645,3.863e+3,3.863e+3,
476.650,7.104e+3,7.104e+3,
476.655,1.278e+4,1.278e+4,
476.660,2.249e+4,2.249e+4,
476.665,3.873e+4,3.873e+4,
476.670,6.522e+4,6.522e+4,
476.675,1.075e+5,1.075e+5,
476.681,1.900e+5,1.900e+5,
476.686,2.983e+5,2.983e+5,
476.691,4.580e+5,4.580e+5,
476.696,6.881e+5,6.881e+5,
476.701,1.011e+6,1.011e+6,
476.706,1.453e+6,1.453e+6,
476.711,2.044e+6,2.044e+6,
476.716,2.812e+6,2.812e+6,
476.722,4.005e+6,4.005e+6,
476.727,5.249e+6,5.249e+6,
476.732,6.730e+6,6.730e+6,
476.737,8.441e+6,8.441e+6,
476.742,1.036e+7,1.036e+7,
476.747,1.243e+7,1.243e+7,
476.752,1.460e+7,1.460e+7,
476.757,1.677e+7,1.677e+7,
476.763,1.923e+7,1.923e+7,
476.768,2.105e+7,2.105e+7,
476.773,2.253e+7,2.253e+7,
476.778,2.360e+7,2.360e+7,
476.783,2.418e+7,2.418e+7,
476.788,2.423e+7,2.423e+7,
476.793,2.375e+7,2.375e+7,
476.798,2.278e+7,2.278e+7,
476.804,2.105e+7,2.105e+7,
476.809,1.923e+7,1.923e+7,
476.814,1.719e+7,1.719e+7,
476.819,1.503e+7,1.503e+7,
476.824,1.286e+7,1.286e+7,
476.829,1.076e+7,1.076e+7,
476.834,8.809e+6,8.809e+6,
476.839,7.054e+6,7.054e+6,
476.844,5.526e+6,5.526e+6,
476.850,4.005e+6,4.005e+6,
476.855,2.989e+6,2.989e+6,
476.860,2.182e+6,2.182e+6,
476.865,1.559e+6,1.559e+6,
476.870,1.089e+6,1.089e+6,
476.875,7.444e+5,7.444e+5,
476.880,4.978e+5,4.978e+5,
476.885,3.256e+5,3.256e+5,
476.891,1.900e+5,1.900e+5,
476.896,1.184e+5,1.184e+5,
476.901,7.220e+4,7.220e+4,
476.906,4.306e+4,4.306e+4,
476.911,2.512e+4,2.512e+4,
476.916,1.434e+4,1.434e+4,
476.921,8.004e+3,8.004e+3,
476.926,4.371e+3,4.371e+3,
476.932,2.055e+3,2.055e+3,
476.937,1.069e+3,1.069e+3,
476.942,5.443e+2,5.443e+2,
476.947,2.710e+2,2.710e+2,
476.952,1.320e+2,1.320e+2,
476.957,6.291e+1,6.291e+1,
476.962,2.933e+1,2.933e+1,
476.967,1.337e+1,1.337e+1,
476.973,5.063e+0,5.063e+0,
476.978,2.200e+0,2.200e+0,
476.983,9.350e-1,9.350e-1,
476.988,3.887e-1,3.887e-1,
476.993,1.581e-1,1.581e-1,
476.998,6.291e-2,6.291e-2,
477.003,2.449e-2,2.449e-2,
477.008,9.324e-3,9.324e-3,
477.013,3.473e-3,3.473e-3,
477.019,1.031e-3,1.031e-3,
477.024,3.660e-4,3.660e-4,
477.029,1.271e-4,1.271e-4,
477.034,4.315e-5,4.315e-5,
477.039,1.434e-5,1.434e-5,
477.044,4.659e-6,4.659e-6,
477.049,1.481e-6,1.481e-6,
477.054,4.607e-7,4.607e-7,
477.060,1.102e-7,1.102e-7,
477.065,3.265e-8,3.265e-8,
477.070,9.464e-9,9.464e-9,
477.075,2.684e-9,2.684e-9,
477.080,7.445e-10,7.445e-10,
478.637,2.576e-9,2.576e-9,
478.642,9.260e-9,9.260e-9,
478.647,3.257e-8,3.257e-8,
478.652,1.121e-7,1.121e-7,
478.657,3.775e-7,3.775e-7,
478.663,1.575e-6,1.575e-6,
478.668,5.054e-6,5.054e-6,
478.673,1.587e-5,1.587e-5,
478.678,4.878e-5,4.878e-5,
478.683,1.466e-4,1.466e-4,
478.688,4.314e-4,4.314e-4,
478.693,1.242e-3,1.242e-3,
478.698,3.497e-3,3.497e-3,
478.704,1.177e-2,1.177e-2,
478.709,3.160e-2,3.160e-2,
478.714,8.299e-2,8.299e-2,
478.719,2.133e-1,2.133e-1,
478.724,5.363e-1,5.363e-1,
478.729,1.319e+0,1.319e+0,
478.734,3.176e+0,3.176e+0,
478.739,7.481e+0,7.481e+0,
478.744,1.724e+1,1.724e+1,
478.750,4.562e+1,4.562e+1,
478.755,1.002e+2,1.002e+2,
478.760,2.154e+2,2.154e+2,
478.765,4.529e+2,4.529e+2,
478.770,9.318e+2,9.318e+2,
478.775,1.876e+3,1.876e+3,
478.780,3.695e+3,3.695e+3,
478.785,7.122e+3,7.122e+3,
478.791,1.521e+4,1.521e+4,
478.796,2.793e+4,2.793e+4,
478.801,5.021e+4,5.021e+4,
478.806,8.831e+4,8.831e+4,
478.811,1.520e+5,1.520e+5,
478.816,2.558e+5,2.558e+5,
478.821,4.215e+5,4.215e+5,
478.826,6.793e+5,6.793e+5,
478.832,1.171e+6,1.171e+6,
478.837,1.798e+6,1.798e+6,
478.842,2.703e+6,2.703e+6,
478.847,3.976e+6,3.976e+6,
478.852,5.722e+6,5.722e+6,
478.857,8.057e+6,8.057e+6,
478.862,1.110e+7,1.110e+7,
478.867,1.496e+7,1.496e+7,
478.873,2.081e+7,2.081e+7,
478.878,2.673e+7,2.673e+7,
478.883,3.361e+7,3.361e+7,
478.888,4.134e+7,4.134e+7,
478.893,4.976e+7,4.976e+7,
478.898,5.860e+7,5.860e+7,
478.903,6.751e+7,6.751e+7,
478.908,7.611e+7,7.611e+7,
478.914,8.540e+7,8.540e+7,
478.919,9.177e+7,9.177e+7,
478.924,9.649e+7,9.649e+7,
478.929,9.926e+7,9.926e+7,
478.934,9.991e+7,9.991e+7,
478.939,9.840e+7,9.840e+7,
478.944,9.482e+7,9.482e+7,
478.949,8.940e+7,8.940e+7,
478.954,8.247e+7,8.247e+7,
478.960,7.274e+7,7.274e+7,
478.965,6.396e+7,6.396e+7,
478.970,5.503e+7,5.503e+7,
478.975,4.632e+7,4.632e+7,
478.980,3.816e+7,3.816e+7,
478.985,3.075e+7,3.075e+7,
478.990,2.425e+7,2.425e+7,
478.995,1.871e+7,1.871e+7,
479.001,1.331e+7,1.331e+7,
479.006,9.791e+6,9.791e+6,
479.011,7.045e+6,7.045e+6,
479.016,4.960e+6,4.960e+6,
479.021,3.416e+6,3.416e+6,
479.026,2.303e+6,2.303e+6,
479.031,1.519e+6,1.519e+6,
479.036,9.798e+5,9.798e+5,
479.042,5.627e+5,5.627e+5,
479.047,3.461e+5,3.461e+5,
479.052,2.083e+5,2.083e+5,
479.057,1.226e+5,1.226e+5,
479.062,7.065e+4,7.065e+4,
479.067,3.984e+4,3.984e+4,
479.072,2.201e+4,2.201e+4,
479.077,1.196e+4,1.196e+4,
479.083,5.762e+3,5.762e+3,
479.088,3.381e+3,3.381e+3,
479.093,2.539e+3,2.539e+3,
479.098,2.900e+3,2.900e+3,
479.103,4.573e+3,4.573e+3,
479.108,8.139e+3,8.139e+3,
479.113,1.479e+4,1.479e+4,
479.118,2.657e+4,2.657e+4,
479.123,4.686e+4,4.686e+4,
479.129,9.002e+4,9.002e+4,
479.134,1.514e+5,1.514e+5,
479.139,2.493e+5,2.493e+5,
479.144,4.016e+5,4.016e+5,
479.149,6.330e+5,6.330e+5,
479.154,9.762e+5,9.762e+5,
479.159,1.473e+6,1.473e+6,
479.164,2.175e+6,2.175e+6,
479.170,3.373e+6,3.373e+6,
479.175,4.748e+6,4.748e+6,
479.180,6.538e+6,6.538e+6,
479.185,8.810e+6,8.810e+6,
479.190,1.162e+7,1.162e+7,
479.195,1.499e+7,1.499e+7,
479.200,1.892e+7,1.892e+7,
479.205,2.336e+7,2.336e+7,
479.211,2.925e+7,2.925e+7,
479.216,3.444e+7,3.444e+7,
479.221,3.967e+7,3.967e+7,
479.226,4.472e+7,4.472e+7,
479.231,4.932e+7,4.932e+7,
479.236,5.322e+7,5.322e+7,
479.241,5.620e+7,5.620e+7,
479.246,5.806e+7,5.806e+7,
479.252,5.867e+7,5.867e+7,
479.257,5.779e+7,5.779e+7,
479.262,5.569e+7,5.569e+7,
479.267,5.251e+7,5.251e+7,
479.272,4.845e+7,4.845e+7,
479.277,4.373e+7,4.373e+7,
479.282,3.863e+7,3.863e+7,
479.287,3.339e+7,3.339e+7,
479.292,2.823e+7,2.823e+7,
479.298,2.244e+7,2.244e+7,
479.303,1.809e+7,1.809e+7,
479.308,1.427e+7,1.427e+7,
479.313,1.101e+7,1.101e+7,
479.318,8.314e+6,8.314e+6,
479.323,6.144e+6,6.144e+6,
479.328,4.442e+6,4.442e+6,
479.333,3.142e+6,3.142e+6,
479.339,2.015e+6,2.015e+6,
479.344,1.359e+6,1.359e+6,
479.349,8.967e+5,8.967e+5,
479.354,5.789e+5,5.789e+5,
479.359,3.657e+5,3.657e+5,
479.364,2.261e+5,2.261e+5,
479.369,1.367e+5,1.367e+5,
479.374,8.090e+4,8.090e+4,
479.380,4.189e+4,4.189e+4,
479.385,2.363e+4,2.363e+4,
479.390,1.304e+4,1.304e+4,
479.395,7.043e+3,7.043e+3,
479.400,3.722e+3,3.722e+3,
479.405,1.924e+3,1.924e+3,
479.410,9.738e+2,9.738e+2,
479.415,4.826e+2,4.826e+2,
479.421,2.031e+2,2.031e+2,
479.426,9.899e+1,9.899e+1,
479.431,5.278e+1,5.278e+1,
479.436,3.941e+1,3.941e+1,
479.441,5.095e+1,5.095e+1,
479.446,9.271e+1,9.271e+1,
479.451,1.850e+2,1.850e+2,
479.456,3.707e+2,3.707e+2,
479.461,7.309e+2,7.309e+2,
479.467,1.606e+3,1.606e+3,
479.472,3.024e+3,3.024e+3,
479.477,5.569e+3,5.569e+3,
479.482,1.004e+4,1.004e+4,
479.487,1.770e+4,1.770e+4,
479.492,3.054e+4,3.054e+4,
479.497,5.157e+4,5.157e+4,
479.502,8.521e+4,8.521e+4,
479.508,1.512e+5,1.512e+5,
479.513,2.382e+5,2.382e+5,
479.518,3.671e+5,3.671e+5,
479.523,5.537e+5,5.537e+5,
479.528,8.170e+5,8.170e+5,
479.533,1.180e+6,1.180e+6,
479.538,1.667e+6,1.667e+6,
479.543,2.304e+6,2.304e+6,
479.549,3.302e+6,3.302e+6,
479.554,4.352e+6,4.352e+6,
479.559,5.613e+6,5.613e+6,
479.564,7.082e+6,7.082e+6,
479.569,8.745e+6,8.745e+6,
479.574,1.057e+7,1.057e+7,
479.579,1.249e+7,1.249e+7,
479.584,1.445e+7,1.445e+7,
479.590,1.672e+7,1.672e+7,
479.595,1.844e+7,1.844e+7,
479.600,1.990e+7,1.990e+7,
479.605,2.101e+7,2.101e+7,
479.610,2.170e+7,2.170e+7,
479.615,2.194e+7,2.194e+7,
479.620,2.170e+7,2.170e+7,
479.625,2.101e+7,2.101e+7,
479.630,1.990e+7,1.990e+7,
479.636,1.811e+7,1.811e+7,
479.641,1.635e+7,1.635e+7,
479.646,1.445e+7,1.445e+7,
479.651,1.249e+7,1.249e+7,
479.656,1.057e+7,1.057e+7,
479.661,8.745e+6,8.745e+6,
479.666,7.082e+6,7.082e+6,
479.671,5.613e+6,5.613e+6,
479.677,4.126e+6,4.126e+6,
479.682,3.117e+6,3.117e+6,
479.687,2.304e+6,2.304e+6,
479.692,1.667e+6,1.667e+6,
479.697,1.180e+6,1.180e+6,
479.702,8.170e+5,8.170e+5,
479.707,5.537e+5,5.537e+5,
479.712,3.671e+5,3.671e+5,
479.718,2.179e+5,2.179e+5,
479.723,1.378e+5,1.378e+5,
479.728,8.521e+4,8.521e+4,
