Wavelength (nm),Au I (2.0e-01)
267.712,4.077e+2
267.717,7.578e+1
267.722,1.313e+1
267.727,2.123e+0
267.732,3.200e-1
267.737,4.497e-2
267.742,5.895e-3
267.747,7.206e-4
267.752,8.215e-5
267.757,8.733e-6
274.659,1.403e-6
274.664,1.222e-5
274.669,9.966e-5
274.674,7.606e-4
274.679,5.433e-3
274.684,3.632e-2
274.689,2.273e-1
274.694,1.331e+0
274.699,7.296e+0
274.704,3.743e+1
274.709,1.797e+2
274.714,8.076e+2
274.719,3.397e+3
274.724,1.337e+4
274.729,4.927e+4
274.734,1.699e+5
274.739,5.484e+5
274.744,1.657e+6
274.749,4.684e+6
274.754,1.240e+7
274.759,3.070e+7
274.764,7.116e+7
274.769,1.544e+8
274.774,3.135e+8
274.779,5.959e+8
274.784,1.060e+9
274.789,1.765e+9
274.794,2.750e+9
274.799,4.010e+9
274.804,5.474e+9
274.809,6.993e+9
274.814,8.361e+9
274.819,9.357e+9
274.824,9.801e+9
274.829,9.608e+9
274.834,8.816e+9
274.839,7.571e+9
274.844,6.085e+9
274.849,4.578e+9
274.854,3.223e+9
274.859,2.124e+9
274.864,1.310e+9
274.869,7.562e+8
274.874,4.086e+8
274.879,2.066e+8
274.884,9.778e+7
274.889,4.331e+7
274.894,1.796e+7
274.899,6.968e+6
274.904,2.531e+6
274.909,8.602e+5
274.914,2.737e+5
274.919,8.149e+4
274.924,2.271e+4
274.929,5.924e+3
274.934,1.446e+3
274.939,3.304e+2
274.944,7.067e+1
274.949,1.414e+1
274.954,2.650e+0
274.959,4.646e-1
274.964,7.624e-2
274.969,1.171e-2
274.974,1.683e-3
274.979,2.265e-4
274.984,2.852e-5
274.989,3.361e-6
312.091,3.216e-6
312.096,2.133e-5
312.101,1.344e-4
312.106,8.044e-4
312.111,4.574e-3
312.116,2.471e-2
312.121,1.268e-1
312.126,6.185e-1
312.131,2.865e+0
312.136,1.261e+1
312.141,5.271e+1
312.146,2.094e+2
312.151,7.900e+2
312.156,2.832e+3
312.161,9.645e+3
312.166,3.120e+4
312.171,9.591e+4
312.176,2.801e+5
312.181,7.769e+5
312.186,2.048e+6
312.191,5.127e+6
312.196,1.219e+7
312.201,2.756e+7
312.206,5.915e+7
312.211,1.206e+8
312.216,2.338e+8
312.221,4.303e+8
312.226,7.524e+8
312.231,1.250e+9
312.236,1.973e+9
312.241,2.958e+9
312.246,4.213e+9
312.251,5.702e+9
312.256,7.330e+9
312.261,8.953e+9
312.266,1.039e+10
312.271,1.145e+10
312.276,1.199e+10
312.281,1.193e+10
312.286,1.128e+10
312.291,1.013e+10
312.296,8.637e+9
312.301,7.000e+9
312.306,5.389e+9
312.311,3.942e+9
312.316,2.739e+9
312.321,1.808e+9
312.326,1.134e+9
312.331,6.756e+8
312.336,3.824e+8
312.341,2.056e+8
312.346,1.050e+8
312.351,5.098e+7
312.356,2.351e+7
312.361,1.030e+7
312.366,4.284e+6
312.371,1.694e+6
312.376,6.361e+5
312.381,2.270e+5
312.386,7.694e+4
312.391,2.478e+4
312.396,7.579e+3
312.401,2.203e+3
312.406,6.082e+2
312.411,1.595e+2
312.416,3.976e+1
312.421,9.413e+0
312.426,2.117e+0
312.431,4.524e-1
312.436,9.183e-2
312.441,1.771e-2
312.446,3.244e-3
312.451,5.647e-4
312.456,9.338e-5
312.461,1.467e-5
312.466,2.189e-6
331.817,1.615e-7
331.822,9.603e-7
331.827,5.456e-6
331.832,2.962e-5
331.837,1.537e-4
331.842,7.621e-4
331.847,3.612e-3
331.852,1.636e-2
331.857,7.078e-2
331.862,2.927e-1
331.867,1.157e+0
331.872,4.371e+0
331.877,1.578e+1
331.882,5.442e+1
331.888,2.265e+2
331.893,7.072e+2
331.898,2.110e+3
331.903,6.016e+3
331.908,1.639e+4
331.913,4.269e+4
331.918,1.062e+5
331.923,2.526e+5
331.928,5.742e+5
331.933,1.247e+6
331.938,2.588e+6
331.943,5.134e+6
331.948,9.732e+6
331.953,1.763e+7
331.958,3.052e+7
331.963,5.050e+7
331.968,7.984e+7
331.973,1.206e+8
331.978,1.742e+8
331.983,2.404e+8
331.988,3.170e+8
331.993,3.995e+8
331.998,4.812e+8
332.003,5.538e+8
332.008,6.092e+8
332.013,6.403e+8
332.018,6.432e+8
332.023,6.175e+8
332.028,5.665e+8
332.033,4.967e+8
332.038,4.162e+8
332.043,3.332e+8
332.048,2.550e+8
332.053,1.865e+8
332.058,1.303e+8
332.063,8.703e+7
332.068,5.555e+7
332.073,3.388e+7
332.078,1.975e+7
332.083,1.100e+7
332.088,5.856e+6
332.093,2.979e+6
332.098,1.448e+6
332.103,6.729e+5
332.108,2.988e+5
332.113,1.268e+5
332.118,5.141e+4
332.123,1.992e+4
332.128,7.378e+3
332.133,2.611e+3
332.138,8.832e+2
332.143,2.855e+2
332.148,8.818e+1
332.153,2.603e+1
332.158,7.343e+0
332.163,1.980e+0
332.168,5.100e-1
332.173,1.256e-1
332.178,2.955e-2
332.183,6.644e-3
332.188,1.428e-3
332.193,2.932e-4
332.198,5.754e-5
332.203,1.079e-5
332.208,1.934e-6
332.213,3.313e-7
332.218,5.424e-8
379.373,3.173e-7
379.378,1.497e-6
379.383,6.819e-6
379.388,3.000e-5
379.393,1.275e-4
379.398,5.235e-4
379.403,2.076e-3
379.408,7.950e-3
379.413,2.941e-2
379.418,1.051e-1
379.423,3.627e-1
379.428,1.209e+0
379.433,3.893e+0
379.438,1.211e+1
379.443,3.637e+1
379.448,1.055e+2
379.453,2.958e+2
379.458,8.008e+2
379.463,2.094e+3
379.468,5.288e+3
379.473,1.290e+4
379.478,3.040e+4
379.483,6.918e+4
379.488,1.521e+5
379.493,3.229e+5
379.498,6.622e+5
379.503,1.312e+6
379.508,2.510e+6
379.513,4.639e+6
379.518,8.281e+6
379.523,1.428e+7
379.528,2.378e+7
379.533,3.825e+7
379.538,5.943e+7
379.543,8.920e+7
379.548,1.293e+8
379.553,1.810e+8
379.558,2.448e+8
379.563,3.198e+8
379.568,4.035e+8
379.573,4.918e+8
379.578,5.789e+8
379.583,6.582e+8
379.588,7.229e+8
379.593,7.668e+8
379.598,7.856e+8
379.603,7.775e+8
379.608,7.432e+8
379.613,6.862e+8
379.618,6.119e+8
379.623,5.271e+8
379.628,4.386e+8
379.633,3.525e+8
379.638,2.736e+8
379.643,2.051e+8
379.648,1.485e+8
379.653,1.039e+8
379.658,7.020e+7
379.663,4.582e+7
379.668,2.888e+7
379.673,1.758e+7
379.678,1.034e+7
379.683,5.873e+6
379.688,3.222e+6
379.693,1.708e+6
379.698,8.741e+5
379.703,4.322e+5
379.708,2.064e+5
379.713,9.519e+4
379.718,4.241e+4
379.723,1.825e+4
379.728,7.586e+3
379.733,3.046e+3
379.738,1.181e+3
379.743,4.424e+2
379.748,1.601e+2
379.753,5.593e+1
379.758,1.888e+1
379.763,6.155e+0
379.768,1.938e+0
379.773,5.896e-1
379.778,1.732e-1
379.783,4.915e-2
379.788,1.347e-2
379.793,3.567e-3
379.798,9.121e-4
379.803,2.253e-4
379.808,5.375e-5
379.813,1.238e-5
379.818,2.757e-6
379.823,5.926e-7
379.828,1.231e-7
406.267,5.457e-7
406.272,2.353e-6
406.277,9.844e-6
406.282,3.996e-5
406.287,1.573e-4
406.292,6.011e-4
406.297,2.228e-3
406.302,8.013e-3
406.307,2.796e-2
406.312,9.463e-2
406.317,3.108e-1
406.322,9.903e-1
406.327,3.061e+0
406.332,9.181e+0
406.337,2.671e+1
406.342,7.541e+1
406.347,2.066e+2
406.352,5.489e+2
