Wavelength (nm),Sum(calc),Al I (4.9e-2),Al II (9.5e-1),Al III (7.0e-4)
207.350,1.695e+5,,1.695e+5,4.756e-1
207.355,5.233e+5,,5.233e+5,6.317e-1
207.360,1.439e+6,,1.439e+6,7.493e-1
207.365,3.521e+6,,3.521e+6,7.937e-1
207.370,7.671e+6,,7.671e+6,7.509e-1
207.376,1.675e+7,,1.675e+7,6.053e-1
207.381,2.827e+7,,2.827e+7,4.467e-1
207.386,4.246e+7,,4.246e+7,2.944e-1
207.391,5.678e+7,,5.678e+7,1.734e-1
207.396,6.759e+7,,6.759e+7,9.117e-2
207.401,7.164e+7,,7.164e+7,4.282e-2
207.406,6.759e+7,,6.759e+7,1.797e-2
207.411,5.678e+7,,5.678e+7,6.730e-3
207.416,4.246e+7,,4.246e+7,2.251e-3
207.421,2.827e+7,,2.827e+7,6.722e-4
207.426,1.675e+7,,1.675e+7,1.792e-4
207.431,8.840e+6,,8.840e+6,4.264e-5
207.436,4.153e+6,,4.153e+6,9.054e-6
207.441,1.737e+6,,1.737e+6,1.715e-6
207.446,6.466e+5,,6.466e+5,2.899e-7
207.451,2.143e+5,,2.143e+5,4.372e-8
207.456,6.324e+4,,6.324e+4,5.878e-9
207.461,1.661e+4,,1.661e+4,7.049e-10
207.466,3.885e+3,,3.885e+3,7.537e-11
207.471,8.090e+2,,8.090e+2,7.184e-12
207.476,1.500e+2,,1.500e+2,6.105e-13
207.481,2.474e+1,,2.474e+1,4.623e-14
207.486,3.635e+0,,3.635e+0,3.120e-15
207.491,4.755e-1,,4.755e-1,1.877e-16
207.496,5.536e-2,,5.536e-2,1.006e-17
207.501,5.739e-3,,5.739e-3,4.802e-19
207.506,5.296e-4,,5.296e-4,2.043e-20
207.511,4.351e-5,,4.351e-5,7.384e-22
207.516,3.182e-6,,3.182e-6,7.369e-22
207.521,2.072e-7,,2.072e-7,7.353e-22
207.526,1.201e-8,,1.201e-8,7.337e-22
207.531,6.199e-10,,6.199e-10,7.322e-22
207.536,2.848e-11,,2.848e-11,7.306e-22
207.541,1.165e-12,,1.165e-12,7.291e-22
207.546,4.242e-14,,4.242e-14,7.275e-22
208.768,3.463e-22,,1.379e-14,3.463e-22
208.773,9.710e-21,,1.367e-14,9.710e-21
208.778,2.428e-19,,1.355e-14,2.428e-19
208.783,5.414e-18,,1.344e-14,5.414e-18
208.788,1.077e-16,,1.332e-14,1.077e-16
208.793,1.909e-15,,1.320e-14,1.909e-15
208.798,3.019e-14,,1.309e-14,3.019e-14
208.803,4.257e-13,,1.297e-14,4.257e-13
208.808,5.353e-12,,1.285e-14,5.353e-12
208.813,6.003e-11,,1.273e-14,6.003e-11
208.818,6.004e-10,,1.262e-14,6.004e-10
208.823,5.354e-9,,1.250e-14,5.354e-9
208.828,4.258e-8,,1.238e-14,4.258e-8
208.833,3.020e-7,,1.226e-14,3.020e-7
208.838,1.910e-6,,1.215e-14,1.910e-6
208.843,1.077e-5,,1.203e-14,1.077e-5
208.849,7.380e-5,,1.189e-14,7.380e-5
208.854,3.235e-4,,1.177e-14,3.235e-4
208.859,1.264e-3,,1.166e-14,1.264e-3
208.864,4.407e-3,,1.154e-14,4.407e-3
208.869,1.370e-2,,1.142e-14,1.370e-2
208.874,3.798e-2,,1.130e-14,3.798e-2
208.879,9.387e-2,,1.119e-14,9.387e-2
208.884,2.069e-1,,1.107e-14,2.069e-1
