Wavelength (nm),Sum(calc),Fe I (4.4e-2),Fe II (9.5e-1),Fe III (2.2e-3)
274.468,1.021e+8,9.821e+7,3.891e+6,6.515e-27
274.473,8.067e+7,7.688e+7,3.797e+6,6.512e-27
274.478,6.030e+7,5.663e+7,3.664e+6,6.510e-27
274.483,4.283e+7,3.916e+7,3.664e+6,6.507e-27
274.488,2.938e+7,2.539e+7,3.995e+6,6.505e-27
274.493,2.025e+7,1.541e+7,4.839e+6,6.502e-27
274.498,1.508e+7,8.762e+6,6.313e+6,6.500e-27
274.503,1.308e+7,4.662e+6,8.415e+6,6.497e-27
274.508,1.332e+7,2.322e+6,1.099e+7,6.495e-27
274.513,1.483e+7,1.082e+6,1.375e+7,6.492e-27
274.518,1.673e+7,4.720e+5,1.625e+7,6.489e-27
274.523,1.828e+7,1.926e+5,1.808e+7,6.487e-27
274.528,1.896e+7,7.357e+4,1.889e+7,6.484e-27
274.533,1.853e+7,2.629e+4,1.851e+7,6.482e-27
274.538,1.705e+7,8.794e+3,1.704e+7,6.479e-27
274.543,1.480e+7,2.752e+3,1.479e+7,6.477e-27
274.548,1.228e+7,8.060e+2,1.228e+7,6.474e-27
274.553,1.017e+7,2.209e+2,1.017e+7,6.472e-27
274.558,9.381e+6,5.665e+1,9.381e+6,6.469e-27
274.563,1.147e+7,1.360e+1,1.147e+7,6.467e-27
274.568,1.961e+7,3.053e+0,1.961e+7,6.464e-27
274.573,4.070e+7,6.417e-1,4.070e+7,6.461e-27
274.578,8.953e+7,1.262e-1,8.953e+7,6.459e-27
274.582,1.680e+8,3.275e-2,1.680e+8,6.457e-27
274.587,3.604e+8,5.715e-3,3.604e+8,6.454e-27
274.592,7.430e+8,9.333e-4,7.430e+8,6.452e-27
274.597,1.459e+9,1.426e-4,1.459e+9,6.449e-27
274.602,2.715e+9,2.039e-5,2.715e+9,6.447e-27
274.607,4.763e+9,2.729e-6,4.763e+9,6.444e-27
274.612,7.861e+9,3.417e-7,7.861e+9,6.442e-27
274.617,1.219e+10,4.004e-8,1.219e+10,6.439e-27
274.622,1.772e+10,4.391e-9,1.772e+10,6.437e-27
274.627,2.415e+10,4.505e-10,2.415e+10,6.434e-27
274.632,3.087e+10,4.326e-11,3.087e+10,6.431e-27
274.637,3.701e+10,3.887e-12,3.701e+10,6.429e-27
274.642,4.167e+10,3.268e-13,4.167e+10,6.426e-27
274.647,4.420e+10,2.572e-14,4.420e+10,6.424e-27
274.652,4.439e+10,1.893e-15,4.439e+10,6.421e-27
274.657,4.263e+10,1.305e-16,4.263e+10,6.419e-27
274.662,3.980e+10,8.411e-18,3.980e+10,6.416e-27
274.667,3.695e+10,5.075e-19,3.695e+10,6.414e-27
274.672,3.506e+10,5.174e-19,3.506e+10,6.411e-27
274.677,3.460e+10,5.272e-19,3.460e+10,6.409e-27
274.682,3.548e+10,5.371e-19,3.548e+10,6.406e-27
274.687,3.705e+10,5.470e-19,3.705e+10,6.403e-27
274.692,3.838e+10,5.568e-19,3.838e+10,6.401e-27
274.697,3.855e+10,5.667e-19,3.855e+10,6.398e-27
274.702,3.698e+10,5.766e-19,3.698e+10,6.396e-27
274.707,3.357e+10,5.864e-19,3.357e+10,6.393e-27
274.712,2.868e+10,5.963e-19,2.868e+10,6.391e-27
274.717,2.302e+10,6.061e-19,2.302e+10,6.388e-27
274.722,1.732e+10,6.160e-19,1.732e+10,6.386e-27
274.727,1.221e+10,6.259e-19,1.221e+10,6.383e-27
274.732,8.067e+9,6.357e-19,8.067e+9,6.381e-27
274.737,4.993e+9,6.456e-19,4.993e+9,6.378e-27
274.742,2.897e+9,6.555e-19,2.897e+9,6.375e-27
274.747,1.576e+9,6.653e-19,1.576e+9,6.373e-27
274.752,8.054e+8,6.752e-19,8.054e+8,6.370e-27
274.757,3.875e+8,6.851e-19,3.875e+8,6.368e-27
274.762,1.768e+8,6.949e-19,1.768e+8,6.365e-27
274.767,7.812e+7,7.048e-19,7.812e+7,6.363e-27
274.772,3.565e+7,7.147e-19,3.565e+7,6.360e-27
274.777,1.958e+7,7.245e-19,1.958e+7,6.358e-27
274.782,1.524e+7,7.344e-19,1.524e+7,6.355e-27
274.787,1.582e+7,7.443e-19,1.582e+7,6.353e-27
274.792,1.814e+7,7.541e-19,1.814e+7,6.350e-27
274.797,2.058e+7,7.640e-19,2.058e+7,6.347e-27
274.802,2.223e+7,1.303e-17,2.223e+7,6.345e-27
274.807,2.261e+7,2.079e-16,2.261e+7,6.342e-27
274.812,2.157e+7,3.105e-15,2.157e+7,6.340e-27
274.817,1.928e+7,4.341e-14,1.928e+7,6.337e-27
274.822,1.619e+7,5.681e-13,1.619e+7,6.335e-27
274.827,1.293e+7,6.959e-12,1.293e+7,6.332e-27
274.832,1.030e+7,7.980e-11,1.030e+7,6.330e-27
274.837,9.610e+6,8.565e-10,9.610e+6,6.327e-27
274.842,1.357e+7,8.604e-9,1.357e+7,6.325e-27
274.847,2.832e+7,8.091e-8,2.832e+7,6.322e-27
274.852,6.767e+7,7.122e-7,6.767e+7,6.320e-27
274.857,1.606e+8,5.868e-6,1.606e+8,6.317e-27
274.862,3.633e+8,4.525e-5,3.633e+8,6.314e-27
274.867,7.767e+8,3.267e-4,7.767e+8,6.312e-27
274.872,1.567e+9,2.207e-3,1.567e+9,6.309e-27
274.877,2.982e+9,1.396e-2,2.982e+9,6.307e-27
274.882,5.357e+9,8.264e-2,5.357e+9,6.304e-27
274.887,9.088e+9,4.579e-1,9.088e+9,6.302e-27
274.892,1.456e+10,2.375e+0,1.456e+10,6.299e-27
274.897,2.204e+10,1.153e+1,2.204e+10,6.297e-27
274.902,3.151e+10,5.240e+1,3.151e+10,6.294e-27
