Wavelength (nm),Sum,Sn I (5.3e-02),Sn II (9.4e-01)
317.408,1.567e+6,1.567e+6,
317.413,3.924e+6,3.924e+6,
317.418,9.347e+6,9.347e+6,
317.423,2.119e+7,2.119e+7,
317.428,4.570e+7,4.570e+7,
317.433,9.382e+7,9.382e+7,
317.438,1.833e+8,1.833e+8,
317.443,3.407e+8,3.407e+8,
317.448,6.026e+8,6.026e+8,
317.453,1.014e+9,1.014e+9,
317.458,1.625e+9,1.625e+9,
317.463,2.477e+9,2.477e+9,
317.468,3.594e+9,3.594e+9,
317.473,4.961e+9,4.961e+9,
317.478,6.516e+9,6.516e+9,
317.483,8.146e+9,8.146e+9,
317.488,9.690e+9,9.690e+9,
317.493,1.097e+10,1.097e+10,
317.498,1.182e+10,1.182e+10,
317.503,1.211e+10,1.211e+10,
317.508,1.182e+10,1.182e+10,
317.513,1.097e+10,1.097e+10,
317.518,9.690e+9,9.690e+9,
317.523,8.146e+9,8.146e+9,
317.528,6.516e+9,6.516e+9,
317.533,4.961e+9,4.961e+9,
317.538,3.594e+9,3.594e+9,
317.543,2.477e+9,2.477e+9,
317.548,1.625e+9,1.625e+9,
317.553,1.014e+9,1.014e+9,
317.558,6.026e+8,6.026e+8,
317.563,3.407e+8,3.407e+8,
317.568,1.833e+8,1.833e+8,
317.573,9.382e+7,9.382e+7,
317.578,4.570e+7,4.570e+7,
317.583,2.119e+7,2.119e+7,
317.588,9.347e+6,9.347e+6,
317.593,3.924e+6,3.924e+6,
317.598,1.567e+6,1.567e+6,
317.603,5.959e+5,5.959e+5,
317.608,2.156e+5,2.156e+5,
317.613,7.421e+4,7.421e+4,
317.618,2.431e+4,2.431e+4,
317.623,7.578e+3,7.578e+3,
317.628,2.248e+3,2.248e+3,
317.633,6.347e+2,6.347e+2,
317.638,1.705e+2,1.705e+2,
317.643,4.359e+1,4.359e+1,
317.648,1.060e+1,1.060e+1,
317.653,2.455e+0,2.455e+0,
317.658,5.408e-1,5.408e-1,
317.663,1.134e-1,1.134e-1,
317.668,2.262e-2,2.262e-2,
317.673,4.294e-3,4.294e-3,
317.678,7.756e-4,7.756e-4,
317.683,1.333e-4,1.333e-4,
317.688,2.181e-5,2.181e-5,
317.693,3.396e-6,3.396e-6,
326.036,2.634e-6,2.634e-6,
326.041,1.638e-5,1.638e-5,
326.046,9.719e-5,9.719e-5,
326.051,5.502e-4,5.502e-4,
326.056,2.972e-3,2.972e-3,
326.061,1.531e-2,1.531e-2,
326.066,7.529e-2,7.529e-2,
326.071,3.532e-1,3.532e-1,
326.076,1.581e+0,1.581e+0,
326.081,6.750e+0,6.750e+0,
326.086,2.750e+1,2.750e+1,
326.091,1.069e+2,1.069e+2,
326.096,3.965e+2,3.965e+2,
326.101,1.403e+3,1.403e+3,
326.106,4.738e+3,4.738e+3,
326.111,1.526e+4,1.526e+4,
326.116,4.691e+4,4.691e+4,
326.121,1.376e+5,1.376e+5,
326.126,3.849e+5,3.849e+5,
326.131,1.027e+6,1.027e+6,
326.136,2.617e+6,2.617e+6,
326.141,6.359e+6,6.359e+6,
326.146,1.474e+7,1.474e+7,
326.151,3.261e+7,3.261e+7,
326.156,6.884e+7,6.884e+7,
326.161,1.386e+8,1.386e+8,
326.166,2.663e+8,2.663e+8,
326.171,4.882e+8,4.882e+8,
326.176,8.540e+8,8.540e+8,
326.181,1.425e+9,1.425e+9,
326.186,2.269e+9,2.269e+9,
326.191,3.447e+9,3.447e+9,
326.196,4.996e+9,4.996e+9,
326.201,6.908e+9,6.908e+9,
326.206,9.115e+9,9.115e+9,
326.211,1.147e+10,1.147e+10,
326.216,1.378e+10,1.378e+10,
326.221,1.579e+10,1.579e+10,
326.226,1.727e+10,1.727e+10,
326.231,1.801e+10,1.801e+10,
326.236,1.793e+10,1.793e+10,
326.241,1.703e+10,1.703e+10,
326.246,1.543e+10,1.543e+10,
326.251,1.334e+10,1.334e+10,
326.256,1.100e+10,1.100e+10,
326.261,8.656e+9,8.656e+9,
326.266,6.499e+9,6.499e+9,
326.271,4.656e+9,4.656e+9,
326.276,3.182e+9,3.182e+9,
326.281,2.075e+9,2.075e+9,
326.286,1.291e+9,1.291e+9,
326.291,7.665e+8,7.665e+8,
326.296,4.341e+8,4.341e+8,
326.301,2.346e+8,2.346e+8,
326.306,1.210e+8,1.210e+8,
326.311,5.951e+7,5.951e+7,
326.316,2.793e+7,2.793e+7,
326.321,1.251e+7,1.251e+7,
326.326,5.344e+6,5.344e+6,
326.331,2.179e+6,2.179e+6,
326.336,8.474e+5,8.474e+5,
326.341,3.145e+5,3.145e+5,
326.346,1.113e+5,1.113e+5,
326.351,3.761e+4,3.761e+4,
326.356,1.212e+4,1.212e+4,
326.361,3.728e+3,3.728e+3,
326.366,1.094e+3,1.094e+3,
326.371,3.062e+2,3.062e+2,
326.376,8.180e+1,8.180e+1,
326.381,2.084e+1,2.084e+1,
326.386,5.068e+0,5.068e+0,
326.391,1.176e+0,1.176e+0,
326.396,2.602e-1,2.602e-1,
326.401,5.496e-2,5.496e-2,
326.406,1.107e-2,1.107e-2,
326.411,2.129e-3,2.129e-3,
326.416,3.905e-4,3.905e-4,
326.421,6.833e-5,6.833e-5,
326.426,1.141e-5,1.141e-5,
326.431,1.818e-6,1.818e-6,
328.116,2.843e-7,,2.843e-7
328.121,1.744e-6,,1.744e-6
328.126,1.021e-5,,1.021e-5
328.131,5.707e-5,,5.707e-5
328.136,3.045e-4,,3.045e-4
328.141,1.552e-3,,1.552e-3
328.146,7.546e-3,,7.546e-3
328.151,3.504e-2,,3.504e-2
328.156,1.553e-1,,1.553e-1
328.161,6.572e-1,,6.572e-1
328.166,2.655e+0,,2.655e+0
328.171,1.024e+1,,1.024e+1
328.176,3.771e+1,,3.771e+1
328.181,1.325e+2,,1.325e+2
328.186,4.448e+2,,4.448e+2
328.191,1.425e+3,,1.425e+3
328.196,4.358e+3,,4.358e+3
328.201,1.272e+4,,1.272e+4
328.206,3.547e+4,,3.547e+4
328.211,9.439e+4,,9.439e+4
328.216,2.398e+5,,2.398e+5
328.221,5.816e+5,,5.816e+5
328.226,1.347e+6,,1.347e+6
328.231,2.977e+6,,2.977e+6
328.236,6.282e+6,,6.282e+6
328.241,1.266e+7,,1.266e+7
328.246,2.434e+7,,2.434e+7
328.251,4.469e+7,,4.469e+7
328.256,7.834e+7,,7.834e+7
328.261,1.311e+8,,1.311e+8
328.266,2.095e+8,,2.095e+8
328.271,3.195e+8,,3.195e+8
328.276,4.651e+8,,4.651e+8
328.281,6.466e+8,,6.466e+8
328.286,8.580e+8,,8.580e+8
328.291,1.087e+9,,1.087e+9
328.296,1.315e+9,,1.315e+9
328.301,1.518e+9,,1.518e+9
328.306,1.673e+9,,1.673e+9
328.311,1.761e+9,,1.761e+9
328.316,1.769e+9,,1.769e+9
328.321,1.697e+9,,1.697e+9
328.326,1.554e+9,,1.554e+9
328.331,1.358e+9,,1.358e+9
328.336,1.133e+9,,1.133e+9
328.341,9.029e+8,,9.029e+8
328.346,6.868e+8,,6.868e+8
328.351,4.987e+8,,4.987e+8
328.356,3.457e+8,,3.457e+8
328.361,2.287e+8,,2.287e+8
328.366,1.445e+8,,1.445e+8
328.371,8.716e+7,,8.716e+7
328.376,5.019e+7,,5.019e+7
328.381,2.759e+7,,2.759e+7
328.386,1.448e+7,,1.448e+7
328.391,7.253e+6,,7.253e+6
328.396,3.469e+6,,3.469e+6
328.401,1.584e+6,,1.584e+6
328.406,6.905e+5,,6.905e+5
328.411,2.874e+5,,2.874e+5
328.416,1.142e+5,,1.142e+5
328.421,4.330e+4,,4.330e+4
328.426,1.568e+4,,1.568e+4
328.431,5.420e+3,,5.420e+3
328.436,1.789e+3,,1.789e+3
328.441,5.635e+2,,5.635e+2
328.446,1.695e+2,,1.695e+2
328.451,4.866e+1,,4.866e+1
328.456,1.334e+1,,1.334e+1
328.461,3.491e+0,,3.491e+0
328.466,8.722e-1,,8.722e-1
328.471,2.080e-1,,2.080e-1
328.476,4.737e-2,,4.737e-2
328.481,1.030e-2,,1.030e-2
328.486,2.137e-3,,2.137e-3
328.491,4.233e-4,,4.233e-4
328.496,8.007e-5,,8.007e-5
328.501,1.446e-5,,1.446e-5
328.506,2.492e-6,,2.492e-6
328.511,4.101e-7,,4.101e-7
332.858,1.702e-7,1.702e-7,
332.863,1.038e-6,1.038e-6,
332.868,6.045e-6,6.045e-6,
332.873,3.367e-5,3.367e-5,
332.878,1.793e-4,1.793e-4,
332.883,9.123e-4,9.123e-4,
332.888,4.438e-3,4.438e-3,
332.893,2.064e-2,2.064e-2,
332.898,9.177e-2,9.177e-2,
332.903,3.900e-1,3.900e-1,
332.908,1.584e+0,1.584e+0,
332.913,6.153e+0,6.153e+0,
332.918,2.284e+1,2.284e+1,
332.923,8.105e+1,8.105e+1,
332.928,2.749e+2,2.749e+2,
332.933,8.916e+2,8.916e+2,
332.938,2.764e+3,2.764e+3,
332.943,8.190e+3,8.190e+3,
332.948,2.320e+4,2.320e+4,
332.953,6.282e+4,6.282e+4,
332.958,1.626e+5,1.626e+5,
332.963,4.023e+5,4.023e+5,
332.968,9.516e+5,9.516e+5,
332.973,2.152e+6,2.152e+6,
332.978,4.651e+6,4.651e+6,
332.983,9.609e+6,9.609e+6,
332.988,1.898e+7,1.898e+7,
332.993,3.583e+7,3.583e+7,
332.998,6.467e+7,6.467e+7,
333.003,1.116e+8,1.116e+8,
333.008,1.840e+8,1.840e+8,
333.013,2.901e+8,2.901e+8,
333.018,4.372e+8,4.372e+8,
333.023,6.299e+8,6.299e+8,
333.028,8.674e+8,8.674e+8,
333.033,1.142e+9,1.142e+9,
333.038,1.437e+9,1.437e+9,
333.043,1.729e+9,1.729e+9,
333.048,1.988e+9,1.988e+9,
333.053,2.185e+9,2.185e+9,
333.058,2.296e+9,2.296e+9,
333.063,2.307e+9,2.307e+9,
333.068,2.215e+9,2.215e+9,
333.073,2.033e+9,2.033e+9,
333.078,1.784e+9,1.784e+9,
333.083,1.497e+9,1.497e+9,
333.088,1.200e+9,1.200e+9,
333.093,9.198e+8,9.198e+8,
333.098,6.739e+8,6.739e+8,
333.103,4.720e+8,4.720e+8,
333.108,3.160e+8,3.160e+8,
333.113,2.023e+8,2.023e+8,
333.118,1.238e+8,1.238e+8,
333.123,7.238e+7,7.238e+7,
333.128,4.047e+7,4.047e+7,
333.133,2.163e+7,2.163e+7,
333.138,1.105e+7,1.105e+7,
333.143,5.396e+6,5.396e+6,
333.148,2.519e+6,2.519e+6,
333.153,1.124e+6,1.124e+6,
333.158,4.796e+5,4.796e+5,
333.163,1.956e+5,1.956e+5,
333.168,7.625e+4,7.625e+4,
333.173,2.841e+4,2.841e+4,
333.178,1.012e+4,1.012e+4,
333.183,3.447e+3,3.447e+3,
333.188,1.122e+3,1.122e+3,
333.193,3.491e+2,3.491e+2,
333.198,1.039e+2,1.039e+2,
333.203,2.953e+1,2.953e+1,
333.208,8.027e+0,8.027e+0,
333.213,2.086e+0,2.086e+0,
333.218,5.181e-1,5.181e-1,
333.223,1.230e-1,1.230e-1,
333.228,2.792e-2,2.792e-2,
333.233,6.058e-3,6.058e-3,
333.238,1.256e-3,1.256e-3,
333.243,2.491e-4,2.491e-4,
333.248,4.721e-5,4.721e-5,
333.253,8.553e-6,8.553e-6,
333.258,1.481e-6,1.481e-6,
333.263,2.452e-7,2.452e-7,
334.928,2.021e-8,,2.021e-8
334.933,1.194e-7,,1.194e-7
334.938,6.747e-7,,6.747e-7
334.943,3.647e-6,,3.647e-6
334.948,1.885e-5,,1.885e-5
334.953,9.320e-5,,9.320e-5
334.958,4.407e-4,,4.407e-4
334.963,1.993e-3,,1.993e-3
334.968,8.624e-3,,8.624e-3
334.974,4.715e-2,,4.715e-2
334.979,1.850e-1,,1.850e-1
334.984,6.939e-1,,6.939e-1
334.989,2.490e+0,,2.490e+0
334.994,8.546e+0,,8.546e+0
334.999,2.805e+1,,2.805e+1
335.004,8.808e+1,,8.808e+1
335.009,2.645e+2,,2.645e+2
335.014,7.597e+2,,7.597e+2
335.019,2.087e+3,,2.087e+3
335.024,5.484e+3,,5.484e+3
335.029,1.378e+4,,1.378e+4
335.034,3.313e+4,,3.313e+4
335.039,7.616e+4,,7.616e+4
335.044,1.675e+5,,1.675e+5
335.049,3.522e+5,,3.522e+5
335.054,7.086e+5,,7.086e+5
335.059,1.363e+6,,1.363e+6
335.064,2.509e+6,,2.509e+6
335.069,4.418e+6,,4.418e+6
335.074,7.439e+6,,7.439e+6
335.079,1.199e+7,,1.199e+7
335.084,1.848e+7,,1.848e+7
335.089,2.727e+7,,2.727e+7
335.094,3.854e+7,,3.854e+7
335.099,5.222e+7,,5.222e+7
335.104,6.798e+7,,6.798e+7
335.109,8.528e+7,,8.528e+7
335.114,1.037e+8,,1.037e+8
335.119,1.232e+8,,1.232e+8
335.124,1.449e+8,,1.449e+8
335.129,1.716e+8,,1.716e+8
335.134,2.083e+8,,2.083e+8
335.139,2.622e+8,,2.622e+8
335.144,3.422e+8,,3.422e+8
335.149,4.581e+8,,4.581e+8
335.154,6.177e+8,,6.177e+8
335.159,8.252e+8,,8.252e+8
335.164,1.078e+9,,1.078e+9
335.169,1.365e+9,,1.365e+9
335.174,1.665e+9,,1.665e+9
335.179,1.952e+9,,1.952e+9
335.184,2.194e+9,,2.194e+9
335.189,2.362e+9,,2.362e+9
335.194,2.435e+9,,2.435e+9
335.199,2.401e+9,,2.401e+9
335.204,2.265e+9,,2.265e+9
335.209,2.044e+9,,2.044e+9
335.214,1.765e+9,,1.765e+9
335.219,1.458e+9,,1.458e+9
335.224,1.151e+9,,1.151e+9
335.229,8.698e+8,,8.698e+8
335.234,6.285e+8,,6.285e+8
335.239,4.344e+8,,4.344e+8
335.244,2.872e+8,,2.872e+8
335.249,1.816e+8,,1.816e+8
335.254,1.098e+8,,1.098e+8
335.259,6.353e+7,,6.353e+7
335.264,3.515e+7,,3.515e+7
335.269,1.860e+7,,1.860e+7
335.274,9.416e+6,,9.416e+6
335.279,4.559e+6,,4.559e+6
335.284,2.111e+6,,2.111e+6
335.289,9.350e+5,,9.350e+5
335.294,3.961e+5,,3.961e+5
335.299,1.605e+5,,1.605e+5
335.304,6.220e+4,,6.220e+4
335.309,2.306e+4,,2.306e+4
335.314,8.176e+3,,8.176e+3
335.319,2.773e+3,,2.773e+3
335.324,8.993e+2,,8.993e+2
335.329,2.790e+2,,2.790e+2
335.334,8.280e+1,,8.280e+1
335.339,2.350e+1,,2.350e+1
335.344,6.379e+0,,6.379e+0
335.349,1.656e+0,,1.656e+0
335.354,4.114e-1,,4.114e-1
335.359,9.772e-2,,9.772e-2
335.364,2.220e-2,,2.220e-2
335.369,4.825e-3,,4.825e-3
335.374,1.003e-3,,1.003e-3
335.379,1.994e-4,,1.994e-4
335.384,3.792e-5,,3.792e-5
335.389,6.896e-6,,6.896e-6
335.394,1.200e-6,,1.200e-6
335.399,1.996e-7,,1.996e-7
347.022,6.595e-9,,6.595e-9
347.027,3.717e-8,,3.717e-8
347.032,2.010e-7,,2.010e-7
347.037,1.043e-6,,1.043e-6
347.042,5.191e-6,,5.191e-6
347.047,2.479e-5,,2.479e-5
347.052,1.135e-4,,1.135e-4
347.057,4.990e-4,,4.990e-4
347.062,2.104e-3,,2.104e-3
347.067,8.511e-3,,8.511e-3
347.072,3.303e-2,,3.303e-2
347.077,1.230e-1,,1.230e-1
347.082,4.393e-1,,4.393e-1
347.087,1.505e+0,,1.505e+0
347.092,4.949e+0,,4.949e+0
347.097,1.561e+1,,1.561e+1
347.102,4.723e+1,,4.723e+1
347.107,1.371e+2,,1.371e+2
347.112,3.819e+2,,3.819e+2
347.117,1.020e+3,,1.020e+3
347.122,2.616e+3,,2.616e+3
347.127,6.433e+3,,6.433e+3
347.132,1.518e+4,,1.518e+4
347.137,3.436e+4,,3.436e+4
347.142,7.461e+4,,7.461e+4
347.147,1.555e+5,,1.555e+5
347.152,3.107e+5,,3.107e+5
347.157,5.958e+5,,5.958e+5
347.162,1.096e+6,,1.096e+6
347.167,1.935e+6,,1.935e+6
347.172,3.276e+6,,3.276e+6
347.177,5.322e+6,,5.322e+6
347.182,8.294e+6,,8.294e+6
347.187,1.240e+7,,1.240e+7
347.192,1.779e+7,,1.779e+7
347.197,2.448e+7,,2.448e+7
347.202,3.232e+7,,3.232e+7
347.207,4.094e+7,,4.094e+7
347.212,4.975e+7,,4.975e+7
347.217,5.800e+7,,5.800e+7
347.222,6.487e+7,,6.487e+7
347.227,6.961e+7,,6.961e+7
347.232,7.166e+7,,7.166e+7
347.237,7.077e+7,,7.077e+7
347.242,6.706e+7,,6.706e+7
347.247,6.096e+7,,6.096e+7
347.252,5.316e+7,,5.316e+7
347.257,4.448e+7,,4.448e+7
347.262,3.570e+7,,3.570e+7
347.267,2.749e+7,,2.749e+7
347.272,2.031e+7,,2.031e+7
347.277,1.440e+7,,1.440e+7
347.282,9.790e+6,,9.790e+6
347.287,6.387e+6,,6.387e+6
347.292,3.997e+6,,3.997e+6
347.297,2.400e+6,,2.400e+6
347.302,1.383e+6,,1.383e+6
347.307,7.641e+5,,7.641e+5
347.312,4.052e+5,,4.052e+5
347.317,2.061e+5,,2.061e+5
347.323,8.670e+4,,8.670e+4
347.328,4.026e+4,,4.026e+4
347.333,1.793e+4,,1.793e+4
347.338,7.664e+3,,7.664e+3
347.343,3.142e+3,,3.142e+3
347.348,1.236e+3,,1.236e+3
347.353,4.664e+2,,4.664e+2
347.358,1.689e+2,,1.689e+2
347.363,5.865e+1,,5.865e+1
347.368,1.954e+1,,1.954e+1
347.373,6.248e+0,,6.248e+0
347.378,1.916e+0,,1.916e+0
347.383,5.638e-1,,5.638e-1
347.388,1.592e-1,,1.592e-1
347.393,4.311e-2,,4.311e-2
347.398,1.120e-2,,1.120e-2
347.403,2.792e-3,,2.792e-3
347.408,6.677e-4,,6.677e-4
347.413,1.532e-4,,1.532e-4
347.418,3.372e-5,,3.372e-5
347.423,7.120e-6,,7.120e-6
347.428,1.442e-6,,1.442e-6
347.433,2.803e-7,,2.803e-7
347.438,5.227e-8,,5.227e-8
347.443,9.351e-9,,9.351e-9
353.54,1.145e-9,,1.145e-9
353.545,6.205e-9,,6.205e-9
353.55,3.231e-8,,3.231e-8
353.555,1.617e-7,,1.617e-7
353.56,7.774e-7,,7.774e-7
353.565,3.591e-6,,3.591e-6
353.57,1.594e-5,,1.594e-5
353.575,6.797e-5,,6.797e-5
353.58,2.785e-4,,2.785e-4
353.585,1.097e-3,,1.097e-3
353.59,4.148e-3,,4.148e-3
353.595,1.508e-2,,1.508e-2
353.6,5.266e-2,,5.266e-2
353.605,1.767e-1,,1.767e-1
353.61,5.697e-1,,5.697e-1
353.615,1.765e+0,,1.765e+0
353.62,5.253e+0,,5.253e+0
353.625,1.502e+1,,1.502e+1
353.63,4.128e+1,,4.128e+1
353.635,1.090e+2,,1.090e+2
353.64,2.765e+2,,2.765e+2
353.645,6.741e+2,,6.741e+2
353.65,1.579e+3,,1.579e+3
353.655,3.553e+3,,3.553e+3
353.66,7.681e+3,,7.681e+3
353.665,1.596e+4,,1.596e+4
353.67,3.186e+4,,3.186e+4
353.675,6.110e+4,,6.110e+4
353.68,1.126e+5,,1.126e+5
353.685,1.994e+5,,1.994e+5
353.69,3.392e+5,,3.392e+5
353.695,5.544e+5,,5.544e+5
353.7,8.708e+5,,8.708e+5
353.705,1.314e+6,,1.314e+6
353.71,1.906e+6,,1.906e+6
353.715,2.655e+6,,2.655e+6
353.72,3.554e+6,,3.554e+6
353.725,4.571e+6,,4.571e+6
353.73,5.650e+6,,5.650e+6
353.735,6.709e+6,,6.709e+6
353.74,7.654e+6,,7.654e+6
353.745,8.391e+6,,8.391e+6
353.75,8.838e+6,,8.838e+6
353.755,8.945e+6,,8.945e+6
353.76,8.698e+6,,8.698e+6
353.765,8.127e+6,,8.127e+6
353.77,7.296e+6,,7.296e+6
353.775,6.293e+6,,6.293e+6
353.78,5.216e+6,,5.216e+6
353.785,4.153e+6,,4.153e+6
353.79,3.178e+6,,3.178e+6
353.795,2.336e+6,,2.336e+6
353.8,1.650e+6,,1.650e+6
353.805,1.120e+6,,1.120e+6
353.81,7.304e+5,,7.304e+5
353.815,4.577e+5,,4.577e+5
353.82,2.755e+5,,2.755e+5
353.825,1.594e+5,,1.594e+5
353.83,8.859e+4,,8.859e+4
353.835,4.731e+4,,4.731e+4
353.84,2.428e+4,,2.428e+4
353.845,1.197e+4,,1.197e+4
353.85,5.670e+3,,5.670e+3
353.855,2.581e+3,,2.581e+3
353.86,1.129e+3,,1.129e+3
353.865,4.742e+2,,4.742e+2
353.87,1.915e+2,,1.915e+2
353.875,7.428e+1,,7.428e+1
353.88,2.769e+1,,2.769e+1
353.885,9.916e+0,,9.916e+0
353.89,3.412e+0,,3.412e+0
353.895,1.128e+0,,1.128e+0
353.9,3.584e-1,,3.584e-1
353.905,1.094e-1,,1.094e-1
353.91,3.208e-2,,3.208e-2
353.915,9.041e-3,,9.041e-3
353.92,2.448e-3,,2.448e-3
353.925,6.369e-4,,6.369e-4
353.93,1.592e-4,,1.592e-4
353.935,3.823e-5,,3.823e-5
353.94,8.823e-6,,8.823e-6
353.945,1.956e-6,,1.956e-6
353.95,4.168e-7,,4.168e-7
353.955,8.532e-8,,8.532e-8
353.96,1.678e-8,,1.678e-8
353.965,3.171e-9,,3.171e-9
357.316,1.124e-8,,1.124e-8
357.321,6.020e-8,,6.020e-8
357.326,3.100e-7,,3.100e-7
357.331,1.535e-6,,1.535e-6
357.336,7.311e-6,,7.311e-6
357.341,3.348e-5,,3.348e-5
357.346,1.474e-4,,1.474e-4
357.351,6.243e-4,,6.243e-4
357.356,2.542e-3,,2.542e-3
357.361,9.957e-3,,9.957e-3
357.366,3.750e-2,,3.750e-2
357.371,1.358e-1,,1.358e-1
357.376,4.729e-1,,4.729e-1
357.381,1.584e+0,,1.584e+0
357.386,5.100e+0,,5.100e+0
357.391,1.579e+1,,1.579e+1
357.396,4.704e+1,,4.704e+1
357.401,1.347e+2,,1.347e+2
357.406,3.710e+2,,3.710e+2
357.411,9.826e+2,,9.826e+2
357.416,2.502e+3,,2.502e+3
357.421,6.129e+3,,6.129e+3
357.426,1.443e+4,,1.443e+4
357.431,3.269e+4,,3.269e+4
357.436,7.120e+4,,7.120e+4
357.441,1.491e+5,,1.491e+5
357.446,3.003e+5,,3.003e+5
357.451,5.817e+5,,5.817e+5
357.456,1.083e+6,,1.083e+6
357.461,1.940e+6,,1.940e+6
357.466,3.342e+6,,3.342e+6
357.471,5.535e+6,,5.535e+6
357.476,8.817e+6,,8.817e+6
357.481,1.350e+7,,1.350e+7
357.486,1.989e+7,,1.989e+7
357.491,2.817e+7,,2.817e+7
357.496,3.837e+7,,3.837e+7
357.501,5.026e+7,,5.026e+7
357.506,6.331e+7,,6.331e+7
357.511,7.668e+7,,7.668e+7
357.516,8.932e+7,,8.932e+7
357.521,1.000e+8,,1.000e+8
357.526,1.078e+8,,1.078e+8
357.531,1.116e+8,,1.116e+8
357.536,1.112e+8,,1.112e+8
357.541,1.065e+8,,1.065e+8
357.546,9.811e+7,,9.811e+7
357.551,8.691e+7,,8.691e+7
357.556,7.403e+7,,7.403e+7
357.561,6.064e+7,,6.064e+7
357.566,4.777e+7,,4.777e+7
357.571,3.619e+7,,3.619e+7
357.576,2.636e+7,,2.636e+7
357.581,1.847e+7,,1.847e+7
357.586,1.244e+7,,1.244e+7
357.591,8.058e+6,,8.058e+6
357.596,5.020e+6,,5.020e+6
357.601,3.007e+6,,3.007e+6
357.606,1.732e+6,,1.732e+6
357.611,9.597e+5,,9.597e+5
357.616,5.112e+5,,5.112e+5
357.621,2.619e+5,,2.619e+5
357.626,1.290e+5,,1.290e+5
357.631,6.113e+4,,6.113e+4
357.636,2.785e+4,,2.785e+4
357.641,1.220e+4,,1.220e+4
357.646,5.140e+3,,5.140e+3
357.651,2.082e+3,,2.082e+3
357.656,8.112e+2,,8.112e+2
357.661,3.039e+2,,3.039e+2
357.666,1.095e+2,,1.095e+2
357.671,3.793e+1,,3.793e+1
357.676,1.264e+1,,1.264e+1
357.681,4.049e+0,,4.049e+0
357.686,1.247e+0,,1.247e+0
357.691,3.696e-1,,3.696e-1
357.696,1.053e-1,,1.053e-1
357.701,2.885e-2,,2.885e-2
357.706,7.602e-3,,7.602e-3
357.711,1.926e-3,,1.926e-3
357.716,4.693e-4,,4.693e-4
357.721,1.099e-4,,1.099e-4
357.726,2.477e-5,,2.477e-5
357.731,5.367e-6,,5.367e-6
357.736,1.118e-6,,1.118e-6
357.741,2.241e-7,,2.241e-7
357.746,4.318e-8,,4.318e-8
358.021,3.948e-9,,3.948e-9
358.026,2.052e-8,,2.052e-8
358.031,1.026e-7,,1.026e-7
358.036,4.930e-7,,4.930e-7
358.041,2.280e-6,,2.280e-6
358.046,1.014e-5,,1.014e-5
358.051,4.336e-5,,4.336e-5
358.056,1.784e-4,,1.784e-4
358.061,7.056e-4,,7.056e-4
358.066,2.685e-3,,2.685e-3
358.071,9.827e-3,,9.827e-3
358.076,3.459e-2,,3.459e-2
358.081,1.171e-1,,1.171e-1
358.086,3.813e-1,,3.813e-1
358.091,1.194e+0,,1.194e+0
358.096,3.597e+0,,3.597e+0
358.101,1.042e+1,,1.042e+1
358.106,2.903e+1,,2.903e+1
358.111,7.779e+1,,7.779e+1
358.116,2.005e+2,,2.005e+2
358.121,4.970e+2,,4.970e+2
358.126,1.185e+3,,1.185e+3
358.131,2.717e+3,,2.717e+3
358.136,5.992e+3,,5.992e+3
358.141,1.271e+4,,1.271e+4
358.146,2.593e+4,,2.593e+4
358.151,5.088e+4,,5.088e+4
358.156,9.602e+4,,9.602e+4
358.161,1.743e+5,,1.743e+5
358.166,3.042e+5,,3.042e+5
358.171,5.108e+5,,5.108e+5
358.176,8.249e+5,,8.249e+5
358.181,1.281e+6,,1.281e+6
358.186,1.914e+6,,1.914e+6
358.191,2.749e+6,,2.749e+6
358.196,3.799e+6,,3.799e+6
358.201,5.049e+6,,5.049e+6
358.206,6.453e+6,,6.453e+6
358.211,7.934e+6,,7.934e+6
358.216,9.381e+6,,9.381e+6
358.221,1.067e+7,,1.067e+7
358.226,1.167e+7,,1.167e+7
358.231,1.227e+7,,1.227e+7
358.236,1.242e+7,,1.242e+7
358.241,1.208e+7,,1.208e+7
358.246,1.131e+7,,1.131e+7
358.251,1.018e+7,,1.018e+7
358.256,8.814e+6,,8.814e+6
358.261,7.339e+6,,7.339e+6
358.266,5.877e+6,,5.877e+6
358.271,4.527e+6,,4.527e+6
358.276,3.354e+6,,3.354e+6
358.281,2.390e+6,,2.390e+6
358.286,1.638e+6,,1.638e+6
358.291,1.079e+6,,1.079e+6
358.296,6.842e+5,,6.842e+5
358.301,4.171e+5,,4.171e+5
358.306,2.446e+5,,2.446e+5
358.311,1.379e+5,,1.379e+5
358.316,7.483e+4,,7.483e+4
358.321,3.904e+4,,3.904e+4
358.326,1.959e+4,,1.959e+4
358.331,9.453e+3,,9.453e+3
358.336,4.388e+3,,4.388e+3
358.341,1.959e+3,,1.959e+3
358.346,8.410e+2,,8.410e+2
358.351,3.473e+2,,3.473e+2
358.356,1.379e+2,,1.379e+2
358.361,5.269e+1,,5.269e+1
358.366,1.936e+1,,1.936e+1
358.371,6.841e+0,,6.841e+0
358.376,2.325e+0,,2.325e+0
358.381,7.599e-1,,7.599e-1
358.386,2.389e-1,,2.389e-1
358.391,7.224e-2,,7.224e-2
358.396,2.101e-2,,2.101e-2
358.401,5.876e-3,,5.876e-3
358.406,1.581e-3,,1.581e-3
358.411,4.090e-4,,4.090e-4
358.416,1.018e-4,,1.018e-4
358.421,2.436e-5,,2.436e-5
