Wavelength (nm),Sum,Sn I (5.3e-02),Sn II (9.4e-01)
291.99,2.724e+7,,2.724e+7
291.995,2.554e+7,,2.554e+7
292,2.258e+7,,2.258e+7
292.005,1.883e+7,,1.883e+7
292.01,1.480e+7,,1.480e+7
292.015,1.098e+7,,1.098e+7
292.02,7.675e+6,,7.675e+6
292.025,5.061e+6,,5.061e+6
292.03,3.147e+6,,3.147e+6
292.035,1.846e+6,,1.846e+6
292.04,1.021e+6,,1.021e+6
292.045,5.324e+5,,5.324e+5
292.05,2.618e+5,,2.618e+5
292.055,1.214e+5,,1.214e+5
292.06,5.312e+4,,5.312e+4
292.065,2.191e+4,,2.191e+4
292.07,8.523e+3,,8.523e+3
292.075,3.126e+3,,3.126e+3
292.08,1.082e+3,,1.082e+3
292.085,3.528e+2,,3.528e+2
292.09,1.085e+2,,1.085e+2
292.095,3.149e+1,,3.149e+1
292.1,8.616e+0,,8.616e+0
292.105,2.223e+0,,2.223e+0
292.11,5.409e-1,,5.409e-1
292.115,1.241e-1,,1.241e-1
292.12,2.686e-2,,2.686e-2
292.125,5.481e-3,,5.481e-3
292.13,1.055e-3,,1.055e-3
292.135,1.914e-4,,1.914e-4
292.14,3.276e-5,,3.276e-5
292.145,5.287e-6,,5.287e-6
292.15,8.047e-7,,8.047e-7
292.155,1.155e-7,,1.155e-7
292.16,1.563e-8,,1.563e-8
292.165,1.996e-9,,1.996e-9
299.267,1.985e-8,,1.985e-8
299.272,1.405e-7,,1.405e-7
299.277,9.407e-7,,9.407e-7
299.282,5.957e-6,,5.957e-6
299.287,3.568e-5,,3.568e-5
299.292,2.021e-4,,2.021e-4
299.297,1.083e-3,,1.083e-3
299.302,5.485e-3,,5.485e-3
299.307,2.628e-2,,2.628e-2
299.312,1.191e-1,,1.191e-1
299.317,5.106e-1,,5.106e-1
299.322,2.070e+0,,2.070e+0
299.327,7.935e+0,,7.935e+0
299.332,2.877e+1,,2.877e+1
299.337,9.866e+1,,9.866e+1
299.342,3.200e+2,,3.200e+2
299.347,9.815e+2,,9.815e+2
299.352,2.847e+3,,2.847e+3
299.357,7.812e+3,,7.812e+3
299.362,2.027e+4,,2.027e+4
299.367,4.974e+4,,4.974e+4
299.372,1.155e+5,,1.155e+5
299.377,2.534e+5,,2.534e+5
299.382,5.262e+5,,5.262e+5
299.387,1.033e+6,,1.033e+6
299.392,1.918e+6,,1.918e+6
299.397,3.369e+6,,3.369e+6
299.402,5.597e+6,,5.597e+6
299.407,8.792e+6,,8.792e+6
299.412,1.306e+7,,1.306e+7
299.417,1.835e+7,,1.835e+7
299.422,2.439e+7,,2.439e+7
299.427,3.066e+7,,3.066e+7
299.432,3.644e+7,,3.644e+7
299.437,4.097e+7,,4.097e+7
299.442,4.356e+7,,4.356e+7
299.447,4.381e+7,,4.381e+7
299.452,4.166e+7,,4.166e+7
299.457,3.747e+7,,3.747e+7
299.462,3.188e+7,,3.188e+7
299.467,2.565e+7,,2.565e+7
299.472,1.952e+7,,1.952e+7
299.477,1.404e+7,,1.404e+7
299.482,9.559e+6,,9.559e+6
299.487,6.153e+6,,6.153e+6
299.492,3.746e+6,,3.746e+6
299.497,2.157e+6,,2.157e+6
299.502,1.174e+6,,1.174e+6
299.507,6.049e+5,,6.049e+5
299.512,2.946e+5,,2.946e+5
299.517,1.357e+5,,1.357e+5
299.522,5.913e+4,,5.913e+4
299.527,2.437e+4,,2.437e+4
299.532,9.495e+3,,9.495e+3
299.537,3.500e+3,,3.500e+3
299.542,1.220e+3,,1.220e+3
299.547,4.022e+2,,4.022e+2
299.552,1.254e+2,,1.254e+2
299.557,3.698e+1,,3.698e+1
299.562,1.031e+1,,1.031e+1
299.567,2.720e+0,,2.720e+0
299.572,6.785e-1,,6.785e-1
299.577,1.601e-1,,1.601e-1
299.582,3.572e-2,,3.572e-2
299.587,7.538e-3,,7.538e-3
299.592,1.504e-3,,1.504e-3
299.597,2.840e-4,,2.840e-4
299.602,5.070e-5,,5.070e-5
299.607,8.560e-6,,8.560e-6
299.612,1.367e-6,,1.367e-6
299.617,2.064e-7,,2.064e-7
299.622,2.948e-8,,2.948e-8
299.627,3.983e-9,,3.983e-9
300.732,9.924e-7,9.924e-7,
300.737,7.125e-6,7.125e-6,
300.742,4.841e-5,4.841e-5,
300.747,3.113e-4,3.113e-4,
300.752,1.894e-3,1.894e-3,
300.757,1.090e-2,1.090e-2,
300.762,5.939e-2,5.939e-2,
300.767,3.062e-1,3.062e-1,
300.772,1.494e+0,1.494e+0,
300.777,6.895e+0,6.895e+0,
300.782,3.012e+1,3.012e+1,
300.787,1.245e+2,1.245e+2,
300.792,4.869e+2,4.869e+2,
300.797,1.802e+3,1.802e+3,
300.802,6.313e+3,6.313e+3,
300.807,2.092e+4,2.092e+4,
300.812,6.562e+4,6.562e+4,
300.817,1.947e+5,1.947e+5,
300.822,5.469e+5,5.469e+5,
300.827,1.453e+6,1.453e+6,
300.832,3.655e+6,3.655e+6,
300.837,8.697e+6,8.697e+6,
300.842,1.958e+7,1.958e+7,
300.847,4.173e+7,4.173e+7,
300.852,8.414e+7,8.414e+7,
300.857,1.605e+8,1.605e+8,
300.862,2.898e+8,2.898e+8,
300.867,4.952e+8,4.952e+8,
300.872,8.006e+8,8.006e+8,
300.877,1.225e+9,1.225e+9,
300.882,1.773e+9,1.773e+9,
300.887,2.429e+9,2.429e+9,
300.892,3.149e+9,3.149e+9,
300.897,3.863e+9,3.863e+9,
300.902,4.484e+9,4.484e+9,
300.907,4.925e+9,4.925e+9,
300.912,5.119e+9,5.119e+9,
300.917,5.035e+9,5.035e+9,
300.922,4.686e+9,4.686e+9,
300.927,4.127e+9,4.127e+9,
300.932,3.440e+9,3.440e+9,
300.937,2.713e+9,2.713e+9,
300.942,2.024e+9,2.024e+9,
300.947,1.430e+9,1.430e+9,
300.952,9.553e+8,9.553e+8,
300.957,6.041e+8,6.041e+8,
300.962,3.615e+8,3.615e+8,
300.967,2.047e+8,2.047e+8,
300.972,1.097e+8,1.097e+8,
300.977,5.561e+7,5.561e+7,
300.982,2.668e+7,2.668e+7,
300.987,1.211e+7,1.211e+7,
300.992,5.204e+6,5.204e+6,
300.997,2.116e+6,2.116e+6,
301.002,8.139e+5,8.139e+5,
301.007,2.963e+5,2.963e+5,
301.013,8.193e+4,8.193e+4,
301.018,2.641e+4,2.641e+4,
301.023,8.058e+3,8.058e+3,
301.028,2.326e+3,2.326e+3,
301.033,6.354e+2,6.354e+2,
301.038,1.643e+2,1.643e+2,
301.043,4.018e+1,4.018e+1,
301.048,9.301e+0,9.301e+0,
301.053,2.037e+0,2.037e+0,
301.058,4.222e-1,4.222e-1,
301.063,8.282e-2,8.282e-2,
301.068,1.537e-2,1.537e-2,
301.073,2.699e-3,2.699e-3,
301.078,4.486e-4,4.486e-4,
301.083,7.055e-5,7.055e-5,
301.088,1.050e-5,1.050e-5,
301.093,1.479e-6,1.479e-6,
302.213,6.388e-9,,6.388e-9
302.218,4.499e-8,,4.499e-8
302.223,3.000e-7,,3.000e-7
302.228,1.894e-6,,1.894e-6
302.233,1.132e-5,,1.132e-5
302.238,6.408e-5,,6.408e-5
