Wavelength (nm),Sum(calc),Ag I (7.1e-2),Ag II (9.3e-1)
205.79,3.102e-2,3.102e-2,1.810e-8
205.81,4.670e-1,4.670e-1,1.820e-8
205.83,5.933e+0,5.933e+0,1.831e-8
205.84,1.985e+1,1.985e+1,1.836e-8
205.86,1.956e+2,1.956e+2,1.847e-8
205.87,5.762e+2,5.762e+2,1.852e-8
205.89,4.404e+3,4.404e+3,1.863e-8
205.91,2.841e+4,2.841e+4,1.873e-8
205.92,6.771e+4,6.771e+4,1.879e-8
205.94,3.387e+5,3.387e+5,1.889e-8
205.96,1.431e+6,1.431e+6,1.900e-8
205.97,2.759e+6,2.759e+6,1.905e-8
205.99,9.035e+6,9.035e+6,1.916e-8
206.01,2.498e+7,2.498e+7,1.926e-8
206.02,3.897e+7,3.897e+7,1.931e-8
206.04,8.355e+7,8.355e+7,1.942e-8
206.06,1.512e+8,1.512e+8,1.953e-8
206.07,1.909e+8,1.909e+8,1.958e-8
206.09,2.679e+8,2.679e+8,1.969e-8
206.11,3.174e+8,3.174e+8,1.979e-8
206.12,3.242e+8,3.242e+8,1.984e-8
206.14,2.978e+8,2.978e+8,1.995e-8
206.16,2.310e+8,2.310e+8,2.006e-8
206.17,1.909e+8,1.909e+8,1.204e-7
206.19,1.148e+8,1.148e+8,3.825e-6
206.21,5.828e+7,5.828e+7,1.026e-4
206.22,3.897e+7,3.897e+7,4.990e-4
206.24,1.534e+7,1.534e+7,1.040e-2
206.26,5.099e+6,5.099e+6,1.830e-1
206.27,2.759e+6,2.759e+6,7.205e-1
206.29,7.110e+5,7.110e+5,9.846e+0
206.30,3.388e+5,3.387e+5,3.417e+1
206.32,6.807e+4,6.771e+4,3.625e+2
206.34,1.467e+4,1.142e+4,3.249e+3
206.35,1.353e+4,4.404e+3,9.130e+3
206.37,6.411e+4,5.762e+2,6.354e+4
206.39,3.736e+5,6.364e+1,3.735e+5
206.40,8.501e+5,1.985e+1,8.501e+5
206.42,3.880e+6,1.700e+0,3.880e+6
206.44,1.496e+7,1.229e-1,1.496e+7
206.45,2.758e+7,3.102e-2,2.758e+7
206.47,8.256e+7,1.739e-3,8.256e+7
206.49,2.088e+8,8.233e-5,2.088e+8
206.50,3.117e+8,1.681e-5,3.117e+8
206.52,6.120e+8,6.170e-7,6.120e+8
206.54,1.015e+9,1.912e-8,1.015e+9
206.55,1.227e+9,1.934e-8,1.227e+9
206.57,1.581e+9,1.978e-8,1.581e+9
206.59,1.720e+9,2.022e-8,1.720e+9
206.60,1.684e+9,2.044e-8,1.684e+9
206.62,1.423e+9,2.089e-8,1.423e+9
206.64,1.015e+9,2.133e-8,1.015e+9
206.65,8.051e+8,2.155e-8,8.051e+8
206.67,4.461e+8,2.199e-8,4.461e+8
206.69,2.088e+8,2.244e-8,2.088e+8
206.70,1.341e+8,2.266e-8,1.341e+8
206.72,4.873e+7,2.310e-8,4.873e+7
206.73,2.758e+7,2.332e-8,2.758e+7
206.75,7.781e+6,2.376e-8,7.781e+6
206.77,1.855e+6,2.421e-8,1.855e+6
206.78,8.501e+5,2.443e-8,8.501e+5
206.80,1.573e+5,2.487e-8,1.573e+5
206.82,2.460e+4,2.531e-8,2.460e+4
