Wavelength (nm),Sum(calc),Ag I (3.9e-1),Ag II (6.1e-1)
199.64,2.706e-11,,2.706e-11
199.65,1.829e-10,,1.829e-10
199.67,7.308e-9,,7.308e-9
199.69,2.438e-7,,2.438e-7
199.70,1.317e-6,,1.317e-6
199.72,3.355e-5,,3.355e-5
199.74,7.139e-4,,7.139e-4
199.75,3.079e-3,,3.079e-3
199.77,5.003e-2,,5.003e-2
199.79,6.792e-1,,6.792e-1
199.80,2.339e+0,,2.339e+0
199.82,2.424e+1,,2.424e+1
199.84,2.099e+2,,2.099e+2
199.85,5.774e+2,,5.774e+2
199.87,3.817e+3,,3.817e+3
199.89,2.108e+4,,2.108e+4
199.90,4.630e+4,,4.630e+4
199.92,1.952e+5,,1.952e+5
199.94,6.877e+5,,6.877e+5
199.95,1.207e+6,,1.207e+6
199.97,3.245e+6,,3.245e+6
199.99,7.290e+6,,7.290e+6
200.00,1.021e+7,,1.021e+7
200.02,1.752e+7,,1.752e+7
200.04,2.511e+7,,2.511e+7
200.05,2.809e+7,,2.809e+7
200.07,3.074e+7,,3.074e+7
200.08,3.006e+7,,3.006e+7
200.10,2.511e+7,,2.511e+7
200.12,1.752e+7,,1.752e+7
200.13,1.368e+7,,1.368e+7
200.15,7.290e+6,,7.290e+6
200.17,3.245e+6,,3.245e+6
200.18,2.024e+6,,2.024e+6
200.20,6.877e+5,,6.877e+5
200.22,1.952e+5,,1.952e+5
200.23,9.724e+4,,9.724e+4
200.25,2.108e+4,,2.108e+4
200.27,3.817e+3,,3.817e+3
200.28,1.518e+3,,1.518e+3
200.30,2.099e+2,,2.099e+2
200.32,2.424e+1,,2.424e+1
200.33,7.702e+0,,7.702e+0
200.35,6.792e-1,,6.792e-1
200.37,5.003e-2,,5.003e-2
200.38,1.269e-2,,1.269e-2
200.40,7.139e-4,,7.139e-4
200.42,3.355e-5,,3.355e-5
200.43,6.797e-6,,6.797e-6
200.45,2.438e-7,,2.438e-7
200.47,7.308e-9,,7.308e-9
200.48,1.183e-9,,1.183e-9
201.16,3.748e-11,,3.748e-11
201.18,1.547e-9,,1.547e-9
201.19,9.303e-9,,9.303e-9
201.21,2.945e-7,,2.945e-7
201.23,7.808e-6,,7.808e-6
201.24,3.762e-5,,3.762e-5
201.26,7.646e-4,,7.646e-4
201.28,1.302e-2,,1.302e-2
201.29,5.027e-2,,5.027e-2
201.31,6.561e-1,,6.561e-1
201.33,7.173e+0,,7.173e+0
201.34,2.219e+1,,2.219e+1
201.36,1.860e+2,,1.860e+2
