Wavelength (nm),Sum(calc),Ag I (1.6e-1),Ag II (8.4e-1)
199.64,1.664e-10,,1.664e-10
199.65,1.125e-9,,1.125e-9
199.67,4.493e-8,,4.493e-8
199.69,1.499e-6,,1.499e-6
199.70,8.096e-6,,8.096e-6
199.72,2.063e-4,,2.063e-4
199.74,4.390e-3,,4.390e-3
199.75,1.893e-2,,1.893e-2
199.77,3.076e-1,,3.076e-1
199.79,4.176e+0,,4.176e+0
199.80,1.438e+1,,1.438e+1
199.82,1.491e+2,,1.491e+2
199.84,1.291e+3,,1.291e+3
199.85,3.550e+3,,3.550e+3
199.87,2.347e+4,,2.347e+4
199.89,1.296e+5,,1.296e+5
199.90,2.847e+5,,2.847e+5
199.92,1.200e+6,,1.200e+6
199.94,4.228e+6,,4.228e+6
199.95,7.418e+6,,7.418e+6
199.97,1.995e+7,,1.995e+7
199.99,4.482e+7,,4.482e+7
200.00,6.280e+7,,6.280e+7
200.02,1.077e+8,,1.077e+8
200.04,1.544e+8,,1.544e+8
200.05,1.727e+8,,1.727e+8
200.07,1.890e+8,,1.890e+8
200.08,1.848e+8,,1.848e+8
200.10,1.544e+8,,1.544e+8
200.12,1.077e+8,,1.077e+8
200.13,8.412e+7,,8.412e+7
200.15,4.482e+7,,4.482e+7
200.17,1.995e+7,,1.995e+7
200.18,1.244e+7,,1.244e+7
200.20,4.228e+6,,4.228e+6
200.22,1.200e+6,,1.200e+6
200.23,5.979e+5,,5.979e+5
200.25,1.296e+5,,1.296e+5
200.27,2.347e+4,,2.347e+4
200.28,9.335e+3,,9.335e+3
200.30,1.291e+3,,1.291e+3
200.32,1.491e+2,,1.491e+2
200.33,4.735e+1,,4.735e+1
200.35,4.176e+0,,4.176e+0
200.37,3.076e-1,,3.076e-1
200.38,7.804e-2,,7.804e-2
200.40,4.390e-3,,4.390e-3
200.42,2.063e-4,,2.063e-4
200.43,4.179e-5,,4.179e-5
200.45,1.499e-6,,1.499e-6
200.47,4.493e-8,,4.493e-8
200.48,7.271e-9,,7.271e-9
201.16,2.352e-10,,2.352e-10
201.18,9.712e-9,,9.712e-9
201.19,5.840e-8,,5.840e-8
201.21,1.848e-6,,1.848e-6
201.23,4.901e-5,,4.901e-5
201.24,2.361e-4,,2.361e-4
201.26,4.800e-3,,4.800e-3
201.28,8.172e-2,,8.172e-2
201.29,3.155e-1,,3.155e-1
201.31,4.118e+0,,4.118e+0
201.33,4.503e+1,,4.503e+1
201.34,1.393e+2,,1.393e+2
201.36,1.168e+3,,1.168e+3
201.38,8.198e+3,,8.198e+3
201.39,2.033e+4,,2.033e+4
201.41,1.094e+5,,1.094e+5
201.42,2.375e+5,,2.375e+5
201.44,9.799e+5,,9.799e+5
201.46,3.387e+6,,3.387e+6
201.47,5.892e+6,,5.892e+6
201.49,1.561e+7,,1.561e+7
201.51,3.465e+7,,3.465e+7
201.52,4.830e+7,,4.830e+7
201.54,8.219e+7,,8.219e+7
201.56,1.171e+8,,1.171e+8
201.57,1.309e+8,,1.309e+8
201.59,1.430e+8,,1.430e+8
201.61,1.309e+8,,1.309e+8
201.62,1.171e+8,,1.171e+8
201.64,8.219e+7,,8.219e+7
201.66,4.830e+7,,4.830e+7
201.67,3.465e+7,,3.465e+7
201.69,1.561e+7,,1.561e+7
201.71,5.892e+6,,5.892e+6
201.72,3.387e+6,,3.387e+6
201.74,9.799e+5,,9.799e+5
201.76,2.375e+5,,2.375e+5
201.77,1.094e+5,,1.094e+5
201.79,2.033e+4,,2.033e+4
201.81,3.163e+3,,3.163e+3
201.82,1.168e+3,,1.168e+3
201.84,1.393e+2,,1.393e+2
201.85,4.503e+1,,4.503e+1
201.87,4.118e+0,,4.118e+0
201.89,3.155e-1,,3.155e-1
201.90,8.172e-2,,8.172e-2
201.92,4.800e-3,,4.800e-3
201.94,2.361e-4,,2.361e-4
201.95,4.901e-5,,4.901e-5
201.97,1.848e-6,,1.848e-6
201.99,5.840e-8,,5.840e-8
202.00,9.712e-9,,9.712e-9
202.96,3.280e-10,,3.280e-10
202.98,1.268e-8,,1.268e-8
203.00,4.120e-7,,4.120e-7
203.01,2.200e-6,,2.200e-6
203.03,5.505e-5,,5.505e-5
203.05,1.157e-3,,1.157e-3
203.06,4.972e-3,,4.972e-3
203.08,8.053e-2,,8.053e-2
203.10,1.096e+0,,1.096e+0
203.11,3.787e+0,,3.787e+0
203.13,3.969e+1,,3.969e+1
203.15,3.496e+2,,3.496e+2
203.16,9.719e+2,,9.719e+2
203.18,6.593e+3,,6.593e+3
203.19,1.609e+4,,1.609e+4
203.21,8.405e+4,,8.405e+4
203.23,3.690e+5,,3.690e+5
203.24,7.243e+5,,7.243e+5
203.26,2.449e+6,,2.449e+6
203.28,6.959e+6,,6.959e+6
203.29,1.099e+7,,1.099e+7
203.31,2.405e+7,,2.405e+7
203.33,4.423e+7,,4.423e+7
203.34,5.618e+7,,5.618e+7
203.36,7.958e+7,,7.958e+7
203.38,9.470e+7,,9.470e+7
203.39,9.679e+7,,9.679e+7
203.41,8.872e+7,,8.872e+7
203.43,6.833e+7,,6.833e+7
203.44,5.618e+7,,5.618e+7
203.46,3.333e+7,,3.333e+7
203.48,1.661e+7,,1.661e+7
203.49,1.099e+7,,1.099e+7
203.51,4.219e+6,,4.219e+6
203.53,1.361e+6,,1.361e+6
203.54,7.243e+5,,7.243e+5
203.56,1.800e+5,,1.800e+5
203.58,3.758e+4,,3.758e+4
203.59,1.609e+4,,1.609e+4
203.61,2.587e+3,,2.587e+3
203.62,9.719e+2,,9.719e+2
203.64,1.204e+2,,1.204e+2
203.66,1.253e+1,,1.253e+1
203.67,3.787e+0,,3.787e+0
203.69,3.036e-1,,3.036e-1
203.71,2.045e-2,,2.045e-2
203.72,4.972e-3,,4.972e-3
203.74,2.580e-4,,2.580e-4
203.76,1.125e-5,,1.125e-5
203.77,2.200e-6,,2.200e-6
203.79,7.387e-8,,7.387e-8
203.81,2.084e-9,,2.084e-9
205.68,6.583e-10,6.583e-10,4.843e-9
205.69,4.158e-9,4.158e-9,4.858e-9
205.71,1.461e-7,1.461e-7,4.887e-9
205.73,4.331e-6,4.331e-6,4.917e-9
205.74,2.213e-5,2.213e-5,4.931e-9
