Wavelength (nm),Sum(calc),Ag I (7.4e-1),Ag II (2.6e-1)
549.50,1.178e+1,,1.178e+1
549.52,1.009e+1,,1.009e+1
549.53,9.255e+0,,9.255e+0
549.55,7.647e+0,,7.647e+0
549.57,6.170e+0,,6.170e+0
549.58,5.492e+0,,5.492e+0
549.60,4.275e+0,,4.275e+0
549.62,3.250e+0,,3.250e+0
549.63,2.808e+0,,2.808e+0
549.65,2.059e+0,,2.059e+0
549.67,1.475e+0,,1.475e+0
549.68,1.237e+0,,1.237e+0
549.70,8.544e-1,,8.544e-1
549.72,5.764e-1,,5.764e-1
549.73,4.692e-1,,4.692e-1
549.75,3.054e-1,,3.054e-1
549.77,1.941e-1,,1.941e-1
549.78,1.534e-1,,1.534e-1
549.80,9.405e-2,,9.405e-2
549.82,5.631e-2,,5.631e-2
549.83,4.319e-2,,4.319e-2
549.85,2.495e-2,,2.495e-2
549.87,1.407e-2,,1.407e-2
549.88,1.048e-2,,1.048e-2
549.90,5.702e-3,,5.702e-3
549.91,4.169e-3,,4.169e-3
549.93,2.189e-3,,2.189e-3
549.95,1.123e-3,,1.123e-3
549.96,7.967e-4,,7.967e-4
549.98,3.942e-4,,3.942e-4
550.00,1.904e-4,,1.904e-4
550.01,1.312e-4,,1.312e-4
550.03,6.114e-5,,6.114e-5
550.05,2.782e-5,,2.782e-5
550.06,1.860e-5,,1.860e-5
550.08,8.169e-6,,8.169e-6
550.10,3.503e-6,,3.503e-6
550.11,2.273e-6,,2.273e-6
550.13,9.403e-7,,9.403e-7
550.15,3.798e-7,,3.798e-7
550.16,2.393e-7,,2.393e-7
550.18,9.325e-8,,9.325e-8
550.20,3.549e-8,,3.549e-8
550.21,2.170e-8,,2.170e-8
550.23,7.966e-9,,7.966e-9
550.25,2.856e-9,,2.856e-9
550.26,1.695e-9,,1.695e-9
550.28,5.863e-10,,5.863e-10
550.30,1.980e-10,,1.980e-10
550.31,1.141e-10,,1.141e-10
550.33,3.717e-11,,3.717e-11
550.34,2.103e-11,,2.103e-11
550.36,6.613e-12,,6.613e-12
550.38,2.030e-12,,2.030e-12
550.39,1.115e-12,,1.115e-12
550.41,3.303e-13,,3.303e-13
550.43,9.554e-14,,9.554e-14
550.44,5.092e-14,,5.092e-14
550.46,1.421e-14,,1.421e-14
550.48,3.873e-15,,3.873e-15
550.49,2.004e-15,,2.004e-15
553.19,7.425e-16,,7.425e-16
553.21,2.758e-15,,2.758e-15
553.22,5.269e-15,,5.269e-15
553.24,1.889e-14,,1.889e-14
553.26,6.618e-14,,6.618e-14
553.27,1.228e-13,,1.228e-13
553.29,4.153e-13,,4.153e-13
553.31,1.372e-12,,1.372e-12
553.32,2.472e-12,,2.472e-12
553.34,7.884e-12,,7.884e-12
553.36,2.456e-11,,2.456e-11
553.37,4.298e-11,,4.298e-11
553.39,1.293e-10,,1.293e-10
553.41,3.799e-10,,3.799e-10
553.42,6.455e-10,,6.455e-10
553.44,1.831e-9,,1.831e-9
553.45,3.057e-9,,3.057e-9
553.47,8.374e-9,,8.374e-9
553.49,2.241e-8,,2.241e-8
553.50,3.633e-8,,3.633e-8
553.52,9.384e-8,,9.384e-8
553.54,2.368e-7,,2.368e-7
553.55,3.728e-7,,3.728e-7
553.57,9.083e-7,,9.083e-7
553.59,2.161e-6,,2.161e-6
553.60,3.305e-6,,3.305e-6
553.62,7.594e-6,,7.594e-6
553.64,1.704e-5,,1.704e-5
553.65,2.531e-5,,2.531e-5
553.67,5.484e-5,,5.484e-5
553.69,1.161e-4,,1.161e-4
553.70,1.674e-4,,1.674e-4
553.72,3.421e-4,,3.421e-4
553.74,6.828e-4,,6.828e-4
553.75,9.563e-4,,9.563e-4
553.77,1.843e-3,,1.843e-3
553.79,3.470e-3,,3.470e-3
553.80,4.719e-3,,4.719e-3
553.82,8.578e-3,,8.578e-3
553.84,1.523e-2,,1.523e-2
553.85,2.012e-2,,2.012e-2
553.87,3.448e-2,,3.448e-2
553.89,5.774e-2,,5.774e-2
553.90,7.406e-2,,7.406e-2
553.92,1.197e-1,,1.197e-1
553.93,1.509e-1,,1.509e-1
553.95,2.355e-1,,2.355e-1
553.97,3.591e-1,,3.591e-1
553.98,4.395e-1,,4.395e-1
554.00,6.470e-1,,6.470e-1
554.02,9.304e-1,,9.304e-1
554.03,1.106e+0,,1.106e+0
554.05,1.535e+0,,1.535e+0
554.07,2.082e+0,,2.082e+0
554.08,2.403e+0,,2.403e+0
554.10,3.146e+0,,3.146e+0
554.12,4.024e+0,,4.024e+0
554.13,4.511e+0,,4.511e+0
554.15,5.570e+0,,5.570e+0
554.17,6.719e+0,,6.719e+0
554.18,7.314e+0,,7.314e+0
554.20,8.518e+0,,8.518e+0
554.22,9.689e+0,,9.689e+0
554.23,1.024e+1,,1.024e+1
554.25,1.125e+1,,1.125e+1
554.27,1.207e+1,,1.207e+1
554.28,1.239e+1,,1.239e+1
554.30,1.284e+1,,1.284e+1
554.32,1.299e+1,,1.299e+1
554.33,1.295e+1,,1.295e+1
554.35,1.265e+1,,1.265e+1
554.36,1.239e+1,,1.239e+1
554.38,1.169e+1,,1.169e+1
554.40,1.077e+1,,1.077e+1
554.41,1.024e+1,,1.024e+1
554.43,9.111e+0,,9.111e+0
554.45,7.916e+0,,7.916e+0
554.46,7.314e+0,,7.314e+0
554.48,6.136e+0,,6.136e+0
554.50,5.028e+0,,5.028e+0
554.51,4.511e+0,,4.511e+0
554.53,3.569e+0,,3.569e+0
554.55,2.758e+0,,2.758e+0
554.56,2.404e+0,,2.404e+0
554.58,1.795e+0,,1.795e+0
554.60,1.310e+0,,1.310e+0
554.61,1.111e+0,,1.111e+0
554.63,7.872e-1,,7.872e-1
554.65,5.521e-1,,5.521e-1
554.66,4.631e-1,,4.631e-1
554.68,3.348e-1,,3.348e-1
554.70,2.664e-1,,2.664e-1
554.71,2.536e-1,,2.536e-1
554.73,2.722e-1,,2.722e-1
554.75,3.584e-1,,3.584e-1
554.76,4.324e-1,,4.324e-1
554.78,6.596e-1,,6.596e-1
554.79,8.222e-1,,8.222e-1
554.81,1.276e+0,,1.276e+0
554.83,1.955e+0,,1.955e+0
554.84,2.402e+0,,2.402e+0
554.86,3.569e+0,,3.569e+0
554.88,5.183e+0,,5.183e+0
554.89,6.193e+0,,6.193e+0
554.91,8.689e+0,,8.689e+0
554.93,1.191e+1,,1.191e+1
554.94,1.382e+1,,1.382e+1
554.96,1.829e+1,,1.829e+1
554.98,2.365e+1,,2.365e+1
554.99,2.666e+1,,2.666e+1
555.01,3.329e+1,,3.329e+1
555.03,4.060e+1,,4.060e+1
555.04,4.444e+1,,4.444e+1
555.06,5.234e+1,,5.234e+1
555.08,6.021e+1,,6.021e+1
555.09,6.402e+1,,6.402e+1
555.11,7.111e+1,,7.111e+1
555.13,7.717e+1,,7.717e+1
555.14,7.969e+1,,7.969e+1
555.16,8.350e+1,,8.350e+1
555.18,8.548e+1,,8.548e+1
555.19,8.573e+1,,8.573e+1
555.21,8.473e+1,,8.473e+1
555.22,8.350e+1,,8.350e+1
555.24,7.969e+1,,7.969e+1
555.26,7.430e+1,,7.430e+1
555.27,7.112e+1,,7.112e+1
555.29,6.402e+1,,6.402e+1
555.31,5.631e+1,,5.631e+1
555.32,5.235e+1,,5.235e+1
555.34,4.446e+1,,4.446e+1
555.36,3.689e+1,,3.689e+1
555.37,3.332e+1,,3.332e+1
555.39,2.671e+1,,2.671e+1
555.41,2.095e+1,,2.095e+1
555.42,1.840e+1,,1.840e+1
555.44,1.399e+1,,1.399e+1
555.46,1.045e+1,,1.045e+1
555.47,8.995e+0,,8.995e+0
