Wavelength (nm),Sum(calc),Ag I (4.3e-1),Ag II (5.7e-1)
199.64,3.676e-10,,3.676e-10
199.65,2.485e-9,,2.485e-9
199.67,9.927e-8,,9.927e-8
199.69,3.312e-6,,3.312e-6
199.70,1.789e-5,,1.789e-5
199.72,4.557e-4,,4.557e-4
199.74,9.698e-3,,9.698e-3
199.75,4.182e-2,,4.182e-2
199.77,6.796e-1,,6.796e-1
199.79,9.225e+0,,9.225e+0
199.80,3.177e+1,,3.177e+1
199.82,3.293e+2,,3.293e+2
199.84,2.851e+3,,2.851e+3
199.85,7.843e+3,,7.843e+3
199.87,5.185e+4,,5.185e+4
199.89,2.863e+5,,2.863e+5
199.90,6.290e+5,,6.290e+5
199.92,2.652e+6,,2.652e+6
199.94,9.342e+6,,9.342e+6
199.95,1.639e+7,,1.639e+7
199.97,4.408e+7,,4.408e+7
199.99,9.903e+7,,9.903e+7
200.00,1.387e+8,,1.387e+8
200.02,2.380e+8,,2.380e+8
200.04,3.410e+8,,3.410e+8
200.05,3.816e+8,,3.816e+8
200.07,4.175e+8,,4.175e+8
200.08,4.083e+8,,4.083e+8
200.10,3.410e+8,,3.410e+8
200.12,2.380e+8,,2.380e+8
200.13,1.859e+8,,1.859e+8
200.15,9.903e+7,,9.903e+7
200.17,4.408e+7,,4.408e+7
200.18,2.749e+7,,2.749e+7
200.20,9.342e+6,,9.342e+6
200.22,2.652e+6,,2.652e+6
200.23,1.321e+6,,1.321e+6
200.25,2.863e+5,,2.863e+5
200.27,5.185e+4,,5.185e+4
200.28,2.062e+4,,2.062e+4
200.30,2.851e+3,,2.851e+3
200.32,3.293e+2,,3.293e+2
200.33,1.046e+2,,1.046e+2
200.35,9.225e+0,,9.225e+0
200.37,6.796e-1,,6.796e-1
200.38,1.724e-1,,1.724e-1
200.40,9.698e-3,,9.698e-3
200.42,4.557e-4,,4.557e-4
200.43,9.233e-5,,9.233e-5
200.45,3.312e-6,,3.312e-6
200.47,9.927e-8,,9.927e-8
200.48,1.606e-8,,1.606e-8
201.16,5.283e-10,,5.283e-10
201.18,2.181e-8,,2.181e-8
201.19,1.312e-7,,1.312e-7
201.21,4.152e-6,,4.152e-6
201.23,1.101e-4,,1.101e-4
201.24,5.304e-4,,5.304e-4
201.26,1.078e-2,,1.078e-2
201.28,1.835e-1,,1.835e-1
201.29,7.087e-1,,7.087e-1
201.31,9.250e+0,,9.250e+0
201.33,1.011e+2,,1.011e+2
201.34,3.129e+2,,3.129e+2
201.36,2.623e+3,,2.623e+3
201.38,1.841e+4,,1.841e+4
201.39,4.565e+4,,4.565e+4
201.41,2.457e+5,,2.457e+5
201.42,5.334e+5,,5.334e+5
201.44,2.201e+6,,2.201e+6
201.46,7.607e+6,,7.607e+6
201.47,1.323e+7,,1.323e+7
201.49,3.507e+7,,3.507e+7
201.51,7.783e+7,,7.783e+7
201.52,1.085e+8,,1.085e+8
201.54,1.846e+8,,1.846e+8
201.56,2.631e+8,,2.631e+8
201.57,2.939e+8,,2.939e+8
201.59,3.211e+8,,3.211e+8
201.61,2.939e+8,,2.939e+8
201.62,2.631e+8,,2.631e+8
201.64,1.846e+8,,1.846e+8
201.66,1.085e+8,,1.085e+8
201.67,7.783e+7,,7.783e+7
201.69,3.507e+7,,3.507e+7
201.71,1.323e+7,,1.323e+7
201.72,7.607e+6,,7.607e+6
201.74,2.201e+6,,2.201e+6
201.76,5.334e+5,,5.334e+5
201.77,2.457e+5,,2.457e+5
201.79,4.565e+4,,4.565e+4
201.81,7.105e+3,,7.105e+3
201.82,2.623e+3,,2.623e+3
201.84,3.129e+2,,3.129e+2
201.85,1.011e+2,,1.011e+2
201.87,9.250e+0,,9.250e+0
201.89,7.087e-1,,7.087e-1
201.90,1.835e-1,,1.835e-1
201.92,1.078e-2,,1.078e-2
201.94,5.304e-4,,5.304e-4
201.95,1.101e-4,,1.101e-4
201.97,4.152e-6,,4.152e-6
201.99,1.312e-7,,1.312e-7
202.00,2.181e-8,,2.181e-8
202.96,7.322e-10,,7.322e-10
202.98,2.831e-8,,2.831e-8
203.00,9.198e-7,,9.198e-7
203.01,4.911e-6,,4.911e-6
203.03,1.229e-4,,1.229e-4
203.05,2.584e-3,,2.584e-3
203.06,1.110e-2,,1.110e-2
203.08,1.798e-1,,1.798e-1
203.10,2.447e+0,,2.447e+0
203.11,8.455e+0,,8.455e+0
203.13,8.862e+1,,8.862e+1
203.15,7.805e+2,,7.805e+2
203.16,2.170e+3,,2.170e+3
203.18,1.472e+4,,1.472e+4
203.19,3.592e+4,,3.592e+4
203.21,1.877e+5,,1.877e+5
203.23,8.238e+5,,8.238e+5
203.24,1.617e+6,,1.617e+6
203.26,5.468e+6,,5.468e+6
203.28,1.554e+7,,1.554e+7
203.29,2.453e+7,,2.453e+7
203.31,5.369e+7,,5.369e+7
203.33,9.874e+7,,9.874e+7
203.34,1.254e+8,,1.254e+8
203.36,1.777e+8,,1.777e+8
203.38,2.114e+8,,2.114e+8
203.39,2.161e+8,,2.161e+8
203.41,1.981e+8,,1.981e+8
203.43,1.526e+8,,1.526e+8
203.44,1.254e+8,,1.254e+8
203.46,7.441e+7,,7.441e+7
203.48,3.709e+7,,3.709e+7
203.49,2.453e+7,,2.453e+7
203.51,9.420e+6,,9.420e+6
203.53,3.039e+6,,3.039e+6
203.54,1.617e+6,,1.617e+6
203.56,4.018e+5,,4.018e+5
203.58,8.390e+4,,8.390e+4
203.59,3.592e+4,,3.592e+4
203.61,5.776e+3,,5.776e+3
203.62,2.170e+3,,2.170e+3
203.64,2.688e+2,,2.688e+2
203.66,2.797e+1,,2.797e+1
203.67,8.455e+0,,8.455e+0
203.69,6.778e-1,,6.778e-1
203.71,4.566e-2,,4.566e-2
203.72,1.110e-2,,1.110e-2
203.74,5.760e-4,,5.760e-4
203.76,2.511e-5,,2.511e-5
203.77,4.911e-6,,4.911e-6
203.79,1.649e-7,,1.649e-7
203.81,4.653e-9,,4.653e-9
205.68,3.057e-9,3.057e-9,1.071e-8
205.69,1.931e-8,1.931e-8,1.074e-8
205.71,6.783e-7,6.783e-7,1.081e-8
205.73,2.011e-5,2.011e-5,1.087e-8
205.74,1.028e-4,1.028e-4,1.090e-8
205.76,2.363e-3,2.363e-3,1.097e-8
205.78,4.588e-2,4.588e-2,1.103e-8
205.79,1.897e-1,1.897e-1,1.107e-8
205.81,2.855e+0,2.855e+0,1.113e-8
205.83,3.628e+1,3.628e+1,1.120e-8
205.84,1.214e+2,1.214e+2,1.123e-8
205.86,1.196e+3,1.196e+3,1.129e-8
205.87,3.523e+3,3.523e+3,1.132e-8
205.89,2.693e+4,2.693e+4,1.139e-8
205.91,1.737e+5,1.737e+5,1.145e-8
205.92,4.140e+5,4.140e+5,1.149e-8
205.94,2.071e+6,2.071e+6,1.155e-8
205.96,8.747e+6,8.747e+6,1.162e-8
205.97,1.687e+7,1.687e+7,1.165e-8
205.99,5.525e+7,5.525e+7,1.171e-8
206.01,1.527e+8,1.527e+8,1.178e-8
206.02,2.383e+8,2.383e+8,1.181e-8
206.04,5.109e+8,5.109e+8,1.188e-8
206.06,9.246e+8,9.246e+8,1.194e-8
206.07,1.167e+9,1.167e+9,1.197e-8
206.09,1.638e+9,1.638e+9,1.204e-8
206.11,1.941e+9,1.941e+9,1.210e-8
206.12,1.982e+9,1.982e+9,1.213e-8
206.14,1.821e+9,1.821e+9,1.220e-8
206.16,1.412e+9,1.412e+9,1.226e-8
206.17,1.167e+9,1.167e+9,7.363e-8
206.19,7.020e+8,7.020e+8,2.339e-6
206.21,3.564e+8,3.564e+8,6.275e-5
206.22,2.383e+8,2.383e+8,3.051e-4
206.24,9.382e+7,9.382e+7,6.357e-3
206.26,3.118e+7,3.118e+7,1.119e-1
206.27,1.687e+7,1.687e+7,4.406e-1
206.29,4.348e+6,4.348e+6,6.021e+0
206.30,2.071e+6,2.071e+6,2.089e+1
206.32,4.142e+5,4.140e+5,2.216e+2
206.34,7.184e+4,6.985e+4,1.987e+3
206.35,3.251e+4,2.693e+4,5.583e+3
206.37,4.237e+4,3.523e+3,3.885e+4
206.39,2.288e+5,3.892e+2,2.284e+5
206.40,5.199e+5,1.214e+2,5.198e+5
206.42,2.373e+6,1.040e+1,2.373e+6
206.44,9.148e+6,7.517e-1,9.148e+6
206.45,1.686e+7,1.897e-1,1.686e+7
206.47,5.048e+7,1.064e-2,5.048e+7
206.49,1.277e+8,5.034e-4,1.277e+8
206.50,1.906e+8,1.028e-4,1.906e+8
206.52,3.742e+8,3.773e-6,3.742e+8
206.54,6.208e+8,1.169e-7,6.208e+8
206.55,7.505e+8,1.182e-7,7.505e+8
206.57,9.666e+8,1.210e-7,9.666e+8
206.59,1.052e+9,1.237e-7,1.052e+9
206.60,1.030e+9,1.250e-7,1.030e+9
206.62,8.699e+8,1.277e-7,8.699e+8
206.64,6.208e+8,1.304e-7,6.208e+8
206.65,4.923e+8,1.318e-7,4.923e+8
206.67,2.728e+8,1.345e-7,2.728e+8
206.69,1.277e+8,1.372e-7,1.277e+8
206.70,8.199e+7,1.385e-7,8.199e+7
206.72,2.980e+7,1.413e-7,2.980e+7
206.73,1.686e+7,1.426e-7,1.686e+7
206.75,4.758e+6,1.453e-7,4.758e+6
206.77,1.134e+6,1.480e-7,1.134e+6
206.78,5.198e+5,1.494e-7,5.198e+5
206.80,9.620e+4,1.521e-7,9.620e+4
206.82,1.504e+4,1.548e-7,1.504e+4
206.83,5.583e+3,1.561e-7,5.583e+3
206.85,6.777e+2,1.588e-7,6.777e+2
206.87,6.950e+1,1.615e-7,6.950e+1
206.88,2.089e+1,1.629e-7,2.089e+1
206.90,1.663e+0,1.656e-7,1.663e+0
206.92,1.119e-1,1.683e-7,1.119e-1
206.93,2.724e-2,1.697e-7,2.724e-2
206.95,1.422e-3,1.724e-7,1.422e-3
206.97,6.275e-5,1.751e-7,6.275e-5
206.98,1.237e-5,1.764e-7,1.237e-5
207.00,4.238e-7,1.791e-7,4.238e-7
207.02,1.226e-8,1.818e-7,1.226e-8
207.12,1.605e-10,1.954e-7,1.605e-10
207.13,9.479e-10,1.967e-7,9.479e-10
207.15,2.916e-8,1.994e-7,2.916e-8
207.17,7.589e-7,2.021e-7,7.589e-7
207.18,3.637e-6,2.035e-7,3.637e-6
207.20,7.366e-5,2.062e-7,7.366e-5
207.21,3.114e-4,2.076e-7,3.114e-4
207.23,4.909e-3,2.103e-7,4.909e-3
207.25,6.547e-2,2.130e-7,6.547e-2
207.26,2.246e-1,2.143e-7,2.246e-1
207.28,2.331e+0,2.170e-7,2.331e+0
207.30,2.047e+1,2.197e-7,2.047e+1
207.31,5.699e+1,2.211e-7,5.699e+1
207.33,3.895e+2,2.238e-7,3.895e+2
207.35,2.253e+3,2.265e-7,2.253e+3
207.36,5.088e+3,2.279e-7,5.088e+3
207.38,2.290e+4,2.306e-7,2.290e+4
207.40,8.720e+4,2.333e-7,8.720e+4
207.41,1.598e+5,2.346e-7,1.598e+5
207.43,4.736e+5,2.373e-7,4.736e+5
207.45,1.188e+6,2.400e-7,1.188e+6
207.46,1.766e+6,2.414e-7,1.766e+6
207.48,3.447e+6,2.441e-7,3.447e+6
207.50,5.691e+6,2.468e-7,5.691e+6
207.51,6.868e+6,2.481e-7,6.868e+6
207.53,8.825e+6,2.509e-7,8.825e+6
207.55,9.594e+6,2.536e-7,9.594e+6
207.56,9.396e+6,2.549e-7,9.396e+6
207.58,7.949e+6,2.576e-7,7.949e+6
207.60,5.691e+6,2.603e-7,5.691e+6
207.61,4.522e+6,2.617e-7,4.522e+6
207.63,2.519e+6,2.644e-7,2.519e+6
207.64,1.766e+6,2.657e-7,1.766e+6
207.66,7.658e+5,2.684e-7,7.658e+5
207.68,2.809e+5,2.711e-7,2.809e+5
207.69,1.598e+5,2.725e-7,1.598e+5
207.71,4.563e+4,2.752e-7,4.563e+4
207.73,1.102e+4,2.779e-7,1.102e+4
207.74,5.088e+3,2.793e-7,5.088e+3
207.76,9.565e+2,2.820e-7,9.565e+2
207.78,1.521e+2,2.847e-7,1.521e+2
207.79,5.699e+1,2.860e-7,5.699e+1
207.81,7.055e+0,2.887e-7,7.055e+0
207.83,7.389e-1,2.914e-7,7.389e-1
207.84,2.246e-1,2.928e-7,2.246e-1
207.86,1.831e-2,2.955e-7,1.831e-2
207.88,1.262e-3,2.982e-7,1.262e-3
207.89,3.114e-4,2.996e-7,3.114e-4
207.91,1.671e-5,3.023e-7,1.671e-5
207.93,7.589e-7,3.050e-7,7.589e-7
207.94,1.519e-7,3.063e-7,1.519e-7
207.96,5.368e-9,3.090e-7,5.368e-9
207.98,1.605e-10,3.117e-7,1.605e-10
210.94,1.040e-7,7.123e-7,1.040e-7
210.95,6.000e-7,7.136e-7,6.000e-7
210.97,1.769e-5,7.163e-7,1.769e-5
210.99,4.440e-4,7.190e-7,4.440e-4
211.00,2.094e-3,7.204e-7,2.094e-3
211.02,4.126e-2,7.231e-7,4.126e-2
211.04,6.922e-1,7.258e-7,6.922e-1
211.05,2.669e+0,7.271e-7,2.669e+0
211.07,3.516e+1,7.299e-7,3.516e+1
211.09,3.942e+2,7.326e-7,3.942e+2
211.10,1.243e+3,7.339e-7,1.243e+3
211.12,1.094e+4,7.366e-7,1.094e+4
211.14,8.200e+4,7.393e-7,8.200e+4
