Wavelength (nm),Sum(calc),Ag I (2.3e-1),Ag II (7.7e-1)
199.64,4.849e-12,,4.849e-12
199.65,3.279e-11,,3.279e-11
199.67,1.310e-9,,1.310e-9
199.69,4.370e-8,,4.370e-8
199.70,2.360e-7,,2.360e-7
199.72,6.012e-6,,6.012e-6
199.74,1.280e-4,,1.280e-4
199.75,5.518e-4,,5.518e-4
199.77,8.966e-3,,8.966e-3
199.79,1.217e-1,,1.217e-1
199.80,4.192e-1,,4.192e-1
199.82,4.345e+0,,4.345e+0
199.84,3.762e+1,,3.762e+1
199.85,1.035e+2,,1.035e+2
199.87,6.840e+2,,6.840e+2
199.89,3.778e+3,,3.778e+3
199.90,8.298e+3,,8.298e+3
199.92,3.499e+4,,3.499e+4
199.94,1.232e+5,,1.232e+5
199.95,2.162e+5,,2.162e+5
199.97,5.815e+5,,5.815e+5
199.99,1.306e+6,,1.306e+6
200.00,1.831e+6,,1.831e+6
200.02,3.140e+6,,3.140e+6
200.04,4.500e+6,,4.500e+6
200.05,5.035e+6,,5.035e+6
200.07,5.509e+6,,5.509e+6
200.08,5.386e+6,,5.386e+6
200.10,4.500e+6,,4.500e+6
200.12,3.140e+6,,3.140e+6
200.13,2.452e+6,,2.452e+6
200.15,1.306e+6,,1.306e+6
200.17,5.815e+5,,5.815e+5
200.18,3.627e+5,,3.627e+5
200.20,1.232e+5,,1.232e+5
200.22,3.499e+4,,3.499e+4
200.23,1.743e+4,,1.743e+4
200.25,3.778e+3,,3.778e+3
200.27,6.840e+2,,6.840e+2
200.28,2.721e+2,,2.721e+2
200.30,3.762e+1,,3.762e+1
200.32,4.345e+0,,4.345e+0
200.33,1.380e+0,,1.380e+0
200.35,1.217e-1,,1.217e-1
200.37,8.966e-3,,8.966e-3
200.38,2.275e-3,,2.275e-3
200.40,1.280e-4,,1.280e-4
200.42,6.012e-6,,6.012e-6
200.43,1.218e-6,,1.218e-6
200.45,4.370e-8,,4.370e-8
200.47,1.310e-9,,1.310e-9
200.48,2.119e-10,,2.119e-10
201.16,6.540e-12,,6.540e-12
201.18,2.700e-10,,2.700e-10
201.19,1.624e-9,,1.624e-9
201.21,5.139e-8,,5.139e-8
201.23,1.363e-6,,1.363e-6
201.24,6.565e-6,,6.565e-6
201.26,1.334e-4,,1.334e-4
201.28,2.272e-3,,2.272e-3
201.29,8.772e-3,,8.772e-3
201.31,1.145e-1,,1.145e-1
201.33,1.252e+0,,1.252e+0
201.34,3.873e+0,,3.873e+0
201.36,3.246e+1,,3.246e+1
201.38,2.279e+2,,2.279e+2
201.39,5.651e+2,,5.651e+2
201.41,3.042e+3,,3.042e+3
201.42,6.603e+3,,6.603e+3
