Wavelength (nm),Sum(calc),Ag I (9.7e-1),Ag II (3.3e-2)
199.64,2.079e-13,,2.079e-13
199.65,1.406e-12,,1.406e-12
199.67,5.615e-11,,5.615e-11
199.69,1.874e-9,,1.874e-9
199.70,1.012e-8,,1.012e-8
199.72,2.578e-7,,2.578e-7
199.74,5.486e-6,,5.486e-6
199.75,2.366e-5,,2.366e-5
199.77,3.844e-4,,3.844e-4
199.79,5.219e-3,,5.219e-3
199.80,1.797e-2,,1.797e-2
199.82,1.863e-1,,1.863e-1
199.84,1.613e+0,,1.613e+0
199.85,4.437e+0,,4.437e+0
199.87,2.933e+1,,2.933e+1
199.89,1.620e+2,,1.620e+2
199.90,3.558e+2,,3.558e+2
199.92,1.500e+3,,1.500e+3
199.94,5.285e+3,,5.285e+3
199.95,9.271e+3,,9.271e+3
199.97,2.493e+4,,2.493e+4
199.99,5.602e+4,,5.602e+4
200.00,7.849e+4,,7.849e+4
200.02,1.346e+5,,1.346e+5
200.04,1.929e+5,,1.929e+5
200.05,2.159e+5,,2.159e+5
200.07,2.362e+5,,2.362e+5
200.08,2.310e+5,,2.310e+5
200.10,1.929e+5,,1.929e+5
200.12,1.346e+5,,1.346e+5
200.13,1.051e+5,,1.051e+5
200.15,5.602e+4,,5.602e+4
200.17,2.493e+4,,2.493e+4
200.18,1.555e+4,,1.555e+4
200.20,5.285e+3,,5.285e+3
200.22,1.500e+3,,1.500e+3
200.23,7.472e+2,,7.472e+2
200.25,1.620e+2,,1.620e+2
200.27,2.933e+1,,2.933e+1
200.28,1.167e+1,,1.167e+1
200.30,1.613e+0,,1.613e+0
200.32,1.863e-1,,1.863e-1
200.33,5.918e-2,,5.918e-2
200.35,5.219e-3,,5.219e-3
200.37,3.844e-4,,3.844e-4
200.38,9.754e-5,,9.754e-5
200.40,5.486e-6,,5.486e-6
200.42,2.578e-7,,2.578e-7
200.43,5.223e-8,,5.223e-8
200.45,1.874e-9,,1.874e-9
200.47,5.615e-11,,5.615e-11
200.48,9.087e-12,,9.087e-12
201.16,2.804e-13,,2.804e-13
201.18,1.158e-11,,1.158e-11
201.19,6.961e-11,,6.961e-11
201.21,2.204e-9,,2.204e-9
201.23,5.842e-8,,5.842e-8
201.24,2.815e-7,,2.815e-7
201.26,5.722e-6,,5.722e-6
201.28,9.742e-5,,9.742e-5
201.29,3.761e-4,,3.761e-4
201.31,4.909e-3,,4.909e-3
201.33,5.368e-2,,5.368e-2
201.34,1.661e-1,,1.661e-1
201.36,1.392e+0,,1.392e+0
201.38,9.773e+0,,9.773e+0
201.39,2.423e+1,,2.423e+1
201.41,1.304e+2,,1.304e+2
201.42,2.831e+2,,2.831e+2
201.44,1.168e+3,,1.168e+3
201.46,4.038e+3,,4.038e+3
201.47,7.024e+3,,7.024e+3
201.49,1.861e+4,,1.861e+4
201.51,4.131e+4,,4.131e+4
201.52,5.758e+4,,5.758e+4
201.54,9.798e+4,,9.798e+4
201.56,1.396e+5,,1.396e+5
201.57,1.560e+5,,1.560e+5
201.59,1.704e+5,,1.704e+5
201.61,1.560e+5,,1.560e+5
201.62,1.396e+5,,1.396e+5
201.64,9.798e+4,,9.798e+4
201.66,5.758e+4,,5.758e+4
201.67,4.131e+4,,4.131e+4
201.69,1.861e+4,,1.861e+4
201.71,7.024e+3,,7.024e+3
201.72,4.038e+3,,4.038e+3
201.74,1.168e+3,,1.168e+3
201.76,2.831e+2,,2.831e+2
201.77,1.304e+2,,1.304e+2
201.79,2.423e+1,,2.423e+1
201.81,3.771e+0,,3.771e+0
201.82,1.392e+0,,1.392e+0
201.84,1.661e-1,,1.661e-1
201.85,5.368e-2,,5.368e-2
201.87,4.909e-3,,4.909e-3
201.89,3.761e-4,,3.761e-4
201.90,9.742e-5,,9.742e-5
201.92,5.722e-6,,5.722e-6
201.94,2.815e-7,,2.815e-7
201.95,5.842e-8,,5.842e-8
201.97,2.204e-9,,2.204e-9
201.99,6.961e-11,,6.961e-11
202.00,1.158e-11,,1.158e-11
202.96,3.978e-13,,3.978e-13
202.98,1.538e-11,,1.538e-11
203.00,4.997e-10,,4.997e-10
203.01,2.668e-9,,2.668e-9
203.03,6.677e-8,,6.677e-8
203.05,1.404e-6,,1.404e-6
203.06,6.031e-6,,6.031e-6
203.08,9.767e-5,,9.767e-5
203.10,1.329e-3,,1.329e-3
203.11,4.593e-3,,4.593e-3
203.13,4.815e-2,,4.815e-2
203.15,4.240e-1,,4.240e-1
203.16,1.179e+0,,1.179e+0
203.18,7.997e+0,,7.997e+0
203.19,1.951e+1,,1.951e+1
203.21,1.019e+2,,1.019e+2
203.23,4.476e+2,,4.476e+2
203.24,8.785e+2,,8.785e+2
203.26,2.971e+3,,2.971e+3
203.28,8.441e+3,,8.441e+3
203.29,1.333e+4,,1.333e+4
203.31,2.917e+4,,2.917e+4
203.33,5.364e+4,,5.364e+4
203.34,6.815e+4,,6.815e+4
203.36,9.652e+4,,9.652e+4
203.38,1.149e+5,,1.149e+5
203.39,1.174e+5,,1.174e+5
203.41,1.076e+5,,1.076e+5
203.43,8.288e+4,,8.288e+4
203.44,6.815e+4,,6.815e+4
203.46,4.043e+4,,4.043e+4
203.48,2.015e+4,,2.015e+4
203.49,1.333e+4,,1.333e+4
203.51,5.118e+3,,5.118e+3
203.53,1.651e+3,,1.651e+3
203.54,8.785e+2,,8.785e+2
203.56,2.183e+2,,2.183e+2
203.58,4.558e+1,,4.558e+1
203.59,1.951e+1,,1.951e+1
203.61,3.138e+0,,3.138e+0
203.62,1.179e+0,,1.179e+0
203.64,1.460e-1,,1.460e-1
203.66,1.520e-2,,1.520e-2
203.67,4.593e-3,,4.593e-3
203.69,3.682e-4,,3.682e-4
203.71,2.480e-5,,2.480e-5
203.72,6.031e-6,,6.031e-6
203.74,3.129e-7,,3.129e-7
203.76,1.364e-8,,1.364e-8
203.77,2.668e-9,,2.668e-9
203.79,8.959e-11,,8.959e-11
203.81,2.528e-12,,2.528e-12
205.68,6.578e-10,6.578e-10,6.037e-12
205.69,4.155e-9,4.155e-9,6.056e-12
205.71,1.459e-7,1.459e-7,6.093e-12
205.73,4.328e-6,4.328e-6,6.131e-12
205.74,2.211e-5,2.211e-5,6.149e-12
205.76,5.085e-4,5.085e-4,6.187e-12
205.78,9.871e-3,9.871e-3,6.225e-12
205.79,4.081e-2,4.081e-2,6.243e-12
205.81,6.143e-1,6.143e-1,6.281e-12
205.83,7.806e+0,7.806e+0,6.318e-12
205.84,2.611e+1,2.611e+1,6.337e-12
205.86,2.573e+2,2.573e+2,6.375e-12
205.87,7.581e+2,7.581e+2,6.393e-12
205.89,5.794e+3,5.794e+3,6.431e-12
205.91,3.737e+4,3.737e+4,6.468e-12
205.92,8.908e+4,8.908e+4,6.487e-12
205.94,4.457e+5,4.457e+5,6.525e-12
205.96,1.882e+6,1.882e+6,6.562e-12
205.97,3.629e+6,3.629e+6,6.581e-12
205.99,1.189e+7,1.189e+7,6.619e-12
206.01,3.286e+7,3.286e+7,6.656e-12
206.02,5.127e+7,5.127e+7,6.675e-12
206.04,1.099e+8,1.099e+8,6.712e-12
206.06,1.989e+8,1.989e+8,6.750e-12
206.07,2.511e+8,2.511e+8,6.769e-12
206.09,3.525e+8,3.525e+8,6.806e-12
206.11,4.176e+8,4.176e+8,6.844e-12
206.12,4.265e+8,4.265e+8,6.863e-12
206.14,3.918e+8,3.918e+8,6.900e-12
206.16,3.039e+8,3.039e+8,6.938e-12
206.17,2.511e+8,2.511e+8,4.165e-11
206.19,1.510e+8,1.510e+8,1.323e-9
206.21,7.668e+7,7.668e+7,3.550e-8
206.22,5.127e+7,5.127e+7,1.726e-7
206.24,2.019e+7,2.019e+7,3.596e-6
206.26,6.709e+6,6.709e+6,6.329e-5
206.27,3.629e+6,3.629e+6,2.492e-4
206.29,9.355e+5,9.355e+5,3.406e-3
206.30,4.457e+5,4.457e+5,1.182e-2
206.32,8.908e+4,8.908e+4,1.254e-1
206.34,1.503e+4,1.503e+4,1.124e+0
206.35,5.797e+3,5.794e+3,3.158e+0
206.37,7.801e+2,7.581e+2,2.198e+1
206.39,2.129e+2,8.373e+1,1.292e+2
206.40,3.202e+2,2.611e+1,2.940e+2
206.42,1.344e+3,2.237e+0,1.342e+3
206.44,5.175e+3,1.617e-1,5.175e+3
206.45,9.539e+3,4.081e-2,9.539e+3
206.47,2.856e+4,2.288e-3,2.856e+4
206.49,7.222e+4,1.083e-4,7.222e+4
206.50,1.078e+5,2.211e-5,1.078e+5
206.52,2.117e+5,8.117e-7,2.117e+5
206.54,3.512e+5,2.515e-8,3.512e+5
206.55,4.246e+5,2.591e-8,4.246e+5
206.57,5.468e+5,2.744e-8,5.468e+5
206.59,5.949e+5,2.896e-8,5.949e+5
206.60,5.825e+5,2.972e-8,5.825e+5
206.62,4.921e+5,3.125e-8,4.921e+5
206.64,3.512e+5,3.277e-8,3.512e+5
206.65,2.785e+5,3.354e-8,2.785e+5
206.67,1.543e+5,3.506e-8,1.543e+5
206.69,7.222e+4,3.658e-8,7.222e+4
206.70,4.638e+4,3.735e-8,4.638e+4
206.72,1.686e+4,3.887e-8,1.686e+4
206.73,9.539e+3,3.963e-8,9.539e+3
206.75,2.692e+3,4.116e-8,2.692e+3
206.77,6.416e+2,4.268e-8,6.416e+2
206.78,2.940e+2,4.344e-8,2.940e+2
206.80,5.442e+1,4.497e-8,5.442e+1
206.82,8.509e+0,4.649e-8,8.509e+0
206.83,3.158e+0,4.725e-8,3.158e+0
206.85,3.834e-1,4.878e-8,3.834e-1
206.87,3.931e-2,5.030e-8,3.931e-2
206.88,1.182e-2,5.106e-8,1.182e-2
206.90,9.410e-4,5.259e-8,9.410e-4
206.92,6.329e-5,5.411e-8,6.329e-5
206.93,1.541e-5,5.488e-8,1.541e-5
206.95,8.047e-7,5.640e-8,8.047e-7
206.97,3.550e-8,5.792e-8,3.550e-8
206.98,6.999e-9,5.869e-8,6.999e-9
207.00,2.398e-10,6.021e-8,2.398e-10
207.02,6.938e-12,6.173e-8,6.938e-12
207.12,9.414e-15,6.936e-8,9.414e-15
207.13,5.559e-14,7.012e-8,5.559e-14
207.15,1.710e-12,7.164e-8,1.710e-12
207.17,4.451e-11,7.317e-8,4.451e-11
207.18,2.133e-10,7.393e-8,2.133e-10
207.20,4.320e-9,7.545e-8,4.320e-9
207.21,1.826e-8,7.622e-8,1.826e-8
207.23,2.879e-7,7.774e-8,2.879e-7
207.25,3.840e-6,7.926e-8,3.840e-6
207.26,1.317e-5,8.003e-8,1.317e-5
207.28,1.367e-4,8.155e-8,1.367e-4
207.30,1.201e-3,8.307e-8,1.201e-3
207.31,3.342e-3,8.384e-8,3.342e-3
207.33,2.284e-2,8.536e-8,2.284e-2
207.35,1.321e-1,8.689e-8,1.321e-1
207.36,2.984e-1,8.765e-8,2.984e-1
207.38,1.343e+0,8.917e-8,1.343e+0
207.40,5.114e+0,9.070e-8,5.114e+0
207.41,9.373e+0,9.146e-8,9.373e+0
207.43,2.778e+1,9.298e-8,2.778e+1
207.45,6.965e+1,9.451e-8,6.965e+1
207.46,1.036e+2,9.527e-8,1.036e+2
207.48,2.021e+2,9.679e-8,2.021e+2
207.50,3.337e+2,9.832e-8,3.337e+2
207.51,4.028e+2,9.908e-8,4.028e+2
207.53,5.175e+2,1.006e-7,5.175e+2
207.55,5.626e+2,1.021e-7,5.626e+2
207.56,5.510e+2,1.029e-7,5.510e+2
207.58,4.662e+2,1.044e-7,4.662e+2
207.60,3.337e+2,1.059e-7,3.337e+2
207.61,2.652e+2,1.067e-7,2.652e+2
207.63,1.478e+2,1.082e-7,1.478e+2
207.64,1.036e+2,1.090e-7,1.036e+2
207.66,4.491e+1,1.105e-7,4.491e+1
207.68,1.648e+1,1.120e-7,1.648e+1
207.69,9.373e+0,1.128e-7,9.373e+0
207.71,2.676e+0,1.143e-7,2.676e+0
207.73,6.464e-1,1.158e-7,6.464e-1
207.74,2.984e-1,1.166e-7,2.984e-1
207.76,5.609e-2,1.181e-7,5.609e-2
207.78,8.922e-3,1.197e-7,8.922e-3
207.79,3.342e-3,1.204e-7,3.342e-3
207.81,4.137e-4,1.219e-7,4.137e-4
207.83,4.333e-5,1.235e-7,4.333e-5
207.84,1.317e-5,1.242e-7,1.317e-5
207.86,1.074e-6,1.258e-7,1.074e-6
207.88,7.404e-8,1.273e-7,7.404e-8
207.89,1.826e-8,1.280e-7,1.826e-8
207.91,9.801e-10,1.296e-7,9.801e-10
207.93,4.451e-11,1.311e-7,4.451e-11
207.94,8.908e-12,1.319e-7,8.908e-12
207.96,3.148e-13,1.334e-7,3.148e-13
207.98,9.414e-15,1.349e-7,9.414e-15
210.94,6.782e-11,3.605e-7,6.782e-11
210.95,3.912e-10,3.613e-7,3.912e-10
210.97,1.154e-8,3.628e-7,1.154e-8
210.99,2.895e-7,3.643e-7,2.895e-7
211.00,1.365e-6,3.651e-7,1.365e-6
211.02,2.691e-5,3.666e-7,2.691e-5
211.04,4.513e-4,3.681e-7,4.513e-4
211.05,1.740e-3,3.689e-7,1.740e-3
211.07,2.292e-2,3.704e-7,2.292e-2
211.09,2.570e-1,3.719e-7,2.570e-1
211.10,8.102e-1,3.727e-7,8.102e-1
211.12,7.134e+0,3.742e-7,7.134e+0
211.14,5.347e+1,3.757e-7,5.347e+1
211.15,1.378e+2,3.765e-7,1.378e+2
211.17,8.110e+2,3.780e-7,8.110e+2
211.19,4.063e+3,3.796e-7,4.063e+3
211.20,8.561e+3,3.803e-7,8.561e+3
211.22,3.368e+4,3.818e-7,3.368e+4
211.23,6.288e+4,3.826e-7,6.288e+4
211.25,1.943e+5,3.841e-7,1.943e+5
211.27,5.108e+5,3.856e-7,5.108e+5
211.28,7.798e+5,3.864e-7,7.798e+5
211.30,1.610e+6,3.879e-7,1.610e+6
211.32,2.830e+6,3.895e-7,2.830e+6
211.33,3.532e+6,3.902e-7,3.532e+6
211.35,4.875e+6,3.917e-7,4.875e+6
211.37,5.728e+6,3.933e-7,5.728e+6
211.38,5.844e+6,3.940e-7,5.844e+6
211.40,5.392e+6,3.956e-7,5.392e+6
211.42,4.234e+6,3.971e-7,4.234e+6
211.43,3.532e+6,3.978e-7,3.532e+6
211.45,2.178e+6,3.994e-7,2.178e+6
211.47,1.143e+6,4.009e-7,1.143e+6
211.48,7.798e+5,4.017e-7,7.798e+5
211.50,3.214e+5,4.032e-7,3.214e+5
211.52,1.128e+5,4.047e-7,1.128e+5
211.53,6.288e+4,4.055e-7,6.288e+4
211.55,1.733e+4,4.070e-7,1.733e+4
211.57,4.063e+3,4.085e-7,4.063e+3
211.58,1.852e+3,4.093e-7,1.852e+3
211.60,3.411e+2,4.108e-7,3.411e+2
211.62,5.347e+1,4.123e-7,5.347e+1
211.63,1.993e+1,4.131e-7,1.993e+1
211.65,2.453e+0,4.146e-7,2.453e+0
211.66,8.102e-1,4.154e-7,8.102e-1
211.68,7.833e-2,4.169e-7,7.833e-2
211.70,6.511e-3,4.184e-7,6.511e-3
211.71,1.996e-3,4.192e-7,1.996e-3
211.73,3.426e-3,4.207e-7,3.426e-3
211.75,3.660e-2,4.222e-7,3.660e-2
211.76,1.145e-1,4.230e-7,1.145e-1
211.78,9.949e-1,4.245e-7,9.949e-1
211.80,7.364e+0,4.260e-7,7.364e+0
211.81,1.887e+1,4.268e-7,1.887e+1
211.83,1.098e+2,4.283e-7,1.098e+2
211.85,5.447e+2,4.299e-7,5.447e+2
211.86,1.142e+3,4.306e-7,1.142e+3
211.88,4.456e+3,4.321e-7,4.456e+3
211.90,1.481e+4,4.337e-7,1.481e+4
211.91,2.542e+4,4.344e-7,2.542e+4
211.93,6.645e+4,4.359e-7,6.645e+4
211.95,1.480e+5,4.375e-7,1.480e+5
211.96,2.080e+5,4.382e-7,2.080e+5
211.98,3.643e+5,4.398e-7,3.643e+5
212.00,5.437e+5,4.413e-7,5.437e+5
212.01,6.255e+5,4.420e-7,6.255e+5
212.03,7.342e+5,4.436e-7,7.342e+5
212.05,7.343e+5,4.451e-7,7.343e+5
212.06,6.916e+5,4.459e-7,6.916e+5
212.08,5.440e+5,4.474e-7,5.440e+5
212.09,4.544e+5,4.481e-7,4.544e+5
212.11,2.812e+5,4.497e-7,2.812e+5
212.13,1.483e+5,4.512e-7,1.483e+5
212.14,1.014e+5,4.520e-7,1.014e+5
212.16,4.206e+4,4.535e-7,4.206e+4
212.18,1.487e+4,4.550e-7,1.487e+4
212.19,8.330e+3,4.558e-7,8.330e+3
212.21,2.318e+3,4.573e-7,2.318e+3
212.23,5.500e+2,4.588e-7,5.500e+2
212.24,2.524e+2,4.596e-7,2.524e+2
212.26,4.718e+1,4.611e-7,4.718e+1
212.28,7.529e+0,4.626e-7,7.529e+0
212.29,2.841e+0,4.634e-7,2.841e+0
212.31,4.115e-1,4.649e-7,4.115e-1
212.33,3.549e-1,4.664e-7,3.549e-1
212.34,7.283e-1,4.672e-7,7.283e-1
212.36,3.257e+0,4.687e-7,3.257e+0
212.38,1.262e+1,4.702e-7,1.262e+1
212.39,2.341e+1,4.710e-7,2.341e+1
212.41,7.143e+1,4.725e-7,7.143e+1
212.43,1.859e+2,4.741e-7,1.859e+2
212.44,2.824e+2,4.748e-7,2.824e+2
212.46,5.786e+2,4.763e-7,5.786e+2
212.48,1.011e+3,4.779e-7,1.011e+3
212.49,1.258e+3,4.786e-7,1.258e+3
212.51,1.731e+3,4.802e-7,1.731e+3
212.52,1.912e+3,4.809e-7,1.912e+3
212.54,2.071e+3,4.824e-7,2.071e+3
212.56,1.912e+3,4.840e-7,1.912e+3
212.57,1.731e+3,4.847e-7,1.731e+3
212.59,1.258e+3,4.863e-7,1.258e+3
212.61,7.801e+2,4.878e-7,7.801e+2
212.62,5.786e+2,4.885e-7,5.786e+2
212.64,2.824e+2,4.901e-7,2.824e+2
212.66,1.175e+2,4.916e-7,1.175e+2
212.67,7.143e+1,4.923e-7,7.143e+1
212.69,2.346e+1,4.939e-7,2.346e+1
212.71,6.784e+0,4.954e-7,6.784e+0
212.72,3.767e+0,4.962e-7,3.767e+0
212.74,2.685e+0,4.977e-7,2.685e+0
212.76,6.614e+0,4.992e-7,6.614e+0
212.77,1.113e+1,5.000e-7,1.113e+1
212.79,2.873e+1,5.015e-7,2.873e+1
212.81,6.356e+1,5.030e-7,6.356e+1
212.82,8.908e+1,5.038e-7,8.908e+1
212.84,1.553e+2,5.053e-7,1.553e+2
212.86,2.310e+2,5.068e-7,2.310e+2
212.87,2.655e+2,5.076e-7,2.655e+2
212.89,3.112e+2,5.091e-7,3.112e+2
212.91,3.112e+2,5.106e-7,3.112e+2
212.92,2.932e+2,5.114e-7,2.932e+2
212.94,2.310e+2,5.129e-7,2.310e+2
212.96,1.553e+2,5.145e-7,1.553e+2
212.97,1.200e+2,5.152e-7,1.200e+2
212.99,6.356e+1,5.167e-7,6.356e+1
213.00,4.359e+1,5.175e-7,4.359e+1
213.02,1.819e+1,5.190e-7,1.819e+1
