Wavelength (nm),Sum(calc),Ag I (8.6e-1),Ag II (1.4e-1)
199.64,6.026e-12,,6.026e-12
199.65,4.074e-11,,4.074e-11
199.67,1.627e-9,,1.627e-9
199.69,5.430e-8,,5.430e-8
199.70,2.932e-7,,2.932e-7
199.72,7.471e-6,,7.471e-6
199.74,1.590e-4,,1.590e-4
199.75,6.857e-4,,6.857e-4
199.77,1.114e-2,,1.114e-2
199.79,1.512e-1,,1.512e-1
199.80,5.209e-1,,5.209e-1
199.82,5.399e+0,,5.399e+0
199.84,4.675e+1,,4.675e+1
199.85,1.286e+2,,1.286e+2
199.87,8.500e+2,,8.500e+2
199.89,4.694e+3,,4.694e+3
199.90,1.031e+4,,1.031e+4
199.92,4.348e+4,,4.348e+4
199.94,1.532e+5,,1.532e+5
199.95,2.687e+5,,2.687e+5
199.97,7.226e+5,,7.226e+5
199.99,1.623e+6,,1.623e+6
200.00,2.275e+6,,2.275e+6
200.02,3.902e+6,,3.902e+6
200.04,5.591e+6,,5.591e+6
200.05,6.257e+6,,6.257e+6
200.07,6.846e+6,,6.846e+6
200.08,6.693e+6,,6.693e+6
200.10,5.591e+6,,5.591e+6
200.12,3.902e+6,,3.902e+6
200.13,3.047e+6,,3.047e+6
200.15,1.623e+6,,1.623e+6
200.17,7.226e+5,,7.226e+5
200.18,4.507e+5,,4.507e+5
200.20,1.532e+5,,1.532e+5
200.22,4.348e+4,,4.348e+4
200.23,2.166e+4,,2.166e+4
200.25,4.694e+3,,4.694e+3
200.27,8.500e+2,,8.500e+2
200.28,3.381e+2,,3.381e+2
200.30,4.675e+1,,4.675e+1
200.32,5.399e+0,,5.399e+0
200.33,1.715e+0,,1.715e+0
200.35,1.512e-1,,1.512e-1
200.37,1.114e-2,,1.114e-2
200.38,2.827e-3,,2.827e-3
200.40,1.590e-4,,1.590e-4
200.42,7.471e-6,,7.471e-6
200.43,1.514e-6,,1.514e-6
200.45,5.430e-8,,5.430e-8
200.47,1.627e-9,,1.627e-9
200.48,2.634e-10,,2.634e-10
201.16,8.346e-12,,8.346e-12
201.18,3.446e-10,,3.446e-10
201.19,2.072e-9,,2.072e-9
201.21,6.558e-8,,6.558e-8
201.23,1.739e-6,,1.739e-6
201.24,8.378e-6,,8.378e-6
201.26,1.703e-4,,1.703e-4
201.28,2.899e-3,,2.899e-3
201.29,1.119e-2,,1.119e-2
201.31,1.461e-1,,1.461e-1
201.33,1.597e+0,,1.597e+0
201.34,4.943e+0,,4.943e+0
201.36,4.143e+1,,4.143e+1
201.38,2.909e+2,,2.909e+2
201.39,7.211e+2,,7.211e+2
201.41,3.881e+3,,3.881e+3
201.42,8.426e+3,,8.426e+3
201.44,3.477e+4,,3.477e+4
201.46,1.202e+5,,1.202e+5
201.47,2.090e+5,,2.090e+5
201.49,5.539e+5,,5.539e+5
201.51,1.229e+6,,1.229e+6
201.52,1.714e+6,,1.714e+6
201.54,2.916e+6,,2.916e+6
201.56,4.156e+6,,4.156e+6
201.57,4.643e+6,,4.643e+6
201.59,5.073e+6,,5.073e+6
201.61,4.643e+6,,4.643e+6
201.62,4.156e+6,,4.156e+6
201.64,2.916e+6,,2.916e+6
201.66,1.714e+6,,1.714e+6
201.67,1.229e+6,,1.229e+6
201.69,5.539e+5,,5.539e+5
201.71,2.090e+5,,2.090e+5
201.72,1.202e+5,,1.202e+5
201.74,3.477e+4,,3.477e+4
201.76,8.426e+3,,8.426e+3
201.77,3.881e+3,,3.881e+3
201.79,7.211e+2,,7.211e+2
201.81,1.122e+2,,1.122e+2
201.82,4.143e+1,,4.143e+1
201.84,4.943e+0,,4.943e+0
201.85,1.597e+0,,1.597e+0
201.87,1.461e-1,,1.461e-1
201.89,1.119e-2,,1.119e-2
201.90,2.899e-3,,2.899e-3
201.92,1.703e-4,,1.703e-4
201.94,8.378e-6,,8.378e-6
201.95,1.739e-6,,1.739e-6
201.97,6.558e-8,,6.558e-8
201.99,2.072e-9,,2.072e-9
202.00,3.446e-10,,3.446e-10
202.96,1.172e-11,,1.172e-11
202.98,4.533e-10,,4.533e-10
203.00,1.473e-8,,1.473e-8
203.01,7.864e-8,,7.864e-8
203.03,1.968e-6,,1.968e-6
203.05,4.138e-5,,4.138e-5
203.06,1.778e-4,,1.778e-4
203.08,2.879e-3,,2.879e-3
203.10,3.918e-2,,3.918e-2
203.11,1.354e-1,,1.354e-1
203.13,1.419e+0,,1.419e+0
203.15,1.250e+1,,1.250e+1
203.16,3.475e+1,,3.475e+1
203.18,2.357e+2,,2.357e+2
203.19,5.751e+2,,5.751e+2
203.21,3.005e+3,,3.005e+3
203.23,1.319e+4,,1.319e+4
203.24,2.589e+4,,2.589e+4
203.26,8.756e+4,,8.756e+4
203.28,2.488e+5,,2.488e+5
203.29,3.929e+5,,3.929e+5
203.31,8.598e+5,,8.598e+5
203.33,1.581e+6,,1.581e+6
203.34,2.009e+6,,2.009e+6
203.36,2.845e+6,,2.845e+6
203.38,3.386e+6,,3.386e+6
203.39,3.460e+6,,3.460e+6
203.41,3.172e+6,,3.172e+6
203.43,2.443e+6,,2.443e+6
203.44,2.009e+6,,2.009e+6
203.46,1.192e+6,,1.192e+6
203.48,5.940e+5,,5.940e+5
203.49,3.929e+5,,3.929e+5
203.51,1.508e+5,,1.508e+5
203.53,4.866e+4,,4.866e+4
203.54,2.589e+4,,2.589e+4
203.56,6.434e+3,,6.434e+3
203.58,1.343e+3,,1.343e+3
203.59,5.751e+2,,5.751e+2
203.61,9.249e+1,,9.249e+1
203.62,3.475e+1,,3.475e+1
203.64,4.304e+0,,4.304e+0
203.66,4.480e-1,,4.480e-1
203.67,1.354e-1,,1.354e-1
203.69,1.085e-2,,1.085e-2
203.71,7.311e-4,,7.311e-4
203.72,1.778e-4,,1.778e-4
203.74,9.222e-6,,9.222e-6
203.76,4.021e-7,,4.021e-7
203.77,7.864e-8,,7.864e-8
203.79,2.641e-9,,2.641e-9
203.81,7.450e-11,,7.450e-11
205.68,1.641e-9,1.641e-9,1.752e-10
205.69,1.036e-8,1.036e-8,1.758e-10
205.71,3.640e-7,3.640e-7,1.768e-10
205.73,1.079e-5,1.079e-5,1.779e-10
205.74,5.515e-5,5.515e-5,1.784e-10
205.76,1.268e-3,1.268e-3,1.795e-10
205.78,2.462e-2,2.462e-2,1.806e-10
205.79,1.018e-1,1.018e-1,1.811e-10
205.81,1.532e+0,1.532e+0,1.822e-10
205.83,1.947e+1,1.947e+1,1.833e-10
205.84,6.512e+1,6.512e+1,1.838e-10
205.86,6.418e+2,6.418e+2,1.849e-10
205.87,1.891e+3,1.891e+3,1.854e-10
205.89,1.445e+4,1.445e+4,1.865e-10
205.91,9.321e+4,9.321e+4,1.876e-10
205.92,2.222e+5,2.222e+5,1.881e-10
205.94,1.111e+6,1.111e+6,1.892e-10
205.96,4.694e+6,4.694e+6,1.903e-10
205.97,9.051e+6,9.051e+6,1.908e-10
205.99,2.964e+7,2.964e+7,1.919e-10
206.01,8.195e+7,8.195e+7,1.930e-10
206.02,1.279e+8,1.279e+8,1.935e-10
206.04,2.741e+8,2.741e+8,1.946e-10
206.06,4.961e+8,4.961e+8,1.957e-10
206.07,6.263e+8,6.263e+8,1.962e-10
206.09,8.790e+8,8.790e+8,1.973e-10
206.11,1.041e+9,1.041e+9,1.984e-10
206.12,1.064e+9,1.064e+9,1.989e-10
206.14,9.772e+8,9.772e+8,2.000e-10
206.16,7.578e+8,7.578e+8,2.011e-10
206.17,6.263e+8,6.263e+8,1.207e-9
206.19,3.767e+8,3.767e+8,3.834e-8
206.21,1.912e+8,1.912e+8,1.029e-6
206.22,1.279e+8,1.279e+8,5.003e-6
206.24,5.034e+7,5.034e+7,1.042e-4
206.26,1.673e+7,1.673e+7,1.834e-3
206.27,9.051e+6,9.051e+6,7.223e-3
206.29,2.333e+6,2.333e+6,9.870e-2
206.30,1.111e+6,1.111e+6,3.425e-1
206.32,2.222e+5,2.222e+5,3.634e+0
206.34,3.752e+4,3.748e+4,3.257e+1
206.35,1.454e+4,1.445e+4,9.153e+1
206.37,2.527e+3,1.891e+3,6.369e+2
206.39,3.953e+3,2.088e+2,3.744e+3
206.40,8.587e+3,6.512e+1,8.522e+3
206.42,3.890e+4,5.578e+0,3.890e+4
206.44,1.500e+5,4.033e-1,1.500e+5
206.45,2.765e+5,1.018e-1,2.765e+5
206.47,8.276e+5,5.707e-3,8.276e+5
206.49,2.093e+6,2.701e-4,2.093e+6
206.50,3.125e+6,5.515e-5,3.125e+6
206.52,6.136e+6,2.024e-6,6.136e+6
206.54,1.018e+7,6.272e-8,1.018e+7
206.55,1.230e+7,6.400e-8,1.230e+7
206.57,1.585e+7,6.654e-8,1.585e+7
206.59,1.724e+7,6.909e-8,1.724e+7
206.60,1.688e+7,7.036e-8,1.688e+7
206.62,1.426e+7,7.291e-8,1.426e+7
206.64,1.018e+7,7.546e-8,1.018e+7
206.65,8.071e+6,7.673e-8,8.071e+6
206.67,4.472e+6,7.928e-8,4.472e+6
206.69,2.093e+6,8.183e-8,2.093e+6
