Wavelength (nm),Sum(calc),Ag I (6.6e-1),Ag II (3.4e-1)
199.64,6.760e-11,,6.760e-11
199.65,4.570e-10,,4.570e-10
199.67,1.826e-8,,1.826e-8
199.69,6.092e-7,,6.092e-7
199.70,3.289e-6,,3.289e-6
199.72,8.380e-5,,8.380e-5
199.74,1.784e-3,,1.784e-3
199.75,7.691e-3,,7.691e-3
199.77,1.250e-1,,1.250e-1
199.79,1.697e+0,,1.697e+0
199.80,5.843e+0,,5.843e+0
199.82,6.056e+1,,6.056e+1
199.84,5.244e+2,,5.244e+2
199.85,1.442e+3,,1.442e+3
199.87,9.535e+3,,9.535e+3
199.89,5.266e+4,,5.266e+4
199.90,1.157e+5,,1.157e+5
199.92,4.877e+5,,4.877e+5
199.94,1.718e+6,,1.718e+6
199.95,3.014e+6,,3.014e+6
199.97,8.106e+6,,8.106e+6
199.99,1.821e+7,,1.821e+7
200.00,2.552e+7,,2.552e+7
200.02,4.377e+7,,4.377e+7
200.04,6.272e+7,,6.272e+7
200.05,7.018e+7,,7.018e+7
200.07,7.679e+7,,7.679e+7
200.08,7.508e+7,,7.508e+7
200.10,6.272e+7,,6.272e+7
200.12,4.377e+7,,4.377e+7
200.13,3.418e+7,,3.418e+7
200.15,1.821e+7,,1.821e+7
200.17,8.106e+6,,8.106e+6
200.18,5.055e+6,,5.055e+6
200.20,1.718e+6,,1.718e+6
200.22,4.877e+5,,4.877e+5
200.23,2.429e+5,,2.429e+5
200.25,5.266e+4,,5.266e+4
200.27,9.535e+3,,9.535e+3
200.28,3.793e+3,,3.793e+3
200.30,5.244e+2,,5.244e+2
200.32,6.056e+1,,6.056e+1
200.33,1.924e+1,,1.924e+1
200.35,1.697e+0,,1.697e+0
200.37,1.250e-1,,1.250e-1
200.38,3.171e-2,,3.171e-2
200.40,1.784e-3,,1.784e-3
200.42,8.380e-5,,8.380e-5
200.43,1.698e-5,,1.698e-5
200.45,6.092e-7,,6.092e-7
200.47,1.826e-8,,1.826e-8
200.48,2.954e-9,,2.954e-9
201.16,9.557e-11,,9.557e-11
201.18,3.946e-9,,3.946e-9
201.19,2.373e-8,,2.373e-8
201.21,7.510e-7,,7.510e-7
201.23,1.991e-5,,1.991e-5
201.24,9.594e-5,,9.594e-5
201.26,1.950e-3,,1.950e-3
201.28,3.320e-2,,3.320e-2
201.29,1.282e-1,,1.282e-1
