Wavelength (nm),Sum(calc),Ag I (6.0e-2),Ag II (9.4e-1)
199.64,4.157e-11,,4.157e-11
199.65,2.810e-10,,2.810e-10
199.67,1.123e-8,,1.123e-8
199.69,3.746e-7,,3.746e-7
199.70,2.023e-6,,2.023e-6
199.72,5.153e-5,,5.153e-5
199.74,1.097e-3,,1.097e-3
199.75,4.730e-3,,4.730e-3
199.77,7.686e-2,,7.686e-2
199.79,1.043e+0,,1.043e+0
199.80,3.593e+0,,3.593e+0
199.82,3.724e+1,,3.724e+1
199.84,3.225e+2,,3.225e+2
199.85,8.869e+2,,8.869e+2
199.87,5.863e+3,,5.863e+3
199.89,3.238e+4,,3.238e+4
199.90,7.113e+4,,7.113e+4
199.92,2.999e+5,,2.999e+5
199.94,1.056e+6,,1.056e+6
199.95,1.853e+6,,1.853e+6
199.97,4.985e+6,,4.985e+6
199.99,1.120e+7,,1.120e+7
200.00,1.569e+7,,1.569e+7
200.02,2.692e+7,,2.692e+7
200.04,3.857e+7,,3.857e+7
200.05,4.316e+7,,4.316e+7
200.07,4.722e+7,,4.722e+7
200.08,4.617e+7,,4.617e+7
200.10,3.857e+7,,3.857e+7
200.12,2.692e+7,,2.692e+7
200.13,2.102e+7,,2.102e+7
200.15,1.120e+7,,1.120e+7
200.17,4.985e+6,,4.985e+6
200.18,3.109e+6,,3.109e+6
200.20,1.056e+6,,1.056e+6
200.22,2.999e+5,,2.999e+5
200.23,1.494e+5,,1.494e+5
200.25,3.238e+4,,3.238e+4
200.27,5.863e+3,,5.863e+3
200.28,2.332e+3,,2.332e+3
200.30,3.225e+2,,3.225e+2
200.32,3.724e+1,,3.724e+1
200.33,1.183e+1,,1.183e+1
200.35,1.043e+0,,1.043e+0
200.37,7.686e-2,,7.686e-2
200.38,1.950e-2,,1.950e-2
200.40,1.097e-3,,1.097e-3
200.42,5.153e-5,,5.153e-5
200.43,1.044e-5,,1.044e-5
200.45,3.746e-7,,3.746e-7
200.47,1.123e-8,,1.123e-8
200.48,1.817e-9,,1.817e-9
201.16,5.757e-11,,5.757e-11
201.18,2.377e-9,,2.377e-9
201.19,1.429e-8,,1.429e-8
201.21,4.524e-7,,4.524e-7
201.23,1.199e-5,,1.199e-5
201.24,5.779e-5,,5.779e-5
201.26,1.175e-3,,1.175e-3
201.28,2.000e-2,,2.000e-2
201.29,7.722e-2,,7.722e-2
201.31,1.008e+0,,1.008e+0
201.33,1.102e+1,,1.102e+1
201.34,3.409e+1,,3.409e+1
201.36,2.858e+2,,2.858e+2
201.38,2.006e+3,,2.006e+3
201.39,4.974e+3,,4.974e+3
201.41,2.677e+4,,2.677e+4
201.42,5.812e+4,,5.812e+4
201.44,2.398e+5,,2.398e+5
201.46,8.289e+5,,8.289e+5
201.47,1.442e+6,,1.442e+6
201.49,3.821e+6,,3.821e+6
201.51,8.480e+6,,8.480e+6
201.52,1.182e+7,,1.182e+7
201.54,2.011e+7,,2.011e+7
201.56,2.867e+7,,2.867e+7
201.57,3.202e+7,,3.202e+7
201.59,3.499e+7,,3.499e+7
201.61,3.202e+7,,3.202e+7
201.62,2.867e+7,,2.867e+7
201.64,2.011e+7,,2.011e+7
201.66,1.182e+7,,1.182e+7
201.67,8.480e+6,,8.480e+6
201.69,3.821e+6,,3.821e+6
201.71,1.442e+6,,1.442e+6
201.72,8.289e+5,,8.289e+5
201.74,2.398e+5,,2.398e+5
201.76,5.812e+4,,5.812e+4
201.77,2.677e+4,,2.677e+4
201.79,4.974e+3,,4.974e+3
201.81,7.741e+2,,7.741e+2
201.82,2.858e+2,,2.858e+2
201.84,3.409e+1,,3.409e+1
201.85,1.102e+1,,1.102e+1
201.87,1.008e+0,,1.008e+0
201.89,7.722e-2,,7.722e-2
201.90,2.000e-2,,2.000e-2
201.92,1.175e-3,,1.175e-3
201.94,5.779e-5,,5.779e-5
201.95,1.199e-5,,1.199e-5
201.97,4.524e-7,,4.524e-7
201.99,1.429e-8,,1.429e-8
202.00,2.377e-9,,2.377e-9
202.96,8.087e-11,,8.087e-11
202.98,3.127e-9,,3.127e-9
203.00,1.016e-7,,1.016e-7
203.01,5.425e-7,,5.425e-7
203.03,1.357e-5,,1.357e-5
203.05,2.854e-4,,2.854e-4
203.06,1.226e-3,,1.226e-3
203.08,1.986e-2,,1.986e-2
203.10,2.702e-1,,2.702e-1
203.11,9.339e-1,,9.339e-1
203.13,9.788e+0,,9.788e+0
203.15,8.621e+1,,8.621e+1
203.16,2.397e+2,,2.397e+2
203.18,1.626e+3,,1.626e+3
203.19,3.967e+3,,3.967e+3
203.21,2.073e+4,,2.073e+4
203.23,9.100e+4,,9.100e+4
203.24,1.786e+5,,1.786e+5
203.26,6.040e+5,,6.040e+5
203.28,1.716e+6,,1.716e+6
203.29,2.710e+6,,2.710e+6
203.31,5.931e+6,,5.931e+6
203.33,1.091e+7,,1.091e+7
203.34,1.385e+7,,1.385e+7
203.36,1.962e+7,,1.962e+7
203.38,2.335e+7,,2.335e+7
203.39,2.387e+7,,2.387e+7
203.41,2.188e+7,,2.188e+7
203.43,1.685e+7,,1.685e+7
203.44,1.385e+7,,1.385e+7
203.46,8.219e+6,,8.219e+6
203.48,4.097e+6,,4.097e+6
203.49,2.710e+6,,2.710e+6
203.51,1.040e+6,,1.040e+6
203.53,3.357e+5,,3.357e+5
203.54,1.786e+5,,1.786e+5
203.56,4.438e+4,,4.438e+4
203.58,9.267e+3,,9.267e+3
203.59,3.967e+3,,3.967e+3
203.61,6.380e+2,,6.380e+2
203.62,2.397e+2,,2.397e+2
203.64,2.969e+1,,2.969e+1
203.66,3.090e+0,,3.090e+0
203.67,9.339e-1,,9.339e-1
203.69,7.486e-2,,7.486e-2
203.71,5.043e-3,,5.043e-3
203.72,1.226e-3,,1.226e-3
203.74,6.362e-5,,6.362e-5
203.76,2.773e-6,,2.773e-6
203.77,5.425e-7,,5.425e-7
203.79,1.822e-8,,1.822e-8
203.81,5.139e-10,,5.139e-10
205.68,1.132e-10,1.132e-10,1.209e-9
205.69,7.147e-10,7.147e-10,1.212e-9
205.71,2.511e-8,2.511e-8,1.220e-9
205.73,7.444e-7,7.444e-7,1.227e-9
205.74,3.804e-6,3.804e-6,1.231e-9
205.76,8.748e-5,8.748e-5,1.238e-9
205.78,1.698e-3,1.698e-3,1.246e-9
205.79,7.020e-3,7.020e-3,1.249e-9
205.81,1.057e-1,1.057e-1,1.257e-9
205.83,1.343e+0,1.343e+0,1.264e-9
205.84,4.492e+0,4.492e+0,1.268e-9
205.86,4.427e+1,4.427e+1,1.275e-9
205.87,1.304e+2,1.304e+2,1.279e-9
205.89,9.966e+2,9.966e+2,1.287e-9
205.91,6.429e+3,6.429e+3,1.294e-9
205.92,1.532e+4,1.532e+4,1.298e-9
205.94,7.667e+4,7.667e+4,1.305e-9
205.96,3.238e+5,3.238e+5,1.313e-9
205.97,6.244e+5,6.244e+5,1.316e-9
205.99,2.045e+6,2.045e+6,1.324e-9
206.01,5.653e+6,5.653e+6,1.331e-9
206.02,8.820e+6,8.820e+6,1.335e-9
206.04,1.891e+7,1.891e+7,1.342e-9
206.06,3.422e+7,3.422e+7,1.350e-9
206.07,4.320e+7,4.320e+7,1.353e-9
206.09,6.063e+7,6.063e+7,1.361e-9
206.11,7.183e+7,7.183e+7,1.368e-9
206.12,7.337e+7,7.337e+7,1.372e-9
206.14,6.741e+7,6.741e+7,1.379e-9
206.16,5.228e+7,5.228e+7,1.387e-9
206.17,4.320e+7,4.320e+7,8.327e-9
206.19,2.598e+7,2.598e+7,2.645e-7
206.21,1.319e+7,1.319e+7,7.097e-6
206.22,8.820e+6,8.820e+6,3.451e-5
206.24,3.473e+6,3.473e+6,7.189e-4
206.26,1.154e+6,1.154e+6,1.265e-2
206.27,6.244e+5,6.244e+5,4.983e-2
206.29,1.609e+5,1.609e+5,6.809e-1
206.30,7.667e+4,7.667e+4,2.363e+0
206.32,1.535e+4,1.532e+4,2.507e+1
206.34,2.810e+3,2.586e+3,2.247e+2
206.35,1.628e+3,9.966e+2,6.313e+2
206.37,4.524e+3,1.304e+2,4.394e+3
206.39,2.584e+4,1.440e+1,2.583e+4
206.40,5.879e+4,4.492e+0,5.878e+4
206.42,2.683e+5,3.848e-1,2.683e+5
206.44,1.035e+6,2.782e-2,1.035e+6
206.45,1.907e+6,7.020e-3,1.907e+6
206.47,5.709e+6,3.937e-4,5.709e+6
206.49,1.444e+7,1.863e-5,1.444e+7
206.50,2.155e+7,3.804e-6,2.155e+7
206.52,4.232e+7,1.396e-7,4.232e+7
206.54,7.020e+7,4.327e-9,7.020e+7
206.55,8.488e+7,4.414e-9,8.488e+7
206.57,1.093e+8,4.590e-9,1.093e+8
206.59,1.189e+8,4.766e-9,1.189e+8
206.60,1.165e+8,4.854e-9,1.165e+8
206.62,9.838e+7,5.029e-9,9.838e+7
206.64,7.020e+7,5.205e-9,7.020e+7
206.65,5.567e+7,5.293e-9,5.567e+7
206.67,3.085e+7,5.469e-9,3.085e+7
206.69,1.444e+7,5.644e-9,1.444e+7
206.70,9.272e+6,5.732e-9,9.272e+6
206.72,3.370e+6,5.908e-9,3.370e+6
206.73,1.907e+6,5.996e-9,1.907e+6
206.75,5.381e+5,6.171e-9,5.381e+5
206.77,1.283e+5,6.347e-9,1.283e+5
206.78,5.878e+4,6.435e-9,5.878e+4
206.80,1.088e+4,6.611e-9,1.088e+4
206.82,1.701e+3,6.786e-9,1.701e+3
206.83,6.313e+2,6.874e-9,6.313e+2
206.85,7.664e+1,7.050e-9,7.664e+1
206.87,7.859e+0,7.225e-9,7.859e+0
206.88,2.363e+0,7.313e-9,2.363e+0
206.90,1.881e-1,7.489e-9,1.881e-1
206.92,1.265e-2,7.665e-9,1.265e-2
206.93,3.080e-3,7.752e-9,3.080e-3
206.95,1.609e-4,7.928e-9,1.609e-4
206.97,7.097e-6,8.104e-9,7.097e-6
206.98,1.399e-6,8.192e-9,1.399e-6
207.00,4.793e-8,8.367e-9,4.793e-8
207.02,1.387e-9,8.543e-9,1.387e-9
207.12,4.839e-12,9.421e-9,4.839e-12
207.13,2.857e-11,9.509e-9,2.857e-11
207.15,8.790e-10,9.685e-9,8.790e-10
207.17,2.288e-8,9.861e-9,2.288e-8
207.18,1.096e-7,9.948e-9,1.096e-7
207.20,2.221e-6,1.012e-8,2.221e-6
207.21,9.387e-6,1.021e-8,9.387e-6
207.23,1.480e-4,1.039e-8,1.480e-4
207.25,1.974e-3,1.056e-8,1.974e-3
207.26,6.770e-3,1.065e-8,6.770e-3
207.28,7.028e-2,1.083e-8,7.028e-2
207.30,6.172e-1,1.100e-8,6.172e-1
207.31,1.718e+0,1.109e-8,1.718e+0
207.33,1.174e+1,1.127e-8,1.174e+1
207.35,6.791e+1,1.144e-8,6.791e+1
207.36,1.534e+2,1.153e-8,1.534e+2
207.38,6.903e+2,1.171e-8,6.903e+2
207.40,2.629e+3,1.188e-8,2.629e+3
207.41,4.818e+3,1.197e-8,4.818e+3
207.43,1.428e+4,1.214e-8,1.428e+4
207.45,3.580e+4,1.232e-8,3.580e+4
207.46,5.324e+4,1.241e-8,5.324e+4
207.48,1.039e+5,1.258e-8,1.039e+5
207.50,1.715e+5,1.276e-8,1.715e+5
