Wavelength (nm),Sum(calc),Mg I (8.2e-3),Mg II (9.8e-1),Mg III (1.4e-2),Mg IV (8.2e-35),Mg V (1.2e-81)
200.07,1.441e-34,,,1.441e-34,,
200.09,5.668e-33,,,5.668e-33,,
200.11,1.864e-31,,,1.864e-31,,
200.12,9.994e-31,,,9.994e-31,,
200.14,2.512e-29,,,2.512e-29,,
200.16,5.279e-28,,,5.279e-28,,
200.17,2.263e-27,,,2.263e-27,,
200.19,3.634e-26,,,3.634e-26,,
200.21,4.880e-25,,,4.880e-25,,
200.22,1.672e-24,,,1.672e-24,,
200.24,1.716e-23,,,1.716e-23,,
200.26,1.473e-22,,,1.473e-22,,
200.27,4.034e-22,,,4.034e-22,,
200.29,2.646e-21,,,2.646e-21,,
200.31,1.451e-20,,,1.451e-20,,
200.32,3.177e-20,,,3.177e-20,,
200.34,1.331e-19,,,1.331e-19,,
200.35,2.549e-19,,,2.549e-19,,
200.37,8.166e-19,,,8.166e-19,,
200.39,2.187e-18,,,2.187e-18,,
200.40,3.347e-18,,,3.347e-18,,
200.42,6.852e-18,,,6.852e-18,,
200.44,1.173e-17,,,1.173e-17,,
200.45,1.435e-17,,,1.435e-17,,
200.47,1.877e-17,,,1.877e-17,,
200.49,2.053e-17,,,2.053e-17,,
200.50,2.007e-17,,,2.007e-17,,
200.52,1.678e-17,,,1.678e-17,,
200.54,1.173e-17,,,1.173e-17,,
200.55,9.167e-18,,,9.167e-18,,
200.57,4.897e-18,,,4.897e-18,,
200.59,2.187e-18,,,2.187e-18,,
200.60,1.367e-18,,,1.367e-18,,
200.62,4.666e-19,,,4.666e-19,,
200.64,1.331e-19,,,1.331e-19,,
200.65,6.651e-20,,,6.651e-20,,
200.67,1.451e-20,,,1.451e-20,,
200.69,2.646e-21,,,2.646e-21,,
200.70,1.057e-21,,,1.057e-21,,
200.72,1.473e-22,,,1.473e-22,,
200.74,1.716e-23,,,1.716e-23,,
200.75,5.479e-24,,,5.479e-24,,
200.77,4.880e-25,,,4.880e-25,,
200.79,3.634e-26,,,3.634e-26,,
200.80,9.274e-27,,,9.274e-27,,
200.82,5.279e-28,,,5.279e-28,,
200.84,2.512e-29,,,2.512e-29,,
200.85,5.124e-30,,,5.124e-30,,
200.87,1.864e-31,,,1.864e-31,,
200.89,5.668e-33,,,5.668e-33,,
200.90,9.242e-34,,,9.242e-34,,
202.16,6.069e-9,6.069e-9,,1.362e-32,,
202.18,2.213e-7,2.213e-7,,1.382e-32,,
202.20,6.773e-6,6.773e-6,,1.403e-32,,
202.21,3.508e-5,3.508e-5,,1.413e-32,,
202.23,8.252e-4,8.252e-4,,1.433e-32,,
202.24,3.747e-3,3.747e-3,,1.443e-32,,
202.26,6.775e-2,6.775e-2,,1.463e-32,5.657e-77,
202.28,1.028e+0,1.028e+0,,1.483e-32,2.244e-75,
202.29,3.748e+0,3.748e+0,,1.493e-32,1.323e-74,
202.31,4.370e+1,4.370e+1,,1.513e-32,4.035e-73,
202.33,4.276e+2,4.276e+2,,1.534e-32,1.033e-71,
202.34,1.252e+3,1.252e+3,,1.544e-32,4.892e-71,
202.36,9.417e+3,9.417e+3,,1.564e-32,9.625e-70,
202.38,5.942e+4,5.942e+4,,1.584e-32,1.589e-68,
202.39,1.398e+5,1.398e+5,,1.594e-32,6.047e-68,
202.41,6.778e+5,6.778e+5,,1.614e-32,7.677e-67,
202.43,2.758e+6,2.758e+6,,1.634e-32,8.180e-66,
202.44,5.210e+6,5.210e+6,,1.644e-32,2.500e-65,
202.46,1.630e+7,1.630e+7,,1.665e-32,2.048e-64,
202.48,4.277e+7,4.277e+7,,1.685e-32,1.408e-63,
202.49,6.488e+7,6.488e+7,,1.695e-32,3.457e-63,
202.51,1.309e+8,1.309e+8,,1.715e-32,1.827e-62,
202.53,2.216e+8,2.216e+8,,1.735e-32,8.104e-62,
202.54,2.699e+8,2.699e+8,,1.745e-32,1.598e-61,
202.56,3.511e+8,3.511e+8,,1.765e-32,5.450e-61,
202.58,3.833e+8,3.833e+8,,1.786e-32,1.560e-60,
202.59,3.750e+8,3.750e+8,,1.796e-32,2.471e-60,
202.61,3.147e+8,3.147e+8,,1.816e-32,5.438e-60,
202.63,2.216e+8,2.216e+8,,1.836e-32,1.004e-59,
202.64,1.741e+8,1.741e+8,,1.846e-32,1.278e-59,
202.66,9.420e+7,9.420e+7,,1.866e-32,1.814e-59,
202.68,4.277e+7,4.277e+7,,1.886e-32,2.162e-59,
202.69,2.699e+7,2.699e+7,,1.896e-32,2.210e-59,
202.71,9.419e+6,9.419e+6,,1.917e-32,2.024e-59,
202.73,2.758e+6,2.758e+6,,1.937e-32,1.556e-59,
202.74,1.398e+6,1.398e+6,,1.947e-32,1.278e-59,
202.76,3.146e+5,3.146e+5,,1.967e-32,7.553e-60,
202.78,5.942e+4,5.942e+4,,1.987e-32,3.747e-60,
202.79,2.418e+4,2.418e+4,,1.997e-32,2.471e-60,
202.81,3.510e+3,3.510e+3,,2.017e-32,9.425e-61,
202.83,4.276e+2,4.276e+2,,2.038e-32,3.017e-61,
202.84,1.397e+2,1.397e+2,,2.048e-32,1.598e-61,
202.86,1.308e+1,1.308e+1,,2.068e-32,3.933e-62,
202.88,1.028e+0,1.028e+0,,2.088e-32,8.123e-63,
202.89,2.697e-1,2.697e-1,,2.098e-32,3.457e-63,
202.91,1.629e-2,1.629e-2,,2.118e-32,5.489e-64,
202.92,3.747e-3,3.747e-3,,2.128e-32,2.048e-64,
202.94,1.739e-4,1.739e-4,,2.148e-32,2.500e-65,
202.96,6.773e-6,6.773e-6,,2.169e-32,2.561e-66,
202.97,1.252e-6,1.252e-6,,2.179e-32,7.677e-67,
202.99,3.746e-8,3.746e-8,,2.199e-32,6.047e-68,
203.01,3.998e-69,3.745e-8,,2.219e-32,3.998e-69,
203.02,9.625e-70,3.745e-8,,2.229e-32,9.625e-70,
203.04,4.892e-71,3.744e-8,,2.249e-32,4.892e-71,
