Wavelength (nm),Sum(calc),Mg I (8.7e-2),Mg II (9.1e-1),Mg III (7.5e-5),Mg IV (2.7e-48),Mg V (2.3e-110)
200.07,5.901e-45,,,5.901e-45,,
200.09,2.321e-43,,,2.321e-43,,
200.11,7.633e-42,,,7.633e-42,,
200.12,4.093e-41,,,4.093e-41,,
200.14,1.029e-39,,,1.029e-39,,
200.16,2.162e-38,,,2.162e-38,,
200.17,9.267e-38,,,9.267e-38,,
200.19,1.488e-36,,,1.488e-36,,
200.21,1.999e-35,,,1.999e-35,,
200.22,6.848e-35,,,6.848e-35,,
200.24,7.029e-34,,,7.029e-34,,
200.26,6.032e-33,,,6.032e-33,,
200.27,1.652e-32,,,1.652e-32,,
200.29,1.084e-31,,,1.084e-31,,
200.31,5.942e-31,,,5.942e-31,,
200.32,1.301e-30,,,1.301e-30,,
200.34,5.453e-30,,,5.453e-30,,
200.35,1.044e-29,,,1.044e-29,,
200.37,3.344e-29,,,3.344e-29,,
200.39,8.957e-29,,,8.957e-29,,
200.40,1.371e-28,,,1.371e-28,,
200.42,2.806e-28,,,2.806e-28,,
200.44,4.803e-28,,,4.803e-28,,
200.45,5.875e-28,,,5.875e-28,,
200.47,7.686e-28,,,7.686e-28,,
200.49,8.406e-28,,,8.406e-28,,
200.50,8.220e-28,,,8.220e-28,,
200.52,6.872e-28,,,6.872e-28,,
200.54,4.803e-28,,,4.803e-28,,
200.55,3.754e-28,,,3.754e-28,,
200.57,2.006e-28,,,2.006e-28,,
200.59,8.957e-29,,,8.957e-29,,
200.60,5.597e-29,,,5.597e-29,,
200.62,1.911e-29,,,1.911e-29,,
200.64,5.453e-30,,,5.453e-30,,
200.65,2.724e-30,,,2.724e-30,,
200.67,5.942e-31,,,5.942e-31,,
200.69,1.084e-31,,,1.084e-31,,
200.70,4.327e-32,,,4.327e-32,,
200.72,6.032e-33,,,6.032e-33,,
200.74,7.029e-34,,,7.029e-34,,
200.75,2.244e-34,,,2.244e-34,,
200.77,1.999e-35,,,1.999e-35,,
200.79,1.488e-36,,,1.488e-36,,
200.80,3.798e-37,,,3.798e-37,,
200.82,2.162e-38,,,2.162e-38,,
200.84,1.029e-39,,,1.029e-39,,
200.85,2.099e-40,,,2.099e-40,,
200.87,7.633e-42,,,7.633e-42,,
200.89,2.321e-43,,,2.321e-43,,
200.90,3.785e-44,,,3.785e-44,,
202.16,1.363e-8,1.363e-8,,5.762e-43,,
202.18,4.972e-7,4.972e-7,,5.847e-43,,
202.20,1.522e-5,1.522e-5,,5.932e-43,,
202.21,7.881e-5,7.881e-5,,5.975e-43,,
202.23,1.854e-3,1.854e-3,,6.061e-43,,
202.24,8.419e-3,8.419e-3,,6.103e-43,,
202.26,1.522e-1,1.522e-1,,6.189e-43,8.787e-101,
202.28,2.309e+0,2.309e+0,,6.274e-43,3.485e-99,
202.29,8.420e+0,8.420e+0,,6.317e-43,2.055e-98,
202.31,9.818e+1,9.818e+1,,6.402e-43,6.267e-97,
202.33,9.606e+2,9.606e+2,,6.488e-43,1.604e-95,
202.34,2.813e+3,2.813e+3,,6.531e-43,7.598e-95,
202.36,2.116e+4,2.116e+4,,6.616e-43,1.495e-93,
202.38,1.335e+5,1.335e+5,,6.701e-43,2.468e-92,
202.39,3.140e+5,3.140e+5,,6.744e-43,9.393e-92,
202.41,1.523e+6,1.523e+6,,6.830e-43,1.192e-90,
202.43,6.197e+6,6.197e+6,,6.915e-43,1.270e-89,
