Wavelength (nm),Sum(calc),Mg I (7.7e-2),Mg II (9.2e-1),Mg III (1.3e-3),Mg IV (7.7e-37),Mg V (1.1e-84)
200.07,1.358e-35,,,1.358e-35,,
200.09,5.341e-34,,,5.341e-34,,
200.11,1.756e-32,,,1.756e-32,,
200.12,9.417e-32,,,9.417e-32,,
200.14,2.367e-30,,,2.367e-30,,
200.16,4.974e-29,,,4.974e-29,,
200.17,2.132e-28,,,2.132e-28,,
200.19,3.425e-27,,,3.425e-27,,
200.21,4.599e-26,,,4.599e-26,,
200.22,1.576e-25,,,1.576e-25,,
200.24,1.617e-24,,,1.617e-24,,
200.26,1.388e-23,,,1.388e-23,,
200.27,3.801e-23,,,3.801e-23,,
200.29,2.493e-22,,,2.493e-22,,
200.31,1.367e-21,,,1.367e-21,,
200.32,2.993e-21,,,2.993e-21,,
200.34,1.255e-20,,,1.255e-20,,
200.35,2.402e-20,,,2.402e-20,,
200.37,7.694e-20,,,7.694e-20,,
200.39,2.061e-19,,,2.061e-19,,
200.40,3.154e-19,,,3.154e-19,,
200.42,6.456e-19,,,6.456e-19,,
200.44,1.105e-18,,,1.105e-18,,
200.45,1.352e-18,,,1.352e-18,,
200.47,1.768e-18,,,1.768e-18,,
200.49,1.934e-18,,,1.934e-18,,
200.50,1.891e-18,,,1.891e-18,,
200.52,1.581e-18,,,1.581e-18,,
200.54,1.105e-18,,,1.105e-18,,
200.55,8.638e-19,,,8.638e-19,,
200.57,4.614e-19,,,4.614e-19,,
200.59,2.061e-19,,,2.061e-19,,
200.60,1.288e-19,,,1.288e-19,,
200.62,4.396e-20,,,4.396e-20,,
200.64,1.255e-20,,,1.255e-20,,
200.65,6.267e-21,,,6.267e-21,,
200.67,1.367e-21,,,1.367e-21,,
200.69,2.493e-22,,,2.493e-22,,
200.70,9.955e-23,,,9.955e-23,,
200.72,1.388e-23,,,1.388e-23,,
200.74,1.617e-24,,,1.617e-24,,
200.75,5.162e-25,,,5.162e-25,,
200.77,4.599e-26,,,4.599e-26,,
200.79,3.425e-27,,,3.425e-27,,
200.80,8.738e-28,,,8.738e-28,,
