Wavelength (nm),Sum(calc),Mg I (1.9e-1),Mg II (8.1e-1),Mg III (1.2e-4),Mg IV (8.7e-43),Mg V (2.7e-97)
200.07,3.482e-40,,,3.482e-40,,
200.09,1.370e-38,,,1.370e-38,,
200.11,4.504e-37,,,4.504e-37,,
200.12,2.415e-36,,,2.415e-36,,
200.14,6.071e-35,,,6.071e-35,,
200.16,1.276e-33,,,1.276e-33,,
200.17,5.468e-33,,,5.468e-33,,
200.19,8.783e-32,,,8.783e-32,,
200.21,1.179e-30,,,1.179e-30,,
200.22,4.041e-30,,,4.041e-30,,
200.24,4.148e-29,,,4.148e-29,,
200.26,3.559e-28,,,3.559e-28,,
200.27,9.748e-28,,,9.748e-28,,
200.29,6.394e-27,,,6.394e-27,,
200.31,3.506e-26,,,3.506e-26,,
200.32,7.676e-26,,,7.676e-26,,
200.34,3.217e-25,,,3.217e-25,,
200.35,6.159e-25,,,6.159e-25,,
200.37,1.973e-24,,,1.973e-24,,
200.39,5.285e-24,,,5.285e-24,,
200.40,8.088e-24,,,8.088e-24,,
200.42,1.656e-23,,,1.656e-23,,
200.44,2.834e-23,,,2.834e-23,,
200.45,3.467e-23,,,3.467e-23,,
200.47,4.535e-23,,,4.535e-23,,
200.49,4.960e-23,,,4.960e-23,,
200.50,4.850e-23,,,4.850e-23,,
200.52,4.055e-23,,,4.055e-23,,
200.54,2.834e-23,,,2.834e-23,,
200.55,2.215e-23,,,2.215e-23,,
200.57,1.183e-23,,,1.183e-23,,
200.59,5.285e-24,,,5.285e-24,,
200.60,3.303e-24,,,3.303e-24,,
200.62,1.127e-24,,,1.127e-24,,
200.64,3.217e-25,,,3.217e-25,,
200.65,1.607e-25,,,1.607e-25,,
200.67,3.506e-26,,,3.506e-26,,
200.69,6.394e-27,,,6.394e-27,,
200.70,2.553e-27,,,2.553e-27,,
200.72,3.559e-28,,,3.559e-28,,
200.74,4.148e-29,,,4.148e-29,,
200.75,1.324e-29,,,1.324e-29,,
200.77,1.179e-30,,,1.179e-30,,
200.79,8.783e-32,,,8.783e-32,,
200.80,2.241e-32,,,2.241e-32,,
200.82,1.276e-33,,,1.276e-33,,
200.84,6.071e-35,,,6.071e-35,,
200.85,1.238e-35,,,1.238e-35,,
200.87,4.504e-37,,,4.504e-37,,
200.89,1.370e-38,,,1.370e-38,,
200.90,2.233e-39,,,2.233e-39,,
202.16,7.497e-8,7.497e-8,,3.339e-38,,
202.18,2.734e-6,2.734e-6,,3.388e-38,,
202.20,8.367e-5,8.367e-5,,3.437e-38,,
202.21,4.334e-4,4.334e-4,,3.462e-38,,
202.23,1.019e-2,1.019e-2,,3.512e-38,,
202.24,4.629e-2,4.629e-2,,3.536e-38,,
202.26,8.370e-1,8.370e-1,,3.586e-38,1.815e-89,
202.28,1.270e+1,1.270e+1,,3.635e-38,7.201e-88,
202.29,4.630e+1,4.630e+1,,3.660e-38,4.246e-87,
202.31,5.399e+2,5.399e+2,,3.709e-38,1.295e-85,
202.33,5.282e+3,5.282e+3,,3.759e-38,3.314e-84,
202.34,1.547e+4,1.547e+4,,3.784e-38,1.570e-83,
202.36,1.163e+5,1.163e+5,,3.833e-38,3.089e-82,
202.38,7.341e+5,7.341e+5,,3.883e-38,5.100e-81,
202.39,1.727e+6,1.727e+6,,3.907e-38,1.941e-80,
202.41,8.374e+6,8.374e+6,,3.957e-38,2.464e-79,
202.43,3.408e+7,3.408e+7,,4.006e-38,2.625e-78,
202.44,6.436e+7,6.436e+7,,4.031e-38,8.023e-78,
202.46,2.013e+8,2.013e+8,,4.080e-38,6.572e-77,
202.48,5.284e+8,5.284e+8,,4.130e-38,4.518e-76,
202.49,8.015e+8,8.015e+8,,4.154e-38,1.109e-75,
202.51,1.617e+9,1.617e+9,,4.204e-38,5.863e-75,
202.53,2.737e+9,2.737e+9,,4.253e-38,2.600e-74,
202.54,3.334e+9,3.334e+9,,4.278e-38,5.129e-74,
202.56,4.338e+9,4.338e+9,,4.328e-38,1.749e-73,
202.58,4.736e+9,4.736e+9,,4.377e-38,5.006e-73,
202.59,4.633e+9,4.633e+9,,4.402e-38,7.930e-73,
202.61,3.887e+9,3.887e+9,,4.451e-38,1.745e-72,
202.63,2.737e+9,2.737e+9,,4.501e-38,3.222e-72,
202.64,2.150e+9,2.150e+9,,4.525e-38,4.100e-72,
202.66,1.164e+9,1.164e+9,,4.575e-38,5.822e-72,
202.68,5.284e+8,5.284e+8,,4.624e-38,6.937e-72,
202.69,3.334e+8,3.334e+8,,4.649e-38,7.091e-72,
202.71,1.164e+8,1.164e+8,,4.698e-38,6.496e-72,
202.73,3.408e+7,3.408e+7,,4.748e-38,4.994e-72,
202.74,1.727e+7,1.727e+7,,4.773e-38,4.100e-72,
202.76,3.887e+6,3.887e+6,,4.822e-38,2.424e-72,
202.78,7.341e+5,7.341e+5,,4.871e-38,1.202e-72,
202.79,2.987e+5,2.987e+5,,4.896e-38,7.930e-73,
202.81,4.336e+4,4.336e+4,,4.946e-38,3.024e-73,
202.83,5.282e+3,5.282e+3,,4.995e-38,9.681e-74,
202.84,1.726e+3,1.726e+3,,5.020e-38,5.129e-74,
202.86,1.616e+2,1.616e+2,,5.069e-38,1.262e-74,
202.88,1.270e+1,1.270e+1,,5.119e-38,2.607e-75,
202.89,3.332e+0,3.332e+0,,5.143e-38,1.109e-75,
202.91,2.012e-1,2.012e-1,,5.193e-38,1.761e-76,
202.92,4.629e-2,4.629e-2,,5.218e-38,6.572e-77,
202.94,2.149e-3,2.149e-3,,5.267e-38,8.023e-78,
202.96,8.367e-5,8.367e-5,,5.317e-38,8.220e-79,
202.97,1.546e-5,1.546e-5,,5.341e-38,2.464e-79,
202.99,4.628e-7,4.628e-7,,5.391e-38,1.941e-80,
203.01,1.283e-81,4.627e-7,,5.440e-38,1.283e-81,
203.02,3.089e-82,4.626e-7,,5.465e-38,3.089e-82,
203.04,1.570e-83,4.625e-7,,5.514e-38,1.570e-83,
203.06,6.696e-85,4.623e-7,,5.564e-38,6.696e-85,
203.07,1.295e-85,4.623e-7,,5.588e-38,1.295e-85,
203.09,4.246e-87,4.621e-7,,5.638e-38,4.246e-87,
203.54,6.751e-38,4.591e-7,,6.751e-38,4.191e-87,
203.55,3.894e-37,4.591e-7,,3.894e-37,4.190e-87,
203.57,1.138e-35,4.589e-7,,1.138e-35,4.187e-87,
203.59,2.799e-34,4.588e-7,,2.799e-34,4.185e-87,
203.60,1.300e-33,4.587e-7,,1.300e-33,4.184e-87,
203.62,2.466e-32,4.586e-7,,2.466e-32,4.181e-87,
203.64,3.933e-31,4.585e-7,,3.933e-31,4.179e-87,
203.65,1.472e-30,4.584e-7,,1.472e-30,4.178e-87,
