Wavelength (nm),Sum(calc),Mg I (2.3e-2),Mg II (9.8e-1),Mg III (1.4e-3),Mg IV (1.0e-40),Mg V (3.2e-94)
200.07,4.191e-39,,,4.191e-39,,
200.09,1.649e-37,,,1.649e-37,,
200.11,5.421e-36,,,5.421e-36,,
200.12,2.907e-35,,,2.907e-35,,
200.14,7.307e-34,,,7.307e-34,,
200.16,1.535e-32,,,1.535e-32,,
200.17,6.581e-32,,,6.581e-32,,
200.19,1.057e-30,,,1.057e-30,,
200.21,1.420e-29,,,1.420e-29,,
200.22,4.864e-29,,,4.864e-29,,
200.24,4.992e-28,,,4.992e-28,,
200.26,4.284e-27,,,4.284e-27,,
200.27,1.173e-26,,,1.173e-26,,
200.29,7.696e-26,,,7.696e-26,,
200.31,4.220e-25,,,4.220e-25,,
200.32,9.240e-25,,,9.240e-25,,
200.34,3.873e-24,,,3.873e-24,,
200.35,7.414e-24,,,7.414e-24,,
200.37,2.375e-23,,,2.375e-23,,
200.39,6.362e-23,,,6.362e-23,,
200.40,9.735e-23,,,9.735e-23,,
200.42,1.993e-22,,,1.993e-22,,
200.44,3.411e-22,,,3.411e-22,,
200.45,4.173e-22,,,4.173e-22,,
200.47,5.459e-22,,,5.459e-22,,
200.49,5.970e-22,,,5.970e-22,,
200.50,5.838e-22,,,5.838e-22,,
200.52,4.881e-22,,,4.881e-22,,
200.54,3.411e-22,,,3.411e-22,,
200.55,2.666e-22,,,2.666e-22,,
200.57,1.424e-22,,,1.424e-22,,
200.59,6.362e-23,,,6.362e-23,,
200.60,3.975e-23,,,3.975e-23,,
200.62,1.357e-23,,,1.357e-23,,
200.64,3.873e-24,,,3.873e-24,,
200.65,1.935e-24,,,1.935e-24,,
200.67,4.220e-25,,,4.220e-25,,
200.69,7.696e-26,,,7.696e-26,,
200.70,3.073e-26,,,3.073e-26,,
200.72,4.284e-27,,,4.284e-27,,
200.74,4.992e-28,,,4.992e-28,,
200.75,1.594e-28,,,1.594e-28,,
200.77,1.420e-29,,,1.420e-29,,
200.79,1.057e-30,,,1.057e-30,,
200.80,2.697e-31,,,2.697e-31,,
200.82,1.535e-32,,,1.535e-32,,
200.84,7.307e-34,,,7.307e-34,,
200.85,1.490e-34,,,1.490e-34,,
200.87,5.421e-36,,,5.421e-36,,
200.89,1.649e-37,,,1.649e-37,,
200.90,2.688e-38,,,2.688e-38,,
202.16,9.024e-9,9.024e-9,,4.019e-37,,
202.18,3.291e-7,3.291e-7,,4.078e-37,,
202.20,1.007e-5,1.007e-5,,4.138e-37,,
202.21,5.217e-5,5.217e-5,,4.167e-37,,
202.23,1.227e-3,1.227e-3,,4.227e-37,,
202.24,5.572e-3,5.572e-3,,4.257e-37,,
202.26,1.007e-1,1.007e-1,,4.316e-37,2.185e-87,
202.28,1.528e+0,1.528e+0,,4.376e-37,8.667e-86,
202.29,5.573e+0,5.573e+0,,4.405e-37,5.111e-85,
202.31,6.499e+1,6.499e+1,,4.465e-37,1.559e-83,
202.33,6.358e+2,6.358e+2,,4.524e-37,3.989e-82,
202.34,1.862e+3,1.862e+3,,4.554e-37,1.889e-81,
202.36,1.400e+4,1.400e+4,,4.614e-37,3.718e-80,
202.38,8.836e+4,8.836e+4,,4.673e-37,6.139e-79,
202.39,2.078e+5,2.078e+5,,4.703e-37,2.336e-78,
202.41,1.008e+6,1.008e+6,,4.763e-37,2.965e-77,
202.43,4.102e+6,4.102e+6,,4.822e-37,3.159e-76,
202.44,7.747e+6,7.747e+6,,4.852e-37,9.657e-76,
202.46,2.423e+7,2.423e+7,,4.911e-37,7.910e-75,
202.48,6.360e+7,6.360e+7,,4.971e-37,5.438e-74,
202.49,9.648e+7,9.648e+7,,5.001e-37,1.335e-73,
202.51,1.946e+8,1.946e+8,,5.060e-37,7.057e-73,
202.53,3.294e+8,3.294e+8,,5.120e-37,3.130e-72,
202.54,4.013e+8,4.013e+8,,5.149e-37,6.173e-72,
202.56,5.221e+8,5.221e+8,,5.209e-37,2.105e-71,
202.58,5.700e+8,5.700e+8,,5.268e-37,6.025e-71,
202.59,5.576e+8,5.576e+8,,5.298e-37,9.545e-71,
