Wavelength (nm),Sum(calc),Mg I (3.6e-3),Mg II (9.2e-1),Mg III (7.9e-2),Mg IV (4.1e-30),Mg V (1.3e-71)
200.07,5.803e-31,,,5.803e-31,,
200.09,2.282e-29,,,2.282e-29,,
200.11,7.506e-28,,,7.506e-28,,
200.12,4.025e-27,,,4.025e-27,,
200.14,1.012e-25,,,1.012e-25,,
200.16,2.126e-24,,,2.126e-24,,
200.17,9.112e-24,,,9.112e-24,,
200.19,1.464e-22,,,1.464e-22,,
200.21,1.965e-21,,,1.965e-21,,
200.22,6.734e-21,,,6.734e-21,,
200.24,6.912e-20,,,6.912e-20,,
200.26,5.931e-19,,,5.931e-19,,
200.27,1.624e-18,,,1.624e-18,,
200.29,1.065e-17,,,1.065e-17,,
200.31,5.843e-17,,,5.843e-17,,
200.32,1.279e-16,,,1.279e-16,,
200.34,5.362e-16,,,5.362e-16,,
200.35,1.026e-15,,,1.026e-15,,
200.37,3.288e-15,,,3.288e-15,,
200.39,8.807e-15,,,8.807e-15,,
200.40,1.348e-14,,,1.348e-14,,
200.42,2.759e-14,,,2.759e-14,,
200.44,4.722e-14,,,4.722e-14,,
200.45,5.777e-14,,,5.777e-14,,
200.47,7.557e-14,,,7.557e-14,,
200.49,8.265e-14,,,8.265e-14,,
200.50,8.082e-14,,,8.082e-14,,
200.52,6.757e-14,,,6.757e-14,,
200.54,4.722e-14,,,4.722e-14,,
200.55,3.691e-14,,,3.691e-14,,
200.57,1.972e-14,,,1.972e-14,,
200.59,8.807e-15,,,8.807e-15,,
200.60,5.503e-15,,,5.503e-15,,
200.62,1.879e-15,,,1.879e-15,,
200.64,5.362e-16,,,5.362e-16,,
200.65,2.678e-16,,,2.678e-16,,
200.67,5.843e-17,,,5.843e-17,,
200.69,1.065e-17,,,1.065e-17,,
200.70,4.255e-18,,,4.255e-18,,
200.72,5.931e-19,,,5.931e-19,,
200.74,6.912e-20,,,6.912e-20,,
200.75,2.206e-20,,,2.206e-20,,
200.77,1.965e-21,,,1.965e-21,,
200.79,1.464e-22,,,1.464e-22,,
200.80,3.734e-23,,,3.734e-23,,
200.82,2.126e-24,,,2.126e-24,,
200.84,1.012e-25,,,1.012e-25,,
200.85,2.063e-26,,,2.063e-26,,
200.87,7.506e-28,,,7.506e-28,,
200.89,2.282e-29,,,2.282e-29,,
200.90,3.722e-30,,,3.722e-30,,
202.16,4.043e-9,4.043e-9,,5.424e-29,,
202.18,1.474e-7,1.474e-7,,5.504e-29,,
202.20,4.512e-6,4.512e-6,,5.585e-29,,
202.21,2.337e-5,2.337e-5,,5.625e-29,,
202.23,5.497e-4,5.497e-4,,5.705e-29,,
202.24,2.496e-3,2.496e-3,,5.745e-29,,
202.26,4.513e-2,4.513e-2,,5.825e-29,1.165e-68,
202.28,6.847e-1,6.847e-1,,5.905e-29,4.620e-67,
202.29,2.497e+0,2.497e+0,,5.945e-29,2.725e-66,
202.31,2.911e+1,2.911e+1,,6.026e-29,8.309e-65,
202.33,2.848e+2,2.848e+2,,6.106e-29,2.126e-63,
202.34,8.342e+2,8.342e+2,,6.146e-29,1.007e-62,
202.36,6.273e+3,6.273e+3,,6.226e-29,1.982e-61,
