Wavelength (nm),Sum(calc),Mg I (4.6e-1),Mg II (5.4e-1),Mg III (7.6e-5),Mg IV (4.6e-39),Mg V (6.6e-88)
200.07,8.022e-37,,,8.022e-37,,
200.09,3.155e-35,,,3.155e-35,,
200.11,1.038e-33,,,1.038e-33,,
200.12,5.564e-33,,,5.564e-33,,
200.14,1.399e-31,,,1.399e-31,,
200.16,2.939e-30,,,2.939e-30,,
200.17,1.260e-29,,,1.260e-29,,
200.19,2.023e-28,,,2.023e-28,,
200.21,2.717e-27,,,2.717e-27,,
200.22,9.309e-27,,,9.309e-27,,
200.24,9.555e-26,,,9.555e-26,,
200.26,8.199e-25,,,8.199e-25,,
200.27,2.246e-24,,,2.246e-24,,
200.29,1.473e-23,,,1.473e-23,,
200.31,8.077e-23,,,8.077e-23,,
200.32,1.768e-22,,,1.768e-22,,
200.34,7.412e-22,,,7.412e-22,,
200.35,1.419e-21,,,1.419e-21,,
200.37,4.546e-21,,,4.546e-21,,
200.39,1.218e-20,,,1.218e-20,,
200.40,1.863e-20,,,1.863e-20,,
200.42,3.814e-20,,,3.814e-20,,
200.44,6.529e-20,,,6.529e-20,,
200.45,7.986e-20,,,7.986e-20,,
200.47,1.045e-19,,,1.045e-19,,
200.49,1.143e-19,,,1.143e-19,,
200.50,1.117e-19,,,1.117e-19,,
200.52,9.341e-20,,,9.341e-20,,
200.54,6.529e-20,,,6.529e-20,,
200.55,5.103e-20,,,5.103e-20,,
200.57,2.726e-20,,,2.726e-20,,
200.59,1.218e-20,,,1.218e-20,,
200.60,7.608e-21,,,7.608e-21,,
200.62,2.597e-21,,,2.597e-21,,
200.64,7.412e-22,,,7.412e-22,,
200.65,3.703e-22,,,3.703e-22,,
200.67,8.077e-23,,,8.077e-23,,
200.69,1.473e-23,,,1.473e-23,,
200.70,5.882e-24,,,5.882e-24,,
200.72,8.199e-25,,,8.199e-25,,
200.74,9.555e-26,,,9.555e-26,,
200.75,3.050e-26,,,3.050e-26,,
200.77,2.717e-27,,,2.717e-27,,
200.79,2.023e-28,,,2.023e-28,,
200.80,5.163e-29,,,5.163e-29,,
200.82,2.939e-30,,,2.939e-30,,
200.84,1.399e-31,,,1.399e-31,,
200.85,2.853e-32,,,2.853e-32,,
200.87,1.038e-33,,,1.038e-33,,
200.89,3.155e-35,,,3.155e-35,,
200.90,5.145e-36,,,5.145e-36,,
202.16,3.378e-7,3.378e-7,,7.584e-35,,
202.18,1.232e-5,1.232e-5,,7.696e-35,,
202.20,3.771e-4,3.771e-4,,7.808e-35,,
202.21,1.953e-3,1.953e-3,,7.864e-35,,
202.23,4.594e-2,4.594e-2,,7.977e-35,,
202.24,2.086e-1,2.086e-1,,8.033e-35,,
202.26,3.772e+0,3.772e+0,,8.145e-35,3.150e-81,
202.28,5.722e+1,5.722e+1,,8.257e-35,1.249e-79,
202.29,2.087e+2,2.087e+2,,8.313e-35,7.367e-79,
