Wavelength (nm),Sum(calc),Mg I (7.0e-1),Mg II (3.0e-1),Mg III (4.4e-6),Mg IV (3.2e-45),Mg V (9.9e-101)
200.07,1.288e-41,,,1.288e-41,,
200.09,5.068e-40,,,5.068e-40,,
200.11,1.667e-38,,,1.667e-38,,
200.12,8.936e-38,,,8.936e-38,,
200.14,2.246e-36,,,2.246e-36,,
200.16,4.720e-35,,,4.720e-35,,
200.17,2.023e-34,,,2.023e-34,,
200.19,3.250e-33,,,3.250e-33,,
200.21,4.364e-32,,,4.364e-32,,
200.22,1.495e-31,,,1.495e-31,,
200.24,1.535e-30,,,1.535e-30,,
200.26,1.317e-29,,,1.317e-29,,
200.27,3.607e-29,,,3.607e-29,,
200.29,2.366e-28,,,2.366e-28,,
200.31,1.297e-27,,,1.297e-27,,
200.32,2.840e-27,,,2.840e-27,,
200.34,1.190e-26,,,1.190e-26,,
200.35,2.279e-26,,,2.279e-26,,
200.37,7.301e-26,,,7.301e-26,,
200.39,1.955e-25,,,1.955e-25,,
200.40,2.992e-25,,,2.992e-25,,
200.42,6.126e-25,,,6.126e-25,,
200.44,1.049e-24,,,1.049e-24,,
200.45,1.283e-24,,,1.283e-24,,
200.47,1.678e-24,,,1.678e-24,,
200.49,1.835e-24,,,1.835e-24,,
200.50,1.795e-24,,,1.795e-24,,
200.52,1.500e-24,,,1.500e-24,,
200.54,1.049e-24,,,1.049e-24,,
200.55,8.196e-25,,,8.196e-25,,
200.57,4.379e-25,,,4.379e-25,,
200.59,1.955e-25,,,1.955e-25,,
200.60,1.222e-25,,,1.222e-25,,
200.62,4.171e-26,,,4.171e-26,,
200.64,1.190e-26,,,1.190e-26,,
200.65,5.947e-27,,,5.947e-27,,
200.67,1.297e-27,,,1.297e-27,,
200.69,2.366e-28,,,2.366e-28,,
200.70,9.446e-29,,,9.446e-29,,
200.72,1.317e-29,,,1.317e-29,,
200.74,1.535e-30,,,1.535e-30,,
200.75,4.898e-31,,,4.898e-31,,
200.77,4.364e-32,,,4.364e-32,,
200.79,3.250e-33,,,3.250e-33,,
200.80,8.292e-34,,,8.292e-34,,
200.82,4.720e-35,,,4.720e-35,,
200.84,2.246e-36,,,2.246e-36,,
200.85,4.581e-37,,,4.581e-37,,
200.87,1.667e-38,,,1.667e-38,,
200.89,5.068e-40,,,5.068e-40,,
200.90,8.263e-41,,,8.263e-41,,
202.16,2.774e-7,2.774e-7,,1.235e-39,,
202.18,1.012e-5,1.012e-5,,1.254e-39,,
202.20,3.096e-4,3.096e-4,,1.272e-39,,
202.21,1.604e-3,1.604e-3,,1.281e-39,,
202.23,3.772e-2,3.772e-2,,1.299e-39,,
202.24,1.713e-1,1.713e-1,,1.308e-39,,
202.26,3.097e+0,3.097e+0,,1.327e-39,6.717e-92,
202.28,4.698e+1,4.698e+1,,1.345e-39,2.664e-90,
202.29,1.713e+2,1.713e+2,,1.354e-39,1.571e-89,
202.31,1.998e+3,1.998e+3,,1.372e-39,4.791e-88,
202.33,1.954e+4,1.954e+4,,1.391e-39,1.226e-86,
202.34,5.724e+4,5.724e+4,,1.400e-39,5.808e-86,
202.36,4.304e+5,4.304e+5,,1.418e-39,1.143e-84,
202.38,2.716e+6,2.716e+6,,1.437e-39,1.887e-83,
202.39,6.388e+6,6.388e+6,,1.446e-39,7.180e-83,
202.41,3.098e+7,3.098e+7,,1.464e-39,9.115e-82,
202.43,1.261e+8,1.261e+8,,1.482e-39,9.712e-81,
202.44,2.381e+8,2.381e+8,,1.491e-39,2.968e-80,
202.46,7.449e+8,7.449e+8,,1.510e-39,2.432e-79,
202.48,1.955e+9,1.955e+9,,1.528e-39,1.672e-78,
202.49,2.966e+9,2.966e+9,,1.537e-39,4.104e-78,
202.51,5.983e+9,5.983e+9,,1.555e-39,2.169e-77,
202.53,1.013e+10,1.013e+10,,1.574e-39,9.622e-77,
202.54,1.234e+10,1.234e+10,,1.583e-39,1.898e-76,
202.56,1.605e+10,1.605e+10,,1.601e-39,6.471e-76,
202.58,1.752e+10,1.752e+10,,1.619e-39,1.852e-75,
202.59,1.714e+10,1.714e+10,,1.629e-39,2.934e-75,
202.61,1.438e+10,1.438e+10,,1.647e-39,6.456e-75,
202.63,1.013e+10,1.013e+10,,1.665e-39,1.192e-74,
202.64,7.956e+9,7.956e+9,,1.674e-39,1.517e-74,
202.66,4.306e+9,4.306e+9,,1.693e-39,2.154e-74,
202.68,1.955e+9,1.955e+9,,1.711e-39,2.567e-74,
202.69,1.234e+9,1.234e+9,,1.720e-39,2.623e-74,
202.71,4.305e+8,4.305e+8,,1.738e-39,2.403e-74,
202.73,1.261e+8,1.261e+8,,1.757e-39,1.848e-74,
202.74,6.389e+7,6.389e+7,,1.766e-39,1.517e-74,
