Wavelength (nm),Sum(calc),Mg I (2.8e-1),Mg II (7.2e-1),Mg III (6.2e-4),Mg IV (3.2e-34),Mg V (1.0e-77)
203.55,4.930e-30,1.140e-5,,4.930e-30,3.556e-71,
203.57,1.441e-28,1.140e-5,,1.441e-28,3.554e-71,
203.58,7.301e-28,1.140e-5,,7.301e-28,3.553e-71,
203.60,1.646e-26,1.140e-5,,1.646e-26,3.551e-71,
203.61,7.325e-26,1.139e-5,,7.325e-26,3.550e-71,
203.63,1.274e-24,1.139e-5,,1.274e-24,3.548e-71,
203.65,1.863e-23,1.139e-5,,1.863e-23,3.546e-71,
203.66,6.678e-23,1.139e-5,,6.678e-23,3.545e-71,
203.68,7.534e-22,1.138e-5,,7.534e-22,3.543e-71,
203.70,7.149e-21,1.138e-5,,7.149e-21,3.541e-71,
203.71,2.064e-20,1.138e-5,,2.064e-20,3.540e-71,
203.73,1.511e-19,1.137e-5,,1.511e-19,3.538e-71,
203.75,9.299e-19,1.137e-5,,9.299e-19,3.535e-71,
203.76,2.162e-18,1.137e-5,,2.162e-18,3.534e-71,
203.78,1.027e-17,1.137e-5,,1.027e-17,3.532e-71,
203.80,4.100e-17,1.136e-5,,4.100e-17,3.530e-71,
203.81,7.678e-17,1.136e-5,,7.678e-17,3.529e-71,
203.83,2.365e-16,1.136e-5,,2.365e-16,3.527e-71,
203.85,6.128e-16,1.135e-5,,6.128e-16,3.525e-71,
203.86,9.244e-16,1.135e-5,,9.244e-16,3.524e-71,
203.88,1.847e-15,1.135e-5,,1.847e-15,3.522e-71,
203.90,3.105e-15,1.135e-5,,3.105e-15,3.520e-71,
203.91,3.772e-15,1.134e-5,,3.772e-15,3.519e-71,
203.93,4.891e-15,1.134e-5,,4.891e-15,3.517e-71,
203.95,5.333e-15,1.134e-5,,5.333e-15,3.515e-71,
203.96,5.219e-15,1.134e-5,,5.219e-15,3.514e-71,
203.98,4.389e-15,1.133e-5,,4.389e-15,3.512e-71,
204.00,3.105e-15,1.133e-5,,3.105e-15,3.509e-71,
204.01,2.447e-15,1.133e-5,,2.447e-15,3.508e-71,
204.03,1.335e-15,1.132e-5,,1.335e-15,3.506e-71,
204.05,6.128e-16,1.132e-5,,6.128e-16,3.504e-71,
204.06,3.890e-16,1.132e-5,,3.890e-16,3.503e-71,
204.08,1.377e-16,1.132e-5,,1.377e-16,3.501e-71,
204.10,4.100e-17,1.131e-5,,4.100e-17,3.499e-71,
204.11,2.096e-17,1.131e-5,,2.096e-17,3.498e-71,
204.13,4.814e-18,1.131e-5,,4.814e-18,3.496e-71,
204.15,9.299e-19,1.130e-5,,9.299e-19,3.494e-71,
204.16,3.830e-19,1.130e-5,,3.830e-19,3.493e-71,
204.18,5.705e-20,1.130e-5,,5.705e-20,3.491e-71,
204.20,7.149e-21,1.130e-5,,7.149e-21,3.489e-71,
204.21,2.372e-21,1.129e-5,,2.372e-21,3.488e-71,
204.23,2.292e-22,1.129e-5,,2.292e-22,3.486e-71,
204.24,6.678e-23,1.129e-5,,6.678e-23,3.485e-71,
204.26,4.978e-24,1.129e-5,,4.978e-24,3.482e-71,
204.28,3.121e-25,1.128e-5,,3.121e-25,3.480e-71,
204.29,7.325e-26,1.128e-5,,7.325e-26,3.479e-71,
204.31,3.542e-27,1.128e-5,,3.542e-27,3.477e-71,
204.33,1.441e-28,1.128e-5,,1.441e-28,3.475e-71,
204.34,2.723e-29,1.127e-5,,2.723e-29,3.474e-71,
204.36,8.545e-31,1.127e-5,,8.545e-31,3.472e-71,
204.38,2.255e-32,1.127e-5,,2.255e-32,3.470e-71,
205.04,1.017e-134,1.116e-5,,3.271e-32,3.401e-71,1.017e-134
205.06,3.356e-133,1.115e-5,,3.302e-32,3.399e-71,3.356e-133
205.07,1.808e-132,1.115e-5,,3.317e-32,3.398e-71,1.808e-132
205.09,4.621e-131,1.115e-5,,3.348e-32,3.396e-71,4.621e-131
205.11,9.954e-130,1.115e-5,,3.379e-32,3.394e-71,9.954e-130
205.12,3.394e-32,1.114e-5,,3.394e-32,3.393e-71,4.334e-129
205.14,1.216e-30,1.114e-5,,1.216e-30,3.391e-71,7.229e-128
205.16,3.674e-29,1.114e-5,,3.674e-29,3.389e-71,1.017e-126
205.17,1.894e-28,1.114e-5,,1.894e-28,3.388e-71,3.577e-126
205.19,4.433e-27,1.113e-5,,4.433e-27,3.386e-71,3.895e-125
205.21,8.746e-26,1.113e-5,,8.746e-26,3.384e-71,3.577e-124
205.22,3.645e-25,1.113e-5,,3.645e-25,3.383e-71,1.017e-123
205.24,5.569e-24,1.113e-5,,5.569e-24,3.381e-71,7.229e-123
205.26,7.177e-23,1.112e-5,,7.177e-23,3.378e-71,4.333e-122
205.27,2.417e-22,1.112e-5,,2.417e-22,3.377e-71,9.953e-122
205.29,2.412e-21,1.112e-5,,2.412e-21,3.375e-71,4.620e-121
205.31,2.030e-20,1.111e-5,,2.030e-20,3.373e-71,1.808e-120
205.32,5.525e-20,1.111e-5,,5.525e-20,3.372e-71,3.355e-120
205.34,3.601e-19,1.111e-5,,3.601e-19,3.370e-71,1.017e-119
205.36,1.979e-18,1.111e-5,,1.979e-18,3.368e-71,2.598e-119
205.37,4.354e-18,1.110e-5,,4.354e-18,3.367e-71,3.895e-119
205.39,1.853e-17,1.110e-5,,1.853e-17,3.365e-71,7.705e-119
205.41,6.653e-17,1.110e-5,,6.653e-17,3.363e-71,1.285e-118
205.42,1.182e-16,1.110e-5,,1.182e-16,3.362e-71,1.557e-118
205.44,3.287e-16,1.109e-5,,3.287e-16,3.360e-71,2.011e-118
205.46,7.707e-16,1.109e-5,,7.707e-16,3.358e-71,2.190e-118
205.47,1.107e-15,1.109e-5,,1.107e-15,3.357e-71,2.144e-118
205.49,2.010e-15,1.108e-5,,2.010e-15,3.355e-71,1.808e-118
205.51,3.078e-15,1.108e-5,,3.078e-15,3.352e-71,1.285e-118
205.52,3.573e-15,1.108e-5,,3.573e-15,3.351e-71,1.017e-118
205.54,4.236e-15,1.108e-5,,4.236e-15,3.349e-71,5.596e-119
205.55,4.327e-15,1.107e-5,,4.327e-15,3.348e-71,3.895e-119
205.57,3.974e-15,1.107e-5,,3.974e-15,3.346e-71,1.660e-119
205.59,3.078e-15,1.107e-5,,3.078e-15,3.344e-71,5.966e-120
205.60,2.541e-15,1.107e-5,,2.541e-15,3.343e-71,3.355e-120
205.62,1.524e-15,1.106e-5,,1.524e-15,3.341e-71,9.336e-121
205.64,7.707e-16,1.106e-5,,7.707e-16,3.339e-71,2.190e-121
205.65,5.142e-16,1.106e-5,,5.142e-16,3.338e-71,9.953e-122
205.67,2.014e-16,1.105e-5,,2.014e-16,3.336e-71,1.808e-122
205.69,6.653e-17,1.105e-5,,6.653e-17,3.334e-71,2.769e-123
205.70,3.587e-17,1.105e-5,,3.587e-17,3.333e-71,1.017e-123
205.72,9.176e-18,1.105e-5,,9.176e-18,3.331e-71,1.206e-124
205.74,1.979e-18,1.104e-5,,1.979e-18,3.329e-71,1.206e-125
205.75,8.625e-19,1.104e-5,,8.625e-19,3.327e-71,3.577e-126
205.77,1.441e-19,1.104e-5,,1.441e-19,3.325e-71,2.770e-127
205.79,2.030e-20,1.103e-5,,2.030e-20,3.323e-71,1.808e-128
205.80,7.149e-21,1.103e-5,,7.149e-21,3.322e-71,4.334e-129
205.82,7.800e-22,1.103e-5,,7.800e-22,3.320e-71,2.191e-130
205.84,7.177e-23,1.103e-5,,7.177e-23,3.318e-71,9.338e-132
205.85,2.042e-23,1.102e-5,,2.042e-23,3.317e-71,1.808e-132
205.87,1.455e-24,1.102e-5,,1.455e-24,3.315e-71,5.968e-134
205.89,8.746e-26,1.102e-5,,8.746e-26,3.313e-71,1.661e-135
205.90,2.011e-26,1.102e-5,,2.011e-26,3.312e-71,1.660e-135
205.92,9.361e-28,1.101e-5,,9.361e-28,3.310e-71,1.659e-135
205.94,3.674e-29,1.101e-5,,3.674e-29,3.308e-71,1.658e-135
205.95,6.828e-30,1.101e-5,,6.828e-30,3.307e-71,1.658e-135
205.97,2.075e-31,1.100e-5,,2.075e-31,3.305e-71,1.657e-135
206.07,1.449e-30,1.099e-5,,1.449e-30,3.294e-71,1.652e-135
206.09,4.617e-29,1.099e-5,,4.617e-29,3.292e-71,1.652e-135
206.10,2.446e-28,1.098e-5,,2.446e-28,3.291e-71,1.651e-135
206.12,6.052e-27,1.098e-5,,6.052e-27,3.289e-71,1.650e-135
206.14,1.265e-25,1.098e-5,,1.265e-25,3.287e-71,1.649e-135
206.15,5.426e-25,1.098e-5,,5.426e-25,3.286e-71,1.649e-135
206.17,8.801e-24,1.097e-5,,8.801e-24,3.284e-71,1.648e-135
206.18,3.327e-23,1.097e-5,,3.327e-23,3.283e-71,1.647e-135
206.20,4.189e-22,1.097e-5,,4.189e-22,3.281e-71,1.646e-135
206.22,4.454e-21,1.096e-5,,4.454e-21,3.279e-71,1.646e-135
206.23,1.363e-20,1.096e-5,,1.363e-20,3.278e-71,1.645e-135
206.25,1.125e-19,1.096e-5,,1.125e-19,3.275e-71,1.644e-135
206.27,7.847e-19,1.096e-5,,7.847e-19,3.273e-71,1.643e-135
206.28,1.945e-18,1.095e-5,,1.945e-18,3.272e-71,1.643e-135
206.30,1.053e-17,1.095e-5,,1.053e-17,3.270e-71,1.642e-135
206.32,4.811e-17,1.095e-5,,4.811e-17,3.268e-71,1.641e-135
206.33,9.655e-17,1.095e-5,,9.655e-17,3.267e-71,1.641e-135
206.35,3.426e-16,1.094e-5,,3.426e-16,3.265e-71,1.640e-135
206.37,1.027e-15,1.094e-5,,1.027e-15,3.263e-71,1.639e-135
206.38,1.668e-15,1.094e-5,,1.668e-15,3.262e-71,1.638e-135
206.40,3.881e-15,1.093e-5,,3.881e-15,3.260e-71,1.637e-135
206.42,7.627e-15,1.093e-5,,7.627e-15,3.258e-71,1.636e-135
206.43,1.003e-14,1.093e-5,,1.003e-14,3.257e-71,1.636e-135
206.45,1.531e-14,1.093e-5,,1.531e-14,3.255e-71,1.635e-135
206.47,1.972e-14,1.092e-5,,1.972e-14,3.253e-71,1.634e-135
206.48,2.101e-14,1.092e-5,,2.101e-14,3.252e-71,1.634e-135
206.50,2.101e-14,1.092e-5,,2.101e-14,3.249e-71,1.633e-135
206.52,1.774e-14,1.091e-5,,1.774e-14,3.247e-71,1.632e-135
206.53,1.531e-14,1.091e-5,,1.531e-14,3.246e-71,1.631e-135
206.55,1.003e-14,1.091e-5,,1.003e-14,3.244e-71,1.630e-135
206.57,5.557e-15,1.091e-5,,5.557e-15,3.242e-71,1.629e-135
206.58,3.881e-15,1.090e-5,,3.881e-15,3.241e-71,1.629e-135
206.60,1.668e-15,1.090e-5,,1.668e-15,3.239e-71,1.628e-135
206.62,6.057e-16,1.090e-5,,6.057e-16,3.237e-71,1.627e-135
206.63,3.426e-16,1.090e-5,,3.426e-16,3.236e-71,1.627e-135
206.65,9.655e-17,1.089e-5,,9.655e-17,3.234e-71,1.626e-135
206.67,2.298e-17,1.089e-5,,2.298e-17,3.232e-71,1.625e-135
206.68,1.053e-17,1.089e-5,,1.053e-17,3.231e-71,1.624e-135
206.70,1.945e-18,1.088e-5,,1.945e-18,3.229e-71,1.624e-135
206.72,3.035e-19,1.088e-5,,3.035e-19,3.227e-71,1.623e-135
206.73,1.125e-19,1.088e-5,,1.125e-19,3.226e-71,1.622e-135
206.75,1.363e-20,1.088e-5,,1.363e-20,3.223e-71,1.621e-135
206.77,1.395e-21,1.087e-5,,1.395e-21,3.221e-71,1.620e-135
