Wavelength (nm),Sum(calc),Mg I (3.8e-2),Mg II (9.5e-1),Mg III (8.2e-3),Mg IV (4.3e-32),Mg V (1.4e-74)
200.07,6.033e-32,,,6.033e-32,,
200.09,2.373e-30,,,2.373e-30,,
200.11,7.804e-29,,,7.804e-29,,
200.12,4.185e-28,,,4.185e-28,,
200.14,1.052e-26,,,1.052e-26,,
200.16,2.210e-25,,,2.210e-25,,
200.17,9.474e-25,,,9.474e-25,,
200.19,1.522e-23,,,1.522e-23,,
200.21,2.043e-22,,,2.043e-22,,
200.22,7.002e-22,,,7.002e-22,,
200.24,7.187e-21,,,7.187e-21,,
200.26,6.167e-20,,,6.167e-20,,
200.27,1.689e-19,,,1.689e-19,,
200.29,1.108e-18,,,1.108e-18,,
200.31,6.075e-18,,,6.075e-18,,
200.32,1.330e-17,,,1.330e-17,,
200.34,5.575e-17,,,5.575e-17,,
200.35,1.067e-16,,,1.067e-16,,
200.37,3.419e-16,,,3.419e-16,,
200.39,9.158e-16,,,9.158e-16,,
200.40,1.401e-15,,,1.401e-15,,
200.42,2.869e-15,,,2.869e-15,,
200.44,4.910e-15,,,4.910e-15,,
200.45,6.007e-15,,,6.007e-15,,
200.47,7.858e-15,,,7.858e-15,,
200.49,8.594e-15,,,8.594e-15,,
200.50,8.404e-15,,,8.404e-15,,
200.52,7.026e-15,,,7.026e-15,,
200.54,4.910e-15,,,4.910e-15,,
200.55,3.838e-15,,,3.838e-15,,
200.57,2.050e-15,,,2.050e-15,,
200.59,9.158e-16,,,9.158e-16,,
200.60,5.722e-16,,,5.722e-16,,
200.62,1.953e-16,,,1.953e-16,,
200.64,5.575e-17,,,5.575e-17,,
200.65,2.785e-17,,,2.785e-17,,
200.67,6.075e-18,,,6.075e-18,,
200.69,1.108e-18,,,1.108e-18,,
200.70,4.424e-19,,,4.424e-19,,
200.72,6.167e-20,,,6.167e-20,,
200.74,7.187e-21,,,7.187e-21,,
200.75,2.294e-21,,,2.294e-21,,
200.77,2.043e-22,,,2.043e-22,,
200.79,1.522e-23,,,1.522e-23,,
200.80,3.883e-24,,,3.883e-24,,
200.82,2.210e-25,,,2.210e-25,,
200.84,1.052e-26,,,1.052e-26,,
200.85,2.146e-27,,,2.146e-27,,
200.87,7.804e-29,,,7.804e-29,,
200.89,2.373e-30,,,2.373e-30,,
200.90,3.870e-31,,,3.870e-31,,
202.16,4.203e-8,4.203e-8,,5.640e-30,,
202.18,1.533e-6,1.533e-6,,5.723e-30,,
202.20,4.692e-5,4.692e-5,,5.807e-30,,
202.21,2.430e-4,2.430e-4,,5.849e-30,,
202.23,5.716e-3,5.716e-3,,5.932e-30,,
202.24,2.596e-2,2.596e-2,,5.974e-30,,
202.26,4.693e-1,4.693e-1,,6.057e-30,1.211e-70,
202.28,7.119e+0,7.119e+0,,6.140e-30,4.804e-69,
202.29,2.596e+1,2.596e+1,,6.182e-30,2.833e-68,
202.31,3.027e+2,3.027e+2,,6.265e-30,8.639e-67,
202.33,2.962e+3,2.962e+3,,6.349e-30,2.211e-65,
202.34,8.674e+3,8.674e+3,,6.391e-30,1.047e-64,
202.36,6.523e+4,6.523e+4,,6.474e-30,2.061e-63,
202.38,4.116e+5,4.116e+5,,6.557e-30,3.403e-62,
202.39,9.680e+5,9.680e+5,,6.599e-30,1.295e-61,
202.41,4.695e+6,4.695e+6,,6.682e-30,1.644e-60,
202.43,1.911e+7,1.911e+7,,6.766e-30,1.751e-59,
202.44,3.609e+7,3.609e+7,,6.807e-30,5.353e-59,
202.46,1.129e+8,1.129e+8,,6.891e-30,4.385e-58,
202.48,2.963e+8,2.963e+8,,6.974e-30,3.014e-57,
202.49,4.494e+8,4.494e+8,,7.016e-30,7.401e-57,
202.51,9.066e+8,9.066e+8,,7.099e-30,3.912e-56,
202.53,1.535e+9,1.535e+9,,7.183e-30,1.735e-55,
202.54,1.869e+9,1.869e+9,,7.224e-30,3.422e-55,
202.56,2.432e+9,2.432e+9,,7.308e-30,1.167e-54,
202.58,2.655e+9,2.655e+9,,7.391e-30,3.340e-54,
202.59,2.598e+9,2.598e+9,,7.433e-30,5.291e-54,
202.61,2.180e+9,2.180e+9,,7.516e-30,1.164e-53,
202.63,1.535e+9,1.535e+9,,7.600e-30,2.150e-53,
202.64,1.206e+9,1.206e+9,,7.641e-30,2.736e-53,
202.66,6.525e+8,6.525e+8,,7.725e-30,3.884e-53,
202.68,2.963e+8,2.963e+8,,7.808e-30,4.628e-53,
202.69,1.869e+8,1.869e+8,,7.850e-30,4.731e-53,
202.71,6.524e+7,6.524e+7,,7.933e-30,4.334e-53,
202.73,1.911e+7,1.911e+7,,8.016e-30,3.332e-53,
202.74,9.681e+6,9.681e+6,,8.058e-30,2.736e-53,
202.76,2.179e+6,2.179e+6,,8.142e-30,1.617e-53,
202.78,4.116e+5,4.116e+5,,8.225e-30,8.022e-54,
202.79,1.675e+5,1.675e+5,,8.267e-30,5.291e-54,
202.81,2.431e+4,2.431e+4,,8.350e-30,2.018e-54,
202.83,2.962e+3,2.962e+3,,8.433e-30,6.459e-55,
202.84,9.679e+2,9.679e+2,,8.475e-30,3.422e-55,
202.86,9.062e+1,9.062e+1,,8.558e-30,8.421e-56,
202.88,7.119e+0,7.119e+0,,8.642e-30,1.739e-56,
202.89,1.868e+0,1.868e+0,,8.684e-30,7.401e-57,
202.91,1.128e-1,1.128e-1,,8.767e-30,1.175e-57,
202.92,2.596e-2,2.596e-2,,8.809e-30,4.385e-58,
202.94,1.205e-3,1.205e-3,,8.892e-30,5.353e-59,
202.96,4.692e-5,4.692e-5,,8.975e-30,5.484e-60,
202.97,8.669e-6,8.669e-6,,9.017e-30,1.644e-60,
202.99,2.595e-7,2.595e-7,,9.100e-30,1.295e-61,
203.01,8.559e-63,2.594e-7,,9.184e-30,8.559e-63,
203.02,2.061e-63,2.594e-7,,9.226e-30,2.061e-63,
203.04,1.047e-64,2.593e-7,,9.309e-30,1.047e-64,
203.06,4.467e-66,2.592e-7,,9.392e-30,4.467e-66,
203.07,8.639e-67,2.592e-7,,9.434e-30,8.639e-67,
203.09,2.833e-68,2.591e-7,,9.517e-30,2.833e-68,
203.54,1.139e-29,2.574e-7,,1.139e-29,2.796e-68,
203.55,6.573e-29,2.574e-7,,6.573e-29,2.796e-68,
203.57,1.921e-27,2.573e-7,,1.921e-27,2.794e-68,
203.59,4.723e-26,2.572e-7,,4.723e-26,2.792e-68,
203.60,2.195e-25,2.572e-7,,2.195e-25,2.791e-68,
203.62,4.162e-24,2.571e-7,,4.162e-24,2.790e-68,
203.64,6.638e-23,2.571e-7,,6.638e-23,2.788e-68,
203.65,2.484e-22,2.570e-7,,2.484e-22,2.787e-68,
203.67,3.056e-21,2.570e-7,,3.056e-21,2.786e-68,
203.69,3.162e-20,2.569e-7,,3.162e-20,2.784e-68,
203.70,9.532e-20,2.568e-7,,9.532e-20,2.783e-68,
203.72,7.607e-19,2.568e-7,,7.607e-19,2.782e-68,
203.74,5.106e-18,2.567e-7,,5.106e-18,2.780e-68,
203.75,1.240e-17,2.567e-7,,1.240e-17,2.779e-68,
203.77,6.419e-17,2.566e-7,,6.419e-17,2.778e-68,
203.79,2.795e-16,2.565e-7,,2.795e-16,2.776e-68,
203.80,5.467e-16,2.565e-7,,5.467e-16,2.775e-68,
203.82,1.836e-15,2.564e-7,,1.836e-15,2.773e-68,
203.84,5.187e-15,2.563e-7,,5.187e-15,2.772e-68,
203.85,8.171e-15,2.563e-7,,8.171e-15,2.771e-68,
203.87,1.780e-14,2.562e-7,,1.780e-14,2.769e-68,
203.89,3.263e-14,2.561e-7,,3.263e-14,2.768e-68,
203.90,4.140e-14,2.561e-7,,4.140e-14,2.767e-68,
203.92,5.852e-14,2.560e-7,,5.852e-14,2.765e-68,
203.94,6.958e-14,2.559e-7,,6.958e-14,2.764e-68,
203.95,7.110e-14,2.559e-7,,7.110e-14,2.763e-68,
203.97,6.521e-14,2.558e-7,,6.521e-14,2.761e-68,
203.99,5.030e-14,2.558e-7,,5.030e-14,2.760e-68,
204.00,4.140e-14,2.557e-7,,4.140e-14,2.759e-68,
204.02,2.463e-14,2.556e-7,,2.463e-14,2.757e-68,
204.04,1.233e-14,2.556e-7,,1.233e-14,2.755e-68,
