Wavelength (nm),Sum(calc),Mg I (4.9e-1),Mg II (5.1e-1),Mg III (4.2e-6),Mg IV (1.5e-50),Mg V (1.3e-113)
200.07,3.303e-46,,,3.303e-46,,
200.09,1.299e-44,,,1.299e-44,,
200.11,4.273e-43,,,4.273e-43,,
200.12,2.291e-42,,,2.291e-42,,
200.14,5.759e-41,,,5.759e-41,,
200.16,1.210e-39,,,1.210e-39,,
200.17,5.187e-39,,,5.187e-39,,
200.19,8.332e-38,,,8.332e-38,,
200.21,1.119e-36,,,1.119e-36,,
200.22,3.833e-36,,,3.833e-36,,
200.24,3.935e-35,,,3.935e-35,,
200.26,3.376e-34,,,3.376e-34,,
200.27,9.248e-34,,,9.248e-34,,
200.29,6.066e-33,,,6.066e-33,,
200.31,3.326e-32,,,3.326e-32,,
200.32,7.282e-32,,,7.282e-32,,
200.34,3.052e-31,,,3.052e-31,,
200.35,5.843e-31,,,5.843e-31,,
200.37,1.872e-30,,,1.872e-30,,
200.39,5.014e-30,,,5.014e-30,,
200.40,7.672e-30,,,7.672e-30,,
200.42,1.571e-29,,,1.571e-29,,
200.44,2.688e-29,,,2.688e-29,,
200.45,3.288e-29,,,3.288e-29,,
200.47,4.302e-29,,,4.302e-29,,
200.49,4.705e-29,,,4.705e-29,,
200.50,4.601e-29,,,4.601e-29,,
200.52,3.847e-29,,,3.847e-29,,
200.54,2.688e-29,,,2.688e-29,,
200.55,2.101e-29,,,2.101e-29,,
200.57,1.123e-29,,,1.123e-29,,
200.59,5.014e-30,,,5.014e-30,,
200.60,3.133e-30,,,3.133e-30,,
200.62,1.069e-30,,,1.069e-30,,
200.64,3.052e-31,,,3.052e-31,,
200.65,1.525e-31,,,1.525e-31,,
200.67,3.326e-32,,,3.326e-32,,
200.69,6.066e-33,,,6.066e-33,,
200.70,2.422e-33,,,2.422e-33,,
200.72,3.376e-34,,,3.376e-34,,
200.74,3.935e-35,,,3.935e-35,,
200.75,1.256e-35,,,1.256e-35,,
200.77,1.119e-36,,,1.119e-36,,
200.79,8.332e-38,,,8.332e-38,,
200.80,2.126e-38,,,2.126e-38,,
200.82,1.210e-39,,,1.210e-39,,
200.84,5.759e-41,,,5.759e-41,,
200.85,1.175e-41,,,1.175e-41,,
200.87,4.273e-43,,,4.273e-43,,
200.89,1.299e-44,,,1.299e-44,,
200.90,2.119e-45,,,2.119e-45,,
202.16,7.631e-8,7.631e-8,,3.225e-44,,
202.18,2.783e-6,2.783e-6,,3.273e-44,,
202.20,8.517e-5,8.517e-5,,3.321e-44,,
202.21,4.412e-4,4.412e-4,,3.345e-44,,
202.23,1.038e-2,1.038e-2,,3.392e-44,,
202.24,4.712e-2,4.712e-2,,3.416e-44,,
202.26,8.519e-1,8.519e-1,,3.464e-44,4.919e-103,
202.28,1.292e+1,1.292e+1,,3.512e-44,1.951e-101,
202.29,4.713e+1,4.713e+1,,3.536e-44,1.150e-100,
202.31,5.496e+2,5.496e+2,,3.584e-44,3.508e-99,
202.33,5.377e+3,5.377e+3,,3.632e-44,8.978e-98,
202.34,1.575e+4,1.575e+4,,3.655e-44,4.253e-97,
202.36,1.184e+5,1.184e+5,,3.703e-44,8.368e-96,
202.38,7.472e+5,7.472e+5,,3.751e-44,1.382e-94,
202.39,1.757e+6,1.757e+6,,3.775e-44,5.258e-94,
202.41,8.523e+6,8.523e+6,,3.823e-44,6.675e-93,
202.43,3.469e+7,3.469e+7,,3.871e-44,7.111e-92,
202.44,6.552e+7,6.552e+7,,3.895e-44,2.174e-91,
202.46,2.049e+8,2.049e+8,,3.942e-44,1.780e-90,
202.48,5.379e+8,5.379e+8,,3.990e-44,1.224e-89,
202.49,8.159e+8,8.159e+8,,4.014e-44,3.005e-89,
202.51,1.646e+9,1.646e+9,,4.062e-44,1.588e-88,
202.53,2.786e+9,2.786e+9,,4.110e-44,7.045e-88,
202.54,3.394e+9,3.394e+9,,4.134e-44,1.389e-87,
202.56,4.415e+9,4.415e+9,,4.182e-44,4.739e-87,
202.58,4.820e+9,4.820e+9,,4.229e-44,1.356e-86,
202.59,4.716e+9,4.716e+9,,4.253e-44,2.148e-86,
202.61,3.957e+9,3.957e+9,,4.301e-44,4.727e-86,
202.63,2.786e+9,2.786e+9,,4.349e-44,8.730e-86,
202.64,2.189e+9,2.189e+9,,4.373e-44,1.111e-85,
202.66,1.184e+9,1.184e+9,,4.421e-44,1.577e-85,
202.68,5.379e+8,5.379e+8,,4.469e-44,1.879e-85,
