Wavelength (nm),Sum(calc),C I (6.9e-1),C II (3.1e-1),C III (8.0e-8)
199.884,2.139e-20,,2.139e-20,
199.889,6.017e-19,,6.017e-19,
199.894,1.494e-17,,1.494e-17,
199.899,3.273e-16,,3.273e-16,
199.904,6.328e-15,,6.328e-15,
199.909,1.080e-13,,1.080e-13,
199.914,1.626e-12,,1.626e-12,
199.919,2.161e-11,,2.161e-11,
199.924,2.534e-10,,2.534e-10,
199.929,2.623e-9,,2.623e-9,
199.934,2.396e-8,,2.396e-8,
199.939,1.932e-7,,1.932e-7,
199.944,1.374e-6,,1.374e-6,
199.949,8.628e-6,,8.628e-6,
199.954,4.780e-5,,4.780e-5,
199.959,2.338e-4,,2.338e-4,
199.964,1.009e-3,,1.009e-3,
199.969,3.842e-3,,3.842e-3,
199.974,1.291e-2,,1.291e-2,
199.979,3.830e-2,,3.830e-2,
199.984,1.003e-1,,1.003e-1,
199.989,2.316e-1,,2.316e-1,
199.994,4.723e-1,,4.723e-1,
199.999,8.497e-1,,8.497e-1,
200.004,1.349e+0,,1.349e+0,
200.009,1.891e+0,,1.891e+0,
200.014,2.338e+0,,2.338e+0,
200.019,2.552e+0,,2.552e+0,
200.024,2.458e+0,,2.458e+0,
200.029,2.090e+0,,2.090e+0,
200.034,1.568e+0,,1.568e+0,
200.039,1.038e+0,,1.038e+0,
200.044,6.064e-1,,6.064e-1,
200.049,3.127e-1,,3.127e-1,
200.054,1.423e-1,,1.423e-1,
200.059,5.714e-2,,5.714e-2,
200.064,2.025e-2,,2.025e-2,
200.069,6.334e-3,,6.334e-3,
200.074,1.748e-3,,1.748e-3,
200.079,4.259e-4,,4.259e-4,
200.084,9.156e-5,,9.156e-5,
200.089,1.737e-5,,1.737e-5,
200.094,2.909e-6,,2.909e-6,
200.099,4.298e-7,,4.298e-7,
200.104,5.605e-8,,5.605e-8,
200.109,6.451e-9,,6.451e-9,
200.114,6.552e-10,,6.552e-10,
200.119,5.872e-11,,5.872e-11,
200.124,4.645e-12,,4.645e-12,
200.129,3.243e-13,,3.243e-13,
200.134,1.998e-14,,1.998e-14,
200.139,1.086e-15,,1.086e-15,
200.144,5.213e-17,,5.213e-17,
200.149,2.207e-18,,2.207e-18,
200.798,7.055e-30,,3.870e-18,7.055e-30
200.803,1.926e-28,,3.883e-18,1.926e-28
200.808,4.643e-27,,3.896e-18,4.643e-27
200.813,9.891e-26,,3.909e-18,9.891e-26
200.818,1.862e-24,,3.921e-18,1.862e-24
200.823,3.096e-23,,3.934e-18,3.096e-23
200.828,4.549e-22,,3.947e-18,4.549e-22
200.833,5.905e-21,,3.960e-18,5.905e-21
200.838,6.773e-20,,3.973e-18,6.773e-20
200.843,6.863e-19,,3.985e-18,6.863e-19
200.848,6.145e-18,,3.998e-18,6.145e-18
200.853,4.861e-17,,4.011e-18,4.861e-17
200.858,3.398e-16,,4.024e-18,3.398e-16
200.863,2.098e-15,,4.037e-18,2.098e-15
200.868,1.145e-14,,4.050e-18,1.145e-14
200.873,5.522e-14,,4.062e-18,5.522e-14
200.878,2.353e-13,,4.075e-18,2.353e-13
200.883,8.868e-13,,4.088e-18,8.868e-13
200.888,2.955e-12,,4.101e-18,2.955e-12
200.893,8.718e-12,,4.114e-18,8.718e-12
200.898,2.279e-11,,4.126e-18,2.279e-11
200.903,5.292e-11,,4.139e-18,5.292e-11
200.908,1.095e-10,,4.152e-18,1.095e-10
200.913,2.031e-10,,4.165e-18,2.031e-10
200.918,3.407e-10,,4.178e-18,3.407e-10
200.923,5.230e-10,,4.190e-18,5.230e-10
200.928,7.456e-10,,4.203e-18,7.456e-10
200.933,1.001e-9,,4.216e-18,1.001e-9
200.938,1.277e-9,,4.229e-18,1.277e-9
200.943,1.546e-9,,4.242e-18,1.546e-9
200.948,1.758e-9,,4.254e-18,1.758e-9
200.953,1.851e-9,,4.267e-18,1.851e-9
200.958,1.780e-9,,4.280e-18,1.780e-9
200.963,1.553e-9,,4.293e-18,1.553e-9
200.968,1.236e-9,,4.306e-18,1.236e-9
200.973,9.359e-10,,4.319e-18,9.359e-10
200.978,7.616e-10,,4.331e-18,7.616e-10
200.983,7.938e-10,,4.344e-18,7.938e-10
200.988,1.061e-9,,4.357e-18,1.061e-9
200.993,1.525e-9,,4.370e-18,1.525e-9
200.998,2.073e-9,,4.383e-18,2.073e-9
201.003,2.539e-9,,4.395e-18,2.539e-9
201.008,2.764e-9,,4.408e-18,2.764e-9
201.013,2.661e-9,,4.421e-18,2.661e-9
201.018,2.266e-9,,4.434e-18,2.266e-9
201.023,1.704e-9,,4.447e-18,1.704e-9
201.028,1.133e-9,,4.459e-18,1.133e-9
201.033,6.654e-10,,4.472e-18,6.654e-10
201.038,3.454e-10,,4.485e-18,3.454e-10
201.043,1.584e-10,,4.498e-18,1.584e-10
201.048,6.417e-11,,4.511e-18,6.417e-11
201.053,2.298e-11,,4.524e-18,2.298e-11
201.058,7.269e-12,,4.536e-18,7.269e-12
201.063,2.032e-12,,4.549e-18,2.032e-12
201.068,5.019e-13,,4.562e-18,5.019e-13
201.073,1.095e-13,,4.575e-18,1.095e-13
201.078,2.113e-14,,4.588e-18,2.113e-14
201.083,3.600e-15,,4.600e-18,3.600e-15
201.088,5.420e-16,,4.613e-18,5.420e-16
201.093,7.211e-17,,4.626e-18,7.211e-17
201.098,8.477e-18,,4.639e-18,8.477e-18
201.103,8.805e-19,,4.652e-18,8.805e-19
201.108,8.082e-20,,4.664e-18,8.082e-20
201.113,6.554e-21,,4.677e-18,6.554e-21
201.118,4.697e-22,,4.690e-18,4.697e-22
201.123,2.974e-23,,4.703e-18,2.974e-23
201.128,1.664e-24,,4.716e-18,1.664e-24
201.133,8.226e-26,,4.728e-18,8.226e-26
201.138,3.593e-27,,4.741e-18,3.593e-27
201.657,6.071e-18,,6.071e-18,3.113e-27
201.662,1.611e-16,,1.611e-16,3.108e-27
201.667,3.781e-15,,3.781e-15,3.104e-27
201.672,7.848e-14,,7.848e-14,3.099e-27
201.677,1.441e-12,,1.441e-12,3.094e-27
201.682,2.339e-11,,2.339e-11,3.090e-27
201.687,3.360e-10,,3.360e-10,3.085e-27
201.692,4.267e-9,,4.267e-9,3.081e-27
201.697,4.794e-8,,4.794e-8,3.076e-27
201.702,4.763e-7,,4.763e-7,3.071e-27
201.707,4.186e-6,,4.186e-6,3.067e-27
201.712,3.253e-5,,3.253e-5,3.062e-27
201.717,2.236e-4,,2.236e-4,3.057e-27
201.722,1.360e-3,,1.360e-3,3.053e-27
201.727,7.312e-3,,7.312e-3,3.048e-27
201.732,3.478e-2,,3.478e-2,3.044e-27
201.737,1.463e-1,,1.463e-1,3.039e-27
201.742,5.442e-1,,5.442e-1,3.034e-27
201.747,1.791e+0,,1.791e+0,3.030e-27
201.752,5.212e+0,,5.212e+0,3.025e-27
201.757,1.342e+1,,1.342e+1,3.020e-27
201.762,3.054e+1,,3.054e+1,3.016e-27
201.767,6.150e+1,,6.150e+1,3.011e-27
201.772,1.095e+2,,1.095e+2,3.007e-27
201.777,1.726e+2,,1.726e+2,3.002e-27
201.782,2.406e+2,,2.406e+2,2.997e-27
201.787,2.972e+2,,2.972e+2,2.993e-27
201.792,3.263e+2,,3.263e+2,2.988e-27
201.797,3.214e+2,,3.214e+2,2.983e-27
201.802,2.919e+2,,2.919e+2,2.979e-27
201.807,2.608e+2,,2.608e+2,2.974e-27
201.812,2.559e+2,,2.559e+2,2.970e-27
201.817,2.968e+2,,2.968e+2,2.965e-27
201.822,3.847e+2,,3.847e+2,2.960e-27
201.827,4.976e+2,,4.976e+2,2.956e-27
201.832,5.974e+2,,5.974e+2,2.951e-27
201.837,6.454e+2,,6.454e+2,2.946e-27
201.842,6.203e+2,,6.203e+2,2.942e-27
201.847,5.283e+2,,5.283e+2,2.937e-27
201.852,3.982e+2,,3.982e+2,2.933e-27
201.857,2.656e+2,,2.656e+2,2.928e-27
201.862,1.567e+2,,1.567e+2,2.923e-27
201.867,8.175e+1,,8.175e+1,2.919e-27
201.872,3.773e+1,,3.773e+1,2.914e-27
201.877,1.540e+1,,1.540e+1,2.909e-27
201.882,5.561e+0,,5.561e+0,2.905e-27
201.886,2.253e+0,,2.253e+0,2.901e-27
201.891,6.524e-1,,6.524e-1,2.897e-27
201.896,1.670e-1,,1.670e-1,2.892e-27
201.901,3.783e-2,,3.783e-2,2.887e-27
201.906,7.579e-3,,7.579e-3,2.883e-27
201.911,1.343e-3,,1.343e-3,2.878e-27
201.916,2.105e-4,,2.105e-4,2.873e-27
201.921,2.917e-5,,2.917e-5,2.869e-27
201.926,3.577e-6,,3.577e-6,2.864e-27
201.931,3.879e-7,,3.879e-7,2.859e-27
201.936,3.721e-8,,3.721e-8,2.855e-27
201.941,3.157e-9,,3.157e-9,2.850e-27
201.946,2.369e-10,,2.369e-10,2.846e-27
201.951,1.573e-11,,1.573e-11,2.841e-27
201.956,9.232e-13,,9.232e-13,2.836e-27
201.961,4.794e-14,,4.794e-14,2.832e-27
201.966,2.202e-15,,2.202e-15,2.827e-27
201.971,8.946e-17,,8.946e-17,2.822e-27
203.769,5.960e-20,,5.960e-20,1.159e-27
203.774,1.478e-18,,1.478e-18,1.155e-27
203.779,3.250e-17,,3.250e-17,1.150e-27
203.784,6.338e-16,,6.338e-16,1.145e-27
203.789,1.096e-14,,1.096e-14,1.141e-27
203.794,1.680e-13,,1.680e-13,1.136e-27
203.799,2.284e-12,,2.284e-12,1.131e-27
203.804,2.753e-11,,2.753e-11,1.127e-27
203.809,2.942e-10,,2.942e-10,1.122e-27
203.814,2.788e-9,,2.788e-9,1.118e-27
203.819,2.343e-8,,2.343e-8,1.113e-27
203.824,1.745e-7,,1.745e-7,1.108e-27
203.829,1.153e-6,,1.153e-6,1.104e-27
203.834,6.754e-6,,6.754e-6,1.099e-27
203.839,3.508e-5,,3.508e-5,1.094e-27
203.844,1.616e-4,,1.616e-4,1.090e-27
203.849,6.599e-4,,6.599e-4,1.085e-27
203.854,2.389e-3,,2.389e-3,1.081e-27
203.859,7.672e-3,,7.672e-3,1.076e-27
203.864,2.184e-2,,2.184e-2,1.071e-27
203.869,5.513e-2,,5.513e-2,1.067e-27
203.874,1.234e-1,,1.234e-1,1.062e-27
203.879,2.449e-1,,2.449e-1,1.057e-27
203.884,4.310e-1,,4.310e-1,1.053e-27
203.889,6.726e-1,,6.726e-1,1.048e-27
203.894,9.306e-1,,9.306e-1,1.044e-27
203.899,1.142e+0,,1.142e+0,1.039e-27
203.904,1.242e+0,,1.242e+0,1.034e-27
203.909,1.198e+0,,1.198e+0,1.030e-27
203.914,1.025e+0,,1.025e+0,1.025e-27
203.919,7.770e-1,,7.770e-1,1.020e-27
203.924,5.225e-1,,5.225e-1,1.016e-27
203.929,3.115e-1,,3.115e-1,1.011e-27
203.934,1.647e-1,,1.647e-1,1.007e-27
203.939,7.724e-2,,7.724e-2,1.002e-27
203.944,3.226e-2,,3.226e-2,9.973e-28
203.949,1.253e-2,,1.253e-2,9.927e-28
203.954,6.533e-3,,6.533e-3,9.880e-28
203.959,1.010e-2,,1.010e-2,9.834e-28
203.964,2.707e-2,,2.707e-2,9.788e-28
203.969,7.094e-2,,7.094e-2,9.742e-28
203.974,1.663e-1,,1.663e-1,9.695e-28
203.979,3.461e-1,,3.461e-1,9.649e-28
203.984,6.387e-1,,6.387e-1,9.603e-28
203.989,1.045e+0,,1.045e+0,9.557e-28
203.994,1.517e+0,,1.517e+0,9.510e-28
203.999,1.952e+0,,1.952e+0,9.464e-28
204.004,2.228e+0,,2.228e+0,9.418e-28
204.009,2.255e+0,,2.255e+0,9.372e-28
204.014,2.024e+0,,2.024e+0,9.325e-28
204.019,1.611e+0,,1.611e+0,9.279e-28
204.024,1.137e+0,,1.137e+0,9.233e-28
204.029,7.116e-1,,7.116e-1,9.187e-28
204.034,3.950e-1,,3.950e-1,9.140e-28
204.039,1.944e-1,,1.944e-1,9.094e-28
204.044,8.487e-2,,8.487e-2,9.048e-28
204.049,3.285e-2,,3.285e-2,9.002e-28
204.054,1.128e-2,,1.128e-2,8.955e-28
204.058,4.397e-3,,4.397e-3,8.918e-28
204.063,1.216e-3,,1.216e-3,8.872e-28
204.068,2.982e-4,,2.982e-4,8.826e-28
204.073,6.484e-5,,6.484e-5,8.779e-28
204.078,1.250e-5,,1.250e-5,8.733e-28
204.083,2.138e-6,,2.138e-6,8.687e-28
204.088,3.243e-7,,3.243e-7,8.641e-28
204.093,4.361e-8,,4.361e-8,8.594e-28
204.098,5.201e-9,,5.201e-9,8.548e-28
204.103,5.500e-10,,5.500e-10,8.502e-28
204.108,5.159e-11,,5.159e-11,8.456e-28
204.113,4.290e-12,,4.290e-12,8.409e-28
204.118,3.164e-13,,3.164e-13,8.363e-28
204.123,2.070e-14,,2.070e-14,8.317e-28
204.128,1.201e-15,,1.201e-15,8.271e-28
204.133,6.175e-17,,6.175e-17,8.224e-28
204.138,2.817e-18,,2.817e-18,8.178e-28
205.022,3.628e-32,,6.964e-19,3.628e-32
205.027,9.291e-31,,6.844e-19,9.291e-31
205.032,2.113e-29,,6.724e-19,2.113e-29
205.037,4.267e-28,,6.604e-19,4.267e-28
205.042,6.484e-19,,6.484e-19,7.652e-27
205.047,1.591e-17,,1.591e-17,1.218e-25
205.052,3.468e-16,,3.468e-16,1.723e-24
205.057,6.715e-15,,6.715e-15,2.163e-23
205.062,1.155e-13,,1.155e-13,2.412e-22
205.067,1.764e-12,,1.764e-12,2.388e-21
205.072,2.393e-11,,2.393e-11,2.100e-20
205.077,2.884e-10,,2.884e-10,1.639e-19
205.082,3.088e-9,,3.088e-9,1.137e-18
205.087,2.936e-8,,2.936e-8,6.997e-18
205.092,2.480e-7,,2.480e-7,3.825e-17
205.097,1.861e-6,,1.861e-6,1.857e-16
205.102,1.240e-5,,1.240e-5,8.005e-16
205.107,7.345e-5,,7.345e-5,3.064e-15
205.112,3.863e-4,,3.863e-4,1.042e-14
205.117,1.805e-3,,1.805e-3,3.144e-14
205.122,7.491e-3,,7.491e-3,8.427e-14
205.127,2.762e-2,,2.762e-2,2.006e-13
205.132,9.047e-2,,9.047e-2,4.239e-13
205.137,2.633e-1,,2.633e-1,7.957e-13
205.142,6.805e-1,,6.805e-1,1.326e-12
205.147,1.563e+0,,1.563e+0,1.963e-12
205.152,3.189e+0,,3.189e+0,2.579e-12
205.157,5.781e+0,,5.781e+0,3.010e-12
205.162,9.314e+0,,9.314e+0,3.119e-12
205.167,1.334e+1,,1.334e+1,2.870e-12
205.172,1.701e+1,,1.701e+1,2.345e-12
205.177,1.936e+1,,1.936e+1,1.702e-12
205.182,1.980e+1,,1.980e+1,1.097e-12
205.187,1.848e+1,,1.848e+1,6.274e-13
205.192,1.628e+1,,1.628e+1,3.188e-13
205.197,1.433e+1,,1.433e+1,1.438e-13
205.202,1.343e+1,,1.343e+1,5.762e-14
205.207,1.366e+1,,1.366e+1,2.050e-14
205.212,1.440e+1,,1.440e+1,6.477e-15
205.217,1.477e+1,,1.477e+1,1.817e-15
205.222,1.413e+1,,1.413e+1,4.526e-16
205.227,1.239e+1,,1.239e+1,1.001e-16
205.232,9.923e+0,,9.923e+0,1.967e-17
205.237,7.313e+0,,7.313e+0,3.431e-18
205.242,5.023e+0,,5.023e+0,5.314e-19
205.247,3.277e+0,,3.277e+0,7.309e-20
205.252,2.099e+0,,2.099e+0,8.927e-21
205.257,1.415e+0,,1.415e+0,9.683e-22
205.262,1.135e+0,,1.135e+0,9.326e-23
205.267,1.167e+0,,1.167e+0,7.976e-24
205.272,1.405e+0,,1.405e+0,6.057e-25
205.277,1.714e+0,,1.714e+0,4.085e-26
205.282,1.953e+0,,1.953e+0,2.446e-27
205.287,2.016e+0,,2.016e+0,1.301e-28
205.292,1.873e+0,,1.873e+0,6.143e-30
205.297,1.586e+0,,1.586e+0,6.113e-30
205.302,1.274e+0,,1.274e+0,6.084e-30
205.307,1.056e+0,,1.056e+0,6.055e-30
205.312,1.006e+0,,1.006e+0,6.026e-30
205.317,1.119e+0,,1.119e+0,5.997e-30
205.322,1.323e+0,,1.323e+0,5.968e-30
205.327,1.507e+0,,1.507e+0,5.938e-30
205.332,1.573e+0,,1.573e+0,5.909e-30
205.337,1.474e+0,,1.474e+0,5.880e-30
205.342,1.231e+0,,1.231e+0,5.851e-30
205.347,9.149e-1,,9.149e-1,5.822e-30
205.352,6.040e-1,,6.040e-1,5.793e-30
205.357,3.542e-1,,3.542e-1,5.763e-30
205.362,1.845e-1,,1.845e-1,5.734e-30
205.367,8.535e-2,,8.535e-2,5.705e-30
205.372,3.507e-2,,3.507e-2,5.676e-30
205.377,1.280e-2,,1.280e-2,5.647e-30
205.382,4.148e-3,,4.148e-3,5.618e-30
205.387,1.194e-3,,1.194e-3,5.588e-30
205.392,3.053e-4,,3.053e-4,5.559e-30
205.397,6.933e-5,,6.933e-5,5.530e-30
205.402,1.398e-5,,1.398e-5,5.501e-30
205.407,2.505e-6,,2.505e-6,5.472e-30
205.412,3.986e-7,,3.986e-7,5.443e-30
205.417,5.632e-8,,5.632e-8,5.413e-30
205.422,7.069e-9,,7.069e-9,5.384e-30
205.427,7.880e-10,,7.880e-10,5.355e-30
205.432,7.802e-11,,7.802e-11,5.326e-30
205.437,6.861e-12,,6.861e-12,5.297e-30
205.442,5.359e-13,,5.359e-13,5.268e-30
205.447,3.717e-14,,3.717e-14,5.239e-30
205.452,2.290e-15,,2.290e-15,5.209e-30
205.457,1.253e-16,,1.253e-16,5.180e-30
205.462,6.091e-18,,6.091e-18,5.151e-30
205.467,2.629e-19,,2.629e-19,5.122e-30
206.345,7.071e-34,,2.139e-19,7.071e-34
206.350,1.778e-32,,2.137e-19,1.778e-32
206.355,3.978e-31,,2.134e-19,3.978e-31
206.360,7.915e-30,,2.131e-19,7.915e-30
206.365,1.400e-28,,2.128e-19,1.400e-28
206.370,2.203e-27,,2.126e-19,2.203e-27
206.375,3.083e-26,,2.123e-19,3.083e-26
206.380,3.837e-25,,2.120e-19,3.837e-25
206.385,4.247e-24,,2.117e-19,4.247e-24
206.390,4.181e-23,,2.114e-19,4.181e-23
206.395,3.660e-22,,2.112e-19,3.660e-22
206.400,2.849e-21,,2.109e-19,2.849e-21
206.405,1.973e-20,,2.106e-19,1.973e-20
206.410,1.215e-19,,2.103e-19,1.215e-19
206.415,6.653e-19,,2.100e-19,6.653e-19
206.420,3.240e-18,,2.098e-19,3.240e-18
206.425,1.403e-17,,2.095e-19,1.403e-17
206.430,5.406e-17,,2.092e-19,5.406e-17
206.435,1.852e-16,,2.089e-19,1.852e-16
206.440,5.643e-16,,2.087e-19,5.643e-16
206.445,1.529e-15,,2.084e-19,1.529e-15
206.450,3.685e-15,,2.081e-19,3.685e-15
206.455,7.897e-15,,2.078e-19,7.897e-15
206.460,1.505e-14,,2.075e-19,1.505e-14
206.465,2.551e-14,,2.073e-19,2.551e-14
206.470,3.846e-14,,2.070e-19,3.846e-14
206.475,5.156e-14,,2.067e-19,5.156e-14
206.480,6.148e-14,,2.064e-19,6.148e-14
206.485,6.519e-14,,2.061e-19,6.519e-14
206.490,6.148e-14,,2.059e-19,6.148e-14
206.495,5.156e-14,,2.056e-19,5.156e-14
206.500,3.846e-14,,2.053e-19,3.846e-14
206.505,2.551e-14,,2.050e-19,2.551e-14
206.510,1.505e-14,,2.047e-19,1.505e-14
206.515,7.897e-15,,2.045e-19,7.897e-15
206.520,3.685e-15,,2.042e-19,3.685e-15
206.525,1.529e-15,,2.039e-19,1.529e-15
206.530,5.643e-16,,2.036e-19,5.643e-16
206.535,1.852e-16,,2.034e-19,1.852e-16
206.540,5.406e-17,,2.031e-19,5.406e-17
206.545,1.403e-17,,2.028e-19,1.403e-17
206.550,3.240e-18,,2.025e-19,3.240e-18
206.555,6.653e-19,,2.022e-19,6.653e-19
206.560,1.215e-19,,2.020e-19,1.215e-19
206.565,1.973e-20,,2.017e-19,1.973e-20
206.570,2.849e-21,,2.014e-19,2.849e-21
206.575,3.660e-22,,2.011e-19,3.660e-22
206.580,4.181e-23,,2.008e-19,4.181e-23
206.585,4.247e-24,,2.006e-19,4.247e-24
206.590,3.837e-25,,2.003e-19,3.837e-25
206.595,3.083e-26,,2.000e-19,3.083e-26
206.600,2.203e-27,,1.997e-19,2.203e-27
206.605,1.400e-28,,1.994e-19,1.400e-28
206.610,7.915e-30,,1.992e-19,7.915e-30
206.615,3.978e-31,,1.989e-19,3.978e-31
206.620,1.778e-32,,1.986e-19,1.778e-32
208.807,5.013e-33,,7.665e-20,5.013e-33
208.812,1.169e-31,,7.637e-20,1.169e-31
208.817,2.443e-30,,7.609e-20,2.443e-30
208.822,4.537e-29,,7.581e-20,4.537e-29
208.827,7.515e-28,,7.553e-20,7.515e-28
208.832,1.111e-26,,7.526e-20,1.111e-26
208.837,1.464e-25,,7.498e-20,1.464e-25
208.842,1.723e-24,,7.470e-20,1.723e-24
208.847,1.809e-23,,7.442e-20,1.809e-23
208.852,1.696e-22,,7.414e-20,1.696e-22
208.857,1.419e-21,,7.386e-20,1.419e-21
208.862,1.061e-20,,7.358e-20,1.061e-20
208.867,7.083e-20,,7.330e-20,7.083e-20
208.872,4.227e-19,,7.302e-20,4.227e-19
208.877,2.255e-18,,7.275e-20,2.255e-18
208.882,1.077e-17,,7.247e-20,1.077e-17
208.887,4.604e-17,,7.219e-20,4.604e-17
208.892,1.764e-16,,7.191e-20,1.764e-16
208.897,6.062e-16,,7.163e-20,6.062e-16
208.902,1.871e-15,,7.135e-20,1.871e-15
208.907,5.192e-15,,7.107e-20,5.192e-15
208.912,1.297e-14,,7.079e-20,1.297e-14
208.917,2.923e-14,,7.052e-20,2.923e-14
208.922,5.951e-14,,7.024e-20,5.951e-14
208.927,1.097e-13,,6.996e-20,1.097e-13
208.932,1.837e-13,,6.968e-20,1.837e-13
208.937,2.807e-13,,6.940e-20,2.807e-13
208.942,3.938e-13,,6.912e-20,3.938e-13
208.947,5.117e-13,,6.884e-20,5.117e-13
208.952,6.229e-13,,6.856e-20,6.229e-13
208.957,7.191e-13,,6.828e-20,7.191e-13
208.962,7.950e-13,,6.801e-20,7.950e-13
208.967,8.442e-13,,6.773e-20,8.442e-13
208.972,8.562e-13,,6.745e-20,8.562e-13
208.977,8.196e-13,,1.809e-18,8.196e-13
208.982,7.299e-13,,3.965e-17,7.299e-13
208.987,5.977e-13,,7.760e-16,5.970e-13
208.992,4.575e-13,,1.356e-14,4.440e-13
208.997,5.099e-13,,2.118e-13,2.981e-13
209.002,3.134e-12,,2.954e-12,1.800e-13
209.007,3.691e-11,,3.682e-11,9.734e-14
209.012,4.101e-10,,4.100e-10,4.709e-14
209.017,4.081e-9,,4.081e-9,2.036e-14
209.022,3.631e-8,,3.631e-8,7.857e-15
209.027,2.888e-7,,2.888e-7,2.706e-15
209.032,2.054e-6,,2.054e-6,8.316e-16
209.037,1.306e-5,,1.306e-5,2.280e-16
209.042,7.430e-5,,7.430e-5,5.574e-17
209.047,3.780e-4,,3.780e-4,1.216e-17
209.052,1.720e-3,,1.720e-3,2.364e-18
209.057,7.005e-3,,7.005e-3,4.101e-19
209.062,2.552e-2,,2.552e-2,6.345e-20
209.067,8.319e-2,,8.319e-2,8.755e-21
209.072,2.427e-1,,2.427e-1,1.091e-21
209.077,6.335e-1,,6.335e-1,2.916e-22
209.082,1.480e+0,,1.480e+0,1.951e-21
209.087,3.093e+0,,3.093e+0,1.937e-20
209.092,5.786e+0,,5.786e+0,1.728e-19
209.097,9.685e+0,,9.685e+0,1.378e-18
209.102,1.451e+1,,1.451e+1,9.823e-18
209.107,1.944e+1,,1.944e+1,6.267e-17
209.112,2.334e+1,,2.334e+1,3.581e-16
209.117,2.514e+1,,2.514e+1,1.835e-15
209.122,2.445e+1,,2.445e+1,8.447e-15
209.127,2.186e+1,,2.186e+1,3.498e-14
209.131,1.935e+1,,1.935e+1,1.012e-13
209.136,1.717e+1,,1.717e+1,3.481e-13
209.141,1.744e+1,,1.744e+1,1.085e-12
209.146,2.085e+1,,2.085e+1,3.070e-12
209.151,2.683e+1,,2.683e+1,7.909e-12
209.156,3.370e+1,,3.370e+1,1.858e-11
209.161,3.914e+1,,3.914e+1,3.990e-11
209.166,4.114e+1,,4.114e+1,7.834e-11
209.171,3.888e+1,,3.888e+1,1.407e-10
209.176,3.300e+1,,3.300e+1,2.312e-10
209.181,2.530e+1,,2.530e+1,3.471e-10
209.186,1.783e+1,,1.783e+1,4.757e-10
209.191,1.215e+1,,1.215e+1,5.943e-10
209.196,8.881e+0,,8.881e+0,6.764e-10
209.201,7.796e+0,,7.796e+0,7.007e-10
209.206,8.120e+0,,8.120e+0,6.601e-10
209.211,8.893e+0,,8.893e+0,5.653e-10
209.216,9.298e+0,,9.298e+0,4.398e-10
209.221,8.880e+0,,8.880e+0,3.106e-10
209.226,7.625e+0,,7.625e+0,1.989e-10
209.231,5.856e+0,,5.856e+0,1.155e-10
209.236,4.015e+0,,4.015e+0,6.071e-11
209.241,2.457e+0,,2.457e+0,2.886e-11
209.246,1.341e+0,,1.341e+0,1.239e-11
209.251,6.534e-1,,6.534e-1,4.798e-12
209.256,2.857e-1,,2.857e-1,1.675e-12
209.261,1.176e-1,,1.176e-1,5.261e-13
209.266,6.362e-2,,6.362e-2,1.486e-13
209.271,8.753e-2,,8.753e-2,3.771e-14
209.276,2.032e-1,,2.032e-1,8.589e-15
209.281,4.715e-1,,4.715e-1,1.755e-15
209.286,9.885e-1,,9.885e-1,3.214e-16
209.291,1.851e+0,,1.851e+0,5.273e-17
209.296,3.094e+0,,3.094e+0,7.747e-18
209.301,4.613e+0,,4.613e+0,1.019e-18
209.306,6.136e+0,,6.136e+0,1.199e-19
209.311,7.282e+0,,7.282e+0,1.262e-20
209.316,7.710e+0,,7.710e+0,1.188e-21
209.321,7.282e+0,,7.282e+0,9.995e-23
209.326,6.136e+0,,6.136e+0,7.518e-24
209.331,4.613e+0,,4.613e+0,5.053e-25
209.336,3.094e+0,,3.094e+0,3.032e-26
209.341,1.851e+0,,1.851e+0,1.624e-27
209.346,9.883e-1,,9.883e-1,7.097e-29
209.351,4.707e-1,,4.707e-1,7.033e-29
209.356,2.000e-1,,2.000e-1,6.970e-29
209.361,7.582e-2,,7.582e-2,6.906e-29
209.366,2.564e-2,,2.564e-2,6.843e-29
209.371,7.736e-3,,7.736e-3,6.779e-29
209.376,2.082e-3,,2.082e-3,6.716e-29
209.381,5.001e-4,,5.001e-4,6.652e-29
209.386,1.071e-4,,1.071e-4,6.589e-29
209.391,2.048e-5,,2.048e-5,6.526e-29
209.396,3.492e-6,,3.492e-6,6.462e-29
209.401,5.312e-7,,5.312e-7,6.399e-29
209.406,7.210e-8,,7.210e-8,6.335e-29
209.411,8.731e-9,,8.731e-9,6.272e-29
209.416,9.432e-10,,9.432e-10,6.208e-29
209.421,9.090e-11,,9.090e-11,6.145e-29
209.426,7.816e-12,,7.816e-12,6.082e-29
209.431,5.995e-13,,5.995e-13,6.018e-29
209.436,4.103e-14,,4.103e-14,5.955e-29
209.441,2.505e-15,,2.505e-15,5.891e-29
209.446,1.365e-16,,1.365e-16,5.828e-29
209.451,6.631e-18,,6.631e-18,5.764e-29
209.905,4.724e-32,,5.045e-18,4.724e-32
209.910,1.042e-30,,5.028e-18,1.042e-30
209.915,2.054e-29,,5.010e-18,2.054e-29
209.920,3.612e-28,,4.993e-18,3.612e-28
209.925,5.672e-27,,4.975e-18,5.672e-27
209.930,7.954e-26,,4.958e-18,7.954e-26
209.935,9.958e-25,,4.940e-18,9.958e-25
209.940,1.113e-23,,4.923e-18,1.113e-23
209.945,1.111e-22,,4.906e-18,1.111e-22
209.950,9.900e-22,,4.888e-18,9.900e-22
209.955,7.877e-21,,4.871e-18,7.877e-21
