Wavelength (nm),Sum(calc),Al I (3.9e-2),Al II (7.6e-1),Al III (5.6e-4),Si I (2.2e-2),Si II (1.8e-1),Si III (1.5e-4)
254.624,2.474e-1,9.931e-10,8.023e-11,2.619e-19,2.169e-10,1.860e-11,2.474e-1
254.629,1.888e-1,9.932e-10,8.045e-11,2.624e-19,2.169e-10,1.859e-11,1.888e-1
254.634,1.335e-1,9.933e-10,8.066e-11,2.629e-19,2.170e-10,1.858e-11,1.335e-1
254.639,8.733e-2,9.934e-10,8.088e-11,2.634e-19,2.170e-10,1.857e-11,8.733e-2
254.644,5.289e-2,9.935e-10,8.110e-11,2.639e-19,2.170e-10,1.856e-11,5.289e-2
254.649,2.966e-2,9.937e-10,8.131e-11,2.645e-19,2.171e-10,1.855e-11,2.966e-2
254.654,1.540e-2,9.938e-10,8.153e-11,2.650e-19,2.171e-10,1.854e-11,1.540e-2
254.659,7.400e-3,9.939e-10,8.175e-11,2.655e-19,2.171e-10,1.853e-11,7.400e-3
254.664,3.292e-3,9.940e-10,8.196e-11,2.660e-19,2.172e-10,1.852e-11,3.292e-3
254.669,1.356e-3,9.941e-10,8.218e-11,2.665e-19,2.172e-10,1.851e-11,1.356e-3
254.674,5.171e-4,9.943e-10,8.240e-11,2.670e-19,2.172e-10,1.850e-11,5.171e-4
254.679,1.825e-4,9.944e-10,8.261e-11,2.675e-19,2.173e-10,1.849e-11,1.825e-4
254.684,5.966e-5,9.945e-10,8.283e-11,2.680e-19,2.173e-10,1.848e-11,5.966e-5
254.689,1.805e-5,9.946e-10,8.305e-11,2.685e-19,2.173e-10,1.847e-11,1.805e-5
254.694,5.056e-6,9.947e-10,8.326e-11,2.690e-19,2.174e-10,1.847e-11,5.056e-6
254.699,1.311e-6,9.948e-10,8.348e-11,2.695e-19,2.174e-10,1.846e-11,1.311e-6
254.704,3.147e-7,9.950e-10,8.370e-11,2.700e-19,2.174e-10,1.845e-11,3.147e-7
254.709,6.993e-8,9.951e-10,8.392e-11,2.706e-19,2.175e-10,1.844e-11,6.993e-8
254.714,1.439e-8,9.952e-10,8.413e-11,2.711e-19,2.175e-10,1.843e-11,1.439e-8
254.719,2.740e-9,9.953e-10,8.435e-11,2.716e-19,2.175e-10,1.842e-11,2.740e-9
254.724,4.832e-10,9.954e-10,8.457e-11,2.721e-19,2.176e-10,1.841e-11,4.832e-10
254.729,7.888e-11,9.956e-10,8.478e-11,2.726e-19,2.176e-10,1.840e-11,7.888e-11
254.734,1.192e-11,9.957e-10,8.500e-11,2.731e-19,2.176e-10,1.839e-11,1.192e-11
254.739,1.668e-12,9.958e-10,8.522e-11,2.736e-19,2.177e-10,1.838e-11,1.668e-12
254.744,2.160e-13,9.959e-10,8.543e-11,2.741e-19,2.177e-10,1.837e-11,2.160e-13
254.749,2.590e-14,9.960e-10,8.565e-11,2.746e-19,2.177e-10,1.836e-11,2.590e-14
254.754,2.875e-15,9.961e-10,8.587e-11,2.751e-19,2.178e-10,1.835e-11,2.875e-15
254.759,2.954e-16,9.963e-10,8.608e-11,2.756e-19,2.178e-10,1.834e-11,2.954e-16
254.764,2.810e-17,9.964e-10,8.630e-11,2.761e-19,2.178e-10,1.833e-11,2.810e-17
254.769,2.475e-18,9.965e-10,8.652e-11,2.766e-19,2.179e-10,1.833e-11,2.475e-18
255.752,2.560e-19,1.020e-9,1.291e-10,3.765e-19,2.243e-10,1.650e-11,2.560e-19
255.757,3.203e-18,1.020e-9,1.293e-10,3.770e-19,2.243e-10,1.649e-11,3.203e-18
255.762,3.714e-17,1.020e-9,1.296e-10,3.775e-19,2.244e-10,1.648e-11,3.714e-17
255.767,3.990e-16,1.020e-9,1.298e-10,3.780e-19,2.244e-10,1.647e-11,3.990e-16
255.772,3.972e-15,1.020e-9,1.300e-10,3.785e-19,2.244e-10,1.646e-11,3.972e-15
255.777,3.662e-14,1.020e-9,1.302e-10,3.790e-19,2.245e-10,1.645e-11,3.662e-14
255.782,3.129e-13,1.020e-9,1.304e-10,3.795e-19,2.245e-10,1.644e-11,3.129e-13
255.787,2.477e-12,1.021e-9,1.306e-10,3.800e-19,2.245e-10,1.643e-11,2.477e-12
255.792,1.817e-11,1.021e-9,1.309e-10,3.805e-19,2.246e-10,1.642e-11,1.817e-11
255.797,1.234e-10,1.021e-9,1.311e-10,3.811e-19,2.246e-10,1.641e-11,1.234e-10
255.802,7.771e-10,1.021e-9,1.313e-10,3.816e-19,2.246e-10,1.640e-11,7.771e-10
255.807,4.533e-9,1.021e-9,1.315e-10,3.821e-19,2.247e-10,1.640e-11,4.533e-9
255.812,2.449e-8,1.021e-9,1.317e-10,3.826e-19,2.247e-10,1.639e-11,2.449e-8
255.817,1.226e-7,1.021e-9,1.319e-10,3.831e-19,2.247e-10,1.638e-11,1.226e-7
255.822,5.689e-7,1.021e-9,1.322e-10,3.836e-19,2.248e-10,1.637e-11,5.689e-7
255.827,2.445e-6,1.022e-9,1.324e-10,3.841e-19,2.248e-10,1.636e-11,2.445e-6
255.832,9.737e-6,1.022e-9,1.326e-10,3.846e-19,2.248e-10,1.635e-11,9.737e-6
255.837,3.592e-5,1.022e-9,1.328e-10,3.851e-19,2.249e-10,1.634e-11,3.592e-5
255.842,1.228e-4,1.022e-9,1.330e-10,3.856e-19,2.249e-10,1.633e-11,1.228e-4
255.847,3.889e-4,1.022e-9,1.332e-10,3.861e-19,2.249e-10,1.632e-11,3.889e-4
255.852,1.141e-3,1.022e-9,1.335e-10,3.866e-19,2.250e-10,1.631e-11,1.141e-3
255.857,3.102e-3,1.022e-9,1.337e-10,3.871e-19,2.250e-10,1.630e-11,3.102e-3
255.862,7.812e-3,1.022e-9,1.339e-10,3.877e-19,2.250e-10,1.629e-11,7.812e-3
255.867,1.823e-2,1.022e-9,1.341e-10,3.882e-19,2.251e-10,1.628e-11,1.823e-2
255.872,3.942e-2,1.023e-9,1.343e-10,3.887e-19,2.251e-10,1.627e-11,3.942e-2
255.877,7.895e-2,1.023e-9,1.345e-10,3.892e-19,2.251e-10,1.626e-11,7.895e-2
255.882,1.465e-1,1.023e-9,1.348e-10,3.897e-19,2.252e-10,1.626e-11,1.465e-1
255.887,2.520e-1,1.023e-9,1.350e-10,3.902e-19,2.252e-10,1.625e-11,2.520e-1
255.892,4.014e-1,1.023e-9,1.352e-10,3.907e-19,2.252e-10,1.624e-11,4.014e-1
255.897,5.925e-1,1.023e-9,1.354e-10,3.912e-19,2.253e-10,1.623e-11,5.925e-1
255.902,8.102e-1,1.023e-9,1.356e-10,3.917e-19,2.253e-10,1.622e-11,8.102e-1
255.907,1.027e+0,1.023e-9,1.358e-10,3.922e-19,2.253e-10,1.621e-11,1.027e+0
255.912,1.205e+0,1.024e-9,1.361e-10,3.927e-19,2.253e-10,1.620e-11,1.205e+0
255.917,1.311e+0,1.024e-9,1.363e-10,3.932e-19,2.254e-10,1.619e-11,1.311e+0
255.922,1.321e+0,1.024e-9,1.365e-10,3.937e-19,2.254e-10,1.618e-11,1.321e+0
255.927,1.233e+0,1.024e-9,1.367e-10,3.943e-19,2.254e-10,1.617e-11,1.233e+0
255.932,1.066e+0,1.024e-9,1.369e-10,3.948e-19,2.255e-10,1.616e-11,1.066e+0
255.937,8.547e-1,1.024e-9,1.371e-10,3.953e-19,2.255e-10,1.615e-11,8.547e-1
255.942,6.346e-1,1.024e-9,1.374e-10,3.958e-19,2.255e-10,1.614e-11,6.346e-1
255.947,4.366e-1,1.024e-9,1.376e-10,3.963e-19,2.256e-10,1.613e-11,4.366e-1
255.952,2.782e-1,1.024e-9,1.378e-10,3.968e-19,2.256e-10,1.613e-11,2.782e-1
255.957,1.643e-1,1.025e-9,1.380e-10,3.973e-19,2.256e-10,1.612e-11,1.643e-1
255.962,8.990e-2,1.025e-9,1.382e-10,3.978e-19,2.257e-10,1.611e-11,8.990e-2
255.967,4.557e-2,1.025e-9,1.385e-10,3.983e-19,2.257e-10,1.610e-11,4.557e-2
255.972,2.140e-2,1.025e-9,1.387e-10,3.988e-19,2.257e-10,1.609e-11,2.140e-2
255.977,9.312e-3,1.025e-9,1.389e-10,3.993e-19,2.258e-10,1.608e-11,9.312e-3
255.982,3.754e-3,1.025e-9,1.391e-10,3.998e-19,2.258e-10,1.607e-11,3.754e-3
255.987,1.402e-3,1.025e-9,1.393e-10,4.004e-19,2.258e-10,1.606e-11,1.402e-3
255.992,4.852e-4,1.025e-9,1.395e-10,4.009e-19,2.259e-10,1.605e-11,4.852e-4
255.997,1.556e-4,1.026e-9,1.398e-10,4.014e-19,2.259e-10,1.604e-11,1.556e-4
256.002,4.621e-5,1.026e-9,1.400e-10,4.019e-19,2.259e-10,1.603e-11,4.621e-5
256.007,1.272e-5,1.026e-9,1.402e-10,4.024e-19,2.260e-10,1.602e-11,1.272e-5
256.012,3.243e-6,1.026e-9,1.404e-10,4.029e-19,2.260e-10,1.601e-11,3.243e-6
256.017,7.662e-7,1.026e-9,1.406e-10,4.034e-19,2.260e-10,1.600e-11,7.662e-7
256.022,1.677e-7,1.026e-9,1.408e-10,4.039e-19,2.261e-10,1.600e-11,1.677e-7
256.027,3.401e-8,1.026e-9,1.411e-10,4.044e-19,2.261e-10,1.599e-11,3.401e-8
256.032,6.391e-9,1.026e-9,1.413e-10,4.049e-19,2.261e-10,1.598e-11,6.391e-9
256.037,1.113e-9,1.026e-9,1.415e-10,4.054e-19,2.262e-10,1.597e-11,1.113e-9
256.042,1.794e-10,1.027e-9,1.417e-10,4.059e-19,2.262e-10,1.596e-11,1.794e-10
256.047,2.681e-11,1.027e-9,1.419e-10,4.064e-19,2.262e-10,1.595e-11,2.681e-11
256.052,3.712e-12,1.027e-9,1.421e-10,4.070e-19,2.263e-10,1.594e-11,3.712e-12
256.057,4.762e-13,1.027e-9,1.424e-10,4.075e-19,2.263e-10,1.593e-11,4.762e-13
256.062,5.659e-14,1.027e-9,1.426e-10,4.080e-19,2.263e-10,1.592e-11,5.659e-14
256.067,6.231e-15,1.027e-9,1.428e-10,4.085e-19,2.264e-10,1.591e-11,6.231e-15
256.072,6.357e-16,1.027e-9,1.430e-10,4.090e-19,2.264e-10,1.590e-11,6.357e-16
256.077,6.008e-17,1.027e-9,1.432e-10,4.095e-19,2.264e-10,1.589e-11,6.008e-17
256.082,5.262e-18,1.028e-9,1.434e-10,4.100e-19,2.265e-10,1.588e-11,5.262e-18
256.631,1.041e-9,1.041e-9,1.672e-10,4.658e-19,2.301e-10,1.486e-11,4.894e-18
256.636,1.261e-8,1.261e-8,1.675e-10,4.663e-19,2.301e-10,1.485e-11,4.890e-18
256.641,1.416e-7,1.416e-7,1.677e-10,4.668e-19,2.301e-10,1.484e-11,4.887e-18
256.646,1.474e-6,1.474e-6,1.679e-10,4.673e-19,2.302e-10,1.483e-11,4.884e-18
256.651,1.423e-5,1.423e-5,1.681e-10,4.678e-19,2.302e-10,1.483e-11,4.880e-18
256.656,1.273e-4,1.273e-4,1.683e-10,4.683e-19,2.302e-10,1.482e-11,4.877e-18
256.661,1.055e-3,1.055e-3,1.685e-10,4.688e-19,2.303e-10,1.481e-11,4.873e-18
256.666,8.113e-3,8.113e-3,1.688e-10,4.693e-19,2.303e-10,1.480e-11,4.870e-18
256.671,5.781e-2,5.781e-2,1.690e-10,4.698e-19,2.303e-10,1.479e-11,4.867e-18
256.676,3.819e-1,3.819e-1,1.692e-10,4.703e-19,2.304e-10,1.478e-11,4.863e-18
256.681,2.338e+0,2.338e+0,1.694e-10,4.708e-19,2.304e-10,1.477e-11,4.860e-18
256.686,1.327e+1,1.327e+1,1.696e-10,4.713e-19,2.304e-10,1.476e-11,4.857e-18
256.691,6.984e+1,6.984e+1,1.698e-10,4.719e-19,2.304e-10,1.475e-11,4.853e-18
256.696,3.406e+2,3.406e+2,1.701e-10,4.724e-19,2.305e-10,1.474e-11,4.850e-18
256.701,1.540e+3,1.540e+3,1.703e-10,4.729e-19,2.305e-10,1.473e-11,4.847e-18
256.706,6.455e+3,6.455e+3,1.705e-10,4.734e-19,2.305e-10,1.472e-11,4.843e-18
256.711,2.508e+4,2.508e+4,1.707e-10,4.739e-19,2.306e-10,1.471e-11,4.840e-18
256.716,9.033e+4,9.033e+4,1.709e-10,4.744e-19,2.306e-10,1.470e-11,4.837e-18
256.721,3.016e+5,3.016e+5,1.711e-10,4.749e-19,2.306e-10,1.470e-11,4.833e-18
256.726,9.333e+5,9.333e+5,1.714e-10,4.754e-19,2.307e-10,1.469e-11,4.830e-18
256.731,2.678e+6,2.678e+6,1.716e-10,4.759e-19,2.307e-10,1.468e-11,4.827e-18
256.736,7.121e+6,7.121e+6,1.718e-10,4.764e-19,2.307e-10,1.467e-11,4.823e-18
256.741,1.755e+7,1.755e+7,1.720e-10,4.769e-19,2.308e-10,1.466e-11,4.820e-18
256.746,4.011e+7,4.011e+7,1.722e-10,4.774e-19,2.308e-10,1.465e-11,4.817e-18
256.751,8.497e+7,8.497e+7,1.724e-10,4.779e-19,2.308e-10,1.464e-11,4.813e-18
256.756,1.669e+8,1.669e+8,1.727e-10,4.785e-19,2.309e-10,1.463e-11,4.810e-18
256.761,3.037e+8,3.037e+8,1.729e-10,4.790e-19,2.309e-10,1.462e-11,4.806e-18
256.766,5.125e+8,5.125e+8,1.731e-10,4.795e-19,2.309e-10,1.461e-11,4.803e-18
256.771,8.016e+8,8.016e+8,1.733e-10,4.800e-19,2.310e-10,1.460e-11,4.800e-18
256.776,1.162e+9,1.162e+9,1.735e-10,4.805e-19,2.310e-10,1.459e-11,4.796e-18
256.781,1.562e+9,1.562e+9,1.737e-10,4.810e-19,2.310e-10,1.458e-11,4.793e-18
256.786,1.946e+9,1.946e+9,1.740e-10,4.815e-19,2.311e-10,1.457e-11,4.790e-18
256.791,2.248e+9,2.248e+9,1.742e-10,4.820e-19,2.311e-10,1.457e-11,4.786e-18
256.796,2.407e+9,2.407e+9,1.744e-10,4.825e-19,2.311e-10,1.456e-11,4.783e-18
256.801,2.388e+9,2.388e+9,1.746e-10,4.830e-19,2.312e-10,1.455e-11,4.780e-18
256.806,2.197e+9,2.197e+9,1.748e-10,4.835e-19,2.312e-10,1.454e-11,4.776e-18
256.811,1.874e+9,1.874e+9,1.750e-10,4.840e-19,2.312e-10,1.453e-11,4.773e-18
256.816,1.481e+9,1.481e+9,1.753e-10,4.845e-19,2.313e-10,1.452e-11,4.770e-18
256.821,1.086e+9,1.086e+9,1.755e-10,4.851e-19,2.313e-10,1.451e-11,4.766e-18
256.826,7.374e+8,7.374e+8,1.757e-10,4.856e-19,2.313e-10,1.450e-11,4.763e-18
256.831,4.644e+8,4.644e+8,1.759e-10,4.861e-19,2.314e-10,1.449e-11,4.760e-18
256.836,2.711e+8,2.711e+8,1.761e-10,4.866e-19,2.314e-10,1.448e-11,4.756e-18
256.841,1.467e+8,1.467e+8,1.763e-10,4.871e-19,2.314e-10,1.447e-11,4.753e-18
256.846,7.357e+7,7.357e+7,1.766e-10,4.876e-19,2.315e-10,1.446e-11,4.750e-18
256.851,3.421e+7,3.421e+7,1.768e-10,4.881e-19,2.315e-10,1.445e-11,4.746e-18
256.856,1.474e+7,1.474e+7,1.770e-10,4.886e-19,2.315e-10,1.444e-11,4.743e-18
256.861,5.891e+6,5.891e+6,1.772e-10,4.891e-19,2.316e-10,1.443e-11,4.739e-18
256.866,2.182e+6,2.182e+6,1.774e-10,4.896e-19,2.316e-10,1.443e-11,4.736e-18
256.871,7.491e+5,7.491e+5,1.776e-10,4.901e-19,2.316e-10,1.442e-11,4.733e-18
256.876,2.384e+5,2.384e+5,1.779e-10,4.906e-19,2.317e-10,1.441e-11,4.729e-18
256.881,7.034e+4,7.034e+4,1.781e-10,4.912e-19,2.317e-10,1.440e-11,4.726e-18
256.886,1.924e+4,1.924e+4,1.783e-10,4.917e-19,2.317e-10,1.439e-11,4.723e-18
256.891,4.876e+3,4.876e+3,1.785e-10,4.922e-19,2.318e-10,1.438e-11,4.719e-18
256.896,1.146e+3,1.146e+3,1.787e-10,4.927e-19,2.318e-10,1.437e-11,4.716e-18
256.901,2.496e+2,2.496e+2,1.789e-10,4.932e-19,2.318e-10,1.436e-11,4.713e-18
256.906,5.041e+1,5.041e+1,1.792e-10,4.937e-19,2.319e-10,1.435e-11,4.709e-18
256.911,9.436e+0,9.436e+0,1.794e-10,4.942e-19,2.319e-10,1.434e-11,4.706e-18
256.916,1.637e+0,1.637e+0,1.796e-10,4.947e-19,2.319e-10,1.433e-11,4.703e-18
256.921,2.634e-1,2.634e-1,1.798e-10,4.952e-19,2.320e-10,1.432e-11,4.699e-18
256.926,3.927e-2,3.927e-2,1.800e-10,4.957e-19,2.320e-10,1.431e-11,4.696e-18
256.930,8.113e-3,8.113e-3,1.802e-10,4.961e-19,2.320e-10,1.431e-11,4.693e-18
256.935,1.055e-3,1.055e-3,1.804e-10,4.966e-19,2.320e-10,1.430e-11,4.690e-18
256.940,1.273e-4,1.273e-4,1.806e-10,4.971e-19,2.321e-10,1.429e-11,4.686e-18
256.945,1.423e-5,1.423e-5,1.808e-10,4.977e-19,2.321e-10,1.428e-11,4.683e-18
256.950,1.474e-6,1.474e-6,1.811e-10,4.982e-19,2.321e-10,1.427e-11,4.680e-18
256.955,1.416e-7,1.416e-7,1.813e-10,4.987e-19,2.322e-10,1.426e-11,4.676e-18
256.960,1.261e-8,1.261e-8,1.815e-10,4.992e-19,2.322e-10,1.425e-11,4.673e-18
257.345,1.642e-8,1.642e-8,1.982e-10,5.383e-19,2.347e-10,1.353e-11,4.415e-18
257.350,1.875e-7,1.875e-7,1.984e-10,5.388e-19,2.348e-10,1.353e-11,4.412e-18
257.355,1.986e-6,1.986e-6,1.986e-10,5.393e-19,2.348e-10,1.352e-11,4.408e-18
257.360,1.951e-5,1.951e-5,1.988e-10,5.398e-19,2.348e-10,1.351e-11,4.405e-18
257.365,1.777e-4,1.777e-4,1.991e-10,5.403e-19,2.349e-10,1.350e-11,4.402e-18
257.370,1.501e-3,1.501e-3,1.993e-10,5.408e-19,2.349e-10,1.349e-11,4.398e-18
257.375,1.176e-2,1.176e-2,1.995e-10,5.413e-19,2.349e-10,1.348e-11,4.395e-18
257.380,8.545e-2,8.545e-2,1.997e-10,5.418e-19,2.350e-10,1.347e-11,4.392e-18
257.385,5.757e-1,5.757e-1,1.999e-10,5.423e-19,2.350e-10,1.346e-11,4.388e-18
257.390,3.597e+0,3.597e+0,2.001e-10,5.428e-19,2.350e-10,1.345e-11,4.385e-18
257.395,2.084e+1,2.084e+1,2.004e-10,5.434e-19,2.351e-10,1.344e-11,4.382e-18
257.400,1.120e+2,1.120e+2,2.006e-10,5.439e-19,2.351e-10,1.343e-11,4.378e-18
257.405,5.581e+2,5.581e+2,2.008e-10,5.444e-19,2.351e-10,1.342e-11,4.375e-18
257.410,2.579e+3,2.579e+3,2.010e-10,5.449e-19,2.352e-10,1.341e-11,4.371e-18
257.415,1.105e+4,1.105e+4,2.012e-10,5.454e-19,2.352e-10,1.340e-11,4.368e-18
257.420,4.393e+4,4.393e+4,2.014e-10,5.459e-19,2.352e-10,1.340e-11,4.365e-18
257.425,1.619e+5,1.619e+5,2.017e-10,5.464e-19,2.353e-10,1.339e-11,4.361e-18
257.430,5.534e+5,5.534e+5,2.019e-10,5.469e-19,2.353e-10,1.338e-11,4.358e-18
257.435,1.754e+6,1.754e+6,2.021e-10,5.474e-19,2.353e-10,1.337e-11,4.355e-18
257.440,5.157e+6,5.157e+6,2.023e-10,5.479e-19,2.354e-10,1.336e-11,4.351e-18
257.445,1.406e+7,1.406e+7,2.025e-10,5.484e-19,2.354e-10,1.335e-11,4.348e-18
257.450,3.554e+7,3.554e+7,2.027e-10,5.489e-19,2.354e-10,1.334e-11,4.345e-18
257.455,8.332e+7,8.332e+7,2.030e-10,5.495e-19,2.355e-10,1.333e-11,4.341e-18
257.460,1.812e+8,1.812e+8,2.032e-10,5.500e-19,2.355e-10,1.332e-11,4.338e-18
257.465,3.654e+8,3.654e+8,2.034e-10,5.505e-19,2.355e-10,1.331e-11,4.335e-18
257.470,6.833e+8,6.833e+8,2.036e-10,5.510e-19,2.355e-10,1.330e-11,4.331e-18
257.475,1.185e+9,1.185e+9,2.038e-10,5.515e-19,2.356e-10,1.329e-11,4.328e-18
257.480,1.907e+9,1.907e+9,2.040e-10,5.520e-19,2.356e-10,1.328e-11,4.325e-18
257.485,2.847e+9,2.847e+9,2.043e-10,5.525e-19,2.356e-10,1.327e-11,4.321e-18
257.490,3.944e+9,3.944e+9,2.045e-10,5.530e-19,2.357e-10,1.326e-11,4.318e-18
257.495,5.072e+9,5.072e+9,2.047e-10,5.535e-19,2.357e-10,1.326e-11,4.315e-18
257.500,6.057e+9,6.057e+9,2.049e-10,5.540e-19,2.357e-10,1.325e-11,4.311e-18
257.505,6.726e+9,6.726e+9,2.051e-10,5.545e-19,2.358e-10,1.324e-11,4.308e-18
257.510,6.952e+9,6.952e+9,2.053e-10,5.550e-19,2.358e-10,1.323e-11,4.304e-18
257.515,6.703e+9,6.703e+9,2.056e-10,5.555e-19,2.358e-10,1.322e-11,4.301e-18
257.520,6.050e+9,6.050e+9,2.058e-10,5.561e-19,2.359e-10,1.321e-11,4.298e-18
257.525,5.136e+9,5.136e+9,2.060e-10,5.566e-19,2.359e-10,1.320e-11,4.294e-18
257.530,4.127e+9,4.127e+9,2.062e-10,5.571e-19,2.359e-10,1.319e-11,4.291e-18
257.535,3.165e+9,3.165e+9,2.064e-10,5.576e-19,2.360e-10,1.318e-11,4.288e-18
257.540,2.340e+9,2.340e+9,2.066e-10,5.581e-19,2.360e-10,1.317e-11,4.284e-18
257.545,1.682e+9,1.682e+9,2.069e-10,5.586e-19,2.360e-10,1.316e-11,4.281e-18
257.550,1.182e+9,1.182e+9,2.071e-10,5.591e-19,2.361e-10,1.315e-11,4.278e-18
257.555,8.134e+8,8.134e+8,2.073e-10,5.596e-19,2.361e-10,1.314e-11,4.274e-18
257.560,5.449e+8,5.449e+8,2.075e-10,5.601e-19,2.361e-10,1.313e-11,4.271e-18
257.565,3.525e+8,3.525e+8,2.077e-10,5.606e-19,2.362e-10,1.313e-11,4.268e-18
257.570,2.181e+8,2.181e+8,2.079e-10,5.611e-19,2.362e-10,1.312e-11,4.264e-18
257.575,1.280e+8,1.280e+8,2.082e-10,5.616e-19,2.362e-10,1.311e-11,4.261e-18
257.580,7.068e+7,7.068e+7,2.084e-10,5.621e-19,2.363e-10,1.310e-11,4.258e-18
257.585,3.658e+7,3.658e+7,2.086e-10,5.627e-19,2.363e-10,1.309e-11,4.254e-18
257.590,1.767e+7,1.767e+7,2.088e-10,5.632e-19,2.363e-10,1.308e-11,4.251e-18
257.595,7.948e+6,7.948e+6,2.090e-10,5.637e-19,2.364e-10,1.307e-11,4.247e-18
257.600,3.325e+6,3.325e+6,2.092e-10,5.642e-19,2.364e-10,1.306e-11,4.244e-18
257.605,1.292e+6,1.292e+6,2.095e-10,5.647e-19,2.364e-10,1.305e-11,4.241e-18
257.610,4.662e+5,4.662e+5,2.097e-10,5.652e-19,2.365e-10,1.304e-11,4.237e-18
257.615,1.561e+5,1.561e+5,2.099e-10,5.657e-19,2.365e-10,1.303e-11,4.234e-18
257.620,4.848e+4,4.848e+4,2.101e-10,5.662e-19,2.365e-10,1.302e-11,4.231e-18
257.625,1.397e+4,1.397e+4,2.103e-10,5.667e-19,2.366e-10,1.301e-11,4.227e-18
257.630,3.734e+3,3.734e+3,2.105e-10,5.672e-19,2.366e-10,1.300e-11,4.224e-18
257.635,9.255e+2,9.255e+2,2.108e-10,5.677e-19,2.366e-10,1.300e-11,4.221e-18
257.640,2.128e+2,2.128e+2,2.110e-10,5.682e-19,2.367e-10,1.299e-11,4.217e-18
257.644,6.217e+1,6.217e+1,2.111e-10,5.686e-19,2.367e-10,1.298e-11,4.215e-18
257.649,1.248e+1,1.248e+1,2.114e-10,5.692e-19,2.367e-10,1.297e-11,4.211e-18
257.654,2.324e+0,2.324e+0,2.116e-10,5.697e-19,2.368e-10,1.296e-11,4.208e-18
257.659,4.012e-1,4.012e-1,2.118e-10,5.702e-19,2.368e-10,1.295e-11,4.205e-18
257.664,6.423e-2,6.423e-2,2.120e-10,5.707e-19,2.368e-10,1.294e-11,4.201e-18
257.669,9.538e-3,9.538e-3,2.122e-10,5.712e-19,2.369e-10,1.293e-11,4.198e-18
257.674,1.313e-3,1.313e-3,2.124e-10,5.717e-19,2.369e-10,1.292e-11,4.195e-18
257.679,1.677e-4,1.677e-4,2.127e-10,5.722e-19,2.369e-10,1.291e-11,4.191e-18
257.684,1.987e-5,1.987e-5,2.129e-10,5.727e-19,2.369e-10,1.290e-11,4.188e-18
257.689,2.182e-6,2.182e-6,2.131e-10,5.732e-19,2.370e-10,1.289e-11,4.184e-18
257.694,2.223e-7,2.223e-7,2.133e-10,5.737e-19,2.370e-10,1.289e-11,4.181e-18
257.699,2.100e-8,2.100e-8,2.135e-10,5.742e-19,2.370e-10,1.288e-11,4.178e-18
257.704,1.839e-9,1.839e-9,2.137e-10,5.747e-19,2.371e-10,1.287e-11,4.174e-18
262.957,2.715e-10,2.163e-9,4.415e-10,1.108e-18,2.715e-10,3.097e-12,6.536e-19
262.962,3.095e-9,2.163e-9,4.417e-10,1.109e-18,3.095e-9,3.088e-12,6.503e-19
262.967,3.283e-8,2.164e-9,4.419e-10,1.109e-18,3.283e-8,3.079e-12,6.469e-19
262.972,3.239e-7,2.164e-9,4.421e-10,1.110e-18,3.239e-7,3.069e-12,6.436e-19
262.977,2.974e-6,2.164e-9,4.423e-10,1.110e-18,2.974e-6,3.060e-12,6.402e-19
262.982,2.540e-5,2.165e-9,4.426e-10,1.111e-18,2.540e-5,3.051e-12,6.369e-19
262.987,2.018e-4,2.165e-9,4.428e-10,1.111e-18,2.018e-4,3.041e-12,6.335e-19
262.992,1.492e-3,2.165e-9,4.832e-9,1.112e-18,1.492e-3,3.032e-12,6.302e-19
262.997,1.026e-2,2.165e-9,4.905e-8,1.112e-18,1.026e-2,3.023e-12,6.268e-19
263.002,6.563e-2,2.166e-9,4.633e-7,1.113e-18,6.563e-2,3.013e-12,6.235e-19
263.007,3.906e-1,2.166e-9,4.071e-6,1.113e-18,3.906e-1,3.004e-12,6.201e-19
263.012,2.163e+0,2.166e-9,3.328e-5,1.114e-18,2.163e+0,2.995e-12,6.168e-19
263.017,1.114e+1,2.167e-9,2.531e-4,1.114e-18,1.114e+1,2.986e-12,6.134e-19
263.022,5.341e+1,2.167e-9,1.791e-3,1.115e-18,5.341e+1,2.976e-12,6.101e-19
263.027,2.381e+2,2.167e-9,1.179e-2,1.115e-18,2.381e+2,2.967e-12,6.067e-19
263.032,9.879e+2,2.168e-9,7.220e-2,1.116e-18,9.878e+2,2.958e-12,6.034e-19
263.037,3.812e+3,2.168e-9,4.114e-1,1.116e-18,3.812e+3,2.948e-12,6.000e-19
263.042,1.369e+4,2.168e-9,2.181e+0,1.117e-18,1.369e+4,2.939e-12,5.967e-19
263.047,4.572e+4,2.169e-9,1.075e+1,1.117e-18,4.571e+4,2.930e-12,5.933e-19
263.052,1.421e+5,2.169e-9,4.934e+1,1.118e-18,1.421e+5,2.920e-12,5.900e-19
263.057,4.109e+5,2.169e-9,2.106e+2,1.118e-18,4.107e+5,2.911e-12,5.866e-19
263.062,1.105e+6,2.169e-9,8.363e+2,1.119e-18,1.104e+6,2.902e-12,5.832e-19
263.067,2.767e+6,2.170e-9,3.090e+3,1.119e-18,2.764e+6,2.893e-12,5.799e-19
263.072,6.444e+6,2.170e-9,1.062e+4,1.120e-18,6.433e+6,2.883e-12,5.765e-19
263.077,1.397e+7,2.170e-9,3.396e+4,1.120e-18,1.393e+7,2.874e-12,5.732e-19
