Wavelength (nm),Sum(calc),Al I (3.9e-2),Al II (7.6e-1),Al III (5.6e-4),Si I (2.2e-2),Si II (1.8e-1),Si III (1.5e-4)
200.844,6.853e-9,,,,,9.881e-14,6.853e-9
200.849,3.648e-8,,,,,9.811e-14,3.648e-8
200.854,1.716e-7,,,,,9.741e-14,1.716e-7
200.859,7.131e-7,,,,,9.671e-14,7.131e-7
200.864,2.618e-6,,,,,9.602e-14,2.618e-6
200.869,8.493e-6,,,,,9.532e-14,8.493e-6
200.874,2.434e-5,,,,,9.462e-14,2.434e-5
200.879,6.162e-5,,,,,9.393e-14,6.162e-5
200.884,1.379e-4,,,,,9.323e-14,1.379e-4
200.889,2.724e-4,,,,,9.253e-14,2.724e-4
200.894,4.757e-4,,,,,9.184e-14,4.757e-4
200.899,7.339e-4,,,,,9.114e-14,7.339e-4
200.904,1.000e-3,,,,,9.044e-14,1.000e-3
200.909,1.204e-3,,,,,8.975e-14,1.204e-3
200.914,1.281e-3,,,,,8.905e-14,1.281e-3
200.919,1.204e-3,,,,,8.835e-14,1.204e-3
200.924,1.000e-3,,,,,8.766e-14,1.000e-3
200.929,7.339e-4,,,,,8.696e-14,7.339e-4
200.934,4.759e-4,,,,,8.626e-14,4.759e-4
200.939,2.733e-4,,,,,8.556e-14,2.733e-4
200.944,1.405e-4,,,,,8.487e-14,1.405e-4
200.949,6.948e-5,,,,,8.417e-14,6.948e-5
200.954,4.473e-5,,,,,8.347e-14,4.473e-5
200.959,5.521e-5,,,,,8.278e-14,5.521e-5
200.964,9.722e-5,,,,,8.208e-14,9.722e-5
200.969,1.700e-4,,,,,8.138e-14,1.700e-4
200.974,2.677e-4,,,,,8.069e-14,2.677e-4
200.979,3.738e-4,,,,,7.999e-14,3.738e-4
200.984,4.612e-4,,,,,7.929e-14,4.612e-4
200.989,5.030e-4,,,,,7.860e-14,5.030e-4
200.994,4.847e-4,,,,,7.790e-14,4.847e-4
200.999,4.126e-4,,,,,7.720e-14,4.126e-4
201.004,3.104e-4,,,,,7.651e-14,3.104e-4
201.009,2.063e-4,,,,,7.581e-14,2.063e-4
201.014,1.212e-4,,,,,7.511e-14,1.212e-4
201.019,6.288e-5,,,,,7.441e-14,6.288e-5
201.024,2.883e-5,,,,,7.372e-14,2.883e-5
201.029,1.168e-5,,,,,7.302e-14,1.168e-5
201.034,4.181e-6,,,,,7.232e-14,4.181e-6
201.039,1.322e-6,,,,,7.163e-14,1.322e-6
201.044,3.696e-7,,,,,7.093e-14,3.696e-7
201.049,9.127e-8,,,,,7.023e-14,9.127e-8
201.054,1.991e-8,,,,,6.954e-14,1.991e-8
201.059,3.839e-9,,,,,6.884e-14,3.839e-9
201.064,6.540e-10,,,,,6.814e-14,6.540e-10
201.069,9.843e-11,,,,,6.745e-14,9.843e-11
201.074,1.309e-11,,,,,6.675e-14,1.309e-11
201.079,1.538e-12,,,,,6.605e-14,1.538e-12
201.084,1.597e-13,,,,,6.536e-14,1.597e-13
201.089,1.465e-14,,,,,6.466e-14,1.465e-14
201.094,1.188e-15,,,,,6.396e-14,1.188e-15
201.099,8.507e-17,,,,,6.326e-14,8.507e-17
201.104,5.383e-18,,,,,6.257e-14,5.383e-18
201.109,3.010e-19,,,,,6.187e-14,3.010e-19
201.114,1.487e-20,,,,,6.117e-14,1.487e-20
201.119,6.493e-22,,,,,6.048e-14,6.493e-22
201.358,2.717e-14,,,,,2.717e-14,3.162e-21
201.363,6.930e-13,,,,,6.930e-13,3.215e-21
201.368,1.563e-11,,,,,1.563e-11,3.268e-21
201.373,3.116e-10,,,,,3.116e-10,3.320e-21
201.378,5.493e-9,,,,,5.493e-9,3.373e-21
201.383,8.562e-8,,,,,8.562e-8,3.425e-21
201.388,1.180e-6,,,,,1.180e-6,3.478e-21
201.393,1.437e-5,,,,,1.437e-5,3.530e-21
201.398,1.548e-4,,,,,1.548e-4,3.583e-21
201.403,1.475e-3,,,,,1.475e-3,3.636e-21
201.408,1.242e-2,,,,,1.242e-2,3.688e-21
201.413,9.242e-2,,,,,9.242e-2,3.741e-21
201.418,6.083e-1,,,,,6.083e-1,3.793e-21
201.423,3.540e+0,,,,,3.540e+0,3.846e-21
201.428,1.821e+1,,,,,1.821e+1,3.898e-21
201.433,8.283e+1,,,,,8.283e+1,3.951e-21
201.438,3.331e+2,,,,,3.331e+2,4.004e-21
201.443,1.184e+3,,,,,1.184e+3,4.056e-21
201.448,3.723e+3,,,,,3.723e+3,4.109e-21
201.453,1.035e+4,,,,,1.035e+4,4.161e-21
201.458,2.543e+4,,,,,2.543e+4,4.214e-21
201.463,5.524e+4,,,,,5.524e+4,4.266e-21
201.468,1.061e+5,,,,,1.061e+5,4.319e-21
201.473,1.802e+5,,3.165e-12,,,1.802e+5,4.372e-21
201.478,2.705e+5,,7.657e-11,,,2.705e+5,4.424e-21
201.483,3.591e+5,,1.638e-9,,,3.591e+5,4.477e-21
201.488,4.215e+5,,3.099e-8,,,4.215e+5,4.529e-21
201.493,4.373e+5,,5.184e-7,,,4.373e+5,4.582e-21
201.498,4.012e+5,,7.669e-6,,,4.012e+5,4.634e-21
201.503,3.254e+5,,1.003e-4,,,3.254e+5,4.687e-21
201.508,2.334e+5,,1.160e-3,,,2.334e+5,4.740e-21
201.513,1.480e+5,,1.187e-2,,,1.480e+5,4.792e-21
201.518,8.294e+4,,1.073e-1,,,8.294e+4,4.845e-21
201.523,4.110e+4,,8.583e-1,,,4.110e+4,4.897e-21
201.528,1.802e+4,,6.070e+0,,,1.801e+4,4.950e-21
201.533,7.015e+3,,3.796e+1,,,6.977e+3,5.002e-21
201.538,2.600e+3,,2.100e+2,,,2.390e+3,5.055e-21
201.543,1.751e+3,,1.027e+3,,,7.237e+2,5.108e-21
201.548,4.639e+3,,4.445e+3,,,1.938e+2,5.160e-21
201.553,1.706e+4,,1.702e+4,,,4.586e+1,5.213e-21
201.558,5.766e+4,,5.765e+4,,,9.598e+0,5.265e-21
