Wavelength (nm),Sum(calc),Mn I (1.3e-2),Mn II (3.9e-1),Cu I (5.2e-2),Cu II (5.5e-1)
286.996,2.242e+9,2.242e-9,2.242e+9,1.696e-10,1.838e-12
287.001,2.498e+9,2.241e-9,2.498e+9,1.695e-10,1.838e-12
287.006,2.627e+9,2.241e-9,2.627e+9,1.695e-10,1.838e-12
287.011,2.605e+9,2.240e-9,2.605e+9,1.694e-10,1.837e-12
287.016,2.433e+9,2.239e-9,2.433e+9,1.693e-10,1.837e-12
287.021,2.140e+9,2.238e-9,2.140e+9,1.692e-10,1.837e-12
287.026,1.773e+9,2.237e-9,1.773e+9,1.692e-10,1.837e-12
287.031,1.383e+9,2.236e-9,1.383e+9,1.691e-10,1.837e-12
287.036,1.016e+9,2.236e-9,1.016e+9,1.690e-10,1.837e-12
287.041,7.035e+8,2.235e-9,7.035e+8,1.690e-10,1.836e-12
287.046,4.598e+8,2.234e-9,4.598e+8,1.689e-10,1.836e-12
287.051,2.846e+8,2.233e-9,2.846e+8,1.688e-10,1.836e-12
287.056,1.679e+8,2.232e-9,1.679e+8,1.687e-10,1.836e-12
287.061,9.548e+7,2.232e-9,9.548e+7,1.687e-10,1.836e-12
287.066,5.348e+7,2.231e-9,5.348e+7,1.686e-10,1.836e-12
287.071,3.044e+7,2.230e-9,3.044e+7,1.685e-10,1.835e-12
287.076,1.823e+7,2.229e-9,1.823e+7,1.685e-10,1.835e-12
287.081,1.173e+7,2.228e-9,1.173e+7,1.684e-10,1.835e-12
287.086,8.082e+6,2.227e-9,8.082e+6,1.683e-10,1.835e-12
287.091,5.879e+6,2.227e-9,5.879e+6,1.683e-10,1.835e-12
287.096,4.568e+6,2.226e-9,4.568e+6,1.682e-10,1.835e-12
287.101,4.031e+6,2.225e-9,4.031e+6,1.681e-10,1.834e-12
287.106,4.362e+6,2.224e-9,4.362e+6,1.680e-10,1.834e-12
287.111,5.750e+6,2.223e-9,5.750e+6,1.680e-10,1.834e-12
287.116,8.409e+6,2.222e-9,8.409e+6,1.679e-10,1.834e-12
287.121,1.251e+7,2.222e-9,1.251e+7,1.678e-10,1.834e-12
287.126,1.811e+7,2.221e-9,1.811e+7,1.678e-10,1.834e-12
287.131,2.505e+7,2.220e-9,2.505e+7,1.677e-10,1.833e-12
287.136,3.291e+7,2.219e-9,3.291e+7,1.676e-10,1.833e-12
287.141,4.097e+7,2.218e-9,4.097e+7,1.675e-10,1.833e-12
287.146,4.834e+7,2.217e-9,4.834e+7,1.675e-10,1.833e-12
287.151,5.406e+7,2.217e-9,5.406e+7,1.674e-10,1.833e-12
287.156,5.731e+7,2.216e-9,5.731e+7,1.673e-10,1.833e-12
287.161,5.764e+7,2.215e-9,5.764e+7,1.673e-10,1.832e-12
287.166,5.500e+7,2.214e-9,5.500e+7,1.672e-10,1.832e-12
287.171,4.980e+7,2.213e-9,4.980e+7,1.671e-10,1.832e-12
287.176,4.279e+7,2.213e-9,4.279e+7,1.670e-10,1.832e-12
287.181,3.488e+7,2.212e-9,3.488e+7,1.670e-10,1.832e-12
287.186,2.698e+7,2.211e-9,2.698e+7,1.669e-10,1.832e-12
287.191,1.979e+7,2.210e-9,1.979e+7,1.668e-10,1.831e-12
287.196,1.377e+7,2.209e-9,1.377e+7,1.668e-10,1.831e-12
287.201,9.103e+6,2.208e-9,9.103e+6,1.667e-10,1.831e-12
287.206,5.768e+6,2.208e-9,5.768e+6,1.666e-10,1.831e-12
287.211,3.657e+6,2.207e-9,3.657e+6,1.665e-10,1.831e-12
287.216,2.709e+6,2.206e-9,2.709e+6,1.665e-10,1.830e-12
287.221,3.093e+6,2.205e-9,3.093e+6,1.664e-10,1.830e-12
287.226,5.446e+6,2.204e-9,5.446e+6,1.663e-10,1.830e-12
287.231,1.119e+7,2.203e-9,1.119e+7,1.663e-10,1.830e-12
287.236,2.292e+7,2.203e-9,2.292e+7,1.662e-10,1.830e-12
287.241,4.476e+7,2.202e-9,4.476e+7,1.661e-10,1.830e-12
287.246,8.251e+7,2.201e-9,8.251e+7,1.660e-10,1.829e-12
287.251,1.433e+8,2.200e-9,1.433e+8,1.660e-10,1.829e-12
287.256,2.342e+8,2.199e-9,2.342e+8,1.659e-10,1.829e-12
287.261,3.604e+8,2.198e-9,3.604e+8,1.658e-10,1.829e-12
287.266,5.221e+8,2.198e-9,5.221e+8,1.658e-10,1.829e-12
287.271,7.121e+8,2.197e-9,7.121e+8,1.657e-10,1.829e-12
287.276,9.145e+8,2.196e-9,9.145e+8,1.656e-10,1.828e-12
287.281,1.106e+9,2.195e-9,1.106e+9,1.656e-10,1.828e-12
287.286,1.259e+9,2.194e-9,1.259e+9,1.655e-10,1.828e-12
287.291,1.351e+9,2.194e-9,1.351e+9,1.654e-10,1.828e-12
287.296,1.365e+9,2.193e-9,1.365e+9,1.653e-10,1.828e-12
287.301,1.299e+9,2.192e-9,1.299e+9,1.653e-10,1.828e-12
287.306,1.165e+9,2.191e-9,1.165e+9,1.652e-10,1.827e-12
287.311,9.854e+8,2.190e-9,9.854e+8,1.651e-10,1.827e-12
287.315,8.260e+8,2.190e-9,8.260e+8,1.651e-10,1.827e-12
287.320,6.286e+8,2.189e-9,6.286e+8,1.650e-10,1.827e-12
287.325,4.515e+8,2.188e-9,4.515e+8,1.649e-10,1.827e-12
287.330,3.062e+8,2.187e-9,3.062e+8,1.649e-10,1.827e-12
287.335,1.962e+8,2.186e-9,1.962e+8,1.648e-10,1.826e-12
287.340,1.188e+8,2.185e-9,1.188e+8,1.647e-10,1.826e-12
287.345,6.814e+7,2.185e-9,6.814e+7,1.646e-10,1.826e-12
287.350,3.700e+7,2.184e-9,3.700e+7,1.646e-10,1.826e-12
287.355,1.905e+7,2.183e-9,1.905e+7,1.645e-10,1.826e-12
287.360,9.308e+6,2.182e-9,9.308e+6,1.644e-10,1.826e-12
287.365,4.321e+6,2.181e-9,4.321e+6,1.644e-10,1.825e-12
287.370,1.907e+6,2.180e-9,1.907e+6,1.643e-10,1.825e-12
287.375,8.008e+5,2.180e-9,8.008e+5,1.642e-10,1.825e-12
287.380,3.202e+5,2.179e-9,3.202e+5,1.641e-10,1.825e-12
287.385,1.220e+5,2.178e-9,1.220e+5,1.641e-10,1.825e-12
287.390,4.440e+4,2.177e-9,4.440e+4,1.640e-10,1.825e-12
287.395,1.581e+4,2.176e-9,1.581e+4,1.639e-10,1.824e-12
287.400,6.514e+3,2.176e-9,6.514e+3,1.639e-10,1.824e-12
287.405,5.524e+3,2.175e-9,5.524e+3,1.638e-10,1.824e-12
287.410,1.032e+4,2.174e-9,1.032e+4,1.637e-10,1.824e-12
287.415,2.326e+4,2.173e-9,2.326e+4,1.636e-10,1.824e-12
287.420,5.113e+4,2.172e-9,5.113e+4,1.636e-10,1.824e-12
287.425,1.063e+5,2.171e-9,1.063e+5,1.635e-10,1.823e-12
287.430,2.080e+5,2.171e-9,2.080e+5,1.634e-10,1.823e-12
287.435,3.831e+5,2.170e-9,3.831e+5,1.634e-10,1.823e-12
287.440,6.644e+5,2.169e-9,6.644e+5,1.633e-10,1.823e-12
287.445,1.085e+6,2.168e-9,1.085e+6,1.632e-10,1.823e-12
287.450,1.666e+6,2.167e-9,1.666e+6,1.631e-10,1.823e-12
287.455,2.410e+6,2.166e-9,2.410e+6,1.631e-10,1.822e-12
287.460,3.281e+6,2.166e-9,3.281e+6,1.630e-10,1.822e-12
287.465,4.205e+6,2.165e-9,4.205e+6,1.629e-10,1.822e-12
287.470,5.073e+6,2.164e-9,5.073e+6,1.629e-10,1.822e-12
287.475,5.760e+6,2.163e-9,5.760e+6,1.628e-10,1.822e-12
287.480,6.156e+6,2.162e-9,6.156e+6,1.627e-10,1.821e-12
287.485,6.194e+6,2.161e-9,6.194e+6,1.627e-10,1.821e-12
287.490,5.865e+6,2.161e-9,5.865e+6,1.626e-10,1.821e-12
287.495,5.228e+6,2.160e-9,5.228e+6,1.625e-10,1.821e-12
287.500,4.387e+6,2.159e-9,4.387e+6,1.624e-10,1.821e-12
287.505,3.465e+6,2.158e-9,3.465e+6,1.624e-10,1.821e-12
287.510,2.576e+6,2.157e-9,2.576e+6,1.623e-10,1.820e-12
287.515,1.803e+6,2.157e-9,1.803e+6,1.622e-10,1.820e-12
287.520,1.188e+6,2.156e-9,1.188e+6,1.622e-10,1.820e-12
287.525,7.364e+5,2.155e-9,7.364e+5,1.621e-10,1.820e-12
287.530,4.298e+5,2.154e-9,4.298e+5,1.620e-10,1.820e-12
287.535,2.361e+5,2.153e-9,2.361e+5,1.619e-10,1.820e-12
287.540,1.221e+5,2.152e-9,1.221e+5,1.619e-10,1.819e-12
287.545,5.944e+4,2.152e-9,5.944e+4,1.618e-10,1.819e-12
287.550,2.724e+4,2.151e-9,2.724e+4,1.617e-10,1.819e-12
287.555,1.175e+4,2.150e-9,1.175e+4,1.617e-10,1.819e-12
287.560,4.769e+3,2.149e-9,4.769e+3,1.616e-10,1.819e-12
287.565,1.823e+3,2.148e-9,1.823e+3,1.615e-10,1.819e-12
287.570,6.556e+2,2.147e-9,6.556e+2,1.614e-10,1.818e-12
287.575,2.220e+2,2.147e-9,2.220e+2,1.614e-10,1.818e-12
287.580,7.075e+1,2.146e-9,7.075e+1,1.613e-10,1.818e-12
287.585,2.123e+1,2.145e-9,2.123e+1,1.612e-10,1.818e-12
287.590,5.995e+0,2.144e-9,5.995e+0,1.612e-10,1.818e-12
287.595,1.594e+0,2.143e-9,1.594e+0,1.611e-10,1.818e-12
287.600,3.987e-1,2.142e-9,3.987e-1,1.610e-10,1.817e-12
287.605,9.391e-2,2.142e-9,9.391e-2,1.609e-10,1.817e-12
287.610,2.082e-2,2.141e-9,2.082e-2,1.609e-10,1.817e-12
287.615,4.345e-3,2.140e-9,4.345e-3,1.608e-10,1.817e-12
287.620,8.535e-4,2.139e-9,8.535e-4,1.607e-10,1.817e-12
287.625,1.578e-4,2.138e-9,1.578e-4,1.607e-10,1.817e-12
287.630,2.747e-5,2.138e-9,2.747e-5,1.606e-10,1.816e-12
287.635,4.500e-6,2.137e-9,4.500e-6,1.605e-10,1.816e-12
287.640,6.940e-7,2.136e-9,6.940e-7,1.604e-10,1.816e-12
287.645,1.007e-7,2.135e-9,1.007e-7,1.604e-10,1.816e-12
287.650,1.377e-8,2.134e-9,1.377e-8,1.603e-10,1.816e-12
287.655,1.770e-9,2.133e-9,1.770e-9,1.602e-10,1.816e-12
287.660,2.143e-10,2.133e-9,2.143e-10,1.602e-10,1.815e-12
287.665,2.443e-11,2.132e-9,2.443e-11,1.601e-10,1.815e-12
287.670,2.620e-12,2.131e-9,2.620e-12,1.600e-10,1.815e-12
287.745,2.526e-13,2.119e-9,2.526e-13,1.590e-10,1.812e-12
287.750,2.483e-12,2.118e-9,2.483e-12,1.589e-10,1.812e-12
287.755,8.536e-11,2.117e-9,8.536e-11,1.588e-10,1.812e-12
287.760,8.284e-10,2.116e-9,8.284e-10,1.587e-10,1.812e-12
287.765,7.599e-9,2.115e-9,7.599e-9,1.587e-10,1.812e-12
287.770,6.585e-8,2.114e-9,6.585e-8,1.586e-10,1.812e-12
287.775,5.391e-7,2.114e-9,5.391e-7,1.585e-10,1.811e-12
287.780,4.167e-6,2.113e-9,4.167e-6,1.585e-10,1.811e-12
287.785,3.040e-5,2.112e-9,3.040e-5,1.584e-10,1.811e-12
287.790,2.094e-4,2.111e-9,2.094e-4,1.583e-10,1.811e-12
287.795,1.361e-3,2.110e-9,1.361e-3,1.582e-10,1.811e-12
287.800,8.339e-3,2.109e-9,8.339e-3,1.582e-10,1.811e-12
287.805,4.821e-2,2.109e-9,4.821e-2,1.581e-10,1.810e-12
287.810,2.628e-1,2.108e-9,2.628e-1,1.580e-10,1.810e-12
287.815,1.350e+0,2.107e-9,1.350e+0,1.580e-10,1.810e-12
287.820,6.541e+0,2.106e-9,6.541e+0,1.579e-10,1.810e-12
287.825,2.986e+1,2.105e-9,2.986e+1,1.578e-10,1.810e-12
287.830,1.285e+2,2.104e-9,1.285e+2,1.577e-10,1.810e-12
287.835,5.207e+2,2.104e-9,5.207e+2,1.577e-10,1.809e-12
287.840,1.989e+3,2.103e-9,1.989e+3,1.576e-10,1.809e-12
287.845,7.155e+3,2.102e-9,7.155e+3,1.575e-10,1.809e-12
287.850,2.425e+4,2.101e-9,2.425e+4,1.575e-10,1.809e-12
287.855,7.741e+4,2.100e-9,7.741e+4,1.574e-10,1.809e-12
287.860,2.328e+5,2.100e-9,2.328e+5,1.573e-10,1.809e-12
287.865,6.591e+5,2.099e-9,6.591e+5,1.573e-10,1.808e-12
287.870,1.758e+6,2.098e-9,1.758e+6,1.572e-10,1.808e-12
287.875,4.415e+6,2.097e-9,4.415e+6,1.571e-10,1.808e-12
287.880,1.044e+7,2.096e-9,1.044e+7,1.570e-10,1.808e-12
287.885,2.326e+7,2.095e-9,2.326e+7,1.570e-10,1.808e-12
287.890,4.877e+7,2.095e-9,4.877e+7,1.569e-10,1.807e-12
287.895,9.632e+7,2.094e-9,9.632e+7,1.568e-10,1.807e-12
287.900,1.791e+8,2.093e-9,1.791e+8,1.568e-10,1.807e-12
287.905,3.137e+8,2.092e-9,3.137e+8,1.567e-10,1.807e-12
287.910,5.173e+8,2.091e-9,5.173e+8,1.566e-10,1.807e-12
287.915,8.035e+8,2.090e-9,8.035e+8,1.565e-10,1.807e-12
287.920,1.175e+9,2.090e-9,1.175e+9,1.565e-10,1.806e-12
287.925,1.620e+9,2.089e-9,1.620e+9,1.564e-10,1.806e-12
287.930,2.103e+9,2.088e-9,2.103e+9,1.563e-10,1.806e-12
287.935,2.573e+9,2.087e-9,2.573e+9,1.563e-10,1.806e-12
287.940,2.971e+9,2.086e-9,2.971e+9,1.562e-10,1.806e-12
287.945,3.237e+9,2.085e-9,3.237e+9,1.561e-10,1.806e-12
287.950,3.335e+9,2.085e-9,3.335e+9,1.560e-10,1.805e-12
287.955,3.256e+9,2.084e-9,3.256e+9,1.560e-10,1.805e-12
287.960,3.020e+9,2.083e-9,3.020e+9,1.559e-10,1.805e-12
287.965,2.673e+9,2.082e-9,2.673e+9,1.558e-10,1.805e-12
287.970,2.271e+9,2.081e-9,2.271e+9,1.558e-10,1.805e-12
287.975,1.864e+9,2.081e-9,1.864e+9,1.557e-10,1.805e-12
287.980,1.490e+9,2.080e-9,1.490e+9,1.556e-10,1.804e-12
287.985,1.169e+9,2.079e-9,1.169e+9,1.555e-10,1.804e-12
287.990,9.034e+8,2.078e-9,9.034e+8,1.555e-10,1.804e-12
287.995,6.891e+8,2.077e-9,6.891e+8,1.554e-10,1.804e-12
288.000,5.174e+8,2.076e-9,5.174e+8,1.553e-10,1.804e-12
288.005,3.803e+8,2.076e-9,3.803e+8,1.553e-10,1.804e-12
288.010,2.720e+8,2.075e-9,2.720e+8,1.552e-10,1.803e-12
288.015,1.887e+8,2.074e-9,1.887e+8,1.551e-10,1.803e-12
288.020,1.271e+8,2.073e-9,1.271e+8,1.550e-10,1.803e-12
288.025,8.374e+7,2.072e-9,8.374e+7,1.550e-10,1.803e-12
288.030,5.509e+7,2.071e-9,5.509e+7,1.549e-10,1.803e-12
288.035,3.736e+7,2.071e-9,3.736e+7,1.548e-10,1.803e-12
288.040,2.712e+7,2.070e-9,2.712e+7,1.548e-10,1.802e-12
288.045,2.162e+7,2.069e-9,2.162e+7,1.547e-10,1.802e-12
288.050,1.884e+7,2.068e-9,1.884e+7,1.546e-10,1.802e-12
288.055,1.748e+7,2.067e-9,1.748e+7,1.546e-10,1.802e-12
288.060,1.676e+7,2.066e-9,1.676e+7,1.545e-10,1.802e-12
288.065,1.623e+7,2.066e-9,1.623e+7,1.544e-10,1.802e-12
288.070,1.559e+7,2.065e-9,1.559e+7,1.543e-10,1.801e-12
288.075,1.469e+7,2.064e-9,1.469e+7,1.543e-10,1.801e-12
288.080,1.343e+7,2.063e-9,1.343e+7,1.542e-10,1.801e-12
288.085,1.182e+7,2.062e-9,1.182e+7,1.541e-10,1.801e-12
288.090,9.946e+6,2.062e-9,9.946e+6,1.541e-10,1.801e-12
288.094,8.366e+6,2.061e-9,8.366e+6,1.540e-10,1.801e-12
288.099,6.428e+6,2.060e-9,6.428e+6,1.539e-10,1.800e-12
288.104,4.676e+6,2.059e-9,4.676e+6,1.539e-10,1.800e-12
288.109,3.215e+6,2.058e-9,3.215e+6,1.538e-10,1.800e-12
288.114,2.086e+6,2.058e-9,2.086e+6,1.537e-10,1.800e-12
288.119,1.276e+6,2.057e-9,1.276e+6,1.536e-10,1.800e-12
288.124,7.362e+5,2.056e-9,7.362e+5,1.536e-10,1.800e-12
288.129,4.001e+5,2.055e-9,4.001e+5,1.535e-10,1.799e-12
288.134,2.048e+5,2.054e-9,2.048e+5,1.534e-10,1.799e-12
288.139,9.873e+4,2.053e-9,9.873e+4,1.534e-10,1.799e-12
288.144,4.482e+4,2.053e-9,4.482e+4,1.533e-10,1.799e-12
288.149,1.916e+4,2.052e-9,1.916e+4,1.532e-10,1.799e-12
288.154,7.714e+3,2.051e-9,7.714e+3,1.531e-10,1.798e-12
288.159,2.924e+3,2.050e-9,2.924e+3,1.531e-10,1.798e-12
288.164,1.043e+3,2.049e-9,1.043e+3,1.530e-10,1.798e-12
288.169,3.506e+2,2.048e-9,3.506e+2,1.529e-10,1.798e-12
288.174,1.109e+2,2.048e-9,1.109e+2,1.529e-10,1.798e-12
288.179,3.305e+1,2.047e-9,3.305e+1,1.528e-10,1.798e-12
288.184,9.269e+0,2.046e-9,9.269e+0,1.527e-10,1.797e-12
288.189,2.448e+0,2.045e-9,2.448e+0,1.526e-10,1.797e-12
288.194,6.086e-1,2.044e-9,6.086e-1,1.526e-10,1.797e-12
288.199,1.425e-1,2.044e-9,1.425e-1,1.525e-10,1.797e-12
288.204,3.140e-2,2.043e-9,3.140e-2,1.524e-10,1.797e-12
288.209,6.516e-3,2.042e-9,6.516e-3,1.524e-10,1.797e-12
288.214,1.274e-3,2.041e-9,1.274e-3,1.523e-10,1.796e-12
288.219,2.389e-4,2.040e-9,2.389e-4,1.522e-10,1.796e-12
288.224,7.329e-5,2.039e-9,7.329e-5,1.522e-10,1.796e-12
288.229,2.214e-4,2.039e-9,2.214e-4,1.521e-10,1.796e-12
288.234,1.329e-3,2.038e-9,1.329e-3,1.520e-10,1.796e-12
288.239,7.732e-3,2.037e-9,7.732e-3,1.519e-10,1.796e-12
288.244,4.239e-2,2.036e-9,4.239e-2,1.519e-10,1.795e-12
288.249,2.188e-1,2.035e-9,2.188e-1,1.518e-10,1.795e-12
288.254,1.064e+0,2.034e-9,1.064e+0,1.517e-10,1.795e-12
288.259,4.868e+0,2.034e-9,4.868e+0,1.517e-10,1.795e-12
288.264,2.098e+1,2.033e-9,2.098e+1,1.516e-10,1.795e-12
288.269,8.515e+1,2.032e-9,8.515e+1,1.515e-10,1.795e-12
288.274,3.254e+2,2.031e-9,3.254e+2,1.514e-10,1.794e-12
288.279,1.171e+3,2.030e-9,1.171e+3,1.514e-10,1.794e-12
288.284,3.969e+3,2.029e-9,3.969e+3,1.513e-10,1.794e-12
288.289,1.266e+4,2.029e-9,1.266e+4,1.512e-10,1.794e-12
288.294,3.805e+4,2.028e-9,3.805e+4,1.512e-10,1.794e-12
288.299,1.077e+5,2.027e-9,1.077e+5,1.511e-10,1.794e-12
288.304,2.869e+5,2.026e-9,2.869e+5,1.510e-10,1.793e-12
288.309,7.198e+5,2.025e-9,7.198e+5,1.509e-10,1.793e-12
288.314,1.701e+6,2.025e-9,1.701e+6,1.509e-10,1.793e-12
288.319,3.783e+6,2.024e-9,3.783e+6,1.508e-10,1.793e-12
288.324,7.925e+6,2.023e-9,7.925e+6,1.507e-10,1.793e-12
288.329,1.563e+7,2.022e-9,1.563e+7,1.507e-10,1.793e-12
288.334,2.904e+7,2.021e-9,2.904e+7,1.506e-10,1.792e-12
288.339,5.080e+7,2.020e-9,5.080e+7,1.505e-10,1.792e-12
288.344,8.367e+7,2.020e-9,8.367e+7,1.504e-10,1.792e-12
288.349,1.298e+8,2.019e-9,1.298e+8,1.504e-10,1.792e-12
288.354,1.895e+8,2.018e-9,1.895e+8,1.503e-10,1.792e-12
288.359,2.607e+8,2.017e-9,2.607e+8,1.502e-10,1.791e-12
288.364,3.376e+8,2.016e-9,3.376e+8,1.502e-10,1.791e-12
288.369,4.117e+8,2.015e-9,4.117e+8,1.501e-10,1.791e-12
288.374,4.728e+8,2.015e-9,4.728e+8,1.500e-10,1.791e-12
288.379,5.113e+8,2.014e-9,5.113e+8,1.499e-10,1.791e-12
288.384,5.208e+8,2.013e-9,5.208e+8,1.499e-10,1.791e-12
288.389,4.996e+8,2.012e-9,4.996e+8,1.498e-10,1.790e-12
288.394,4.515e+8,2.011e-9,4.515e+8,1.497e-10,1.790e-12
288.399,3.845e+8,2.010e-9,3.845e+8,1.497e-10,1.790e-12
288.404,3.089e+8,2.010e-9,3.089e+8,1.496e-10,1.790e-12
288.409,2.342e+8,2.009e-9,2.342e+8,1.495e-10,1.790e-12
288.414,1.680e+8,2.008e-9,1.680e+8,1.495e-10,1.790e-12
288.419,1.145e+8,2.007e-9,1.145e+8,1.494e-10,1.789e-12
288.424,7.459e+7,2.006e-9,7.459e+7,1.493e-10,1.789e-12
288.429,4.713e+7,2.006e-9,4.713e+7,1.492e-10,1.789e-12
288.434,2.965e+7,2.005e-9,2.965e+7,1.492e-10,1.789e-12
288.439,1.954e+7,2.004e-9,1.954e+7,1.491e-10,1.789e-12
288.444,1.472e+7,2.003e-9,1.472e+7,1.490e-10,1.789e-12
288.449,1.400e+7,2.002e-9,1.400e+7,1.490e-10,1.788e-12
288.454,1.728e+7,2.001e-9,1.728e+7,1.489e-10,1.788e-12
288.459,2.554e+7,2.001e-9,2.554e+7,1.488e-10,1.788e-12
288.464,4.084e+7,2.000e-9,4.084e+7,1.487e-10,1.788e-12
288.469,6.604e+7,1.999e-9,6.604e+7,1.487e-10,1.788e-12
288.474,1.043e+8,1.998e-9,1.043e+8,1.486e-10,1.788e-12
288.479,1.579e+8,1.997e-9,1.579e+8,1.485e-10,1.787e-12
288.484,2.276e+8,1.996e-9,2.276e+8,1.485e-10,1.787e-12
288.489,3.106e+8,1.996e-9,3.106e+8,1.484e-10,1.787e-12
288.494,4.004e+8,1.995e-9,4.004e+8,1.483e-10,1.787e-12
288.499,4.869e+8,1.994e-9,4.869e+8,1.482e-10,1.787e-12
288.504,5.583e+8,1.993e-9,5.583e+8,1.482e-10,1.787e-12
288.509,6.031e+8,1.992e-9,6.031e+8,1.481e-10,1.786e-12
288.514,6.137e+8,1.991e-9,6.137e+8,1.480e-10,1.786e-12
288.519,5.883e+8,1.991e-9,5.883e+8,1.480e-10,1.786e-12
288.524,5.311e+8,1.990e-9,5.311e+8,1.479e-10,1.786e-12
288.529,4.515e+8,1.989e-9,4.515e+8,1.478e-10,1.786e-12
288.534,3.615e+8,1.988e-9,3.615e+8,1.477e-10,1.786e-12
288.539,2.726e+8,1.987e-9,2.726e+8,1.477e-10,1.785e-12
288.544,1.936e+8,1.987e-9,1.936e+8,1.476e-10,1.785e-12
288.549,1.294e+8,1.986e-9,1.294e+8,1.475e-10,1.785e-12
288.554,8.150e+7,1.985e-9,8.150e+7,1.475e-10,1.785e-12
288.559,4.833e+7,1.984e-9,4.833e+7,1.474e-10,1.785e-12
288.564,2.700e+7,1.983e-9,2.700e+7,1.473e-10,1.785e-12
288.569,1.422e+7,1.982e-9,1.422e+7,1.472e-10,1.784e-12
288.574,7.116e+6,1.982e-9,7.116e+6,1.472e-10,1.784e-12
288.579,3.538e+6,1.981e-9,3.538e+6,1.471e-10,1.784e-12
288.584,2.167e+6,1.980e-9,2.167e+6,1.470e-10,1.784e-12
288.589,2.508e+6,1.979e-9,2.508e+6,1.470e-10,1.784e-12
288.594,4.964e+6,1.978e-9,4.964e+6,1.469e-10,1.783e-12
288.599,1.111e+7,1.977e-9,1.111e+7,1.468e-10,1.783e-12
288.604,2.423e+7,1.977e-9,2.423e+7,1.468e-10,1.783e-12
288.609,5.004e+7,1.976e-9,5.004e+7,1.467e-10,1.783e-12
288.614,9.738e+7,1.975e-9,9.738e+7,1.466e-10,1.783e-12
288.619,1.785e+8,1.974e-9,1.785e+8,1.465e-10,1.783e-12
288.624,3.082e+8,1.973e-9,3.082e+8,1.465e-10,1.782e-12
288.629,5.011e+8,1.972e-9,5.011e+8,1.464e-10,1.782e-12
288.634,7.672e+8,1.972e-9,7.672e+8,1.463e-10,1.782e-12
288.639,1.106e+9,1.971e-9,1.106e+9,1.463e-10,1.782e-12
288.644,1.502e+9,1.970e-9,1.502e+9,1.462e-10,1.782e-12
288.649,1.921e+9,1.969e-9,1.921e+9,1.461e-10,1.782e-12
288.654,2.314e+9,1.968e-9,2.314e+9,1.460e-10,1.781e-12
288.659,2.625e+9,1.968e-9,2.625e+9,1.460e-10,1.781e-12
288.664,2.804e+9,1.967e-9,2.804e+9,1.459e-10,1.781e-12
288.669,2.821e+9,1.966e-9,2.821e+9,1.458e-10,1.781e-12
288.674,2.673e+9,1.965e-9,2.673e+9,1.458e-10,1.781e-12
288.679,2.385e+9,1.964e-9,2.385e+9,1.457e-10,1.781e-12
288.684,2.004e+9,1.963e-9,2.004e+9,1.456e-10,1.780e-12
288.689,1.586e+9,1.963e-9,1.586e+9,1.455e-10,1.780e-12
288.694,1.182e+9,1.962e-9,1.182e+9,1.455e-10,1.780e-12
288.699,8.295e+8,1.961e-9,8.295e+8,1.454e-10,1.780e-12
288.704,5.483e+8,1.960e-9,5.483e+8,1.453e-10,1.780e-12
288.709,3.415e+8,1.959e-9,3.415e+8,1.453e-10,1.780e-12
288.714,2.005e+8,1.958e-9,2.005e+8,1.452e-10,1.779e-12
288.719,1.115e+8,1.958e-9,1.115e+8,1.451e-10,1.779e-12
288.724,5.975e+7,1.957e-9,5.975e+7,1.450e-10,1.779e-12
288.729,3.297e+7,1.956e-9,3.297e+7,1.450e-10,1.779e-12
288.734,2.251e+7,1.955e-9,2.251e+7,1.449e-10,1.779e-12
288.739,2.333e+7,1.954e-9,2.333e+7,1.448e-10,1.779e-12
288.744,3.321e+7,1.953e-9,3.321e+7,1.448e-10,1.778e-12
288.749,5.172e+7,1.953e-9,5.172e+7,1.447e-10,1.778e-12
288.754,7.906e+7,1.952e-9,7.906e+7,1.446e-10,1.778e-12
288.759,1.150e+8,1.951e-9,1.150e+8,1.445e-10,1.778e-12
288.764,1.579e+8,1.950e-9,1.579e+8,1.445e-10,1.778e-12
288.769,2.043e+8,1.949e-9,2.043e+8,1.444e-10,1.778e-12
288.774,2.489e+8,1.949e-9,2.489e+8,1.443e-10,1.777e-12
288.779,2.858e+8,1.948e-9,2.858e+8,1.443e-10,1.777e-12
288.784,3.089e+8,1.947e-9,3.089e+8,1.442e-10,1.777e-12
288.789,3.145e+8,1.946e-9,3.145e+8,1.441e-10,1.777e-12
288.794,3.016e+8,1.945e-9,3.016e+8,1.441e-10,1.777e-12
288.799,2.724e+8,1.944e-9,2.724e+8,1.440e-10,1.776e-12
288.804,2.317e+8,1.944e-9,2.317e+8,1.439e-10,1.776e-12
288.809,1.856e+8,1.943e-9,1.856e+8,1.438e-10,1.776e-12
288.814,1.401e+8,1.942e-9,1.401e+8,1.438e-10,1.776e-12
288.819,9.962e+7,1.941e-9,9.962e+7,1.437e-10,1.776e-12
288.824,6.686e+7,1.940e-9,6.686e+7,1.436e-10,1.776e-12
288.829,4.251e+7,1.939e-9,4.251e+7,1.436e-10,1.775e-12
288.834,2.590e+7,1.939e-9,2.590e+7,1.435e-10,1.775e-12
288.839,1.563e+7,1.938e-9,1.563e+7,1.434e-10,1.775e-12
288.844,1.007e+7,1.937e-9,1.007e+7,1.433e-10,1.775e-12
