Wavelength (nm),Sum(calc),Cu I (8.1e-2),Cu II (8.6e-1),Sn I (2.1e-3),Sn II (3.8e-2),Pb I (8.7e-4),Pb II (1.9e-2)
202.186,5.494e+6,,1.222e-8,,,5.494e+6,
202.191,7.643e+6,,1.212e-8,,,7.643e+6,
202.196,9.409e+6,,1.202e-8,,,9.409e+6,
202.201,1.025e+7,,1.192e-8,,,1.025e+7,
202.206,9.881e+6,,1.182e-8,,,9.881e+6,
202.211,8.429e+6,,1.172e-8,,,8.429e+6,
202.216,6.362e+6,,1.163e-8,,,6.362e+6,
202.221,4.249e+6,,1.153e-8,,,4.249e+6,
202.226,2.512e+6,,1.143e-8,,,2.512e+6,
202.231,1.314e+6,,1.133e-8,,,1.314e+6,
202.236,6.079e+5,,1.123e-8,,,6.079e+5,
202.242,2.052e+5,,1.111e-8,,,2.052e+5,
202.247,7.258e+4,,1.101e-8,,,7.258e+4,
202.252,2.271e+4,,1.091e-8,,,2.271e+4,
202.257,6.289e+3,,1.081e-8,,,6.289e+3,
202.262,1.541e+3,,1.072e-8,,,1.541e+3,
202.267,3.341e+2,,1.062e-8,,,3.341e+2,
202.272,6.411e+1,,1.052e-8,,,6.411e+1,
202.277,1.088e+1,,1.042e-8,,,1.088e+1,
202.282,1.635e+0,,1.032e-8,,,1.635e+0,
202.287,2.174e-1,,1.022e-8,,,2.174e-1,
202.292,2.557e-2,,1.012e-8,,,2.557e-2,
202.297,2.662e-3,2.251e-11,1.002e-8,,,2.662e-3,
202.302,2.452e-4,1.201e-9,9.923e-9,,,2.452e-4,
202.307,2.002e-5,2.799e-8,9.824e-9,,,1.999e-5,
202.312,2.019e-6,5.772e-7,9.725e-9,,,1.442e-6,
202.317,1.063e-5,1.054e-5,9.626e-9,,,9.203e-8,
202.322,1.704e-4,1.703e-4,9.527e-9,,,5.198e-9,
202.327,2.437e-3,2.437e-3,9.428e-9,,,2.598e-10,
202.332,3.087e-2,3.087e-2,9.329e-9,,,1.149e-11,
202.337,3.462e-1,3.462e-1,9.230e-9,,,4.496e-13,
202.342,3.437e+0,3.437e+0,9.131e-9,,,4.504e-13,
202.347,3.020e+1,3.020e+1,9.032e-9,,,4.511e-13,
202.352,2.350e+2,2.350e+2,8.933e-9,,,4.518e-13,
202.357,1.618e+3,1.618e+3,8.834e-9,,,4.526e-13,
202.362,9.868e+3,9.868e+3,8.735e-9,,,4.533e-13,
202.367,5.326e+4,5.326e+4,8.636e-9,,,4.541e-13,
202.372,2.545e+5,2.545e+5,8.537e-9,,,4.548e-13,
202.377,1.076e+6,1.076e+6,8.438e-9,,,4.556e-13,
202.382,4.031e+6,4.031e+6,8.339e-9,,,4.563e-13,
202.387,1.336e+7,1.336e+7,8.240e-9,,,4.571e-13,
202.392,3.921e+7,3.921e+7,8.141e-9,,,4.578e-13,
202.397,1.019e+8,1.019e+8,8.042e-9,,,4.586e-13,
202.402,2.343e+8,2.343e+8,7.943e-9,,,4.593e-13,
202.407,4.770e+8,4.770e+8,7.844e-9,,,4.601e-13,
202.412,8.597e+8,8.597e+8,7.745e-9,,,4.608e-13,
202.417,1.372e+9,1.372e+9,7.646e-9,,,4.616e-13,
202.422,1.937e+9,1.937e+9,1.796e-7,,,4.623e-13,
202.427,2.423e+9,2.423e+9,3.735e-6,,,4.630e-13,
202.432,2.682e+9,2.682e+9,6.875e-5,,,4.638e-13,
202.437,2.628e+9,2.628e+9,1.120e-3,,,4.645e-13,
202.442,2.279e+9,2.279e+9,1.616e-2,,,4.653e-13,
202.447,1.750e+9,1.750e+9,2.064e-1,,,4.660e-13,
202.452,1.190e+9,1.190e+9,2.333e+0,,,4.668e-13,
202.457,7.161e+8,7.161e+8,2.335e+1,,,4.675e-13,
202.462,3.815e+8,3.815e+8,2.069e+2,,,4.683e-13,
202.467,1.799e+8,1.799e+8,1.623e+3,,,4.690e-13,
202.472,7.512e+7,7.511e+7,1.127e+4,,,4.698e-13,
202.477,2.783e+7,2.776e+7,6.927e+4,,,4.705e-13,
202.482,9.459e+6,9.082e+6,3.769e+5,,,4.713e-13,
202.487,4.446e+6,2.630e+6,1.816e+6,,,4.720e-13,
202.492,8.417e+6,6.744e+5,7.742e+6,,,4.728e-13,
202.497,2.938e+7,1.531e+5,2.923e+7,,,4.735e-13,
202.502,9.771e+7,3.075e+4,9.768e+7,,,4.742e-13,
202.507,2.890e+8,5.470e+3,2.890e+8,,,4.750e-13,
202.512,7.569e+8,8.612e+2,7.569e+8,,,4.757e-13,
202.517,1.755e+9,1.200e+2,1.755e+9,,,4.765e-13,
202.522,3.602e+9,1.481e+1,3.602e+9,,,4.772e-13,
202.527,6.544e+9,1.618e+0,6.544e+9,,,4.780e-13,
202.532,1.053e+10,1.564e-1,1.053e+10,,,4.787e-13,
202.537,1.499e+10,1.339e-2,1.499e+10,,,4.795e-13,
202.543,1.950e+10,5.967e-4,1.950e+10,,,4.804e-13,
202.548,2.124e+10,3.906e-5,2.124e+10,,,4.811e-13,
202.553,2.048e+10,2.263e-6,2.048e+10,,,4.819e-13,
202.558,1.748e+10,1.161e-7,1.748e+10,,,4.826e-13,
202.563,1.320e+10,5.271e-9,1.320e+10,,,4.834e-13,
202.568,8.832e+9,1.683e-10,8.832e+9,,,4.841e-13,
202.573,5.230e+9,1.700e-10,5.230e+9,,,4.849e-13,
202.578,2.741e+9,1.718e-10,2.741e+9,,,4.856e-13,
202.583,1.272e+9,1.735e-10,1.272e+9,,,4.863e-13,
