Wavelength (nm),Sum(calc),Cu I (8.1e-2),Cu II (8.6e-1),Sn I (2.1e-3),Sn II (3.8e-2),Pb I (8.7e-4),Pb II (1.9e-2)
262.821,4.475e+6,1.120e-8,4.808e-10,6.643e-11,9.136e-12,4.475e+6,
262.826,4.640e+6,1.119e-8,4.805e-10,6.598e-11,9.123e-12,4.640e+6,
262.831,4.475e+6,1.119e-8,4.802e-10,6.554e-11,9.111e-12,4.475e+6,
262.836,4.014e+6,1.118e-8,4.799e-10,6.509e-11,9.098e-12,4.014e+6,
262.841,3.350e+6,1.118e-8,4.796e-10,6.465e-11,9.085e-12,3.350e+6,
262.846,2.600e+6,1.118e-8,4.793e-10,6.420e-11,9.073e-12,2.600e+6,
262.851,1.877e+6,1.117e-8,4.790e-10,6.376e-11,9.060e-12,1.877e+6,
262.856,1.261e+6,1.117e-8,4.787e-10,6.331e-11,9.047e-12,1.261e+6,
262.861,7.876e+5,1.117e-8,4.785e-10,6.286e-11,9.035e-12,7.876e+5,
262.866,4.577e+5,1.116e-8,4.782e-10,6.242e-11,9.022e-12,4.577e+5,
262.871,2.474e+5,1.116e-8,4.779e-10,6.197e-11,9.009e-12,2.474e+5,
262.876,1.244e+5,1.115e-8,4.776e-10,6.153e-11,8.997e-12,1.244e+5,
262.881,5.817e+4,1.115e-8,4.773e-10,6.108e-11,8.984e-12,5.817e+4,
262.886,2.530e+4,1.115e-8,4.770e-10,6.064e-11,8.971e-12,2.530e+4,
262.891,1.024e+4,1.114e-8,4.767e-10,6.019e-11,8.959e-12,1.024e+4,
262.896,3.853e+3,1.114e-8,4.764e-10,5.975e-11,8.946e-12,3.853e+3,
262.901,1.349e+3,1.114e-8,4.761e-10,5.930e-11,8.933e-12,1.349e+3,
262.906,4.393e+2,1.113e-8,4.758e-10,5.886e-11,8.921e-12,4.393e+2,
262.911,1.331e+2,1.113e-8,4.755e-10,5.841e-11,8.908e-12,1.331e+2,
262.916,3.750e+1,1.112e-8,4.752e-10,5.797e-11,8.895e-12,3.750e+1,
262.921,9.827e+0,1.112e-8,4.749e-10,5.752e-11,8.883e-12,9.827e+0,
262.927,1.791e+0,1.112e-8,4.746e-10,5.699e-11,8.867e-12,1.791e+0,
262.932,4.003e-1,1.111e-8,4.743e-10,5.654e-11,8.855e-12,4.003e-1,
262.937,8.322e-2,1.111e-8,4.740e-10,5.610e-11,8.842e-12,8.322e-2,
262.942,1.609e-2,1.110e-8,4.737e-10,5.565e-11,8.829e-12,1.609e-2,
262.947,2.895e-3,1.110e-8,4.734e-10,5.521e-11,8.817e-12,2.895e-3,
262.952,4.844e-4,1.110e-8,4.731e-10,5.476e-11,8.804e-12,4.844e-4,
262.957,7.539e-5,1.109e-8,4.728e-10,5.432e-11,8.791e-12,7.539e-5,
262.962,1.091e-5,1.109e-8,4.725e-10,5.387e-11,8.779e-12,1.091e-5,
262.967,1.470e-6,1.109e-8,4.722e-10,5.343e-11,8.766e-12,1.470e-6,
262.972,1.841e-7,1.108e-8,4.719e-10,5.298e-11,8.753e-12,1.841e-7,
262.977,2.145e-8,1.108e-8,4.716e-10,5.253e-11,8.741e-12,2.145e-8,
262.982,2.325e-9,1.107e-8,4.713e-10,5.209e-11,8.728e-12,2.325e-9,
262.987,2.343e-10,1.107e-8,4.710e-10,5.164e-11,8.715e-12,2.343e-10,
262.992,2.197e-11,1.107e-8,4.707e-10,5.120e-11,8.702e-12,2.197e-11,
263.528,3.468e-12,1.067e-8,4.392e-10,3.468e-12,7.343e-12,2.873e-11,
263.534,6.298e-11,1.066e-8,4.389e-10,6.298e-11,7.328e-12,2.881e-11,
263.539,6.517e-10,1.066e-8,4.386e-10,6.517e-10,7.316e-12,2.887e-11,
263.544,6.277e-9,1.065e-8,4.383e-10,6.277e-9,7.303e-12,2.894e-11,
263.549,5.626e-8,1.065e-8,4.380e-10,5.626e-8,7.290e-12,2.900e-11,
263.554,4.692e-7,1.065e-8,4.377e-10,4.692e-7,7.277e-12,2.906e-11,
263.559,3.642e-6,1.064e-8,4.374e-10,3.642e-6,7.265e-12,2.913e-11,
263.564,2.631e-5,1.064e-8,4.371e-10,2.631e-5,7.252e-12,2.919e-11,
263.569,1.769e-4,1.064e-8,4.368e-10,1.769e-4,7.239e-12,2.925e-11,
263.574,1.106e-3,1.063e-8,4.365e-10,1.106e-3,7.227e-12,2.931e-11,
263.579,6.442e-3,1.063e-8,4.362e-10,6.442e-3,7.214e-12,2.938e-11,
263.584,3.490e-2,1.062e-8,4.359e-10,3.490e-2,7.201e-12,2.944e-11,
263.589,1.760e-1,1.062e-8,4.356e-10,1.760e-1,7.189e-12,2.950e-11,
263.594,8.258e-1,1.062e-8,4.353e-10,8.258e-1,7.176e-12,2.957e-11,
263.599,3.606e+0,1.061e-8,4.350e-10,3.606e+0,7.163e-12,2.963e-11,
263.604,1.465e+1,1.061e-8,4.348e-10,1.465e+1,7.151e-12,2.969e-11,
263.609,5.542e+1,1.061e-8,4.345e-10,5.542e+1,7.138e-12,2.976e-11,
263.614,1.951e+2,1.060e-8,4.342e-10,1.951e+2,7.125e-12,2.982e-11,
263.619,6.389e+2,1.060e-8,4.339e-10,6.389e+2,7.113e-12,2.988e-11,
263.624,1.947e+3,1.059e-8,4.336e-10,1.947e+3,7.100e-12,2.995e-11,
263.629,5.524e+3,1.059e-8,4.333e-10,5.524e+3,7.087e-12,3.001e-11,
263.634,1.458e+4,1.059e-8,4.330e-10,1.458e+4,7.075e-12,3.007e-11,
263.639,3.582e+4,1.058e-8,4.327e-10,3.582e+4,7.062e-12,3.013e-11,
263.644,8.190e+4,1.058e-8,4.324e-10,8.190e+4,7.049e-12,3.020e-11,
263.649,1.742e+5,1.058e-8,4.321e-10,1.742e+5,7.037e-12,3.026e-11,
263.654,3.450e+5,1.057e-8,4.318e-10,3.450e+5,7.024e-12,3.032e-11,
263.659,6.357e+5,1.057e-8,4.315e-10,6.357e+5,7.011e-12,3.039e-11,
263.664,1.090e+6,1.056e-8,4.312e-10,1.090e+6,6.999e-12,3.045e-11,
263.669,1.740e+6,1.056e-8,4.309e-10,1.740e+6,6.986e-12,3.051e-11,
263.674,2.583e+6,1.056e-8,4.306e-10,2.583e+6,6.973e-12,3.058e-11,
263.679,3.570e+6,1.055e-8,4.303e-10,3.570e+6,6.961e-12,3.064e-11,
263.684,4.592e+6,1.055e-8,4.300e-10,4.592e+6,6.948e-12,3.070e-11,
263.689,5.496e+6,1.055e-8,4.298e-10,5.496e+6,6.935e-12,3.076e-11,
263.694,6.122e+6,1.054e-8,4.295e-10,6.122e+6,6.922e-12,3.083e-11,
263.699,6.346e+6,1.054e-8,4.292e-10,6.346e+6,6.910e-12,3.089e-11,
263.704,6.122e+6,1.053e-8,4.289e-10,6.122e+6,6.897e-12,3.095e-11,
263.709,5.496e+6,1.053e-8,4.286e-10,5.496e+6,6.884e-12,3.102e-11,
263.714,4.592e+6,1.053e-8,4.283e-10,4.592e+6,6.872e-12,3.108e-11,
263.719,3.570e+6,1.052e-8,4.280e-10,3.570e+6,6.859e-12,3.114e-11,
263.724,2.583e+6,1.052e-8,4.277e-10,2.583e+6,6.846e-12,3.121e-11,
263.729,1.740e+6,1.052e-8,4.274e-10,1.740e+6,6.834e-12,3.127e-11,
263.734,1.090e+6,1.051e-8,4.271e-10,1.090e+6,6.821e-12,3.133e-11,
263.739,6.357e+5,1.051e-8,4.268e-10,6.357e+5,6.808e-12,3.140e-11,
263.744,3.450e+5,1.050e-8,4.265e-10,3.450e+5,6.796e-12,3.146e-11,
263.749,1.742e+5,1.050e-8,4.262e-10,1.742e+5,6.783e-12,3.152e-11,
263.754,8.190e+4,1.050e-8,4.259e-10,8.190e+4,6.770e-12,3.158e-11,
263.759,3.582e+4,1.049e-8,4.256e-10,3.582e+4,6.758e-12,3.165e-11,
263.764,1.458e+4,1.049e-8,4.253e-10,1.458e+4,6.745e-12,3.171e-11,
263.769,5.524e+3,1.049e-8,4.250e-10,5.524e+3,6.732e-12,3.177e-11,
263.774,1.947e+3,1.048e-8,4.248e-10,1.947e+3,6.720e-12,3.184e-11,
263.779,6.389e+2,1.048e-8,4.245e-10,6.389e+2,6.707e-12,3.190e-11,
263.784,1.951e+2,1.047e-8,4.242e-10,1.951e+2,6.694e-12,3.196e-11,
263.789,5.542e+1,1.047e-8,4.239e-10,5.542e+1,6.682e-12,3.203e-11,
263.794,1.465e+1,1.047e-8,4.236e-10,1.465e+1,6.669e-12,3.209e-11,
263.799,3.606e+0,1.046e-8,4.233e-10,3.606e+0,6.656e-12,3.215e-11,
263.804,8.258e-1,1.046e-8,4.230e-10,8.258e-1,6.644e-12,3.222e-11,
263.809,1.760e-1,1.046e-8,4.227e-10,1.760e-1,6.631e-12,3.228e-11,
263.814,3.490e-2,1.045e-8,4.224e-10,3.490e-2,6.618e-12,3.234e-11,
263.819,6.442e-3,1.045e-8,4.221e-10,6.442e-3,6.606e-12,3.240e-11,
263.824,1.106e-3,1.044e-8,4.218e-10,1.106e-3,6.593e-12,3.247e-11,
263.829,1.769e-4,1.044e-8,4.215e-10,1.769e-4,6.580e-12,3.253e-11,
263.834,2.631e-5,1.044e-8,4.212e-10,2.631e-5,6.568e-12,3.259e-11,
263.840,2.431e-6,1.043e-8,4.209e-10,2.431e-6,6.552e-12,3.267e-11,
263.845,3.088e-7,1.043e-8,4.206e-10,3.088e-7,6.540e-12,3.273e-11,
263.850,3.649e-8,1.043e-8,4.203e-10,3.649e-8,6.527e-12,3.280e-11,
263.855,4.013e-9,1.042e-8,4.200e-10,4.013e-9,6.514e-12,3.286e-11,
263.860,4.108e-10,1.042e-8,4.197e-10,4.108e-10,6.502e-12,3.292e-11,
263.865,3.912e-11,1.041e-8,4.194e-10,3.912e-11,6.489e-12,3.298e-11,
265.951,1.964e-11,8.853e-9,2.967e-10,1.964e-11,1.200e-12,5.930e-11,
265.956,2.181e-10,8.849e-9,2.964e-10,2.181e-10,1.187e-12,5.936e-11,
265.962,3.572e-9,8.845e-9,2.961e-10,3.572e-9,1.172e-12,5.943e-11,
265.967,3.396e-8,8.841e-9,2.958e-10,3.396e-8,1.159e-12,5.950e-11,
265.972,3.009e-7,8.837e-9,2.955e-10,3.009e-7,1.146e-12,5.956e-11,
265.977,2.484e-6,8.833e-9,2.952e-10,2.484e-6,1.134e-12,5.962e-11,
265.982,1.911e-5,8.830e-9,2.949e-10,1.911e-5,1.121e-12,5.969e-11,
265.987,1.370e-4,8.826e-9,2.946e-10,1.370e-4,1.108e-12,5.975e-11,
265.992,9.151e-4,8.822e-9,2.943e-10,9.151e-4,1.096e-12,5.981e-11,
265.997,5.696e-3,8.818e-9,2.940e-10,5.696e-3,1.083e-12,5.988e-11,
266.002,3.304e-2,8.815e-9,2.937e-10,3.304e-2,1.070e-12,5.994e-11,
266.007,1.786e-1,8.811e-9,2.934e-10,1.786e-1,1.058e-12,6.000e-11,
266.012,8.995e-1,8.807e-9,2.931e-10,8.995e-1,1.045e-12,6.007e-11,
266.017,4.222e+0,8.804e-9,2.928e-10,4.222e+0,1.032e-12,6.013e-11,
266.022,1.846e+1,8.800e-9,2.925e-10,1.846e+1,1.020e-12,6.019e-11,
266.027,7.524e+1,8.796e-9,2.922e-10,7.524e+1,1.007e-12,6.025e-11,
266.032,2.857e+2,8.792e-9,2.919e-10,2.857e+2,9.943e-13,6.032e-11,
266.037,1.011e+3,8.789e-9,2.916e-10,1.011e+3,9.816e-13,6.038e-11,
266.042,3.334e+3,8.785e-9,2.914e-10,3.334e+3,9.689e-13,6.044e-11,
266.047,1.024e+4,8.781e-9,2.911e-10,1.024e+4,9.562e-13,6.051e-11,
266.052,2.933e+4,8.777e-9,2.908e-10,2.933e+4,9.436e-13,6.057e-11,
266.057,7.825e+4,8.774e-9,2.905e-10,7.825e+4,9.309e-13,6.063e-11,
266.062,1.945e+5,8.770e-9,2.902e-10,1.945e+5,9.182e-13,6.070e-11,
266.067,4.507e+5,8.766e-9,2.899e-10,4.507e+5,9.055e-13,6.076e-11,
266.072,9.729e+5,8.762e-9,2.896e-10,9.729e+5,8.929e-13,6.082e-11,
266.077,1.957e+6,8.759e-9,2.893e-10,1.957e+6,8.802e-13,6.088e-11,
266.082,3.668e+6,8.755e-9,2.890e-10,3.668e+6,8.675e-13,6.095e-11,
266.087,6.408e+6,8.751e-9,2.887e-10,6.408e+6,8.548e-13,6.101e-11,
266.092,1.043e+7,8.747e-9,2.884e-10,1.043e+7,8.421e-13,6.107e-11,
266.097,1.582e+7,8.744e-9,2.881e-10,1.582e+7,8.295e-13,6.114e-11,
266.102,2.236e+7,8.740e-9,2.878e-10,2.236e+7,8.168e-13,6.120e-11,
266.107,2.944e+7,8.736e-9,2.875e-10,2.944e+7,8.041e-13,6.126e-11,
266.112,3.613e+7,8.732e-9,2.872e-10,3.613e+7,7.914e-13,6.133e-11,
266.117,4.132e+7,8.729e-9,2.869e-10,4.132e+7,7.788e-13,6.139e-11,
266.122,4.403e+7,8.725e-9,2.866e-10,4.403e+7,7.661e-13,6.145e-11,
266.127,4.372e+7,8.721e-9,2.864e-10,4.372e+7,7.534e-13,6.152e-11,
266.132,4.045e+7,8.717e-9,2.861e-10,4.045e+7,7.407e-13,6.158e-11,
266.137,3.488e+7,8.714e-9,2.858e-10,3.488e+7,7.280e-13,6.164e-11,
266.142,2.802e+7,8.710e-9,2.855e-10,2.802e+7,7.154e-13,6.170e-11,
266.147,2.098e+7,8.706e-9,2.852e-10,2.098e+7,7.027e-13,6.829e-10,
266.152,1.464e+7,8.702e-9,2.849e-10,1.464e+7,6.900e-13,7.043e-9,
266.157,9.515e+6,8.699e-9,2.846e-10,9.515e+6,6.773e-13,6.770e-8,
266.162,5.764e+6,8.695e-9,2.843e-10,5.764e+6,6.647e-13,6.064e-7,
266.167,3.254e+6,8.691e-9,2.840e-10,3.254e+6,6.520e-13,5.062e-6,
266.172,1.711e+6,8.688e-9,2.837e-10,1.711e+6,6.393e-13,3.938e-5,
266.177,8.388e+5,8.684e-9,2.834e-10,8.388e+5,6.266e-13,2.855e-4,
266.182,3.831e+5,8.680e-9,2.831e-10,3.831e+5,6.139e-13,1.929e-3,
266.187,1.631e+5,8.676e-9,2.828e-10,1.631e+5,6.013e-13,1.215e-2,
266.192,6.467e+4,8.673e-9,2.825e-10,6.467e+4,5.886e-13,7.127e-2,
266.197,2.390e+4,8.669e-9,2.822e-10,2.390e+4,5.759e-13,3.898e-1,
266.202,8.232e+3,8.665e-9,2.819e-10,8.230e+3,5.632e-13,1.986e+0,
266.207,2.650e+3,8.661e-9,2.816e-10,2.641e+3,5.506e-13,9.434e+0,
266.212,8.314e+2,8.658e-9,2.814e-10,7.897e+2,5.379e-13,4.175e+1,
266.217,3.923e+2,8.654e-9,2.811e-10,2.200e+2,5.252e-13,1.722e+2,
266.222,7.192e+2,8.650e-9,2.808e-10,5.713e+1,5.125e-13,6.621e+2,
266.227,2.386e+3,8.646e-9,2.805e-10,1.382e+1,4.998e-13,2.372e+3,
266.232,7.921e+3,8.643e-9,2.802e-10,3.116e+0,4.872e-13,7.918e+3,
266.237,2.464e+4,8.639e-9,2.799e-10,6.547e-1,4.745e-13,2.463e+4,
266.242,7.143e+4,8.635e-9,2.796e-10,1.282e-1,4.618e-13,7.143e+4,
266.247,1.930e+5,8.631e-9,2.793e-10,2.338e-2,4.491e-13,1.930e+5,
266.252,4.860e+5,8.628e-9,2.790e-10,3.974e-3,4.365e-13,4.860e+5,
266.257,1.141e+6,8.624e-9,2.787e-10,6.295e-4,4.238e-13,1.141e+6,
266.262,2.494e+6,8.620e-9,2.784e-10,9.291e-5,4.111e-13,2.494e+6,
266.268,5.812e+6,8.616e-9,2.781e-10,8.521e-6,3.959e-13,5.812e+6,
266.273,1.089e+7,8.612e-9,2.778e-10,1.077e-6,3.832e-13,1.089e+7,
266.278,1.900e+7,8.608e-9,2.775e-10,1.268e-7,3.705e-13,1.900e+7,
266.283,3.090e+7,8.604e-9,2.772e-10,1.391e-8,3.578e-13,3.090e+7,
266.288,4.684e+7,8.601e-9,2.769e-10,1.423e-9,3.452e-13,4.684e+7,
266.293,6.617e+7,8.597e-9,2.766e-10,1.355e-10,3.325e-13,6.617e+7,
266.298,8.711e+7,8.593e-9,2.763e-10,1.360e-10,3.198e-13,8.711e+7,
266.303,1.069e+8,8.590e-9,2.760e-10,1.365e-10,3.071e-13,1.069e+8,
266.308,1.222e+8,8.586e-9,2.757e-10,1.369e-10,2.945e-13,1.222e+8,
266.313,1.302e+8,8.582e-9,2.754e-10,1.374e-10,2.818e-13,1.302e+8,
266.318,1.293e+8,8.578e-9,2.751e-10,1.378e-10,2.691e-13,1.293e+8,
266.323,1.196e+8,8.575e-9,2.748e-10,1.383e-10,2.564e-13,1.196e+8,
266.328,1.032e+8,8.571e-9,2.745e-10,1.388e-10,2.829e-12,1.032e+8,
266.333,8.291e+7,8.567e-9,2.742e-10,1.392e-10,2.908e-11,8.291e+7,
266.338,6.210e+7,8.563e-9,2.739e-10,1.397e-10,2.787e-10,6.210e+7,
266.343,4.334e+7,8.560e-9,2.736e-10,1.401e-10,2.489e-9,4.334e+7,
266.348,2.820e+7,8.556e-9,2.734e-10,1.406e-10,2.072e-8,2.820e+7,
266.353,1.709e+7,8.552e-9,2.731e-10,1.410e-10,1.607e-7,1.709e+7,
266.358,9.656e+6,8.548e-9,2.728e-10,1.415e-10,1.162e-6,9.656e+6,
266.363,5.084e+6,8.545e-9,2.725e-10,1.420e-10,7.831e-6,5.084e+6,
266.368,2.494e+6,8.541e-9,2.722e-10,1.424e-10,4.919e-5,2.494e+6,
266.373,1.141e+6,8.537e-9,2.719e-10,1.429e-10,2.879e-4,1.141e+6,
266.378,4.860e+5,8.533e-9,2.716e-10,1.433e-10,1.571e-3,4.860e+5,
266.383,1.930e+5,8.530e-9,2.713e-10,1.438e-10,7.988e-3,1.930e+5,
266.388,7.143e+4,8.526e-9,2.710e-10,1.443e-10,3.786e-2,7.143e+4,
266.393,2.463e+4,8.522e-9,2.707e-10,1.447e-10,1.672e-1,2.463e+4,
266.398,7.919e+3,8.518e-9,2.704e-10,1.452e-10,6.885e-1,7.918e+3,
266.403,2.374e+3,8.515e-9,2.701e-10,1.456e-10,2.642e+0,2.372e+3,
266.408,6.715e+2,8.511e-9,2.698e-10,1.461e-10,9.447e+0,6.621e+2,
266.413,2.037e+2,8.507e-9,2.695e-10,1.465e-10,3.149e+1,1.722e+2,
266.418,1.396e+2,8.503e-9,2.692e-10,1.470e-10,9.781e+1,4.175e+1,
266.423,2.926e+2,8.500e-9,2.689e-10,1.475e-10,2.832e+2,9.434e+0,
266.428,7.662e+2,8.496e-9,2.686e-10,1.479e-10,7.642e+2,1.986e+0,
266.433,1.922e+3,8.492e-9,2.684e-10,1.484e-10,1.922e+3,3.898e-1,
266.438,4.505e+3,8.488e-9,2.681e-10,1.488e-10,4.505e+3,7.127e-2,
266.443,9.842e+3,8.485e-9,2.678e-10,1.493e-10,9.842e+3,1.215e-2,
266.448,2.004e+4,8.481e-9,2.675e-10,1.498e-10,2.004e+4,1.929e-3,
266.453,3.803e+4,8.477e-9,2.672e-10,1.502e-10,3.803e+4,2.855e-4,
266.458,6.727e+4,8.474e-9,2.669e-10,1.507e-10,6.727e+4,3.938e-5,
266.463,1.109e+5,8.470e-9,2.666e-10,1.511e-10,1.109e+5,5.062e-6,
266.468,1.704e+5,8.466e-9,2.663e-10,1.516e-10,1.704e+5,6.064e-7,
266.473,2.440e+5,8.462e-9,2.660e-10,1.521e-10,2.440e+5,6.770e-8,
266.478,3.256e+5,8.459e-9,2.657e-10,1.525e-10,3.256e+5,7.043e-9,
266.483,4.050e+5,8.455e-9,2.654e-10,1.530e-10,4.050e+5,6.829e-10,
266.488,4.695e+5,8.451e-9,2.651e-10,1.534e-10,4.695e+5,6.827e-10,
266.493,5.074e+5,8.447e-9,2.648e-10,1.539e-10,5.074e+5,6.826e-10,
266.498,5.109e+5,8.444e-9,2.645e-10,1.543e-10,5.109e+5,6.824e-10,
266.503,4.796e+5,8.440e-9,2.642e-10,1.548e-10,4.796e+5,6.822e-10,
266.508,4.195e+5,8.436e-9,2.639e-10,1.553e-10,4.195e+5,6.821e-10,
266.513,3.420e+5,8.432e-9,2.636e-10,1.557e-10,3.420e+5,6.819e-10,
266.518,2.599e+5,8.429e-9,2.634e-10,1.562e-10,2.599e+5,6.817e-10,
266.523,1.841e+5,8.425e-9,2.631e-10,1.566e-10,1.841e+5,6.816e-10,
266.528,1.215e+5,8.421e-9,2.628e-10,1.571e-10,1.215e+5,6.814e-10,
266.533,7.476e+4,8.417e-9,2.625e-10,1.576e-10,7.476e+4,6.813e-10,
266.538,4.287e+4,8.414e-9,2.622e-10,1.580e-10,4.287e+4,6.811e-10,
266.543,2.291e+4,8.410e-9,2.619e-10,1.585e-10,2.291e+4,6.809e-10,
266.548,1.141e+4,8.406e-9,2.616e-10,1.589e-10,1.141e+4,6.808e-10,
266.553,5.297e+3,8.402e-9,2.613e-10,1.594e-10,5.297e+3,6.806e-10,
266.558,2.292e+3,8.399e-9,2.610e-10,1.598e-10,2.292e+3,6.804e-10,
266.563,9.242e+2,8.395e-9,2.607e-10,1.603e-10,9.242e+2,6.803e-10,
266.569,2.832e+2,8.390e-9,2.604e-10,1.609e-10,2.832e+2,6.801e-10,
266.574,9.781e+1,8.387e-9,2.601e-10,1.613e-10,9.781e+1,6.799e-10,
266.579,3.149e+1,8.383e-9,2.598e-10,1.618e-10,3.149e+1,6.797e-10,
266.584,9.447e+0,8.379e-9,2.595e-10,1.622e-10,9.447e+0,6.796e-10,
266.589,2.642e+0,8.376e-9,2.592e-10,1.627e-10,2.642e+0,6.794e-10,
266.594,6.885e-1,8.372e-9,2.589e-10,1.632e-10,6.885e-1,6.793e-10,
266.599,1.672e-1,8.368e-9,2.586e-10,1.636e-10,1.672e-1,6.791e-10,
266.604,3.786e-2,8.364e-9,2.583e-10,1.641e-10,3.786e-2,6.789e-10,
266.609,7.988e-3,8.361e-9,2.580e-10,1.645e-10,7.988e-3,6.788e-10,
266.614,1.571e-3,8.357e-9,2.577e-10,1.650e-10,1.571e-3,6.786e-10,
266.619,2.879e-4,8.353e-9,2.574e-10,1.654e-10,2.879e-4,6.784e-10,
266.624,4.919e-5,8.349e-9,2.571e-10,1.659e-10,4.919e-5,6.783e-10,
266.629,7.831e-6,8.346e-9,2.568e-10,1.664e-10,7.831e-6,6.781e-10,
266.634,1.162e-6,8.342e-9,2.565e-10,1.668e-10,1.162e-6,6.779e-10,
266.639,1.607e-7,8.338e-9,2.562e-10,1.673e-10,1.607e-7,6.778e-10,
266.644,2.072e-8,8.334e-9,2.559e-10,1.677e-10,2.072e-8,6.776e-10,
266.649,2.489e-9,8.331e-9,2.557e-10,1.682e-10,2.489e-9,6.774e-10,
266.654,2.787e-10,8.327e-9,2.554e-10,1.687e-10,2.787e-10,6.773e-10,
266.659,2.908e-11,8.323e-9,2.551e-10,1.691e-10,2.908e-11,6.771e-10,
266.664,2.829e-12,8.319e-9,2.548e-10,1.696e-10,2.829e-12,6.770e-10,
268.756,1.317e-10,6.754e-9,1.317e-10,3.615e-10,2.228e-12,6.082e-10,
268.761,1.411e-9,6.750e-9,1.411e-9,3.619e-10,2.226e-12,6.081e-10,
268.766,1.410e-8,6.746e-9,1.410e-8,3.624e-10,2.225e-12,6.079e-10,
268.771,1.316e-7,6.743e-9,1.316e-7,3.628e-10,2.223e-12,6.077e-10,
268.776,1.145e-6,6.739e-9,1.145e-6,3.633e-10,2.222e-12,6.076e-10,
268.781,9.303e-6,6.735e-9,9.303e-6,3.637e-10,2.220e-12,6.074e-10,
268.786,7.052e-5,6.732e-9,7.052e-5,3.642e-10,2.219e-12,6.072e-10,
268.791,4.989e-4,6.728e-9,4.989e-4,3.647e-10,2.217e-12,6.071e-10,
268.796,3.294e-3,6.724e-9,3.294e-3,3.651e-10,2.216e-12,6.069e-10,
268.801,2.029e-2,6.720e-9,2.029e-2,3.656e-10,2.215e-12,6.068e-10,
268.806,1.167e-1,6.717e-9,1.167e-1,3.660e-10,2.213e-12,6.066e-10,
268.811,6.260e-1,6.713e-9,6.260e-1,3.665e-10,2.212e-12,6.064e-10,
268.816,3.134e+0,6.709e-9,3.134e+0,3.670e-10,2.210e-12,6.063e-10,
268.821,1.464e+1,6.705e-9,1.464e+1,3.674e-10,2.209e-12,6.061e-10,
268.826,6.386e+1,6.702e-9,6.386e+1,3.679e-10,2.207e-12,6.059e-10,
268.831,2.598e+2,6.698e-9,2.598e+2,3.683e-10,2.206e-12,6.058e-10,
268.836,9.867e+2,6.694e-9,9.867e+2,3.688e-10,2.205e-12,6.056e-10,
268.841,3.496e+3,6.690e-9,3.496e+3,3.693e-10,2.203e-12,6.054e-10,
268.846,1.156e+4,6.687e-9,1.156e+4,3.697e-10,2.202e-12,6.053e-10,
268.851,3.568e+4,6.683e-9,3.568e+4,3.702e-10,2.200e-12,6.051e-10,
268.856,1.028e+5,6.679e-9,1.028e+5,3.706e-10,2.199e-12,6.049e-10,
268.861,2.762e+5,6.675e-9,2.762e+5,3.711e-10,2.197e-12,6.048e-10,
268.866,6.926e+5,6.672e-9,6.926e+5,3.715e-10,2.196e-12,6.046e-10,
268.871,1.621e+6,6.668e-9,1.621e+6,3.720e-10,2.194e-12,6.045e-10,
268.876,3.541e+6,6.664e-9,3.541e+6,3.725e-10,2.193e-12,6.043e-10,
268.881,7.216e+6,6.660e-9,7.216e+6,3.729e-10,2.192e-12,6.041e-10,
268.886,1.373e+7,6.657e-9,1.373e+7,3.734e-10,2.190e-12,6.040e-10,
268.891,2.436e+7,6.653e-9,2.436e+7,3.738e-10,2.189e-12,6.038e-10,
268.896,4.036e+7,6.649e-9,4.036e+7,3.743e-10,2.187e-12,6.036e-10,
268.901,6.239e+7,6.645e-9,6.239e+7,3.748e-10,2.186e-12,6.035e-10,
268.906,9.000e+7,6.642e-9,9.000e+7,3.752e-10,2.184e-12,6.033e-10,
268.911,1.212e+8,6.638e-9,1.212e+8,3.757e-10,2.183e-12,6.031e-10,
268.916,1.522e+8,6.634e-9,1.522e+8,3.761e-10,2.182e-12,6.030e-10,
268.921,1.784e+8,6.631e-9,1.784e+8,3.766e-10,2.180e-12,6.028e-10,
268.926,1.952e+8,6.627e-9,1.952e+8,3.770e-10,2.179e-12,6.026e-10,
268.931,1.993e+8,6.623e-9,1.993e+8,3.775e-10,2.177e-12,6.025e-10,
268.936,1.899e+8,6.619e-9,1.899e+8,3.780e-10,2.176e-12,6.023e-10,
268.941,1.688e+8,6.616e-9,1.688e+8,3.784e-10,2.174e-12,6.022e-10,
268.946,1.401e+8,6.612e-9,1.401e+8,3.789e-10,2.173e-12,6.020e-10,
268.951,1.085e+8,6.608e-9,1.085e+8,3.793e-10,2.171e-12,6.018e-10,
268.956,7.837e+7,6.604e-9,7.837e+7,3.798e-10,2.170e-12,6.017e-10,
268.961,5.285e+7,6.601e-9,5.285e+7,3.803e-10,2.169e-12,6.015e-10,
268.966,3.326e+7,6.597e-9,3.326e+7,3.807e-10,2.167e-12,6.013e-10,
268.971,1.953e+7,6.593e-9,1.953e+7,3.812e-10,2.166e-12,6.012e-10,
268.976,1.070e+7,6.589e-9,1.070e+7,3.816e-10,2.164e-12,6.010e-10,
268.981,5.473e+6,6.586e-9,5.473e+6,3.821e-10,2.163e-12,6.008e-10,
268.986,2.612e+6,6.582e-9,2.612e+6,3.826e-10,2.161e-12,6.007e-10,
268.991,1.163e+6,6.578e-9,1.163e+6,3.830e-10,2.160e-12,6.005e-10,
268.997,4.023e+5,6.574e-9,4.023e+5,3.836e-10,2.158e-12,6.003e-10,
