Wavelength (nm),Sum(calc),Fe I (3.1e-1),Fe II (6.9e-1),Fe III (1.6e-4),Fe IV (1.1e-14),Fe V (3.3e-34)
199.56,1.239e-17,,,1.239e-17,,
199.58,5.939e-16,,,5.939e-16,,
199.59,9.771e-12,,9.767e-12,3.844e-15,,
199.61,5.117e-10,,5.116e-10,1.406e-13,,
199.63,2.239e-8,,2.238e-8,4.299e-12,,
199.64,1.384e-7,,1.384e-7,2.221e-11,,
199.66,4.624e-6,,4.623e-6,5.183e-10,,
199.67,2.498e-5,,2.498e-5,2.340e-9,,
199.69,6.370e-4,,6.370e-4,4.168e-8,,
199.71,1.357e-2,,1.357e-2,6.202e-7,,
199.72,5.854e-2,,5.854e-2,2.236e-6,,
199.74,9.522e-1,,9.521e-1,2.540e-5,,
199.76,1.294e+1,,1.294e+1,2.409e-4,,
199.77,4.457e+1,,4.457e+1,6.936e-4,,
199.79,4.623e+2,,4.623e+2,5.023e-3,,
199.81,4.005e+3,,4.005e+3,3.039e-2,,
199.82,1.102e+4,,1.102e+4,6.986e-2,,
199.84,7.289e+4,,7.289e+4,3.226e-1,,
199.85,1.752e+5,,1.752e+5,6.480e-1,,
199.87,8.849e+5,,8.849e+5,2.285e+0,,
199.89,3.733e+6,,3.733e+6,6.728e+0,,
199.90,7.167e+6,,7.167e+6,1.079e+1,,
199.92,2.308e+7,,2.308e+7,2.429e+1,,
199.94,6.209e+7,,6.209e+7,4.577e+1,,
199.95,9.520e+7,,9.520e+7,5.885e+1,,
199.97,1.955e+8,,1.955e+8,8.586e+1,,
199.99,3.355e+8,,3.355e+8,1.082e+2,,
200.00,4.107e+8,,4.107e+8,1.167e+2,,
200.02,5.380e+8,,5.380e+8,1.327e+2,,
200.03,5.755e+8,,5.755e+8,1.442e+2,,
200.05,5.755e+8,,5.755e+8,1.859e+2,,
200.07,4.808e+8,,4.808e+8,2.607e+2,,
200.08,4.107e+8,,4.107e+8,3.080e+2,,
200.10,2.619e+8,,2.619e+8,4.047e+2,,
200.12,1.395e+8,,1.395e+8,4.720e+2,,
200.13,9.520e+7,,9.520e+7,4.851e+2,,
200.15,3.872e+7,,3.872e+7,4.648e+2,,
200.17,1.315e+7,,1.315e+7,3.959e+2,,
200.18,7.167e+6,,7.167e+6,3.523e+2,,
200.20,1.859e+6,,1.859e+6,2.672e+2,,
200.21,8.852e+5,,8.849e+5,2.333e+2,,
200.23,1.754e+5,,1.752e+5,2.003e+2,,
200.25,2.922e+4,,2.899e+4,2.374e+2,,
200.26,1.131e+4,,1.102e+4,2.911e+2,,
200.28,1.871e+3,,1.392e+3,4.797e+2,,
200.30,9.068e+2,,1.468e+2,7.600e+2,,
200.31,9.581e+2,,4.457e+1,9.135e+2,,
200.33,1.178e+3,,3.589e+0,1.175e+3,,
200.35,1.278e+3,,2.415e-1,1.278e+3,,
200.36,1.250e+3,,5.888e-2,1.250e+3,,
200.38,1.057e+3,,9.433e-3,1.057e+3,,
200.39,9.203e+2,,2.690e-2,9.203e+2,,
200.41,6.529e+2,,3.835e-1,6.525e+2,,
