Wavelength (nm),Sum(calc),Fe I (3.1e-1),Fe II (6.9e-1),Fe III (1.6e-4),Fe IV (1.1e-14),Fe V (3.3e-34)
200.43,4.941e+2,,4.683e+0,4.894e+2,,
200.44,4.803e+2,,1.530e+1,4.650e+2,,
200.46,6.626e+2,,1.429e+2,5.197e+2,,
200.48,1.769e+3,,1.116e+3,6.521e+2,,
200.49,3.637e+3,,2.918e+3,7.189e+2,,
200.51,1.824e+4,,1.743e+4,8.057e+2,,
200.53,8.790e+4,,8.710e+4,8.023e+2,,
200.54,1.828e+5,,1.821e+5,7.703e+2,,
200.56,6.964e+5,,6.957e+5,6.745e+2,,
200.57,1.272e+6,,1.272e+6,6.235e+2,,
200.59,3.718e+6,,3.717e+6,5.359e+2,,
200.61,9.086e+6,,9.085e+6,4.695e+2,,
200.62,1.328e+7,,1.328e+7,4.392e+2,,
200.64,2.483e+7,,2.483e+7,3.730e+2,,
200.66,3.882e+7,,3.882e+7,3.015e+2,,
200.67,4.539e+7,,4.539e+7,2.715e+2,,
200.69,5.428e+7,,5.428e+7,2.503e+2,,
200.71,5.428e+7,,5.428e+7,3.184e+2,,
200.72,5.076e+7,,5.076e+7,3.944e+2,,
200.74,3.882e+7,,3.882e+7,6.239e+2,,
200.75,3.175e+7,,3.175e+7,7.645e+2,,
200.77,1.857e+7,,1.857e+7,1.045e+3,,
200.79,9.086e+6,,9.085e+6,1.247e+3,,
200.80,5.944e+6,,5.943e+6,1.296e+3,,
200.82,2.225e+6,,2.224e+6,1.280e+3,,
200.84,6.998e+5,,6.987e+5,1.131e+3,,
200.85,3.730e+5,,3.720e+5,1.020e+3,,
200.87,1.398e+5,,1.390e+5,7.658e+2,,
200.89,2.999e+5,,2.994e+5,5.109e+2,,
200.90,6.222e+5,,6.218e+5,3.976e+2,,
200.92,2.556e+6,,2.555e+6,2.168e+2,,
200.93,4.872e+6,,4.872e+6,1.515e+2,,
200.95,1.550e+7,,1.550e+7,6.629e+1,,
200.97,4.128e+7,,4.128e+7,2.639e+1,,
200.98,6.302e+7,,6.302e+7,1.738e+1,,
201.00,1.285e+8,,1.285e+8,1.224e+1,,
201.02,2.192e+8,,2.192e+8,1.784e+1,,
201.03,2.678e+8,,2.678e+8,2.384e+1,,
201.05,3.499e+8,,3.499e+8,4.331e+1,,
201.06,3.740e+8,,3.740e+8,5.780e+1,,
201.08,3.740e+8,,3.740e+8,9.894e+1,,
201.10,3.130e+8,,3.130e+8,1.564e+2,,
201.11,2.678e+8,,2.678e+8,1.891e+2,,
201.13,1.716e+8,,1.716e+8,2.527e+2,,
201.15,9.201e+7,,9.201e+7,2.980e+2,,
201.16,6.302e+7,,6.302e+7,3.098e+2,,
201.18,2.587e+7,,2.587e+7,3.124e+2,,
201.20,8.886e+6,,8.886e+6,2.994e+2,,
201.21,4.872e+6,,4.871e+6,2.930e+2,,
201.23,1.281e+6,,1.281e+6,2.866e+2,,
201.24,6.148e+5,,6.145e+5,2.857e+2,,
201.26,1.240e+5,,1.237e+5,2.792e+2,,
201.28,2.112e+4,,2.086e+4,2.529e+2,,
201.29,8.297e+3,,8.067e+3,2.302e+2,,
201.31,1.782e+3,,1.611e+3,1.711e+2,,
201.33,4.663e+3,,4.553e+3,1.094e+2,,
201.34,1.163e+4,,1.155e+4,8.304e+1,,
201.36,6.782e+4,,6.778e+4,4.606e+1,,
201.38,3.341e+5,,3.341e+5,3.155e+1,,
201.39,6.941e+5,,6.940e+5,3.198e+1,,
201.41,2.622e+6,,2.622e+6,4.580e+1,,
201.42,4.770e+6,,4.770e+6,5.824e+1,,
201.44,1.382e+7,,1.382e+7,9.121e+1,,
201.46,3.351e+7,,3.351e+7,1.284e+2,,
201.47,4.884e+7,,4.884e+7,1.451e+2,,
201.49,9.083e+7,,9.083e+7,1.668e+2,,
201.51,1.415e+8,,1.415e+8,1.657e+2,,
201.52,1.652e+8,,1.652e+8,1.560e+2,,
201.54,1.972e+8,,1.972e+8,1.238e+2,,
201.56,1.972e+8,,1.972e+8,8.657e+1,,
201.57,1.846e+8,,1.846e+8,7.076e+1,,
201.59,1.415e+8,,1.415e+8,5.116e+1,,
201.60,1.159e+8,,1.159e+8,4.842e+1,,
201.62,6.810e+7,,6.810e+7,5.600e+1,,
201.64,3.352e+7,,3.352e+7,7.549e+1,,
201.65,2.200e+7,,2.200e+7,8.701e+1,,
201.67,8.320e+6,,8.320e+6,1.082e+2,,
201.69,2.744e+6,,2.743e+6,1.213e+2,,
201.70,1.653e+6,,1.653e+6,1.236e+2,,
201.72,1.564e+6,,1.563e+6,1.190e+2,,
201.74,4.693e+6,,4.693e+6,1.045e+2,,
201.75,8.425e+6,,8.425e+6,9.526e+1,,
201.77,2.424e+7,,2.424e+7,7.828e+1,,
201.78,3.854e+7,,3.854e+7,7.269e+1,,
201.80,8.533e+7,,8.533e+7,7.073e+1,,
201.82,1.584e+8,,1.584e+8,7.990e+1,,
201.83,2.019e+8,,2.019e+8,8.632e+1,,
201.85,2.875e+8,,2.875e+8,9.582e+1,,
201.87,3.430e+8,,3.430e+8,9.358e+1,,
201.88,3.507e+8,,3.507e+8,8.716e+1,,
201.90,3.212e+8,,3.212e+8,6.658e+1,,
201.92,2.471e+8,,2.471e+8,4.275e+1,,
201.93,2.035e+8,,2.035e+8,3.207e+1,,
201.95,1.242e+8,,1.242e+8,1.581e+1,,
201.96,9.461e+7,,9.461e+7,1.039e+1,,
201.98,6.299e+7,,6.299e+7,3.933e+0,,
202.00,6.867e+7,,6.867e+7,1.250e+0,,
202.01,8.367e+7,,8.367e+7,6.643e-1,,
202.03,1.302e+8,,1.302e+8,1.951e-1,,
202.05,1.824e+8,,1.824e+8,1.768e-1,,
202.06,2.032e+8,,2.032e+8,2.869e-1,,
202.08,2.217e+8,,2.217e+8,8.602e-1,,
202.10,2.030e+8,,2.030e+8,2.261e+0,,
202.11,1.818e+8,,1.818e+8,3.436e+0,,
202.13,1.278e+8,,1.278e+8,6.963e+0,,
202.14,1.003e+8,,1.003e+8,9.288e+0,,
202.16,5.408e+7,,5.408e+7,1.457e+1,,
202.18,2.446e+7,,2.446e+7,1.957e+1,,
202.19,1.540e+7,,1.540e+7,2.162e+1,,
202.21,5.346e+6,,5.346e+6,2.514e+1,,
202.23,1.556e+6,,1.556e+6,3.033e+1,,
202.24,7.857e+5,,7.857e+5,3.498e+1,,
202.26,1.756e+5,,1.755e+5,5.091e+1,,
202.28,3.295e+4,,3.288e+4,7.561e+1,,
202.29,1.341e+4,,1.332e+4,8.951e+1,,
202.31,2.028e+3,,1.915e+3,1.135e+2,,
202.32,8.001e+2,,6.796e+2,1.206e+2,,
202.34,1.950e+2,,7.499e+1,1.200e+2,,
202.36,1.075e+2,,6.938e+0,1.005e+2,,
202.37,8.824e+1,,1.975e+0,8.626e+1,,
202.39,5.627e+1,,1.403e-1,5.613e+1,,
202.41,3.250e+1,,8.352e-3,3.249e+1,,
202.42,2.524e+1,,1.908e-3,2.523e+1,,
202.44,2.225e+1,,8.718e-5,2.225e+1,,
202.46,3.784e+1,,3.340e-6,3.784e+1,,
202.47,5.421e+1,,6.119e-7,5.421e+1,,
202.49,1.074e+2,,1.800e-8,1.074e+2,,
202.50,1.447e+2,,2.889e-9,1.447e+2,,
202.52,2.368e+2,,2.706e-9,2.368e+2,,
202.54,3.374e+2,,2.522e-9,3.374e+2,,
202.55,3.826e+2,,2.431e-9,3.826e+2,,
202.57,4.437e+2,,2.247e-9,4.437e+2,,
202.59,4.483e+2,,2.064e-9,4.483e+2,,
202.60,4.275e+2,,1.973e-9,4.275e+2,,
202.62,3.492e+2,,1.789e-9,3.492e+2,,
202.64,2.461e+2,,1.606e-9,2.461e+2,,
202.65,1.951e+2,,1.514e-9,1.951e+2,,
202.67,1.091e+2,,1.331e-9,1.091e+2,,
202.68,7.683e+1,,1.240e-9,7.683e+1,,
202.70,3.373e+1,,1.056e-9,3.373e+1,,
202.72,1.255e+1,,8.731e-10,1.255e+1,,
202.73,7.196e+0,,7.815e-10,7.196e+0,,
202.75,2.114e+0,,5.983e-10,2.114e+0,,
202.77,6.300e-1,,4.150e-10,6.300e-1,,
202.78,4.557e-1,,3.234e-10,4.557e-1,,
202.80,7.297e-1,,1.401e-10,7.297e-1,,
202.82,2.007e+0,,5.944e-9,2.007e+0,,
202.83,3.300e+0,,3.627e-8,3.300e+0,,
202.85,8.163e+0,,1.184e-6,8.163e+0,,
202.86,1.217e+1,,6.340e-6,1.217e+1,,
202.88,2.407e+1,,1.594e-4,2.407e+1,,
202.90,4.034e+1,,3.367e-3,4.033e+1,,
202.91,4.902e+1,,1.450e-2,4.900e+1,,
202.93,6.385e+1,,2.358e-1,6.361e+1,,
202.95,7.284e+1,,3.221e+0,6.962e+1,,
202.96,7.955e+1,,1.115e+1,6.840e+1,,
202.98,1.760e+2,,1.173e+2,5.866e+1,,
203.00,1.080e+3,,1.036e+3,4.410e+1,,
203.01,2.923e+3,,2.886e+3,3.711e+1,,
203.03,1.966e+4,,1.963e+4,2.657e+1,,
203.04,4.799e+4,,4.796e+4,2.333e+1,,
203.06,2.512e+5,,2.512e+5,1.993e+1,,
203.08,1.105e+6,,1.105e+6,1.810e+1,,
203.09,2.172e+6,,2.172e+6,1.698e+1,,
203.11,7.358e+6,,7.358e+6,1.372e+1,,
203.13,2.094e+7,,2.094e+7,9.552e+0,,
203.14,3.309e+7,,3.309e+7,7.494e+0,,
203.16,7.249e+7,,7.249e+7,4.058e+0,,
203.18,1.334e+8,,1.334e+8,1.848e+0,,
203.19,1.696e+8,,1.696e+8,1.169e+0,,
203.21,2.403e+8,,2.403e+8,4.132e-1,,
203.22,2.679e+8,,2.679e+8,2.358e-1,,
203.24,2.923e+8,,2.923e+8,1.100e-1,,
203.26,2.679e+8,,2.679e+8,2.521e-1,,
203.27,2.403e+8,,2.403e+8,5.017e-1,,
203.29,1.696e+8,,1.696e+8,1.897e+0,,
203.31,1.005e+8,,1.005e+8,6.175e+0,,
203.32,7.249e+7,,7.249e+7,1.050e+1,,
203.34,3.309e+7,,3.309e+7,2.702e+1,,
203.35,2.094e+7,,2.094e+7,4.095e+1,,
203.37,7.358e+6,,7.358e+6,8.414e+1,,
203.39,2.172e+6,,2.172e+6,1.497e+2,,
203.40,1.106e+6,,1.106e+6,1.895e+2,,
203.42,2.561e+5,,2.558e+5,2.745e+2,,
203.44,7.669e+4,,7.634e+4,3.496e+2,,
203.45,8.616e+4,,8.578e+4,3.771e+2,,
203.47,3.189e+5,,3.185e+5,4.049e+2,,
203.49,1.266e+6,,1.266e+6,3.989e+2,,
203.50,2.375e+6,,2.375e+6,3.879e+2,,
203.52,7.341e+6,,7.341e+6,3.630e+2,,
203.53,1.209e+7,,1.209e+7,3.535e+2,,
203.55,2.881e+7,,2.881e+7,3.444e+2,,
203.57,5.770e+7,,5.769e+7,3.427e+2,,
203.58,7.650e+7,,7.650e+7,3.406e+2,,
203.60,1.181e+8,,1.181e+8,3.292e+2,,
203.62,1.532e+8,,1.532e+8,3.147e+2,,
203.63,1.635e+8,,1.635e+8,3.121e+2,,
203.65,1.635e+8,,1.635e+8,3.292e+2,,
203.67,1.374e+8,,1.374e+8,3.799e+2,,
203.68,1.181e+8,,1.181e+8,4.132e+2,,
203.70,7.650e+7,,7.650e+7,4.758e+2,,
203.71,5.770e+7,,5.769e+7,4.968e+2,,
203.73,2.881e+7,,2.881e+7,5.052e+2,,
203.75,1.209e+7,,1.209e+7,4.718e+2,,
203.76,7.341e+6,,7.341e+6,4.454e+2,,
203.78,2.375e+6,,2.375e+6,3.890e+2,,
203.80,6.463e+5,,6.459e+5,3.411e+2,,
203.81,3.162e+5,,3.158e+5,3.226e+2,,
203.83,6.856e+4,,6.827e+4,2.968e+2,,
203.85,2.743e+4,,2.714e+4,2.879e+2,,
203.86,4.410e+4,,4.381e+4,2.906e+2,,
203.88,2.220e+5,,2.217e+5,3.105e+2,,
203.89,4.923e+5,,4.920e+5,3.261e+2,,
203.91,2.138e+6,,2.138e+6,3.609e+2,,
203.93,7.819e+6,,7.819e+6,3.879e+2,,
203.94,1.401e+7,,1.401e+7,3.952e+2,,
203.96,3.954e+7,,3.954e+7,3.980e+2,,
203.98,9.387e+7,,9.387e+7,3.968e+2,,
203.99,1.355e+8,,1.355e+8,4.002e+2,,
204.01,2.482e+8,,2.482e+8,4.199e+2,,
204.03,3.825e+8,,3.825e+8,4.472e+2,,
204.04,4.449e+8,,4.449e+8,4.557e+2,,
204.06,5.289e+8,,5.289e+8,4.458e+2,,
204.07,5.405e+8,,5.405e+8,4.236e+2,,
204.09,4.957e+8,,4.957e+8,3.479e+2,,
204.11,3.825e+8,,3.825e+8,2.490e+2,,
204.12,3.149e+8,,3.149e+8,1.996e+2,,
204.14,1.874e+8,,1.874e+8,1.148e+2,,
204.16,9.387e+7,,9.387e+7,5.686e+1,,
204.17,6.226e+7,,6.226e+7,3.780e+1,,
204.19,2.405e+7,,2.405e+7,1.496e+1,,
204.21,7.819e+6,,7.819e+6,5.433e+0,,
204.22,4.178e+6,,4.178e+6,3.549e+0,,
204.24,1.048e+6,,1.048e+6,3.251e+0,,
204.25,4.918e+5,,4.918e+5,4.556e+0,,
204.27,9.517e+4,,9.515e+4,1.070e+1,,
204.29,1.551e+4,,1.549e+4,2.418e+1,,
204.30,5.892e+3,,5.857e+3,3.522e+1,,
204.32,8.057e+2,,7.356e+2,7.010e+1,,
204.34,2.058e+2,,7.771e+1,1.281e+2,,
204.35,1.909e+2,,2.367e+1,1.673e+2,,
204.37,2.670e+2,,1.930e+0,2.650e+2,,
204.39,3.792e+2,,1.323e-1,3.791e+2,,
204.40,4.364e+2,,3.248e-2,4.364e+2,,
204.42,5.390e+2,,1.718e-3,5.390e+2,,
204.43,5.804e+2,,3.704e-4,5.804e+2,,
204.45,6.390e+2,,1.512e-5,6.390e+2,,
204.47,6.628e+2,,5.193e-7,6.628e+2,,
204.48,6.610e+2,,9.019e-8,6.610e+2,,
204.50,6.288e+2,,2.390e-9,6.288e+2,,
204.52,5.618e+2,,5.327e-11,5.618e+2,,
204.53,5.192e+2,,5.309e-11,5.192e+2,,
204.55,4.270e+2,,5.272e-11,4.270e+2,,
204.57,3.372e+2,,5.236e-11,3.372e+2,,
204.58,2.953e+2,,5.218e-11,2.953e+2,,
204.60,2.178e+2,,5.182e-11,2.178e+2,,
204.61,1.822e+2,,5.164e-11,1.822e+2,,
204.63,1.193e+2,,5.128e-11,1.193e+2,,
204.65,7.139e+1,,5.092e-11,7.139e+1,,
204.66,5.399e+1,,3.418e-10,5.399e+1,,
204.68,3.120e+1,,1.355e-8,3.120e+1,,
204.70,2.002e+1,,4.526e-7,2.002e+1,,
204.71,1.688e+1,,2.453e-6,1.688e+1,,
204.73,1.257e+1,,6.339e-5,1.257e+1,,
204.75,9.088e+0,,1.380e-3,9.087e+0,,
204.76,7.552e+0,,6.041e-3,7.546e+0,,
204.78,5.615e+0,,1.018e-1,5.513e+0,,
204.79,5.896e+0,,3.917e-1,5.504e+0,,
204.81,1.457e+1,,5.104e+0,9.465e+0,,
204.83,7.910e+1,,5.604e+1,2.306e+1,,
204.84,2.098e+2,,1.742e+2,3.562e+1,,
204.86,1.556e+3,,1.479e+3,7.644e+1,,
204.88,1.073e+4,,1.059e+4,1.391e+2,,
204.89,2.675e+4,,2.657e+4,1.761e+2,,
204.91,1.474e+5,,1.471e+5,2.481e+2,,
204.93,6.869e+5,,6.867e+5,2.945e+2,,
204.94,1.391e+6,,1.391e+6,3.009e+2,,
204.96,5.022e+6,,5.022e+6,2.762e+2,,
204.97,8.948e+6,,8.948e+6,2.481e+2,,
204.99,2.499e+7,,2.499e+7,1.761e+2,,
205.01,5.880e+7,,5.880e+7,1.053e+2,,
205.02,8.459e+7,,8.459e+7,7.635e+1,,
205.04,1.540e+8,,1.540e+8,3.530e+1,,
205.06,2.362e+8,,2.362e+8,1.375e+1,,
205.07,2.744e+8,,2.744e+8,8.047e+0,,
205.09,3.256e+8,,3.256e+8,2.424e+0,,
205.11,3.256e+8,,3.256e+8,6.150e-1,,
205.12,3.053e+8,,3.053e+8,2.905e-1,,
205.14,2.362e+8,,2.362e+8,5.700e-2,,
205.15,1.948e+8,,1.948e+8,2.368e-2,,
205.17,1.166e+8,,1.166e+8,3.594e-3,,
205.19,5.880e+7,,5.880e+7,4.739e-4,,
205.20,3.916e+7,,3.916e+7,1.975e-4,,
205.22,1.528e+7,,1.528e+7,3.522e-4,,
205.24,5.022e+6,,5.022e+6,2.202e-3,,
205.25,2.700e+6,,2.700e+6,5.275e-3,,
205.27,6.867e+5,,6.867e+5,2.667e-2,,
205.29,1.479e+5,,1.479e+5,1.137e-1,,
205.30,6.598e+4,,6.598e+4,2.202e-1,,
205.32,2.427e+4,,2.427e+4,7.267e-1,,
205.33,3.680e+4,,3.680e+4,1.238e+0,,
205.35,1.659e+5,,1.659e+5,3.165e+0,,
205.37,7.044e+5,,7.044e+5,6.827e+0,,
205.38,1.363e+6,,1.363e+6,9.410e+0,,
205.40,4.496e+6,,4.496e+6,1.579e+1,,
205.42,1.250e+7,,1.250e+7,2.269e+1,,
205.43,1.955e+7,,1.955e+7,2.590e+1,,
205.45,4.211e+7,,4.211e+7,3.214e+1,,
205.47,7.646e+7,,7.646e+7,4.269e+1,,
205.48,9.666e+7,,9.666e+7,5.337e+1,,
205.50,1.359e+8,,1.359e+8,9.865e+1,,
205.51,1.512e+8,,1.512e+8,1.399e+2,,
205.53,1.647e+8,,1.647e+8,2.749e+2,,
205.55,1.512e+8,,1.512e+8,4.868e+2,,
205.56,1.359e+8,,1.359e+8,6.157e+2,,
205.58,9.666e+7,,9.666e+7,8.837e+2,,
205.60,5.797e+7,,5.796e+7,1.099e+3,,
205.61,4.211e+7,,4.211e+7,1.166e+3,,
205.63,1.956e+7,,1.955e+7,1.200e+3,,
205.65,7.659e+6,,7.658e+6,1.131e+3,,
205.66,4.497e+6,,4.496e+6,1.076e+3,,
205.68,1.364e+6,,1.363e+6,9.595e+2,,
205.69,7.052e+5,,7.043e+5,9.039e+2,,
205.71,1.662e+5,,1.654e+5,7.949e+2,,
205.73,3.344e+4,,3.276e+4,6.824e+2,,
205.74,1.430e+4,,1.367e+4,6.292e+2,,
205.76,2.654e+3,,2.097e+3,5.572e+2,,
205.78,8.481e+2,,2.712e+2,5.769e+2,,
205.79,7.232e+2,,9.150e+1,6.317e+2,,
205.81,8.297e+2,,9.164e+0,8.206e+2,,
205.82,9.401e+2,,2.721e+0,9.374e+2,,
205.84,1.153e+3,,2.110e-1,1.153e+3,,
205.86,1.270e+3,,1.380e-2,1.270e+3,,
205.87,1.279e+3,,3.311e-3,1.279e+3,,
205.89,1.225e+3,,1.677e-4,1.225e+3,,
205.91,1.147e+3,,7.162e-6,1.147e+3,,
205.92,1.123e+3,,1.388e-6,1.123e+3,,
205.94,1.113e+3,,4.792e-8,1.113e+3,,
205.96,1.110e+3,,7.102e-8,1.110e+3,,
205.97,1.093e+3,,3.864e-7,1.093e+3,,
205.99,1.036e+3,,1.044e-5,1.036e+3,,
206.00,1.034e+3,,5.093e-5,1.034e+3,,
206.02,1.316e+3,,1.068e-3,1.316e+3,,
206.04,2.558e+3,,1.891e-2,2.558e+3,,
206.05,3.852e+3,,7.470e-2,3.852e+3,,
206.07,8.532e+3,,1.027e+0,8.531e+3,,
206.09,1.667e+4,,1.191e+1,1.666e+4,,
206.10,2.197e+4,,3.809e+1,2.193e+4,,
206.12,3.392e+4,,3.430e+2,3.357e+4,,
206.14,4.605e+4,,2.608e+3,4.344e+4,,
206.15,5.314e+4,,6.751e+3,4.639e+4,,
206.17,8.646e+4,,3.984e+4,4.662e+4,,
206.18,1.347e+5,,9.084e+4,4.387e+4,,
206.20,4.502e+5,,4.160e+5,3.425e+4,,
206.22,1.631e+6,,1.609e+6,2.260e+4,,
206.23,2.986e+6,,2.969e+6,1.723e+4,,
206.25,8.919e+6,,8.910e+6,8.839e+3,,
206.27,2.258e+7,,2.258e+7,3.835e+3,,
206.28,3.374e+7,,3.374e+7,2.373e+3,,
206.30,6.634e+7,,6.634e+7,8.016e+2,,
206.32,1.102e+8,,1.102e+8,2.294e+2,,
206.33,1.332e+8,,1.332e+8,1.153e+2,,
206.35,1.717e+8,,1.717e+8,2.580e+1,,
206.36,1.829e+8,,1.829e+8,1.151e+1,,
206.38,1.829e+8,,1.829e+8,2.193e+0,,
206.40,1.545e+8,,1.545e+8,8.671e-1,,
206.41,1.333e+8,,1.333e+8,1.044e+0,,
206.43,8.749e+7,,8.749e+7,2.266e+0,,
206.45,4.900e+7,,4.900e+7,4.630e+0,,
206.46,3.499e+7,,3.499e+7,6.247e+0,,
206.48,1.823e+7,,1.823e+7,1.008e+1,,
206.50,1.471e+7,,1.471e+7,1.382e+1,,
206.51,1.709e+7,,1.709e+7,1.522e+1,,
206.53,2.856e+7,,2.856e+7,1.635e+1,,
206.54,3.689e+7,,3.689e+7,1.595e+1,,
206.56,5.569e+7,,5.569e+7,1.364e+1,,
206.58,7.164e+7,,7.164e+7,1.085e+1,,
206.59,7.633e+7,,7.633e+7,1.023e+1,,
206.61,7.646e+7,,7.646e+7,1.400e+1,,
206.63,6.515e+7,,6.515e+7,3.611e+1,,
206.64,5.697e+7,,5.697e+7,6.489e+1,,
206.66,4.091e+7,,4.091e+7,2.207e+2,,
206.68,3.239e+7,,3.239e+7,7.319e+2,,
206.69,3.308e+7,,3.308e+7,1.292e+3,,
206.71,4.654e+7,,4.654e+7,3.679e+3,,
206.72,5.924e+7,,5.923e+7,5.894e+3,,
206.74,9.326e+7,,9.325e+7,1.348e+4,,
206.76,1.293e+8,,1.292e+8,2.627e+4,,
206.77,1.434e+8,,1.434e+8,3.448e+4,,
206.79,1.560e+8,,1.559e+8,5.243e+4,,
206.81,1.435e+8,,1.434e+8,6.744e+4,,
206.82,1.292e+8,,1.291e+8,7.182e+4,,
206.84,9.234e+7,,9.227e+7,7.180e+4,,
206.86,5.585e+7,,5.579e+7,6.068e+4,,
206.87,4.086e+7,,4.081e+7,5.237e+4,,
206.89,1.969e+7,,1.965e+7,3.438e+4,,
206.90,1.332e+7,,1.330e+7,2.616e+4,,
206.92,7.323e+6,,7.309e+6,1.335e+4,,
206.94,7.961e+6,,7.955e+6,5.785e+3,,
206.95,1.012e+7,,1.012e+7,3.598e+3,,
206.97,1.710e+7,,1.710e+7,1.304e+3,,
206.99,2.579e+7,,2.579e+7,5.563e+2,,
207.00,2.985e+7,,2.985e+7,4.537e+2,,
207.02,3.530e+7,,3.529e+7,4.650e+2,,
207.04,3.529e+7,,3.529e+7,5.531e+2,,
207.05,3.314e+7,,3.314e+7,5.831e+2,,
207.07,2.576e+7,,2.576e+7,5.789e+2,,
207.08,2.132e+7,,2.132e+7,5.428e+2,,
207.10,1.288e+7,,1.288e+7,4.214e+2,,
207.12,6.579e+6,,6.579e+6,2.768e+2,,
207.13,4.415e+6,,4.415e+6,2.106e+2,,
207.15,1.753e+6,,1.753e+6,1.076e+2,,
207.17,5.882e+5,,5.881e+5,4.655e+1,,
207.18,3.199e+5,,3.199e+5,2.879e+1,,
207.20,8.346e+4,,8.345e+4,9.790e+0,,
207.22,1.840e+4,,1.840e+4,2.919e+0,,
207.23,8.115e+3,,8.114e+3,1.556e+0,,
207.25,1.391e+3,,1.391e+3,4.951e-1,,
207.26,5.409e+2,,5.406e+2,3.453e-1,,
207.28,7.241e+1,,7.202e+1,3.890e-1,,
207.30,8.990e+0,,8.111e+0,8.791e-1,,
207.31,3.929e+0,,2.556e+0,1.373e+0,,
207.33,3.328e+0,,2.237e-1,3.104e+0,,
207.35,6.056e+0,,1.656e-2,6.039e+0,,
207.36,7.927e+0,,4.229e-3,7.923e+0,,
207.38,1.203e+1,,2.432e-4,1.203e+1,,
207.40,1.547e+1,,1.183e-5,1.547e+1,,
207.41,1.647e+1,,2.449e-6,1.647e+1,,
207.43,1.647e+1,,9.256e-8,1.647e+1,,
207.44,1.547e+1,,1.690e-8,1.547e+1,,
207.46,1.206e+1,,4.964e-10,1.206e+1,,
207.48,8.021e+0,,1.233e-11,8.021e+0,,
207.49,6.220e+0,,1.209e-11,6.220e+0,,
207.51,3.639e+0,,1.163e-11,3.639e+0,,
207.53,2.716e+0,,1.116e-11,2.716e+0,,
207.54,2.876e+0,,1.093e-11,2.876e+0,,
207.56,4.274e+0,,1.047e-11,4.274e+0,,
207.58,6.673e+0,,4.422e-10,6.673e+0,,
207.59,7.997e+0,,2.700e-9,7.997e+0,,
207.61,1.023e+1,,8.888e-8,1.023e+1,,
207.62,1.089e+1,,4.791e-7,1.089e+1,,
