Wavelength (nm),Sum(calc),Cr I (2.7e-2),Cr II (9.7e-1),Cr IV (1.2e-11),Cr V (2.1e-28)
205.15,1.014e-5,,1.014e-5,,
205.16,5.692e-5,,5.692e-5,,
205.18,1.579e-3,,1.579e-3,,
205.20,3.693e-2,,3.693e-2,,
205.21,1.675e-1,,1.675e-1,,
205.23,3.035e+0,,3.035e+0,,
205.25,4.636e+1,,4.636e+1,,
205.27,5.972e+2,,5.972e+2,,
205.28,2.011e+3,,2.011e+3,,
205.30,2.006e+4,,2.006e+4,,
205.32,1.688e+5,,1.688e+5,,
205.33,4.594e+5,,4.594e+5,,
205.35,2.994e+6,,2.994e+6,,
205.37,1.645e+7,,1.645e+7,,
205.38,3.618e+7,,3.618e+7,,
205.40,1.540e+8,,1.540e+8,,
205.42,5.527e+8,,5.527e+8,,
205.44,1.673e+9,,1.673e+9,,
205.45,2.731e+9,,2.731e+9,,
205.47,6.402e+9,,6.402e+9,,
205.49,1.266e+10,,1.266e+10,,
205.50,1.669e+10,,1.669e+10,,
205.52,2.556e+10,,2.556e+10,,
205.54,3.300e+10,,3.300e+10,,
205.55,3.518e+10,,3.518e+10,,
205.57,3.518e+10,,3.518e+10,,
205.59,2.967e+10,,2.967e+10,,
205.61,2.110e+10,,2.110e+10,,
205.62,1.669e+10,,1.669e+10,,
205.64,9.195e+9,,9.195e+9,,
205.66,4.271e+9,,4.271e+9,,
205.67,2.731e+9,,2.731e+9,,
205.69,9.824e+8,,9.824e+8,,
205.71,2.980e+8,,2.980e+8,,
205.72,1.540e+8,,1.540e+8,,
205.74,3.618e+7,,3.618e+7,,
205.76,7.169e+6,,7.169e+6,,
205.78,1.198e+6,,1.198e+6,,
205.79,4.594e+5,,4.594e+5,,
205.81,5.946e+4,,5.946e+4,,
205.83,6.492e+3,,6.492e+3,,
205.84,2.021e+3,,2.021e+3,,
205.86,3.106e+2,,3.106e+2,,
205.88,1.652e+3,,1.652e+3,,
205.89,5.258e+3,,5.258e+3,,
205.91,4.753e+4,,4.753e+4,,
205.93,3.630e+5,,3.630e+5,,
205.95,2.340e+6,,2.340e+6,,
205.96,5.575e+6,,5.575e+6,,
205.98,2.787e+7,,2.787e+7,,
206.00,1.176e+8,,1.176e+8,,
206.01,2.268e+8,,2.268e+8,,
206.03,7.424e+8,,7.424e+8,,
206.05,2.052e+9,,2.052e+9,,
206.06,3.200e+9,,3.200e+9,,
206.08,6.860e+9,,6.860e+9,,
206.10,1.241e+10,,1.241e+10,,
206.12,1.896e+10,,1.896e+10,,
206.13,2.198e+10,,2.198e+10,,
206.15,2.604e+10,,2.604e+10,,
206.17,2.604e+10,,2.604e+10,,
206.18,2.444e+10,,2.444e+10,,
206.20,1.896e+10,,1.896e+10,,
206.22,1.241e+10,,1.241e+10,,
206.23,9.424e+9,,9.424e+9,,
206.25,4.786e+9,,4.786e+9,,
206.27,2.052e+9,,2.052e+9,,
206.29,7.424e+8,,7.424e+8,,
206.30,4.192e+8,,4.192e+8,,
206.32,1.179e+8,,1.179e+8,,
206.34,2.951e+7,,2.951e+7,,
206.35,1.663e+7,,1.663e+7,,
206.37,2.172e+7,,2.172e+7,,
206.39,8.171e+7,,8.171e+7,,
206.40,1.566e+8,,1.566e+8,,
206.42,5.098e+8,,5.098e+8,,
206.44,1.403e+9,,1.403e+9,,
206.46,3.263e+9,,3.263e+9,,
206.47,4.671e+9,,4.671e+9,,
206.49,8.432e+9,,8.432e+9,,
206.51,1.286e+10,,1.286e+10,,
206.52,1.490e+10,,1.490e+10,,
206.54,1.764e+10,,1.764e+10,,
206.56,1.764e+10,,1.764e+10,,
206.57,1.656e+10,,1.656e+10,,
206.59,1.286e+10,,1.286e+10,,
206.61,8.432e+9,,8.432e+9,,
206.62,6.409e+9,,6.409e+9,,
206.64,3.263e+9,,3.263e+9,,
206.66,1.403e+9,,1.403e+9,,
206.68,5.098e+8,,5.098e+8,,
206.69,2.884e+8,,2.884e+8,,
206.71,8.135e+7,,8.135e+7,,
206.73,1.938e+7,,1.938e+7,,
206.74,8.879e+6,,8.879e+6,,
206.76,1.642e+6,,1.642e+6,,
206.78,2.566e+5,,2.566e+5,,
206.79,9.519e+4,,9.519e+4,,
206.81,1.155e+4,,1.155e+4,,
206.83,1.183e+3,,1.183e+3,,
206.85,1.024e+2,,1.024e+2,,
206.86,2.827e+1,,2.827e+1,,
206.88,1.900e+0,,1.900e+0,,
206.90,1.078e-1,,1.078e-1,,
206.91,2.411e-2,,2.411e-2,,
206.93,1.062e-3,,1.062e-3,,
206.95,3.954e-5,,3.954e-5,,
206.96,7.161e-6,,7.161e-6,,
234.95,1.310e-9,1.310e-9,4.199e-6,,
234.96,6.128e-9,6.128e-9,4.198e-6,,
234.98,1.216e-7,1.216e-7,4.196e-6,,
235.00,2.118e-6,2.118e-6,4.194e-6,,
235.01,8.421e-6,8.421e-6,4.193e-6,,
235.03,1.207e-4,1.207e-4,4.191e-6,,
235.05,1.520e-3,1.520e-3,4.189e-6,,
235.06,5.138e-3,5.138e-3,4.188e-6,,
235.08,5.324e-2,5.324e-2,4.186e-6,,
235.10,4.845e-1,4.845e-1,4.184e-6,,
235.12,3.872e+0,3.872e+0,4.181e-6,,
235.13,1.043e+1,1.043e+1,4.180e-6,,
235.15,6.857e+1,6.857e+1,4.178e-6,,
235.17,3.960e+2,3.960e+2,4.176e-6,,
235.18,9.065e+2,9.065e+2,4.175e-6,,
235.20,4.308e+3,4.308e+3,4.173e-6,,
235.22,1.798e+4,1.798e+4,4.171e-6,,
235.23,3.499e+4,3.499e+4,4.170e-6,,
235.25,1.202e+5,1.202e+5,4.168e-6,,
235.27,3.626e+5,3.626e+5,4.166e-6,,
235.29,9.607e+5,9.607e+5,4.163e-6,,
235.30,1.489e+6,1.489e+6,4.162e-6,,
235.32,3.247e+6,3.247e+6,4.160e-6,,
235.34,6.216e+6,6.216e+6,4.158e-6,,
235.35,8.192e+6,8.192e+6,4.157e-6,,
235.37,1.291e+7,1.291e+7,4.155e-6,,
235.39,1.786e+7,1.786e+7,4.153e-6,,
235.40,2.001e+7,2.001e+7,4.152e-6,,
235.42,2.279e+7,2.279e+7,4.150e-6,,
235.44,2.279e+7,2.279e+7,4.148e-6,,
235.46,2.001e+7,2.001e+7,4.145e-6,,
235.47,1.786e+7,1.786e+7,4.144e-6,,
235.49,1.291e+7,1.291e+7,4.142e-6,,
235.51,8.192e+6,8.192e+6,4.140e-6,,
235.52,6.216e+6,6.216e+6,4.139e-6,,
235.54,3.247e+6,3.247e+6,4.137e-6,,
235.56,1.489e+6,1.489e+6,4.135e-6,,
235.57,9.607e+5,9.607e+5,4.134e-6,,
235.59,3.626e+5,3.626e+5,4.132e-6,,
235.61,1.202e+5,1.202e+5,4.130e-6,,
235.63,3.499e+4,3.499e+4,4.127e-6,,
235.64,1.798e+4,1.798e+4,4.126e-6,,
235.66,4.308e+3,4.308e+3,4.124e-6,,
235.68,9.065e+2,9.065e+2,4.122e-6,,
235.69,3.960e+2,3.960e+2,4.121e-6,,
235.71,6.857e+1,6.857e+1,4.119e-6,,
235.73,1.043e+1,1.043e+1,4.117e-6,,
235.74,3.872e+0,3.872e+0,4.116e-6,,
235.76,4.845e-1,4.845e-1,4.114e-6,,
235.78,5.324e-2,5.324e-2,4.112e-6,,
235.80,5.138e-3,5.138e-3,4.110e-6,,
235.81,1.520e-3,1.520e-3,4.108e-6,,
235.83,1.207e-4,1.207e-4,4.106e-6,,
235.85,8.421e-6,8.421e-6,4.104e-6,,
235.86,2.118e-6,2.118e-6,4.103e-6,,
235.88,1.216e-7,1.216e-7,4.101e-6,,
235.90,6.128e-9,6.128e-9,4.099e-6,,
236.00,1.521e-8,1.521e-8,4.088e-6,,
236.02,2.940e-7,2.940e-7,4.086e-6,,
236.03,1.231e-6,1.231e-6,4.085e-6,,
236.05,1.962e-5,1.962e-5,4.083e-6,,
236.07,2.748e-4,2.748e-4,4.081e-6,,
236.08,9.799e-4,9.799e-4,4.080e-6,,
236.10,1.131e-2,1.131e-2,4.078e-6,,
236.12,1.149e-1,1.149e-1,4.076e-6,,
236.14,1.025e+0,1.025e+0,4.074e-6,,
236.15,2.918e+0,2.918e+0,4.072e-6,,
236.17,2.147e+1,2.147e+1,4.070e-6,,
236.19,1.389e+2,1.389e+2,4.068e-6,,
236.20,3.366e+2,3.366e+2,4.067e-6,,
236.22,1.795e+3,1.795e+3,4.065e-6,,
236.24,8.415e+3,8.415e+3,4.063e-6,,
236.25,1.736e+4,1.736e+4,4.062e-6,,
236.27,6.710e+4,6.710e+4,4.060e-6,,
236.29,2.280e+5,2.280e+5,4.058e-6,,
236.31,6.813e+5,6.813e+5,4.056e-6,,
236.32,1.122e+6,1.122e+6,4.054e-6,,
236.34,2.764e+6,2.764e+6,4.052e-6,,
236.36,5.989e+6,5.989e+6,4.050e-6,,
236.37,8.402e+6,8.402e+6,4.049e-6,,
236.39,1.503e+7,1.503e+7,4.047e-6,,
236.41,2.368e+7,2.368e+7,4.045e-6,,
236.42,2.837e+7,2.837e+7,4.044e-6,,
236.44,3.720e+7,3.720e+7,4.042e-6,,
236.46,4.352e+7,4.352e+7,4.040e-6,,
236.48,4.617e+7,4.617e+7,4.038e-6,,
236.49,4.621e+7,4.621e+7,4.037e-6,,
236.51,4.483e+7,4.483e+7,4.034e-6,,
236.53,4.332e+7,4.332e+7,4.032e-6,,
236.54,4.305e+7,4.305e+7,4.031e-6,,
236.56,4.374e+7,4.374e+7,4.029e-6,,
236.58,4.545e+7,4.545e+7,4.027e-6,,
236.59,4.632e+7,4.632e+7,4.026e-6,,
236.61,4.743e+7,4.743e+7,4.024e-6,,
236.63,4.726e+7,4.726e+7,4.022e-6,,
236.65,4.556e+7,4.556e+7,4.020e-6,,
236.66,4.408e+7,4.408e+7,4.019e-6,,
236.68,3.968e+7,3.968e+7,4.016e-6,,
236.70,3.338e+7,3.338e+7,4.014e-6,,
236.71,2.968e+7,2.968e+7,4.013e-6,,
236.73,2.181e+7,2.181e+7,4.011e-6,,
236.75,1.440e+7,1.440e+7,4.009e-6,,
236.76,1.121e+7,1.121e+7,4.008e-6,,
236.78,6.204e+6,6.204e+6,4.006e-6,,
236.80,3.037e+6,3.037e+6,4.004e-6,,
236.82,1.312e+6,1.312e+6,4.002e-6,,
236.83,8.222e+5,8.222e+5,4.001e-6,,
236.85,2.935e+5,2.935e+5,3.998e-6,,
236.87,9.223e+4,9.223e+4,3.996e-6,,
236.88,4.927e+4,4.927e+4,3.995e-6,,
236.90,1.277e+4,1.277e+4,3.993e-6,,
236.92,2.913e+3,2.913e+3,3.991e-6,,
236.93,1.325e+3,1.325e+3,3.990e-6,,
236.95,2.493e+2,2.493e+2,3.988e-6,,
236.97,4.122e+1,4.122e+1,3.986e-6,,
236.99,5.996e+0,5.996e+0,3.984e-6,,
237.00,2.179e+0,2.179e+0,3.983e-6,,
237.02,2.614e-1,2.614e-1,3.980e-6,,
237.04,2.757e-2,2.757e-2,3.978e-6,,
237.05,8.532e-3,8.532e-3,3.977e-6,,
237.07,7.427e-4,7.427e-4,3.975e-6,,
237.09,6.695e-5,6.695e-5,3.973e-6,,
237.10,5.325e-5,5.325e-5,3.972e-6,,
237.12,4.927e-4,4.927e-4,3.970e-6,,
237.14,5.559e-3,5.559e-3,3.968e-6,,
237.16,5.531e-2,5.531e-2,3.966e-6,,
237.17,1.663e-1,1.663e-1,3.965e-6,,
237.19,1.366e+0,1.366e+0,3.962e-6,,
237.21,9.879e+0,9.879e+0,3.960e-6,,
237.22,2.533e+1,2.533e+1,3.959e-6,,
237.24,1.512e+2,1.512e+2,3.957e-6,,
237.26,7.948e+2,7.948e+2,3.955e-6,,
237.27,1.737e+3,1.737e+3,3.954e-6,,
237.29,7.538e+3,7.538e+3,3.952e-6,,
237.31,2.879e+4,2.879e+4,3.950e-6,,
237.33,9.681e+4,9.681e+4,3.948e-6,,
237.34,1.692e+5,1.692e+5,3.947e-6,,
237.36,4.698e+5,4.698e+5,3.944e-6,,
237.38,1.148e+6,1.148e+6,3.942e-6,,
237.39,1.711e+6,1.711e+6,3.941e-6,,
237.41,3.452e+6,3.452e+6,3.939e-6,,
237.43,6.130e+6,6.130e+6,3.937e-6,,
237.44,7.788e+6,7.788e+6,3.936e-6,,
237.46,1.142e+7,1.142e+7,3.934e-6,,
237.48,1.474e+7,1.474e+7,3.932e-6,,
237.50,1.675e+7,1.675e+7,3.930e-6,,
237.51,1.702e+7,1.702e+7,3.929e-6,,
237.53,1.597e+7,1.597e+7,3.926e-6,,
237.55,1.319e+7,1.319e+7,3.924e-6,,
237.56,1.142e+7,1.142e+7,3.923e-6,,
237.58,7.788e+6,7.788e+6,3.921e-6,,
237.60,4.674e+6,4.674e+6,3.919e-6,,
237.61,3.452e+6,3.452e+6,3.918e-6,,
237.63,1.711e+6,1.711e+6,3.916e-6,,
237.65,7.462e+5,7.462e+5,3.914e-6,,
237.67,2.865e+5,2.865e+5,3.912e-6,,
237.68,1.692e+5,1.692e+5,3.911e-6,,
237.70,5.365e+4,5.365e+4,3.908e-6,,
237.72,1.497e+4,1.497e+4,3.906e-6,,
237.73,7.538e+3,7.538e+3,3.905e-6,,
237.75,1.737e+3,1.737e+3,3.903e-6,,
237.77,3.523e+2,3.523e+2,3.901e-6,,
237.78,1.512e+2,1.512e+2,3.900e-6,,
237.80,2.533e+1,2.533e+1,3.898e-6,,
237.82,3.733e+0,3.733e+0,3.896e-6,,
237.84,4.843e-1,4.843e-1,3.894e-6,,
237.85,1.663e-1,1.663e-1,3.893e-6,,
237.87,1.782e-2,1.782e-2,3.891e-6,,
237.89,1.687e-3,1.687e-3,3.888e-6,,
237.90,5.192e-4,5.192e-4,3.887e-6,,
237.92,4.314e-4,4.314e-4,3.885e-6,,
237.94,4.963e-3,4.963e-3,3.883e-6,,
237.95,1.680e-2,1.680e-2,3.882e-6,,
237.97,1.753e-1,1.753e-1,3.880e-6,,
237.99,1.611e+0,1.611e+0,3.878e-6,,
238.01,1.305e+1,1.305e+1,3.876e-6,,
238.02,3.540e+1,3.540e+1,3.875e-6,,
238.04,2.370e+2,2.370e+2,3.873e-6,,
238.06,1.398e+3,1.398e+3,3.870e-6,,
238.07,3.237e+3,3.237e+3,3.869e-6,,
238.09,1.579e+4,1.579e+4,3.867e-6,,
238.11,6.783e+4,6.783e+4,3.865e-6,,
