Wavelength (nm),Sum(calc),Cr I (2.6e-3),Cr II (9.4e-1),Cr IV (1.1e-9),Cr V (2.0e-25)
205.15,9.884e-6,,9.884e-6,,
205.16,5.549e-5,,5.549e-5,,
205.18,1.539e-3,,1.539e-3,,
205.20,3.600e-2,,3.600e-2,,
205.21,1.633e-1,,1.633e-1,,
205.23,2.958e+0,,2.958e+0,,
205.25,4.519e+1,,4.519e+1,,
205.27,5.822e+2,,5.822e+2,,
205.28,1.960e+3,,1.960e+3,,
205.30,1.956e+4,,1.956e+4,,
205.32,1.646e+5,,1.646e+5,,
205.33,4.479e+5,,4.479e+5,,
205.35,2.919e+6,,2.919e+6,,
205.37,1.604e+7,,1.604e+7,,
205.38,3.527e+7,,3.527e+7,,
205.40,1.501e+8,,1.501e+8,,
205.42,5.388e+8,,5.388e+8,,
205.44,1.631e+9,,1.631e+9,,
205.45,2.662e+9,,2.662e+9,,
205.47,6.241e+9,,6.241e+9,,
205.49,1.234e+10,,1.234e+10,,
205.50,1.627e+10,,1.627e+10,,
205.52,2.492e+10,,2.492e+10,,
205.54,3.217e+10,,3.217e+10,,
205.55,3.430e+10,,3.430e+10,,
205.57,3.430e+10,,3.430e+10,,
205.59,2.892e+10,,2.892e+10,,
205.61,2.057e+10,,2.057e+10,,
205.62,1.627e+10,,1.627e+10,,
205.64,8.964e+9,,8.964e+9,,
205.66,4.164e+9,,4.164e+9,,
205.67,2.662e+9,,2.662e+9,,
205.69,9.577e+8,,9.577e+8,,
205.71,2.905e+8,,2.905e+8,,
205.72,1.501e+8,,1.501e+8,,
205.74,3.527e+7,,3.527e+7,,
205.76,6.989e+6,,6.989e+6,,
205.78,1.168e+6,,1.168e+6,,
205.79,4.479e+5,,4.479e+5,,
205.81,5.796e+4,,5.796e+4,,
205.83,6.328e+3,,6.328e+3,,
205.84,1.970e+3,,1.970e+3,,
205.86,3.028e+2,,3.028e+2,,
205.88,1.610e+3,,1.610e+3,,
205.89,5.126e+3,,5.126e+3,,
205.91,4.634e+4,,4.634e+4,,
205.93,3.538e+5,,3.538e+5,,
205.95,2.281e+6,,2.281e+6,,
205.96,5.435e+6,,5.435e+6,,
205.98,2.717e+7,,2.717e+7,,
206.00,1.147e+8,,1.147e+8,,
206.01,2.211e+8,,2.211e+8,,
206.03,7.237e+8,,7.237e+8,,
206.05,2.000e+9,,2.000e+9,,
206.06,3.120e+9,,3.120e+9,,
206.08,6.687e+9,,6.687e+9,,
206.10,1.210e+10,,1.210e+10,,
206.12,1.848e+10,,1.848e+10,,
206.13,2.143e+10,,2.143e+10,,
206.15,2.539e+10,,2.539e+10,,
206.17,2.539e+10,,2.539e+10,,
206.18,2.382e+10,,2.382e+10,,
206.20,1.848e+10,,1.848e+10,,
206.22,1.210e+10,,1.210e+10,,
206.23,9.187e+9,,9.187e+9,,
206.25,4.665e+9,,4.665e+9,,
206.27,2.000e+9,,2.000e+9,,
206.29,7.238e+8,,7.238e+8,,
206.30,4.086e+8,,4.086e+8,,
206.32,1.149e+8,,1.149e+8,,
206.34,2.877e+7,,2.877e+7,,
206.35,1.621e+7,,1.621e+7,,
206.37,2.117e+7,,2.117e+7,,
206.39,7.966e+7,,7.966e+7,,
206.40,1.526e+8,,1.526e+8,,
206.42,4.970e+8,,4.970e+8,,
206.44,1.368e+9,,1.368e+9,,
206.46,3.181e+9,,3.181e+9,,
206.47,4.553e+9,,4.553e+9,,
206.49,8.220e+9,,8.220e+9,,
206.51,1.253e+10,,1.253e+10,,
206.52,1.453e+10,,1.453e+10,,
206.54,1.720e+10,,1.720e+10,,
206.56,1.720e+10,,1.720e+10,,
206.57,1.614e+10,,1.614e+10,,
206.59,1.253e+10,,1.253e+10,,
206.61,8.220e+9,,8.220e+9,,
206.62,6.248e+9,,6.248e+9,,
206.64,3.181e+9,,3.181e+9,,
206.66,1.368e+9,,1.368e+9,,
206.68,4.970e+8,,4.970e+8,,
206.69,2.812e+8,,2.812e+8,,
206.71,7.930e+7,,7.930e+7,,
206.73,1.889e+7,,1.889e+7,,
206.74,8.656e+6,,8.656e+6,,
206.76,1.601e+6,,1.601e+6,,
206.78,2.501e+5,,2.501e+5,,
206.79,9.280e+4,,9.280e+4,,
206.81,1.126e+4,,1.126e+4,,
206.83,1.153e+3,,1.153e+3,,
206.85,9.981e+1,,9.981e+1,,
206.86,2.756e+1,,2.756e+1,,
206.88,1.852e+0,,1.852e+0,,
206.90,1.051e-1,,1.051e-1,,
206.91,2.350e-2,,2.350e-2,,
206.93,1.036e-3,,1.036e-3,,
206.95,3.855e-5,,3.855e-5,,
206.96,6.981e-6,,6.981e-6,,
234.95,1.277e-10,1.277e-10,4.094e-6,,
234.96,5.974e-10,5.974e-10,4.093e-6,,
234.98,1.185e-8,1.185e-8,4.091e-6,,
235.00,2.065e-7,2.065e-7,4.089e-6,,
235.01,8.209e-7,8.209e-7,4.088e-6,,
235.03,1.177e-5,1.177e-5,4.086e-6,,
235.05,1.482e-4,1.482e-4,4.084e-6,,
235.06,5.009e-4,5.009e-4,4.082e-6,,
235.08,5.191e-3,5.191e-3,4.080e-6,,
235.10,4.723e-2,4.723e-2,4.078e-6,,
235.12,3.775e-1,3.775e-1,4.076e-6,,
235.13,1.016e+0,1.016e+0,4.075e-6,,
235.15,6.684e+0,6.684e+0,4.073e-6,,
235.17,3.861e+1,3.861e+1,4.071e-6,,
235.18,8.837e+1,8.837e+1,4.070e-6,,
235.20,4.200e+2,4.200e+2,4.068e-6,,
235.22,1.753e+3,1.753e+3,4.066e-6,,
235.23,3.411e+3,3.411e+3,4.065e-6,,
235.25,1.172e+4,1.172e+4,4.063e-6,,
235.27,3.535e+4,3.535e+4,4.061e-6,,
235.29,9.365e+4,9.365e+4,4.059e-6,,
235.30,1.452e+5,1.452e+5,4.058e-6,,
235.32,3.165e+5,3.165e+5,4.056e-6,,
235.34,6.060e+5,6.060e+5,4.054e-6,,
235.35,7.986e+5,7.986e+5,4.053e-6,,
235.37,1.258e+6,1.258e+6,4.051e-6,,
235.39,1.741e+6,1.741e+6,4.048e-6,,
235.40,1.951e+6,1.951e+6,4.047e-6,,
235.42,2.221e+6,2.221e+6,4.045e-6,,
235.44,2.221e+6,2.221e+6,4.043e-6,,
235.46,1.951e+6,1.951e+6,4.041e-6,,
235.47,1.741e+6,1.741e+6,4.040e-6,,
235.49,1.258e+6,1.258e+6,4.038e-6,,
235.51,7.986e+5,7.986e+5,4.036e-6,,
235.52,6.060e+5,6.060e+5,4.035e-6,,
235.54,3.165e+5,3.165e+5,4.033e-6,,
235.56,1.452e+5,1.452e+5,4.031e-6,,
235.57,9.365e+4,9.365e+4,4.030e-6,,
235.59,3.535e+4,3.535e+4,4.028e-6,,
235.61,1.172e+4,1.172e+4,4.026e-6,,
235.63,3.411e+3,3.411e+3,4.024e-6,,
235.64,1.753e+3,1.753e+3,4.023e-6,,
235.66,4.200e+2,4.200e+2,4.021e-6,,
235.68,8.837e+1,8.837e+1,4.019e-6,,
235.69,3.861e+1,3.861e+1,4.018e-6,,
235.71,6.684e+0,6.684e+0,4.015e-6,,
235.73,1.016e+0,1.016e+0,4.013e-6,,
235.74,3.775e-1,3.775e-1,4.012e-6,,
235.76,4.723e-2,4.723e-2,4.010e-6,,
235.78,5.191e-3,5.191e-3,4.008e-6,,
235.80,5.009e-4,5.009e-4,4.006e-6,,
235.81,1.482e-4,1.482e-4,4.005e-6,,
235.83,1.177e-5,1.177e-5,4.003e-6,,
235.85,8.209e-7,8.209e-7,4.001e-6,,
235.86,2.065e-7,2.065e-7,4.000e-6,,
235.88,1.185e-8,1.185e-8,3.998e-6,,
235.90,5.974e-10,5.974e-10,3.996e-6,,
236.00,1.483e-9,1.483e-9,3.986e-6,,
236.02,2.866e-8,2.866e-8,3.983e-6,,
236.03,1.201e-7,1.201e-7,3.982e-6,,
236.05,1.913e-6,1.913e-6,3.980e-6,,
236.07,2.679e-5,2.679e-5,3.978e-6,,
236.08,9.553e-5,9.553e-5,3.977e-6,,
236.10,1.103e-3,1.103e-3,3.975e-6,,
236.12,1.120e-2,1.120e-2,3.973e-6,,
236.14,9.993e-2,9.993e-2,3.971e-6,,
236.15,2.845e-1,2.845e-1,3.970e-6,,
236.17,2.093e+0,2.093e+0,3.968e-6,,
236.19,1.354e+1,1.354e+1,3.966e-6,,
236.20,3.281e+1,3.281e+1,3.965e-6,,
236.22,1.750e+2,1.750e+2,3.963e-6,,
236.24,8.203e+2,8.203e+2,3.961e-6,,
236.25,1.693e+3,1.693e+3,3.960e-6,,
236.27,6.542e+3,6.542e+3,3.958e-6,,
236.29,2.223e+4,2.223e+4,3.956e-6,,
236.31,6.642e+4,6.642e+4,3.954e-6,,
236.32,1.094e+5,1.094e+5,3.953e-6,,
236.34,2.695e+5,2.695e+5,3.950e-6,,
236.36,5.839e+5,5.839e+5,3.948e-6,,
236.37,8.191e+5,8.191e+5,3.947e-6,,
236.39,1.465e+6,1.465e+6,3.945e-6,,
236.41,2.309e+6,2.309e+6,3.943e-6,,
236.42,2.766e+6,2.766e+6,3.942e-6,,
236.44,3.626e+6,3.626e+6,3.940e-6,,
236.46,4.243e+6,4.243e+6,3.938e-6,,
236.48,4.501e+6,4.501e+6,3.936e-6,,
236.49,4.505e+6,4.505e+6,3.935e-6,,
236.51,4.370e+6,4.370e+6,3.933e-6,,
236.53,4.223e+6,4.223e+6,3.931e-6,,
236.54,4.197e+6,4.197e+6,3.930e-6,,
236.56,4.264e+6,4.264e+6,3.928e-6,,
236.58,4.431e+6,4.431e+6,3.926e-6,,
236.59,4.515e+6,4.515e+6,3.925e-6,,
236.61,4.624e+6,4.624e+6,3.923e-6,,
236.63,4.607e+6,4.607e+6,3.921e-6,,
236.65,4.442e+6,4.442e+6,3.919e-6,,
236.66,4.297e+6,4.297e+6,3.917e-6,,
236.68,3.868e+6,3.868e+6,3.915e-6,,
236.70,3.254e+6,3.254e+6,3.913e-6,,
236.71,2.893e+6,2.893e+6,3.912e-6,,
236.73,2.126e+6,2.126e+6,3.910e-6,,
236.75,1.404e+6,1.404e+6,3.908e-6,,
236.76,1.092e+6,1.092e+6,3.907e-6,,
236.78,6.048e+5,6.048e+5,3.905e-6,,
236.80,2.961e+5,2.961e+5,3.903e-6,,
236.82,1.279e+5,1.279e+5,3.901e-6,,
236.83,8.015e+4,8.015e+4,3.900e-6,,
236.85,2.861e+4,2.861e+4,3.898e-6,,
236.87,8.991e+3,8.991e+3,3.896e-6,,
236.88,4.803e+3,4.803e+3,3.895e-6,,
236.90,1.245e+3,1.245e+3,3.893e-6,,
236.92,2.839e+2,2.839e+2,3.891e-6,,
236.93,1.292e+2,1.292e+2,3.890e-6,,
236.95,2.430e+1,2.430e+1,3.888e-6,,
236.97,4.019e+0,4.019e+0,3.885e-6,,
236.99,5.845e-1,5.845e-1,3.883e-6,,
237.00,2.124e-1,2.124e-1,3.882e-6,,
237.02,2.548e-2,2.548e-2,3.880e-6,,
237.04,2.687e-3,2.687e-3,3.878e-6,,
237.05,8.317e-4,8.317e-4,3.877e-6,,
237.07,7.241e-5,7.241e-5,3.875e-6,,
237.09,6.526e-6,6.526e-6,3.873e-6,,
237.10,5.191e-6,5.191e-6,3.872e-6,,
237.12,4.803e-5,4.803e-5,3.870e-6,,
237.14,5.419e-4,5.419e-4,3.868e-6,,
237.16,5.391e-3,5.391e-3,3.866e-6,,
