Wavelength (nm),Sum(calc),Cr I (8.8e-1),Cr II (1.2e-1),Cr IV (1.2e-23),Cr V (9.8e-51)
235.49,6.786e+7,6.786e+7,7.806e-8,,
235.51,4.307e+7,4.307e+7,7.802e-8,,
235.52,3.268e+7,3.268e+7,7.800e-8,,
235.54,1.707e+7,1.707e+7,7.796e-8,,
235.56,7.830e+6,7.830e+6,7.792e-8,,
235.57,5.051e+6,5.051e+6,7.790e-8,,
235.59,1.906e+6,1.906e+6,7.786e-8,,
235.61,6.320e+5,6.320e+5,7.782e-8,,
235.63,1.840e+5,1.840e+5,7.778e-8,,
235.64,9.455e+4,9.455e+4,7.776e-8,,
235.66,2.265e+4,2.265e+4,7.771e-8,,
235.68,4.766e+3,4.766e+3,7.767e-8,,
235.69,2.082e+3,2.082e+3,7.765e-8,,
235.71,3.605e+2,3.605e+2,7.761e-8,,
235.73,5.481e+1,5.481e+1,7.757e-8,,
235.74,2.036e+1,2.036e+1,7.755e-8,,
235.76,2.547e+0,2.547e+0,7.751e-8,,
235.78,2.799e-1,2.799e-1,7.747e-8,,
235.80,2.701e-2,2.701e-2,7.743e-8,,
235.81,7.993e-3,7.993e-3,7.741e-8,,
235.83,6.348e-4,6.348e-4,7.737e-8,,
235.85,4.427e-5,4.427e-5,7.733e-8,,
235.86,1.114e-5,1.114e-5,7.731e-8,,
235.88,6.392e-7,6.392e-7,7.727e-8,,
235.90,3.222e-8,3.222e-8,7.723e-8,,
236.00,1.242e-7,1.242e-7,7.702e-8,,
236.02,2.400e-6,2.400e-6,7.698e-8,,
236.03,1.005e-5,1.005e-5,7.696e-8,,
236.05,1.602e-4,1.602e-4,7.692e-8,,
236.07,2.243e-3,2.243e-3,7.688e-8,,
236.08,8.000e-3,8.000e-3,7.686e-8,,
236.10,9.237e-2,9.237e-2,7.682e-8,,
236.12,9.377e-1,9.377e-1,7.678e-8,,
236.14,8.369e+0,8.369e+0,7.674e-8,,
236.15,2.382e+1,2.382e+1,7.672e-8,,
236.17,1.753e+2,1.753e+2,7.668e-8,,
236.19,1.134e+3,1.134e+3,7.664e-8,,
236.20,2.748e+3,2.748e+3,7.662e-8,,
236.22,1.465e+4,1.465e+4,7.658e-8,,
236.24,6.870e+4,6.870e+4,7.654e-8,,
236.25,1.417e+5,1.417e+5,7.651e-8,,
236.27,5.478e+5,5.478e+5,7.647e-8,,
236.29,1.862e+6,1.862e+6,7.643e-8,,
