Wavelength (nm),Sum(calc),Cr I (2.2e-1),Cr II (7.8e-1),Cr IV (9.5e-14),Cr V (1.7e-31)
235.49,1.042e+8,1.042e+8,3.343e-6,,
235.51,6.611e+7,6.611e+7,3.341e-6,,
235.52,5.016e+7,5.016e+7,3.340e-6,,
235.54,2.620e+7,2.620e+7,3.338e-6,,
235.56,1.202e+7,1.202e+7,3.337e-6,,
235.57,7.752e+6,7.752e+6,3.336e-6,,
235.59,2.926e+6,2.926e+6,3.334e-6,,
235.61,9.700e+5,9.700e+5,3.332e-6,,
235.63,2.824e+5,2.824e+5,3.331e-6,,
235.64,1.451e+5,1.451e+5,3.330e-6,,
235.66,3.477e+4,3.477e+4,3.328e-6,,
235.68,7.315e+3,7.315e+3,3.326e-6,,
235.69,3.196e+3,3.196e+3,3.325e-6,,
235.71,5.533e+2,5.533e+2,3.324e-6,,
235.73,8.413e+1,8.413e+1,3.322e-6,,
235.74,3.125e+1,3.125e+1,3.321e-6,,
235.76,3.910e+0,3.910e+0,3.320e-6,,
235.78,4.296e-1,4.296e-1,3.318e-6,,
235.80,4.146e-2,4.146e-2,3.316e-6,,
235.81,1.227e-2,1.227e-2,3.315e-6,,
235.83,9.743e-4,9.743e-4,3.314e-6,,
235.85,6.795e-5,6.795e-5,3.312e-6,,
235.86,1.709e-5,1.709e-5,3.311e-6,,
235.88,9.810e-7,9.810e-7,3.309e-6,,
235.90,4.945e-8,4.945e-8,3.308e-6,,
235.91,1.057e-8,1.057e-8,3.307e-6,,
236.00,1.228e-7,1.228e-7,3.299e-6,,
236.02,2.372e-6,2.372e-6,3.297e-6,,
236.03,9.937e-6,9.937e-6,3.296e-6,,
236.05,1.583e-4,1.583e-4,3.295e-6,,
236.07,2.217e-3,2.217e-3,3.293e-6,,
236.08,7.907e-3,7.907e-3,3.292e-6,,
236.10,9.130e-2,9.130e-2,3.290e-6,,
236.12,9.268e-1,9.268e-1,3.289e-6,,
236.14,8.272e+0,8.272e+0,3.287e-6,,
236.15,2.355e+1,2.355e+1,3.286e-6,,
236.17,1.733e+2,1.733e+2,3.285e-6,,
236.19,1.121e+3,1.121e+3,3.283e-6,,
236.20,2.716e+3,2.716e+3,3.282e-6,,
236.22,1.448e+4,1.448e+4,3.280e-6,,
236.24,6.790e+4,6.790e+4,3.279e-6,,
236.25,1.401e+5,1.401e+5,3.278e-6,,
236.27,5.415e+5,5.415e+5,3.276e-6,,
236.29,1.840e+6,1.840e+6,3.274e-6,,
236.31,5.498e+6,5.498e+6,3.273e-6,,
236.32,9.055e+6,9.055e+6,3.272e-6,,
236.34,2.231e+7,2.231e+7,3.270e-6,,
236.36,4.833e+7,4.833e+7,3.268e-6,,
236.37,6.780e+7,6.780e+7,3.267e-6,,
236.39,1.213e+8,1.213e+8,3.266e-6,,
236.41,1.911e+8,1.911e+8,3.264e-6,,
236.42,2.290e+8,2.290e+8,3.263e-6,,
236.44,3.002e+8,3.002e+8,3.261e-6,,
236.46,3.512e+8,3.512e+8,3.260e-6,,
236.48,3.725e+8,3.725e+8,3.258e-6,,
236.49,3.729e+8,3.729e+8,3.257e-6,,
236.51,3.617e+8,3.617e+8,3.255e-6,,
236.53,3.496e+8,3.496e+8,3.254e-6,,
236.54,3.474e+8,3.474e+8,3.253e-6,,
236.56,3.529e+8,3.529e+8,3.251e-6,,
236.58,3.668e+8,3.668e+8,3.250e-6,,
236.59,3.738e+8,3.738e+8,3.249e-6,,
236.61,3.827e+8,3.827e+8,3.247e-6,,
236.63,3.813e+8,3.813e+8,3.245e-6,,
236.65,3.676e+8,3.676e+8,3.244e-6,,
236.66,3.557e+8,3.557e+8,3.243e-6,,
236.68,3.202e+8,3.202e+8,3.241e-6,,
236.70,2.694e+8,2.694e+8,3.239e-6,,
236.71,2.395e+8,2.395e+8,3.238e-6,,
236.73,1.760e+8,1.760e+8,3.237e-6,,
236.75,1.162e+8,1.162e+8,3.235e-6,,
236.76,9.042e+7,9.042e+7,3.234e-6,,
236.78,5.006e+7,5.006e+7,3.232e-6,,
236.80,2.451e+7,2.451e+7,3.231e-6,,
236.82,1.059e+7,1.059e+7,3.229e-6,,
236.83,6.634e+6,6.634e+6,3.228e-6,,
236.85,2.369e+6,2.369e+6,3.226e-6,,
236.87,7.442e+5,7.442e+5,3.225e-6,,
236.88,3.976e+5,3.976e+5,3.224e-6,,
236.90,1.031e+5,1.031e+5,3.222e-6,,
236.92,2.350e+4,2.350e+4,3.220e-6,,
236.93,1.070e+4,1.070e+4,3.220e-6,,
236.95,2.011e+3,2.011e+3,3.218e-6,,
236.97,3.327e+2,3.327e+2,3.216e-6,,
236.99,4.838e+1,4.838e+1,3.215e-6,,
237.00,1.758e+1,1.758e+1,3.214e-6,,
237.02,2.109e+0,2.109e+0,3.212e-6,,
237.04,2.224e-1,2.224e-1,3.210e-6,,
237.05,6.884e-2,6.884e-2,3.209e-6,,
237.07,5.993e-3,5.993e-3,3.208e-6,,
237.09,5.402e-4,5.402e-4,3.206e-6,,
237.10,4.297e-4,4.297e-4,3.205e-6,,
237.12,3.976e-3,3.976e-3,3.203e-6,,
237.14,4.486e-2,4.486e-2,3.202e-6,,
237.16,4.463e-1,4.463e-1,3.200e-6,,
237.17,1.342e+0,1.342e+0,3.199e-6,,
237.19,1.102e+1,1.102e+1,3.197e-6,,
237.21,7.972e+1,7.972e+1,3.196e-6,,
237.22,2.044e+2,2.044e+2,3.195e-6,,
237.24,1.220e+3,1.220e+3,3.193e-6,,
237.26,6.413e+3,6.413e+3,3.191e-6,,
237.27,1.402e+4,1.402e+4,3.191e-6,,
237.29,6.083e+4,6.083e+4,3.189e-6,,
237.31,2.323e+5,2.323e+5,3.187e-6,,
237.33,7.812e+5,7.812e+5,3.185e-6,,
237.34,1.365e+6,1.365e+6,3.185e-6,,
237.36,3.791e+6,3.791e+6,3.183e-6,,
237.38,9.263e+6,9.263e+6,3.181e-6,,
237.39,1.380e+7,1.380e+7,3.180e-6,,
237.41,2.785e+7,2.785e+7,3.179e-6,,
237.43,4.947e+7,4.947e+7,3.177e-6,,
237.44,6.284e+7,6.284e+7,3.176e-6,,
237.46,9.216e+7,9.216e+7,3.174e-6,,
237.48,1.190e+8,1.190e+8,3.173e-6,,
237.50,1.352e+8,1.352e+8,3.171e-6,,
237.51,1.373e+8,1.373e+8,3.170e-6,,
237.53,1.288e+8,1.288e+8,3.168e-6,,
237.55,1.064e+8,1.064e+8,3.167e-6,,
237.56,9.216e+7,9.216e+7,3.166e-6,,
237.58,6.284e+7,6.284e+7,3.164e-6,,
237.60,3.772e+7,3.772e+7,3.162e-6,,
237.61,2.785e+7,2.785e+7,3.162e-6,,
237.63,1.380e+7,1.380e+7,3.160e-6,,
237.65,6.021e+6,6.021e+6,3.158e-6,,
237.67,2.312e+6,2.312e+6,3.156e-6,,
237.68,1.365e+6,1.365e+6,3.156e-6,,
237.70,4.329e+5,4.329e+5,3.154e-6,,
237.72,1.208e+5,1.208e+5,3.152e-6,,
237.73,6.083e+4,6.083e+4,3.151e-6,,
237.75,1.402e+4,1.402e+4,3.150e-6,,
237.77,2.842e+3,2.842e+3,3.148e-6,,
237.78,1.220e+3,1.220e+3,3.147e-6,,
237.80,2.044e+2,2.044e+2,3.145e-6,,
237.82,3.012e+1,3.012e+1,3.144e-6,,
237.84,3.908e+0,3.908e+0,3.142e-6,,
237.85,1.342e+0,1.342e+0,3.141e-6,,
237.87,1.438e-1,1.438e-1,3.139e-6,,
237.89,1.361e-2,1.361e-2,3.138e-6,,
237.90,4.190e-3,4.190e-3,3.137e-6,,
237.92,3.481e-3,3.481e-3,3.135e-6,,
237.94,4.005e-2,4.005e-2,3.133e-6,,
237.95,1.356e-1,1.356e-1,3.133e-6,,
237.97,1.415e+0,1.415e+0,3.131e-6,,
237.99,1.300e+1,1.300e+1,3.129e-6,,
238.01,1.053e+2,1.053e+2,3.127e-6,,
238.02,2.857e+2,2.857e+2,3.127e-6,,
238.04,1.913e+3,1.913e+3,3.125e-6,,
238.06,1.128e+4,1.128e+4,3.123e-6,,
238.07,2.612e+4,2.612e+4,3.122e-6,,
238.09,1.274e+5,1.274e+5,3.121e-6,,
238.11,5.473e+5,5.473e+5,3.119e-6,,
238.12,1.082e+6,1.082e+6,3.118e-6,,
238.14,3.843e+6,3.843e+6,3.116e-6,,
238.16,1.202e+7,1.202e+7,3.115e-6,,
238.18,3.315e+7,3.315e+7,3.113e-6,,
238.19,5.248e+7,5.248e+7,3.112e-6,,
238.21,1.196e+8,1.196e+8,3.110e-6,,
