Wavelength (nm),Sum(calc),Cr I (4.0e-1),Cr II (6.0e-1),Cr IV (3.3e-16),Cr V (2.1e-36)
205.15,4.049e-6,,4.049e-6,,
205.16,2.273e-5,,2.273e-5,,
205.18,6.304e-4,,6.304e-4,,
205.20,1.474e-2,,1.474e-2,,
205.21,6.689e-2,,6.689e-2,,
205.23,1.212e+0,,1.212e+0,,
205.25,1.851e+1,,1.851e+1,,
205.27,2.385e+2,,2.385e+2,,
205.28,8.030e+2,,8.030e+2,,
205.30,8.012e+3,,8.012e+3,,
205.32,6.741e+4,,6.741e+4,,
205.33,1.834e+5,,1.834e+5,,
205.35,1.195e+6,,1.195e+6,,
205.37,6.570e+6,,6.570e+6,,
205.38,1.445e+7,,1.445e+7,,
205.40,6.149e+7,,6.149e+7,,
205.42,2.207e+8,,2.207e+8,,
205.44,6.681e+8,,6.681e+8,,
205.45,1.090e+9,,1.090e+9,,
205.47,2.556e+9,,2.556e+9,,
205.49,5.054e+9,,5.054e+9,,
205.50,6.666e+9,,6.666e+9,,
205.52,1.021e+10,,1.021e+10,,
205.54,1.318e+10,,1.318e+10,,
205.55,1.405e+10,,1.405e+10,,
205.57,1.405e+10,,1.405e+10,,
205.59,1.185e+10,,1.185e+10,,
205.61,8.426e+9,,8.426e+9,,
205.62,6.666e+9,,6.666e+9,,
205.64,3.672e+9,,3.672e+9,,
205.66,1.705e+9,,1.705e+9,,
205.67,1.090e+9,,1.090e+9,,
205.69,3.923e+8,,3.923e+8,,
205.71,1.190e+8,,1.190e+8,,
205.72,6.149e+7,,6.149e+7,,
205.74,1.445e+7,,1.445e+7,,
205.76,2.863e+6,,2.863e+6,,
205.78,4.784e+5,,4.784e+5,,
205.79,1.834e+5,,1.834e+5,,
205.81,2.374e+4,,2.374e+4,,
205.83,2.592e+3,,2.592e+3,,
205.84,8.071e+2,,8.071e+2,,
205.86,1.241e+2,,1.241e+2,,
205.88,6.608e+2,,6.608e+2,,
205.89,2.104e+3,,2.104e+3,,
205.91,1.902e+4,,1.902e+4,,
205.93,1.452e+5,,1.452e+5,,
205.95,9.361e+5,,9.361e+5,,
205.96,2.230e+6,,2.230e+6,,
205.98,1.115e+7,,1.115e+7,,
206.00,4.706e+7,,4.706e+7,,
206.01,9.074e+7,,9.074e+7,,
206.03,2.970e+8,,2.970e+8,,
206.05,8.208e+8,,8.208e+8,,
206.06,1.280e+9,,1.280e+9,,
206.08,2.744e+9,,2.744e+9,,
206.10,4.965e+9,,4.965e+9,,
206.12,7.584e+9,,7.584e+9,,
206.13,8.795e+9,,8.795e+9,,
206.15,1.042e+10,,1.042e+10,,
206.17,1.042e+10,,1.042e+10,,
206.18,9.778e+9,,9.778e+9,,
206.20,7.584e+9,,7.584e+9,,
206.22,4.965e+9,,4.965e+9,,
206.23,3.770e+9,,3.770e+9,,
206.25,1.915e+9,,1.915e+9,,
206.27,8.208e+8,,8.208e+8,,
206.29,2.970e+8,,2.970e+8,,
206.30,1.677e+8,,1.677e+8,,
206.32,4.717e+7,,4.717e+7,,
206.34,1.181e+7,,1.181e+7,,
206.35,6.656e+6,,6.656e+6,,
206.37,8.699e+6,,8.699e+6,,
206.39,3.273e+7,,3.273e+7,,
206.40,6.272e+7,,6.272e+7,,
206.42,2.042e+8,,2.042e+8,,
206.44,5.622e+8,,5.622e+8,,
206.46,1.307e+9,,1.307e+9,,
206.47,1.871e+9,,1.871e+9,,
206.49,3.378e+9,,3.378e+9,,
206.51,5.150e+9,,5.150e+9,,
206.52,5.970e+9,,5.970e+9,,
206.54,7.067e+9,,7.067e+9,,
206.56,7.067e+9,,7.067e+9,,
206.57,6.634e+9,,6.634e+9,,
206.59,5.150e+9,,5.150e+9,,
206.61,3.378e+9,,3.378e+9,,
206.62,2.567e+9,,2.567e+9,,
206.64,1.307e+9,,1.307e+9,,
206.66,5.622e+8,,5.622e+8,,
206.68,2.042e+8,,2.042e+8,,
206.69,1.155e+8,,1.155e+8,,
206.71,3.259e+7,,3.259e+7,,
206.73,7.763e+6,,7.763e+6,,
206.74,3.557e+6,,3.557e+6,,
206.76,6.579e+5,,6.579e+5,,
206.78,1.028e+5,,1.028e+5,,
206.79,3.813e+4,,3.813e+4,,
206.81,4.625e+3,,4.625e+3,,
206.83,4.739e+2,,4.739e+2,,
206.85,4.101e+1,,4.101e+1,,
