Wavelength (nm),Sum(calc),Cr I (1.6e-1),Cr II (8.4e-1),Cr IV (5.2e-17),Cr V (3.2e-39)
205.15,3.096e-6,,3.096e-6,,
205.16,1.738e-5,,1.738e-5,,
205.18,4.821e-4,,4.821e-4,,
205.20,1.128e-2,,1.128e-2,,
205.21,5.116e-2,,5.116e-2,,
205.23,9.267e-1,,9.267e-1,,
205.25,1.416e+1,,1.416e+1,,
205.27,1.824e+2,,1.824e+2,,
205.28,6.141e+2,,6.141e+2,,
205.30,6.127e+3,,6.127e+3,,
205.32,5.156e+4,,5.156e+4,,
205.33,1.403e+5,,1.403e+5,,
205.35,9.142e+5,,9.142e+5,,
205.37,5.024e+6,,5.024e+6,,
205.38,1.105e+7,,1.105e+7,,
205.40,4.703e+7,,4.703e+7,,
205.42,1.688e+8,,1.688e+8,,
205.44,5.109e+8,,5.109e+8,,
205.45,8.339e+8,,8.339e+8,,
205.47,1.955e+9,,1.955e+9,,
205.49,3.865e+9,,3.865e+9,,
205.50,5.098e+9,,5.098e+9,,
205.52,7.805e+9,,7.805e+9,,
205.54,1.008e+10,,1.008e+10,,
205.55,1.074e+10,,1.074e+10,,
205.57,1.074e+10,,1.074e+10,,
205.59,9.060e+9,,9.060e+9,,
205.61,6.443e+9,,6.443e+9,,
205.62,5.098e+9,,5.098e+9,,
205.64,2.808e+9,,2.808e+9,,
205.66,1.304e+9,,1.304e+9,,
205.67,8.339e+8,,8.339e+8,,
205.69,3.000e+8,,3.000e+8,,
205.71,9.101e+7,,9.101e+7,,
205.72,4.703e+7,,4.703e+7,,
205.74,1.105e+7,,1.105e+7,,
205.76,2.189e+6,,2.189e+6,,
205.78,3.658e+5,,3.658e+5,,
205.79,1.403e+5,,1.403e+5,,
205.81,1.816e+4,,1.816e+4,,
205.83,1.982e+3,,1.982e+3,,
205.84,6.172e+2,,6.172e+2,,
205.86,9.502e+1,,9.502e+1,,
205.88,5.066e+2,,5.066e+2,,
205.89,1.613e+3,,1.613e+3,,
205.91,1.458e+4,,1.458e+4,,
205.93,1.113e+5,,1.113e+5,,
205.95,7.176e+5,,7.176e+5,,
205.96,1.710e+6,,1.710e+6,,
205.98,8.549e+6,,8.549e+6,,
206.00,3.608e+7,,3.608e+7,,
206.01,6.956e+7,,6.956e+7,,
206.03,2.277e+8,,2.277e+8,,
206.05,6.292e+8,,6.292e+8,,
206.06,9.816e+8,,9.816e+8,,
206.08,2.104e+9,,2.104e+9,,
206.10,3.806e+9,,3.806e+9,,
206.12,5.814e+9,,5.814e+9,,
206.13,6.743e+9,,6.743e+9,,
206.15,7.987e+9,,7.987e+9,,
206.17,7.987e+9,,7.987e+9,,
206.18,7.496e+9,,7.496e+9,,
206.20,5.814e+9,,5.814e+9,,
206.22,3.806e+9,,3.806e+9,,
206.23,2.890e+9,,2.890e+9,,
206.25,1.468e+9,,1.468e+9,,
206.27,6.292e+8,,6.292e+8,,
206.29,2.277e+8,,2.277e+8,,
206.30,1.286e+8,,1.286e+8,,
206.32,3.616e+7,,3.616e+7,,
206.34,9.054e+6,,9.054e+6,,
206.35,5.104e+6,,5.104e+6,,
206.37,6.678e+6,,6.678e+6,,
206.39,2.513e+7,,2.513e+7,,
206.40,4.816e+7,,4.816e+7,,
206.42,1.568e+8,,1.568e+8,,
206.44,4.316e+8,,4.316e+8,,
206.46,1.004e+9,,1.004e+9,,
206.47,1.437e+9,,1.437e+9,,
206.49,2.593e+9,,2.593e+9,,
206.51,3.955e+9,,3.955e+9,,
206.52,4.584e+9,,4.584e+9,,
206.54,5.427e+9,,5.427e+9,,
206.56,5.427e+9,,5.427e+9,,
206.57,5.094e+9,,5.094e+9,,
206.59,3.955e+9,,3.955e+9,,
206.61,2.593e+9,,2.593e+9,,
206.62,1.971e+9,,1.971e+9,,
206.64,1.004e+9,,1.004e+9,,
206.66,4.316e+8,,4.316e+8,,
206.68,1.568e+8,,1.568e+8,,
206.69,8.872e+7,,8.872e+7,,
206.71,2.502e+7,,2.502e+7,,
206.73,5.961e+6,,5.961e+6,,
206.74,2.731e+6,,2.731e+6,,
206.76,5.051e+5,,5.051e+5,,
206.78,7.892e+4,,7.892e+4,,
206.79,2.928e+4,,2.928e+4,,
206.81,3.551e+3,,3.551e+3,,
206.83,3.639e+2,,3.639e+2,,
206.85,3.149e+1,,3.149e+1,,
206.86,8.696e+0,,8.696e+0,,
206.88,5.843e-1,,5.843e-1,,
206.90,3.316e-2,,3.316e-2,,
206.91,7.416e-3,,7.416e-3,,
206.93,3.268e-4,,3.268e-4,,
206.95,1.216e-5,,1.216e-5,,
206.96,2.202e-6,,2.202e-6,,
234.95,2.860e-9,2.860e-9,1.286e-6,,
234.96,1.337e-8,1.337e-8,1.285e-6,,
234.98,2.653e-7,2.653e-7,1.285e-6,,
235.00,4.623e-6,4.623e-6,1.284e-6,,
235.01,1.838e-5,1.838e-5,1.284e-6,,
235.03,2.635e-4,2.635e-4,1.283e-6,,
235.05,3.318e-3,3.318e-3,1.282e-6,,
235.06,1.121e-2,1.121e-2,1.282e-6,,
235.08,1.162e-1,1.162e-1,1.281e-6,,
235.10,1.057e+0,1.057e+0,1.281e-6,,
235.12,8.450e+0,8.450e+0,1.280e-6,,
235.13,2.275e+1,2.275e+1,1.280e-6,,
235.15,1.496e+2,1.496e+2,1.279e-6,,
235.17,8.642e+2,8.642e+2,1.278e-6,,
235.18,1.978e+3,1.978e+3,1.278e-6,,
235.20,9.403e+3,9.403e+3,1.277e-6,,
235.22,3.925e+4,3.925e+4,1.277e-6,,
235.23,7.637e+4,7.637e+4,1.276e-6,,
235.25,2.623e+5,2.623e+5,1.276e-6,,
235.27,7.914e+5,7.914e+5,1.275e-6,,
235.29,2.097e+6,2.097e+6,1.274e-6,,
235.30,3.250e+6,3.250e+6,1.274e-6,,
235.32,7.086e+6,7.086e+6,1.273e-6,,
235.34,1.357e+7,1.357e+7,1.273e-6,,
235.35,1.788e+7,1.788e+7,1.272e-6,,
235.37,2.817e+7,2.817e+7,1.272e-6,,
235.39,3.898e+7,3.898e+7,1.271e-6,,
235.40,4.367e+7,4.367e+7,1.271e-6,,
235.42,4.973e+7,4.973e+7,1.270e-6,,
235.44,4.973e+7,4.973e+7,1.269e-6,,
235.46,4.367e+7,4.367e+7,1.269e-6,,
235.47,3.898e+7,3.898e+7,1.268e-6,,
235.49,2.817e+7,2.817e+7,1.268e-6,,
235.51,1.788e+7,1.788e+7,1.267e-6,,
235.52,1.357e+7,1.357e+7,1.267e-6,,
235.54,7.086e+6,7.086e+6,1.266e-6,,
235.56,3.250e+6,3.250e+6,1.266e-6,,
235.57,2.097e+6,2.097e+6,1.265e-6,,
235.59,7.914e+5,7.914e+5,1.265e-6,,
235.61,2.623e+5,2.623e+5,1.264e-6,,
235.63,7.637e+4,7.637e+4,1.263e-6,,
235.64,3.925e+4,3.925e+4,1.263e-6,,
235.66,9.403e+3,9.403e+3,1.262e-6,,
235.68,1.978e+3,1.978e+3,1.262e-6,,
235.69,8.642e+2,8.642e+2,1.261e-6,,
235.71,1.496e+2,1.496e+2,1.261e-6,,
235.73,2.275e+1,2.275e+1,1.260e-6,,
235.74,8.450e+0,8.450e+0,1.260e-6,,
235.76,1.057e+0,1.057e+0,1.259e-6,,
235.78,1.162e-1,1.162e-1,1.258e-6,,
235.80,1.121e-2,1.121e-2,1.258e-6,,
235.81,3.318e-3,3.318e-3,1.257e-6,,
235.83,2.635e-4,2.635e-4,1.257e-6,,
235.85,1.838e-5,1.838e-5,1.256e-6,,
235.86,4.623e-6,4.623e-6,1.256e-6,,
235.88,2.653e-7,2.653e-7,1.255e-6,,
235.90,1.337e-8,1.337e-8,1.254e-6,,
236.00,4.292e-8,4.292e-8,1.251e-6,,
236.02,8.294e-7,8.294e-7,1.250e-6,,
236.03,3.474e-6,3.474e-6,1.250e-6,,
236.05,5.535e-5,5.535e-5,1.249e-6,,
236.07,7.752e-4,7.752e-4,1.249e-6,,
236.08,2.764e-3,2.764e-3,1.249e-6,,
236.10,3.192e-2,3.192e-2,1.248e-6,,
236.12,3.240e-1,3.240e-1,1.247e-6,,
236.14,2.892e+0,2.892e+0,1.247e-6,,
236.15,8.232e+0,8.232e+0,1.246e-6,,
236.17,6.057e+1,6.057e+1,1.246e-6,,
236.19,3.918e+2,3.918e+2,1.245e-6,,
236.20,9.495e+2,9.495e+2,1.245e-6,,
