Wavelength (nm),Sum(calc),Cr I (1.9e-2),Cr II (9.8e-1),Cr IV (6.1e-15),Cr V (3.7e-36)
205.15,3.615e-6,,3.615e-6,,
205.16,2.029e-5,,2.029e-5,,
205.18,5.628e-4,,5.628e-4,,
205.20,1.316e-2,,1.316e-2,,
205.21,5.972e-2,,5.972e-2,,
205.23,1.082e+0,,1.082e+0,,
205.25,1.653e+1,,1.653e+1,,
205.27,2.129e+2,,2.129e+2,,
205.28,7.169e+2,,7.169e+2,,
205.30,7.153e+3,,7.153e+3,,
205.32,6.019e+4,,6.019e+4,,
205.33,1.638e+5,,1.638e+5,,
205.35,1.067e+6,,1.067e+6,,
205.37,5.865e+6,,5.865e+6,,
205.38,1.290e+7,,1.290e+7,,
205.40,5.490e+7,,5.490e+7,,
205.42,1.971e+8,,1.971e+8,,
205.44,5.965e+8,,5.965e+8,,
205.45,9.735e+8,,9.735e+8,,
205.47,2.282e+9,,2.282e+9,,
205.49,4.512e+9,,4.512e+9,,
205.50,5.951e+9,,5.951e+9,,
205.52,9.112e+9,,9.112e+9,,
205.54,1.177e+10,,1.177e+10,,
205.55,1.254e+10,,1.254e+10,,
205.57,1.254e+10,,1.254e+10,,
205.59,1.058e+10,,1.058e+10,,
205.61,7.523e+9,,7.523e+9,,
205.62,5.951e+9,,5.951e+9,,
205.64,3.278e+9,,3.278e+9,,
205.66,1.523e+9,,1.523e+9,,
205.67,9.735e+8,,9.735e+8,,
205.69,3.502e+8,,3.502e+8,,
205.71,1.062e+8,,1.062e+8,,
205.72,5.490e+7,,5.490e+7,,
205.74,1.290e+7,,1.290e+7,,
205.76,2.556e+6,,2.556e+6,,
205.78,4.271e+5,,4.271e+5,,
205.79,1.638e+5,,1.638e+5,,
205.81,2.120e+4,,2.120e+4,,
205.83,2.314e+3,,2.314e+3,,
205.84,7.206e+2,,7.206e+2,,
205.86,1.109e+2,,1.109e+2,,
205.88,5.914e+2,,5.914e+2,,
205.89,1.883e+3,,1.883e+3,,
205.91,1.702e+4,,1.702e+4,,
205.93,1.300e+5,,1.300e+5,,
205.95,8.378e+5,,8.378e+5,,
205.96,1.996e+6,,1.996e+6,,
205.98,9.980e+6,,9.980e+6,,
206.00,4.212e+7,,4.212e+7,,
206.01,8.121e+7,,8.121e+7,,
206.03,2.658e+8,,2.658e+8,,
206.05,7.346e+8,,7.346e+8,,
206.06,1.146e+9,,1.146e+9,,
206.08,2.456e+9,,2.456e+9,,
206.10,4.444e+9,,4.444e+9,,
206.12,6.787e+9,,6.787e+9,,
206.13,7.872e+9,,7.872e+9,,
206.15,9.325e+9,,9.325e+9,,
206.17,9.325e+9,,9.325e+9,,
206.18,8.751e+9,,8.751e+9,,
206.20,6.787e+9,,6.787e+9,,
206.22,4.444e+9,,4.444e+9,,
206.23,3.374e+9,,3.374e+9,,
206.25,1.714e+9,,1.714e+9,,
206.27,7.346e+8,,7.346e+8,,
206.29,2.658e+8,,2.658e+8,,
206.30,1.501e+8,,1.501e+8,,
206.32,4.221e+7,,4.221e+7,,
206.34,1.057e+7,,1.057e+7,,
206.35,5.959e+6,,5.959e+6,,
206.37,7.797e+6,,7.797e+6,,
206.39,2.934e+7,,2.934e+7,,
206.40,5.622e+7,,5.622e+7,,
206.42,1.831e+8,,1.831e+8,,
206.44,5.039e+8,,5.039e+8,,
206.46,1.172e+9,,1.172e+9,,
206.47,1.677e+9,,1.677e+9,,
206.49,3.028e+9,,3.028e+9,,
206.51,4.617e+9,,4.617e+9,,
206.52,5.351e+9,,5.351e+9,,
206.54,6.335e+9,,6.335e+9,,
206.56,6.335e+9,,6.335e+9,,
206.57,5.947e+9,,5.947e+9,,
206.59,4.617e+9,,4.617e+9,,
206.61,3.028e+9,,3.028e+9,,
206.62,2.301e+9,,2.301e+9,,
206.64,1.172e+9,,1.172e+9,,
206.66,5.039e+8,,5.039e+8,,
206.68,1.831e+8,,1.831e+8,,
206.69,1.036e+8,,1.036e+8,,
206.71,2.921e+7,,2.921e+7,,
206.73,6.959e+6,,6.959e+6,,
206.74,3.188e+6,,3.188e+6,,
206.76,5.897e+5,,5.897e+5,,
206.78,9.213e+4,,9.213e+4,,
206.79,3.418e+4,,3.418e+4,,
206.81,4.146e+3,,4.146e+3,,
206.83,4.248e+2,,4.248e+2,,
206.85,3.676e+1,,3.676e+1,,
206.86,1.015e+1,,1.015e+1,,
206.88,6.821e-1,,6.821e-1,,
206.90,3.872e-2,,3.872e-2,,
206.91,8.658e-3,,8.658e-3,,
206.93,3.815e-4,,3.815e-4,,
206.95,1.420e-5,,1.420e-5,,
206.96,2.571e-6,,2.571e-6,,
234.95,3.339e-10,3.339e-10,1.501e-6,,
234.96,1.561e-9,1.561e-9,1.500e-6,,
234.98,3.097e-8,3.097e-8,1.500e-6,,
235.00,5.397e-7,5.397e-7,1.499e-6,,
235.01,2.145e-6,2.145e-6,1.499e-6,,
235.03,3.076e-5,3.076e-5,1.498e-6,,
235.05,3.873e-4,3.873e-4,1.497e-6,,
235.06,1.309e-3,1.309e-3,1.497e-6,,
235.08,1.357e-2,1.357e-2,1.496e-6,,
235.10,1.234e-1,1.234e-1,1.495e-6,,
