Wavelength (nm),Sum(calc),Al I (2.1e-1),Al II (7.9e-1),Al III (4.0e-6)
201.18,7.979e-14,,7.979e-14,
201.20,3.711e-12,,3.711e-12,
201.22,1.299e-10,,1.299e-10,
201.23,7.186e-10,,7.186e-10,
201.25,1.928e-8,,1.928e-8,
201.27,4.339e-7,,4.339e-7,
201.28,1.927e-6,,1.927e-6,
201.30,3.331e-5,,3.331e-5,
201.32,4.831e-4,,4.831e-4,
201.33,1.722e-3,,1.722e-3,
201.35,1.920e-2,,1.920e-2,
201.37,1.796e-1,,1.796e-1,
201.38,5.144e-1,,5.144e-1,
201.40,3.701e+0,,3.701e+0,
201.42,2.237e+1,,2.237e+1,
201.43,5.151e+1,,5.151e+1,
201.45,2.398e+2,,2.398e+2,
201.47,9.382e+2,,9.382e+2,
201.48,1.739e+3,,1.739e+3,
201.50,5.249e+3,,5.249e+3,
201.52,1.334e+4,,1.334e+4,
201.53,1.994e+4,,1.994e+4,
201.55,3.917e+4,,3.917e+4,
201.57,6.491e+4,,6.491e+4,
201.58,7.839e+4,,7.839e+4,
201.60,1.007e+5,,1.007e+5,
201.62,1.094e+5,,1.094e+5,
201.63,1.070e+5,,1.070e+5,
201.65,9.043e+4,,9.043e+4,
201.67,6.469e+4,,6.469e+4,
201.68,5.141e+4,,5.141e+4,
201.70,2.868e+4,,2.868e+4,
201.72,1.357e+4,,1.357e+4,
201.73,8.769e+3,,8.769e+3,
201.75,3.237e+3,,3.237e+3,
201.77,1.013e+3,,1.013e+3,
201.78,5.325e+2,,5.325e+2,
201.80,1.299e+2,,1.299e+2,
201.82,2.682e+1,,2.682e+1,
201.83,1.144e+1,,1.144e+1,
201.85,1.837e+0,,1.837e+0,
201.87,2.489e-1,,2.489e-1,
201.88,8.600e-2,,8.600e-2,
201.90,9.051e-3,,9.051e-3,
201.92,1.092e-3,,1.092e-3,
201.93,1.250e-3,,1.250e-3,
201.95,1.109e-2,,1.109e-2,
201.97,1.000e-1,,1.000e-1,
201.98,2.815e-1,,2.815e-1,
202.00,1.953e+0,,1.953e+0,
202.02,1.136e+1,,1.136e+1,
202.03,2.565e+1,,2.565e+1,
202.05,1.146e+2,,1.146e+2,
202.07,4.293e+2,,4.293e+2,
202.08,7.777e+2,,7.777e+2,
202.10,2.237e+3,,2.237e+3,
202.12,5.396e+3,,5.396e+3,
202.13,7.844e+3,,7.844e+3,
202.15,1.453e+4,,1.453e+4,
202.17,2.256e+4,,2.256e+4,
202.18,2.632e+4,,2.632e+4,
202.20,3.139e+4,,3.139e+4,
202.22,3.139e+4,,3.139e+4,
202.23,2.938e+4,,2.938e+4,
202.25,2.256e+4,,2.256e+4,
202.27,1.453e+4,,1.453e+4,
202.28,1.091e+4,,1.091e+4,
202.30,5.396e+3,,5.396e+3,
202.32,2.237e+3,,2.237e+3,
202.33,1.348e+3,,1.348e+3,
202.35,4.293e+2,,4.293e+2,
202.37,1.146e+2,,1.146e+2,
202.38,5.542e+1,,5.542e+1,
202.40,1.136e+1,,1.136e+1,
202.42,1.953e+0,,1.953e+0,
202.43,7.579e-1,,7.579e-1,
202.45,1.000e-1,,1.000e-1,
202.47,1.107e-2,,1.107e-2,
202.48,3.448e-3,,3.448e-3,
202.50,2.930e-4,,2.930e-4,
202.52,2.088e-5,,2.088e-5,
202.53,5.219e-6,,5.219e-6,
202.55,2.856e-7,,2.856e-7,
202.57,1.310e-8,,1.310e-8,
202.58,2.628e-9,,2.628e-9,
202.60,9.259e-11,,9.259e-11,
202.62,2.736e-12,,2.736e-12,
202.63,4.402e-13,,4.402e-13,
206.92,2.681e-24,,4.694e-12,2.681e-24
206.93,1.845e-23,,4.704e-12,1.845e-23
206.95,6.265e-22,,4.724e-12,6.265e-22
206.97,4.743e-12,,4.743e-12,1.801e-20
206.98,2.808e-11,,2.808e-11,9.069e-20
207.00,8.683e-10,,8.683e-10,2.030e-18
207.02,2.271e-8,,2.271e-8,3.846e-17
207.03,1.091e-7,,1.091e-7,1.573e-16
207.05,2.219e-6,,2.219e-6,2.322e-15
207.07,3.819e-5,,3.819e-5,2.901e-14
207.08,1.488e-4,,1.488e-4,9.633e-14
207.10,1.992e-3,,1.992e-3,9.377e-13
207.12,2.256e-2,,2.256e-2,7.729e-12
207.13,7.132e-2,,7.132e-2,2.085e-11
207.15,6.283e-1,,6.283e-1,1.339e-10
207.17,4.683e+0,,4.683e+0,7.283e-10
207.18,1.201e+1,,1.201e+1,1.596e-9
207.20,6.962e+1,,6.962e+1,6.765e-9
207.22,3.414e+2,,3.414e+2,2.429e-8
207.23,7.101e+2,,7.101e+2,4.325e-8
207.25,2.709e+3,,2.709e+3,1.210e-7
207.27,8.744e+3,,8.744e+3,2.870e-7
207.28,1.475e+4,,1.475e+4,4.152e-7
207.30,3.704e+4,,3.704e+4,7.676e-7
207.32,7.867e+4,,7.867e+4,1.202e-6
207.33,1.077e+5,,1.077e+5,1.414e-6
207.35,1.779e+5,,1.779e+5,1.726e-6
207.37,2.487e+5,,2.487e+5,1.786e-6
207.38,2.761e+5,,2.761e+5,1.707e-6
207.40,3.002e+5,,3.002e+5,1.378e-6
207.42,2.761e+5,,2.761e+5,9.419e-7
207.43,2.487e+5,,2.487e+5,7.319e-7
207.45,1.779e+5,,1.779e+5,3.903e-7
207.47,1.077e+5,,1.077e+5,1.763e-7
207.48,7.867e+4,,7.867e+4,1.114e-7
207.50,3.704e+4,,3.704e+4,3.926e-8
