Wavelength (nm),Sum(calc),Al I (5.1e-3),Al II (9.9e-1),Al III (7.3e-3)
207.80,6.458e-8,,6.458e-8,1.986e-17
207.82,2.089e-9,,2.089e-9,1.941e-17
207.83,3.528e-10,,3.528e-10,1.919e-17
208.47,4.942e-18,,1.621e-10,4.942e-18
208.48,3.097e-17,,1.591e-10,3.097e-17
208.50,1.075e-15,,1.531e-10,1.075e-15
208.52,3.162e-14,,1.471e-10,3.162e-14
208.53,1.612e-13,,1.442e-10,1.612e-13
208.55,3.703e-12,,1.382e-10,3.703e-12
208.57,7.214e-11,,1.322e-10,7.214e-11
208.58,2.993e-10,,1.293e-10,2.993e-10
208.60,4.552e-9,,1.233e-10,4.552e-9
208.62,5.870e-8,,1.173e-10,5.870e-8
208.63,1.982e-7,,1.144e-10,1.982e-7
208.65,1.995e-6,,1.084e-10,1.995e-6
208.67,1.704e-5,,1.024e-10,1.704e-5
208.68,4.679e-5,,9.946e-11,4.679e-5
208.70,3.119e-4,,9.350e-11,3.119e-4
208.72,1.763e-3,,8.754e-11,1.763e-3
208.73,3.941e-3,,8.456e-11,3.941e-3
208.75,1.739e-2,,7.859e-11,1.739e-2
208.77,6.509e-2,,7.263e-11,6.509e-2
208.78,1.184e-1,,6.965e-11,1.184e-1
208.80,3.458e-1,,6.369e-11,3.458e-1
208.82,8.569e-1,,5.773e-11,8.569e-1
208.83,1.268e+0,,5.475e-11,1.268e+0
208.85,2.453e+0,,4.879e-11,2.453e+0
208.87,4.023e+0,,4.283e-11,4.023e+0
208.88,4.844e+0,,3.985e-11,4.844e+0
208.90,6.203e+0,,3.389e-11,6.203e+0
208.92,6.737e+0,,2.792e-11,6.737e+0
208.93,6.599e+0,,2.494e-11,6.599e+0
208.95,5.596e+0,,1.898e-11,5.596e+0
208.97,4.023e+0,,1.302e-11,4.023e+0
208.98,3.207e+0,,1.004e-11,3.207e+0
209.00,1.800e+0,,3.717e-10,1.800e+0
209.02,8.569e-1,,1.168e-8,8.569e-1
209.03,5.558e-1,,6.157e-8,5.558e-1
209.05,2.072e-1,,1.512e-6,2.072e-1
209.07,6.873e-2,,3.152e-5,6.870e-2
209.08,4.253e-2,,1.353e-4,4.239e-2
209.10,4.599e-2,,2.205e-3,4.378e-2
209.12,1.639e-1,,3.050e-2,1.334e-1
209.13,3.463e-1,,1.067e-1,2.396e-1
209.15,1.849e+0,,1.154e+0,6.957e-1
209.17,1.231e+1,,1.059e+1,1.718e+0
209.18,3.272e+1,,3.018e+1,2.539e+0
209.20,2.217e+2,,2.168e+2,4.900e+0
209.22,1.330e+3,,1.322e+3,8.025e+0
209.23,3.082e+3,,3.072e+3,9.655e+0
209.25,1.469e+4,,1.468e+4,1.236e+1
209.27,5.968e+4,,5.966e+4,1.341e+1
209.28,1.132e+5,,1.132e+5,1.314e+1
209.30,3.618e+5,,3.617e+5,1.115e+1
209.32,9.868e+5,,9.868e+5,8.025e+0
209.33,1.537e+6,,1.537e+6,6.401e+0
209.35,3.330e+6,,3.330e+6,3.600e+0
209.37,6.221e+6,,6.221e+6,1.718e+0
209.38,8.063e+6,,8.063e+6,1.116e+0
209.40,1.225e+7,,1.225e+7,4.161e-1
209.42,1.641e+7,,1.641e+7,1.316e-1
209.43,1.818e+7,,1.818e+7,6.961e-2
209.45,2.059e+7,,2.059e+7,1.721e-2
209.47,2.108e+7,,2.108e+7,3.609e-3
209.48,2.055e+7,,2.055e+7,1.554e-3
209.50,1.811e+7,,1.811e+7,2.547e-4
209.52,1.436e+7,,1.436e+7,3.542e-5
209.53,1.226e+7,,1.226e+7,1.242e-5
209.55,8.149e+6,,8.149e+6,1.349e-6
209.57,4.763e+6,,4.763e+6,1.244e-7
209.58,3.460e+6,,3.460e+6,3.550e-8
209.60,1.643e+6,,1.643e+6,2.558e-9
209.62,6.747e+5,,6.747e+5,1.563e-10
209.63,4.089e+5,,4.089e+5,3.633e-11
209.65,1.340e+5,,1.340e+5,1.735e-12
209.67,3.766e+4,,3.766e+4,7.030e-14
209.68,1.884e+4,,1.884e+4,1.331e-14
209.70,4.187e+3,,4.187e+3,4.213e-16
209.72,7.947e+2,,7.947e+2,4.205e-16
209.73,3.261e+2,,3.261e+2,4.201e-16
209.75,4.871e+1,,4.871e+1,4.194e-16
209.77,6.194e+0,,6.194e+0,4.186e-16
209.78,2.079e+0,,2.079e+0,4.182e-16
209.80,2.075e-1,,2.075e-1,4.175e-16
209.82,1.761e-2,,1.761e-2,4.167e-16
209.83,4.825e-3,,4.825e-3,4.163e-16
209.85,3.208e-4,,3.208e-4,4.155e-16
209.87,1.812e-5,,1.812e-5,4.148e-16
209.88,4.050e-6,,4.050e-6,4.144e-16
209.90,1.790e-7,,1.790e-7,4.136e-16
209.92,6.675e-9,,6.675e-9,4.129e-16
209.93,1.217e-9,,1.217e-9,4.125e-16
211.38,6.132e-11,6.132e-11,1.037e-9,3.572e-16
211.40,2.092e-9,2.092e-9,1.034e-9,3.565e-16
211.42,6.082e-8,6.082e-8,1.032e-9,3.557e-16
211.43,3.087e-7,3.087e-7,1.030e-9,3.553e-16
211.45,7.054e-6,7.054e-6,1.028e-9,3.545e-16
211.47,1.373e-4,1.373e-4,1.025e-9,3.538e-16
211.48,5.702e-4,5.702e-4,1.024e-9,3.534e-16
211.50,8.723e-3,8.723e-3,1.022e-9,3.526e-16
211.52,1.137e-1,1.137e-1,1.019e-9,3.519e-16
211.53,3.863e-1,3.863e-1,1.018e-9,3.515e-16
211.55,3.957e+0,3.957e+0,1.015e-9,3.507e-16
211.57,3.452e+1,3.452e+1,1.013e-9,3.500e-16
211.58,9.602e+1,9.602e+1,1.012e-9,3.496e-16
211.60,6.585e+2,6.585e+2,1.009e-9,3.488e-16
211.62,3.847e+3,3.847e+3,1.007e-9,3.481e-16
211.63,8.755e+3,8.755e+3,1.005e-9,3.477e-16
211.65,4.020e+4,4.020e+4,1.003e-9,3.469e-16
211.67,1.572e+5,1.572e+5,1.000e-9,3.462e-16
211.68,2.928e+5,2.928e+5,9.991e-10,3.458e-16
211.70,9.003e+5,9.003e+5,9.966e-10,3.450e-16
211.72,2.358e+6,2.358e+6,9.941e-10,3.443e-16
211.73,3.593e+6,3.593e+6,9.929e-10,3.439e-16
211.75,7.396e+6,7.396e+6,9.904e-10,3.431e-16
211.77,1.297e+7,1.297e+7,9.879e-10,3.423e-16
211.78,1.617e+7,1.617e+7,9.866e-10,3.420e-16
211.80,2.229e+7,2.229e+7,9.842e-10,3.412e-16
211.82,2.617e+7,2.617e+7,9.817e-10,3.404e-16
211.83,2.670e+7,2.670e+7,9.804e-10,3.401e-16
211.85,2.464e+7,2.464e+7,9.779e-10,3.393e-16
211.87,1.937e+7,1.937e+7,9.754e-10,3.385e-16
211.88,1.617e+7,1.617e+7,9.742e-10,3.382e-16
211.90,9.992e+6,9.992e+6,9.717e-10,3.374e-16
211.92,5.259e+6,5.259e+6,9.692e-10,3.366e-16
211.93,3.593e+6,3.593e+6,9.679e-10,3.362e-16
211.95,1.486e+6,1.486e+6,9.655e-10,3.355e-16
211.97,5.238e+5,5.238e+5,9.630e-10,3.347e-16
211.98,2.928e+5,2.928e+5,9.617e-10,3.343e-16
212.00,8.112e+4,8.112e+4,9.592e-10,3.336e-16
212.02,1.914e+4,1.914e+4,9.567e-10,3.328e-16
212.03,8.755e+3,8.755e+3,9.555e-10,3.324e-16
212.05,1.627e+3,1.627e+3,9.530e-10,3.317e-16
212.07,2.816e+2,2.816e+2,9.505e-10,3.309e-16
212.08,1.682e+2,1.682e+2,9.492e-10,3.305e-16
212.10,5.435e+2,5.435e+2,9.468e-10,3.298e-16
212.12,3.337e+3,3.337e+3,9.443e-10,3.290e-16
212.13,7.869e+3,7.869e+3,9.430e-10,3.286e-16
212.15,3.886e+4,3.886e+4,9.405e-10,3.279e-16
212.17,1.635e+5,1.635e+5,9.380e-10,3.271e-16
212.18,3.160e+5,3.160e+5,9.368e-10,3.267e-16
212.20,1.047e+6,1.047e+6,9.343e-10,3.260e-16
212.22,2.956e+6,2.956e+6,9.318e-10,3.252e-16
212.23,4.678e+6,4.678e+6,9.306e-10,3.248e-16
212.25,1.040e+7,1.040e+7,9.281e-10,3.240e-16
212.27,1.969e+7,1.969e+7,9.256e-10,3.233e-16
212.28,2.552e+7,2.552e+7,9.243e-10,3.229e-16
212.30,3.805e+7,3.805e+7,9.218e-10,3.221e-16
212.32,4.835e+7,4.835e+7,9.193e-10,3.214e-16
