Wavelength (nm),Sum(calc),Al I (4.9e-2),Al II (9.5e-1),Al III (7.0e-4)
201.19,5.990e-11,,5.990e-11,
201.20,3.789e-10,,3.789e-10,
201.22,1.326e-8,,1.326e-8,
201.24,3.886e-7,,3.886e-7,
201.25,1.969e-6,,1.969e-6,
201.27,4.431e-5,,4.431e-5,
201.29,8.362e-4,,8.362e-4,
201.30,3.401e-3,,3.401e-3,
201.32,4.932e-2,,4.932e-2,
201.34,6.001e-1,,6.001e-1,
201.35,1.960e+0,,1.960e+0,
201.37,1.834e+1,,1.834e+1,
201.39,1.440e+2,,1.440e+2,
201.40,3.779e+2,,3.779e+2,
201.42,2.284e+3,,2.284e+3,
201.44,1.160e+4,,1.160e+4,
201.45,2.448e+4,,2.448e+4,
201.47,9.579e+4,,9.579e+4,
201.49,3.152e+5,,3.152e+5,
201.50,5.360e+5,,5.360e+5,
201.52,1.362e+6,,1.362e+6,
201.54,2.915e+6,,2.915e+6,
201.55,4.000e+6,,4.000e+6,
201.57,6.627e+6,,6.627e+6,
201.59,9.267e+6,,9.267e+6,
201.60,1.029e+7,,1.029e+7,
201.62,1.117e+7,,1.117e+7,
201.64,1.026e+7,,1.026e+7,
201.65,9.233e+6,,9.233e+6,
201.67,6.604e+6,,6.604e+6,
201.69,4.002e+6,,4.002e+6,
201.70,2.928e+6,,2.928e+6,
201.72,1.385e+6,,1.385e+6,
201.74,5.553e+5,,5.553e+5,
201.75,3.305e+5,,3.305e+5,
201.77,1.034e+5,,1.034e+5,
201.79,2.741e+4,,2.741e+4,
201.80,1.326e+4,,1.326e+4,
201.82,2.738e+3,,2.738e+3,
201.84,4.780e+2,,4.780e+2,
201.85,1.875e+2,,1.875e+2,
201.87,2.541e+1,,2.541e+1,
201.89,2.907e+0,,2.907e+0,
201.90,9.234e-1,,9.234e-1,
201.92,1.034e-1,,1.034e-1,
201.94,2.626e-1,,2.626e-1,
201.95,8.252e-1,,8.252e-1,
201.97,7.442e+0,,7.442e+0,
201.99,5.638e+1,,5.638e+1,
202.00,1.453e+2,,1.453e+2,
202.02,8.452e+2,,8.452e+2,
202.04,4.123e+3,,4.123e+3,
202.05,8.525e+3,,8.525e+3,
202.07,3.193e+4,,3.193e+4,
202.09,1.003e+5,,1.003e+5,
202.10,1.664e+5,,1.664e+5,
202.12,4.014e+5,,4.014e+5,
202.14,8.119e+5,,8.119e+5,
202.15,1.081e+6,,1.081e+6,
202.17,1.679e+6,,1.679e+6,
202.19,2.186e+6,,2.186e+6,
202.20,2.335e+6,,2.335e+6,
202.22,2.335e+6,,2.335e+6,
202.24,1.958e+6,,1.958e+6,
202.25,1.679e+6,,1.679e+6,
202.27,1.081e+6,,1.081e+6,
202.29,5.836e+5,,5.836e+5,
202.30,4.014e+5,,4.014e+5,
202.32,1.664e+5,,1.664e+5,
202.34,5.786e+4,,5.786e+4,
202.35,3.193e+4,,3.193e+4,
202.37,8.525e+3,,8.525e+3,
202.39,1.908e+3,,1.908e+3,
202.40,8.452e+2,,8.452e+2,
202.42,1.453e+2,,1.453e+2,
202.44,2.094e+1,,2.094e+1,
202.45,7.442e+0,,7.442e+0,
202.47,8.237e-1,,8.237e-1,
202.49,7.644e-2,,7.644e-2,
202.50,2.180e-2,,2.180e-2,
202.52,1.554e-3,,1.554e-3,
202.54,9.284e-5,,9.284e-5,
202.55,2.125e-5,,2.125e-5,
202.57,9.749e-7,,9.749e-7,
202.59,3.751e-8,,3.751e-8,
202.60,6.888e-9,,6.888e-9,
202.62,2.035e-10,,2.035e-10,
202.64,5.042e-12,,5.042e-12,
206.92,3.581e-19,,3.357e-10,3.581e-19
206.94,1.466e-17,,3.373e-10,1.466e-17
206.95,8.366e-17,,3.381e-10,8.366e-17
206.97,3.396e-10,,3.396e-10,2.405e-15
206.99,1.142e-8,,1.142e-8,5.851e-14
207.00,6.217e-8,,6.217e-8,2.711e-13
207.02,1.626e-6,,1.626e-6,5.137e-12
207.04,3.597e-5,,3.597e-5,8.240e-11
207.05,1.589e-4,,1.589e-4,3.100e-10
207.07,2.734e-3,,2.734e-3,3.874e-9
207.09,3.981e-2,,3.981e-2,4.098e-8
207.10,1.426e-1,,1.426e-1,1.252e-7
207.12,1.615e+0,,1.615e+0,1.032e-6
207.14,1.548e+1,,1.548e+1,7.205e-6
207.15,4.499e+1,,4.499e+1,1.788e-5
207.17,3.353e+2,,3.353e+2,9.727e-5
207.19,2.114e+3,,2.114e+3,4.481e-4
207.20,4.984e+3,,4.984e+3,9.035e-4
207.22,2.444e+4,,2.444e+4,3.244e-3
207.24,1.014e+5,,1.014e+5,9.866e-3
207.25,1.940e+5,,1.940e+5,1.617e-2
207.27,6.260e+5,,6.260e+5,3.833e-2
207.29,1.709e+6,,1.709e+6,7.698e-2
207.30,2.652e+6,,2.652e+6,1.025e-1
207.32,5.632e+6,,5.632e+6,1.605e-1
207.34,1.012e+7,,1.012e+7,2.130e-1
