Wavelength (nm),Sum(calc),Al I (5.1e-1),Al II (4.9e-1),Al III (3.9e-6)
201.18,5.857e-13,,5.857e-13,
201.20,2.724e-11,,2.724e-11,
201.22,9.532e-10,,9.532e-10,
201.23,5.275e-9,,5.275e-9,
201.25,1.415e-7,,1.415e-7,
201.27,3.185e-6,,3.185e-6,
201.28,1.414e-5,,1.414e-5,
201.30,2.445e-4,,2.445e-4,
201.32,3.546e-3,,3.546e-3,
201.33,1.264e-2,,1.264e-2,
201.35,1.409e-1,,1.409e-1,
201.37,1.318e+0,,1.318e+0,
201.38,3.775e+0,,3.775e+0,
201.40,2.717e+1,,2.717e+1,
201.42,1.642e+2,,1.642e+2,
201.43,3.781e+2,,3.781e+2,
201.45,1.760e+3,,1.760e+3,
201.47,6.886e+3,,6.886e+3,
201.48,1.276e+4,,1.276e+4,
201.50,3.853e+4,,3.853e+4,
201.52,9.790e+4,,9.790e+4,
201.53,1.463e+5,,1.463e+5,
201.55,2.875e+5,,2.875e+5,
201.57,4.764e+5,,4.764e+5,
201.58,5.754e+5,,5.754e+5,
201.60,7.394e+5,,7.394e+5,
201.62,8.029e+5,,8.029e+5,
201.63,7.857e+5,,7.857e+5,
201.65,6.638e+5,,6.638e+5,
201.67,4.748e+5,,4.748e+5,
201.68,3.773e+5,,3.773e+5,
201.70,2.105e+5,,2.105e+5,
201.72,9.956e+4,,9.956e+4,
201.73,6.436e+4,,6.436e+4,
201.75,2.376e+4,,2.376e+4,
201.77,7.435e+3,,7.435e+3,
201.78,3.908e+3,,3.908e+3,
201.80,9.534e+2,,9.534e+2,
201.82,1.968e+2,,1.968e+2,
201.83,8.399e+1,,8.399e+1,
201.85,1.348e+1,,1.348e+1,
201.87,1.827e+0,,1.827e+0,
201.88,6.312e-1,,6.312e-1,
201.90,6.641e-2,,6.641e-2,
201.92,7.668e-3,,7.668e-3,
201.93,7.961e-3,,7.961e-3,
201.95,6.827e-2,,6.827e-2,
201.97,6.158e-1,,6.158e-1,
201.98,1.733e+0,,1.733e+0,
202.00,1.202e+1,,1.202e+1,
202.02,6.994e+1,,6.994e+1,
202.03,1.579e+2,,1.579e+2,
202.05,7.054e+2,,7.054e+2,
202.07,2.643e+3,,2.643e+3,
202.08,4.788e+3,,4.788e+3,
202.10,1.377e+4,,1.377e+4,
202.12,3.322e+4,,3.322e+4,
202.13,4.829e+4,,4.829e+4,
202.15,8.944e+4,,8.944e+4,
202.17,1.389e+5,,1.389e+5,
202.18,1.620e+5,,1.620e+5,
202.20,1.932e+5,,1.932e+5,
