Wavelength (nm),Sum(calc),Al I (9.0e-1),Al II (1.0e-1),Al III (1.5e-9)
201.18,4.128e-16,,4.128e-16,
201.20,1.920e-14,,1.920e-14,
201.22,6.719e-13,,6.719e-13,
201.23,3.718e-12,,3.718e-12,
201.25,9.977e-11,,9.977e-11,
201.27,2.245e-9,,2.245e-9,
201.28,9.970e-9,,9.970e-9,
201.30,1.723e-7,,1.723e-7,
201.32,2.499e-6,,2.499e-6,
201.33,8.911e-6,,8.911e-6,
201.35,9.932e-5,,9.932e-5,
201.37,9.291e-4,,9.291e-4,
201.38,2.661e-3,,2.661e-3,
201.40,1.915e-2,,1.915e-2,
201.42,1.157e-1,,1.157e-1,
201.43,2.665e-1,,2.665e-1,
201.45,1.241e+0,,1.241e+0,
201.47,4.854e+0,,4.854e+0,
201.48,8.998e+0,,8.998e+0,
201.50,2.716e+1,,2.716e+1,
201.52,6.901e+1,,6.901e+1,
201.53,1.032e+2,,1.032e+2,
201.55,2.027e+2,,2.027e+2,
201.57,3.358e+2,,3.358e+2,
201.58,4.056e+2,,4.056e+2,
201.60,5.212e+2,,5.212e+2,
201.62,5.660e+2,,5.660e+2,
201.63,5.539e+2,,5.539e+2,
201.65,4.679e+2,,4.679e+2,
201.67,3.347e+2,,3.347e+2,
201.68,2.660e+2,,2.660e+2,
201.70,1.484e+2,,1.484e+2,
201.72,7.019e+1,,7.019e+1,
201.73,4.537e+1,,4.537e+1,
201.75,1.675e+1,,1.675e+1,
201.77,5.241e+0,,5.241e+0,
201.78,2.755e+0,,2.755e+0,
201.80,6.721e-1,,6.721e-1,
201.82,1.388e-1,,1.388e-1,
201.83,5.921e-2,,5.921e-2,
201.85,9.503e-3,,9.503e-3,
201.87,1.288e-3,,1.288e-3,
201.88,4.450e-4,,4.450e-4,
201.90,4.686e-5,,4.686e-5,
201.92,6.036e-6,,6.036e-6,
201.93,7.819e-6,,7.819e-6,
201.95,7.190e-5,,7.190e-5,
201.97,6.489e-4,,6.489e-4,
201.98,1.826e-3,,1.826e-3,
202.00,1.267e-2,,1.267e-2,
202.02,7.370e-2,,7.370e-2,
202.03,1.664e-1,,1.664e-1,
202.05,7.434e-1,,7.434e-1,
202.07,2.785e+0,,2.785e+0,
202.08,5.045e+0,,5.045e+0,
202.10,1.451e+1,,1.451e+1,
202.12,3.500e+1,,3.500e+1,
202.13,5.089e+1,,5.089e+1,
202.15,9.425e+1,,9.425e+1,
202.17,1.464e+2,,1.464e+2,
202.18,1.708e+2,,1.708e+2,
202.20,2.036e+2,,2.036e+2,
202.22,2.036e+2,,2.036e+2,
202.23,1.906e+2,,1.906e+2,
202.25,1.464e+2,,1.464e+2,
202.27,9.425e+1,,9.425e+1,
202.28,7.079e+1,,7.079e+1,
202.30,3.500e+1,,3.500e+1,
202.32,1.451e+1,,1.451e+1,
202.33,8.747e+0,,8.747e+0,
202.35,2.785e+0,,2.785e+0,
202.37,7.434e-1,,7.434e-1,
202.38,3.595e-1,,3.595e-1,
202.40,7.370e-2,,7.370e-2,
202.42,1.267e-2,,1.267e-2,
202.43,4.917e-3,,4.917e-3,
202.45,6.489e-4,,6.489e-4,
202.47,7.182e-5,,7.182e-5,
202.48,2.237e-5,,2.237e-5,
202.50,1.901e-6,,1.901e-6,
202.52,1.355e-7,,1.355e-7,
202.53,3.385e-8,,3.385e-8,
202.55,1.853e-9,,1.853e-9,
202.57,8.501e-11,,8.501e-11,
202.58,1.705e-11,,1.705e-11,
202.60,6.006e-13,,6.006e-13,
202.62,1.775e-14,,1.775e-14,
202.63,2.855e-15,,2.855e-15,
206.92,8.567e-30,,3.129e-14,8.567e-30
206.93,5.894e-29,,3.136e-14,5.894e-29
206.95,2.002e-27,,3.149e-14,2.002e-27
206.97,3.163e-14,,3.163e-14,5.754e-26
206.98,1.872e-13,,1.872e-13,2.898e-25
207.00,5.789e-12,,5.789e-12,6.486e-24
207.02,1.514e-10,,1.514e-10,1.229e-22
207.03,7.272e-10,,7.272e-10,5.026e-22
207.05,1.480e-8,,1.480e-8,7.418e-21
207.07,2.546e-7,,2.546e-7,9.269e-20
207.08,9.921e-7,,9.921e-7,3.078e-19
207.10,1.328e-5,,1.328e-5,2.996e-18
207.12,1.504e-4,,1.504e-4,2.470e-17
207.13,4.755e-4,,4.755e-4,6.662e-17
207.15,4.189e-3,,4.189e-3,4.279e-16
207.17,3.122e-2,,3.122e-2,2.327e-15
207.18,8.005e-2,,8.005e-2,5.099e-15
207.20,4.641e-1,,4.641e-1,2.162e-14
207.22,2.276e+0,,2.276e+0,7.761e-14
207.23,4.734e+0,,4.734e+0,1.382e-13
207.25,1.806e+1,,1.806e+1,3.868e-13
207.27,5.830e+1,,5.830e+1,9.170e-13
207.28,9.836e+1,,9.836e+1,1.327e-12
207.30,2.470e+2,,2.470e+2,2.453e-12
207.32,5.245e+2,,5.245e+2,3.841e-12
207.33,7.179e+2,,7.179e+2,4.517e-12
207.35,1.186e+3,,1.186e+3,5.516e-12
207.37,1.658e+3,,1.658e+3,5.707e-12
207.38,1.841e+3,,1.841e+3,5.455e-12
207.40,2.001e+3,,2.001e+3,4.402e-12
207.42,1.841e+3,,1.841e+3,3.010e-12
207.43,1.658e+3,,1.658e+3,2.339e-12
207.45,1.186e+3,,1.186e+3,1.247e-12
207.47,7.179e+2,,7.179e+2,5.635e-13
207.48,5.245e+2,,5.245e+2,3.559e-13
207.50,2.470e+2,,2.470e+2,1.254e-13
207.52,9.836e+1,,9.836e+1,3.745e-14
207.53,5.830e+1,,5.830e+1,1.923e-14
207.55,1.806e+1,,1.806e+1,4.479e-15
207.57,4.734e+0,,4.734e+0,8.836e-16
207.58,2.276e+0,,2.276e+0,3.688e-16
207.60,4.641e-1,,4.641e-1,5.675e-17
207.62,8.005e-2,,8.005e-2,7.396e-18
207.63,3.122e-2,,3.122e-2,2.509e-18
207.65,4.189e-3,,4.189e-3,2.550e-19
207.67,4.755e-4,,4.755e-4,2.195e-20
207.68,1.504e-4,,1.504e-4,6.053e-21
207.70,1.328e-5,,1.328e-5,4.062e-22
207.72,9.921e-7,,9.921e-7,2.309e-23
207.73,2.546e-7,,2.546e-7,5.172e-24
207.75,1.480e-8,,1.480e-8,2.291e-25
207.77,7.272e-10,,7.272e-10,8.596e-27
207.78,1.514e-10,,1.514e-10,1.564e-27
207.80,5.789e-12,,5.789e-12,4.573e-29
207.82,1.872e-13,,1.872e-13,4.549e-29
207.83,3.163e-14,,3.163e-14,4.537e-29
208.47,3.764e-29,,1.433e-14,3.764e-29
208.48,2.359e-28,,1.406e-14,2.359e-28
208.50,8.184e-27,,1.351e-14,8.184e-27
208.52,2.408e-25,,1.297e-14,2.408e-25
208.53,1.228e-24,,1.270e-14,1.228e-24
208.55,2.821e-23,,1.216e-14,2.821e-23
208.57,5.494e-22,,1.162e-14,5.494e-22
