Wavelength (nm),Sum(calc),Al I (9.5e-2),Al II (9.0e-1),Al III (7.3e-5)
201.18,1.086e-12,,1.086e-12,
201.20,5.051e-11,,5.051e-11,
201.22,1.768e-9,,1.768e-9,
201.23,9.783e-9,,9.783e-9,
201.25,2.625e-7,,2.625e-7,
201.27,5.907e-6,,5.907e-6,
201.28,2.623e-5,,2.623e-5,
201.30,4.535e-4,,4.535e-4,
201.32,6.576e-3,,6.576e-3,
201.33,2.345e-2,,2.345e-2,
201.35,2.613e-1,,2.613e-1,
201.37,2.445e+0,,2.445e+0,
201.38,7.002e+0,,7.002e+0,
201.40,5.038e+1,,5.038e+1,
201.42,3.045e+2,,3.045e+2,
201.43,7.012e+2,,7.012e+2,
201.45,3.264e+3,,3.264e+3,
201.47,1.277e+4,,1.277e+4,
201.48,2.367e+4,,2.367e+4,
201.50,7.146e+4,,7.146e+4,
201.52,1.816e+5,,1.816e+5,
201.53,2.714e+5,,2.714e+5,
201.55,5.332e+5,,5.332e+5,
201.57,8.835e+5,,8.835e+5,
201.58,1.067e+6,,1.067e+6,
201.60,1.371e+6,,1.371e+6,
201.62,1.489e+6,,1.489e+6,
201.63,1.457e+6,,1.457e+6,
201.65,1.231e+6,,1.231e+6,
201.67,8.805e+5,,8.805e+5,
201.68,6.998e+5,,6.998e+5,
201.70,3.904e+5,,3.904e+5,
201.72,1.847e+5,,1.847e+5,
201.73,1.194e+5,,1.194e+5,
201.75,4.407e+4,,4.407e+4,
201.77,1.379e+4,,1.379e+4,
201.78,7.248e+3,,7.248e+3,
201.80,1.768e+3,,1.768e+3,
201.82,3.650e+2,,3.650e+2,
201.83,1.558e+2,,1.558e+2,
201.85,2.500e+1,,2.500e+1,
201.87,3.388e+0,,3.388e+0,
201.88,1.171e+0,,1.171e+0,
201.90,1.232e-1,,1.232e-1,
201.92,1.422e-2,,1.422e-2,
201.93,1.477e-2,,1.477e-2,
201.95,1.266e-1,,1.266e-1,
201.97,1.142e+0,,1.142e+0,
201.98,3.214e+0,,3.214e+0,
202.00,2.230e+1,,2.230e+1,
202.02,1.297e+2,,1.297e+2,
202.03,2.929e+2,,2.929e+2,
202.05,1.308e+3,,1.308e+3,
202.07,4.901e+3,,4.901e+3,
202.08,8.879e+3,,8.879e+3,
202.10,2.554e+4,,2.554e+4,
202.12,6.160e+4,,6.160e+4,
202.13,8.956e+4,,8.956e+4,
202.15,1.659e+5,,1.659e+5,
202.17,2.576e+5,,2.576e+5,
202.18,3.005e+5,,3.005e+5,
202.20,3.584e+5,,3.584e+5,
202.22,3.584e+5,,3.584e+5,
202.23,3.355e+5,,3.355e+5,
202.25,2.576e+5,,2.576e+5,
202.27,1.659e+5,,1.659e+5,
202.28,1.246e+5,,1.246e+5,
202.30,6.160e+4,,6.160e+4,
202.32,2.554e+4,,2.554e+4,
202.33,1.539e+4,,1.539e+4,
202.35,4.901e+3,,4.901e+3,
202.37,1.308e+3,,1.308e+3,
202.38,6.328e+2,,6.328e+2,
202.40,1.297e+2,,1.297e+2,
202.42,2.230e+1,,2.230e+1,
202.43,8.653e+0,,8.653e+0,
202.45,1.142e+0,,1.142e+0,
202.47,1.264e-1,,1.264e-1,
202.48,3.937e-2,,3.937e-2,
202.50,3.346e-3,,3.346e-3,
202.52,2.384e-4,,2.384e-4,
202.53,5.958e-5,,5.958e-5,
202.55,3.260e-6,,3.260e-6,
202.57,1.496e-7,,1.496e-7,
202.58,3.000e-8,,3.000e-8,
202.60,1.057e-9,,1.057e-9,
202.62,3.123e-11,,3.123e-11,
202.63,5.026e-12,,5.026e-12,
206.92,1.949e-21,,5.246e-11,1.949e-21
206.93,1.341e-20,,5.257e-11,1.341e-20
206.95,4.553e-19,,5.279e-11,4.553e-19
206.97,5.301e-11,,5.301e-11,1.309e-17
206.98,3.139e-10,,3.139e-10,6.590e-17
207.00,9.705e-9,,9.705e-9,1.475e-15
207.02,2.538e-7,,2.538e-7,2.795e-14
207.03,1.219e-6,,1.219e-6,1.143e-13
207.05,2.480e-5,,2.480e-5,1.687e-12
207.07,4.268e-4,,4.268e-4,2.108e-11
207.08,1.663e-3,,1.663e-3,7.001e-11
207.10,2.227e-2,,2.227e-2,6.815e-10
207.12,2.522e-1,,2.522e-1,5.617e-9
207.13,7.970e-1,,7.970e-1,1.515e-8
207.15,7.023e+0,,7.023e+0,9.731e-8
207.17,5.234e+1,,5.234e+1,5.293e-7
207.18,1.342e+2,,1.342e+2,1.160e-6
207.20,7.780e+2,,7.780e+2,4.917e-6
207.22,3.816e+3,,3.816e+3,1.765e-5
207.23,7.936e+3,,7.936e+3,3.143e-5
207.25,3.028e+4,,3.028e+4,8.797e-5
207.27,9.773e+4,,9.773e+4,2.086e-4
207.28,1.649e+5,,1.649e+5,3.018e-4
207.30,4.140e+5,,4.140e+5,5.578e-4
207.32,8.793e+5,,8.793e+5,8.735e-4
207.33,1.203e+6,,1.203e+6,1.027e-3
207.35,1.988e+6,,1.988e+6,1.254e-3
207.37,2.779e+6,,2.779e+6,1.298e-3
207.38,3.086e+6,,3.086e+6,1.241e-3
207.40,3.355e+6,,3.355e+6,1.001e-3
207.42,3.086e+6,,3.086e+6,6.845e-4
207.43,2.779e+6,,2.779e+6,5.319e-4
207.45,1.988e+6,,1.988e+6,2.836e-4
207.47,1.203e+6,,1.203e+6,1.282e-4
207.48,8.793e+5,,8.793e+5,8.095e-5
207.50,4.140e+5,,4.140e+5,2.853e-5
207.52,1.649e+5,,1.649e+5,8.518e-6
207.53,9.773e+4,,9.773e+4,4.374e-6
207.55,3.028e+4,,3.028e+4,1.019e-6
207.57,7.936e+3,,7.936e+3,2.010e-7
207.58,3.816e+3,,3.816e+3,8.388e-8
207.60,7.780e+2,,7.780e+2,1.291e-8
207.62,1.342e+2,,1.342e+2,1.682e-9
207.63,5.234e+1,,5.234e+1,5.707e-10
207.65,7.023e+0,,7.023e+0,5.800e-11
207.67,7.970e-1,,7.970e-1,4.993e-12
207.68,2.522e-1,,2.522e-1,1.377e-12
207.70,2.227e-2,,2.227e-2,9.238e-14
207.72,1.663e-3,,1.663e-3,5.251e-15
207.73,4.268e-4,,4.268e-4,1.176e-15
207.75,2.480e-5,,2.480e-5,5.211e-17
207.77,1.219e-6,,1.219e-6,1.955e-18
207.78,2.538e-7,,2.538e-7,3.558e-19
207.80,9.705e-9,,9.705e-9,1.040e-20
207.82,3.139e-10,,3.139e-10,1.020e-20
207.83,5.301e-11,,5.301e-11,1.009e-20
208.47,3.529e-21,,2.425e-11,3.529e-21
208.48,2.212e-20,,2.380e-11,2.212e-20
208.50,7.674e-19,,2.290e-11,7.674e-19
208.52,2.258e-17,,2.200e-11,2.258e-17
208.53,1.151e-16,,2.155e-11,1.151e-16
208.55,2.645e-15,,2.065e-11,2.645e-15
208.57,5.152e-14,,1.975e-11,5.152e-14
208.58,2.137e-13,,1.930e-11,2.137e-13
208.60,3.251e-12,,1.840e-11,3.251e-12
208.62,4.192e-11,,1.750e-11,4.192e-11
208.63,1.415e-10,,1.705e-11,1.415e-10
208.65,1.425e-9,,1.616e-11,1.425e-9
208.67,1.217e-8,,1.526e-11,1.217e-8
208.68,3.342e-8,,1.481e-11,3.342e-8
208.70,2.228e-7,,1.391e-11,2.228e-7
208.72,1.259e-6,,1.301e-11,1.259e-6
208.73,2.814e-6,,1.256e-11,2.814e-6
208.75,1.242e-5,,1.166e-11,1.242e-5
208.77,4.649e-5,,1.076e-11,4.649e-5
208.78,8.453e-5,,1.031e-11,8.453e-5
208.80,2.470e-4,,9.413e-12,2.470e-4
208.82,6.120e-4,,8.514e-12,6.120e-4
208.83,9.055e-4,,8.064e-12,9.055e-4
208.85,1.752e-3,,7.165e-12,1.752e-3
208.87,2.873e-3,,6.266e-12,2.873e-3
208.88,3.459e-3,,5.817e-12,3.459e-3
208.90,4.430e-3,,4.918e-12,4.430e-3
208.92,4.811e-3,,4.019e-12,4.811e-3
208.93,4.713e-3,,3.569e-12,4.713e-3
208.95,3.996e-3,,2.670e-12,3.996e-3
208.97,2.873e-3,,1.771e-12,2.873e-3
208.98,2.290e-3,,1.322e-12,2.290e-3
209.00,1.286e-3,,4.894e-11,1.286e-3
209.02,6.120e-4,,1.537e-9,6.120e-4
209.03,3.970e-4,,8.105e-9,3.970e-4
209.05,1.482e-4,,1.991e-7,1.480e-4
209.07,5.321e-5,,4.150e-6,4.906e-5
209.08,4.809e-5,,1.782e-5,3.028e-5
209.10,3.216e-4,,2.903e-4,3.127e-5
209.12,4.111e-3,,4.016e-3,9.527e-5
209.13,1.422e-2,,1.404e-2,1.712e-4
209.15,1.524e-1,,1.519e-1,4.968e-4
209.17,1.396e+0,,1.394e+0,1.227e-3
209.18,3.975e+0,,3.974e+0,1.813e-3
209.20,2.854e+1,,2.854e+1,3.500e-3
209.22,1.741e+2,,1.741e+2,5.731e-3
209.23,4.045e+2,,4.045e+2,6.896e-3
209.25,1.933e+3,,1.933e+3,8.825e-3
209.27,7.854e+3,,7.854e+3,9.581e-3
209.28,1.491e+4,,1.491e+4,9.386e-3
209.30,4.762e+4,,4.762e+4,7.963e-3
209.32,1.299e+5,,1.299e+5,5.731e-3
209.33,2.024e+5,,2.024e+5,4.572e-3
209.35,4.383e+5,,4.383e+5,2.571e-3
209.37,8.190e+5,,8.190e+5,1.227e-3
209.38,1.061e+6,,1.061e+6,7.969e-4
209.40,1.612e+6,,1.612e+6,2.972e-4
209.42,2.160e+6,,2.160e+6,9.401e-5
209.43,2.394e+6,,2.394e+6,4.972e-5
209.45,2.711e+6,,2.711e+6,1.229e-5
209.47,2.775e+6,,2.775e+6,2.578e-6
209.48,2.705e+6,,2.705e+6,1.110e-6
209.50,2.385e+6,,2.385e+6,1.819e-7
209.52,1.891e+6,,1.891e+6,2.530e-8
209.53,1.614e+6,,1.614e+6,8.868e-9
209.55,1.073e+6,,1.073e+6,9.636e-10
209.57,6.271e+5,,6.271e+5,8.883e-11
209.58,4.556e+5,,4.556e+5,2.536e-11
209.60,2.164e+5,,2.164e+5,1.827e-12
209.62,8.884e+4,,8.884e+4,1.116e-13
209.63,5.384e+4,,5.384e+4,2.595e-14
209.65,1.765e+4,,1.765e+4,1.239e-15
209.67,4.959e+3,,4.959e+3,5.021e-17
209.68,2.480e+3,,2.480e+3,9.503e-18
209.70,5.514e+2,,5.514e+2,3.009e-19
209.72,1.046e+2,,1.046e+2,3.003e-19
209.73,4.294e+1,,4.294e+1,3.001e-19
209.75,6.414e+0,,6.414e+0,2.995e-19
209.77,8.156e-1,,8.156e-1,2.990e-19
209.78,2.738e-1,,2.738e-1,2.987e-19
209.80,2.732e-2,,2.732e-2,2.981e-19
209.82,2.318e-3,,2.318e-3,2.976e-19
209.83,6.354e-4,,6.354e-4,2.973e-19
209.85,4.224e-5,,4.224e-5,2.968e-19
209.87,2.385e-6,,2.385e-6,2.962e-19
209.88,5.332e-7,,5.332e-7,2.960e-19
209.90,2.357e-8,,2.357e-8,2.954e-19
209.92,8.789e-10,,8.789e-10,2.949e-19
209.93,1.603e-10,,1.603e-10,2.946e-19
211.38,6.909e-10,6.909e-10,1.366e-10,2.552e-19
211.40,2.357e-8,2.357e-8,1.362e-10,2.546e-19
211.42,6.852e-7,6.852e-7,1.359e-10,2.541e-19
211.43,3.478e-6,3.478e-6,1.357e-10,2.538e-19
211.45,7.947e-5,7.947e-5,1.354e-10,2.533e-19
211.47,1.547e-3,1.547e-3,1.351e-10,2.527e-19
211.48,6.424e-3,6.424e-3,1.349e-10,2.524e-19
211.50,9.828e-2,9.828e-2,1.346e-10,2.519e-19
211.52,1.281e+0,1.281e+0,1.343e-10,2.514e-19
211.53,4.353e+0,4.353e+0,1.341e-10,2.511e-19
211.55,4.458e+1,4.458e+1,1.338e-10,2.505e-19
211.57,3.890e+2,3.890e+2,1.334e-10,2.500e-19
211.58,1.082e+3,1.082e+3,1.333e-10,2.497e-19
211.60,7.419e+3,7.419e+3,1.330e-10,2.492e-19
211.62,4.334e+4,4.334e+4,1.326e-10,2.486e-19
211.63,9.863e+4,9.863e+4,1.325e-10,2.484e-19
211.65,4.529e+5,4.529e+5,1.321e-10,2.478e-19
211.67,1.771e+6,1.771e+6,1.318e-10,2.473e-19
211.68,3.299e+6,3.299e+6,1.316e-10,2.470e-19
211.70,1.014e+7,1.014e+7,1.313e-10,2.465e-19
211.72,2.656e+7,2.656e+7,1.310e-10,2.459e-19
211.73,4.047e+7,4.047e+7,1.308e-10,2.456e-19
211.75,8.332e+7,8.332e+7,1.305e-10,2.451e-19
211.77,1.461e+8,1.461e+8,1.302e-10,2.446e-19
211.78,1.822e+8,1.822e+8,1.300e-10,2.443e-19
211.80,2.511e+8,2.511e+8,1.297e-10,2.437e-19
211.82,2.948e+8,2.948e+8,1.294e-10,2.432e-19
211.83,3.008e+8,3.008e+8,1.292e-10,2.429e-19
211.85,2.776e+8,2.776e+8,1.289e-10,2.424e-19
211.87,2.182e+8,2.182e+8,1.285e-10,2.418e-19
211.88,1.822e+8,1.822e+8,1.284e-10,2.416e-19
211.90,1.126e+8,1.126e+8,1.280e-10,2.410e-19
211.92,5.925e+7,5.925e+7,1.277e-10,2.405e-19
211.93,4.047e+7,4.047e+7,1.276e-10,2.402e-19
211.95,1.675e+7,1.675e+7,1.272e-10,2.397e-19
211.97,5.902e+6,5.902e+6,1.269e-10,2.391e-19
211.98,3.299e+6,3.299e+6,1.267e-10,2.388e-19
212.00,9.139e+5,9.139e+5,1.264e-10,2.383e-19
212.02,2.156e+5,2.156e+5,1.261e-10,2.378e-19
212.03,9.864e+4,9.864e+4,1.259e-10,2.375e-19
212.05,1.833e+4,1.833e+4,1.256e-10,2.369e-19
212.07,3.173e+3,3.173e+3,1.253e-10,2.364e-19
212.08,1.895e+3,1.895e+3,1.251e-10,2.361e-19
212.10,6.123e+3,6.123e+3,1.248e-10,2.356e-19
212.12,3.759e+4,3.759e+4,1.244e-10,2.350e-19
212.13,8.866e+4,8.866e+4,1.243e-10,2.348e-19
212.15,4.378e+5,4.378e+5,1.240e-10,2.342e-19
