Wavelength (nm),Sum(calc),Al I (4.7e-1),Al II (5.3e-1),Al III (7.7e-8)
201.18,2.172e-15,,2.172e-15,
201.20,1.010e-13,,1.010e-13,
201.22,3.535e-12,,3.535e-12,
201.23,1.956e-11,,1.956e-11,
201.25,5.249e-10,,5.249e-10,
201.27,1.181e-8,,1.181e-8,
201.28,5.245e-8,,5.245e-8,
201.30,9.067e-7,,9.067e-7,
201.32,1.315e-5,,1.315e-5,
201.33,4.688e-5,,4.688e-5,
201.35,5.225e-4,,5.225e-4,
201.37,4.888e-3,,4.888e-3,
201.38,1.400e-2,,1.400e-2,
201.40,1.007e-1,,1.007e-1,
201.42,6.089e-1,,6.089e-1,
201.43,1.402e+0,,1.402e+0,
201.45,6.526e+0,,6.526e+0,
201.47,2.554e+1,,2.554e+1,
201.48,4.733e+1,,4.733e+1,
201.50,1.429e+2,,1.429e+2,
201.52,3.631e+2,,3.631e+2,
201.53,5.427e+2,,5.427e+2,
201.55,1.066e+3,,1.066e+3,
201.57,1.767e+3,,1.767e+3,
201.58,2.134e+3,,2.134e+3,
201.60,2.742e+3,,2.742e+3,
201.62,2.978e+3,,2.978e+3,
201.63,2.914e+3,,2.914e+3,
201.65,2.462e+3,,2.462e+3,
201.67,1.761e+3,,1.761e+3,
201.68,1.399e+3,,1.399e+3,
201.70,7.807e+2,,7.807e+2,
201.72,3.692e+2,,3.692e+2,
201.73,2.387e+2,,2.387e+2,
201.75,8.812e+1,,8.812e+1,
201.77,2.757e+1,,2.757e+1,
201.78,1.449e+1,,1.449e+1,
201.80,3.536e+0,,3.536e+0,
201.82,7.300e-1,,7.300e-1,
201.83,3.115e-1,,3.115e-1,
201.85,4.999e-2,,4.999e-2,
201.87,6.776e-3,,6.776e-3,
201.88,2.341e-3,,2.341e-3,
201.90,2.465e-4,,2.465e-4,
201.92,3.175e-5,,3.175e-5,
201.93,4.113e-5,,4.113e-5,
201.95,3.783e-4,,3.783e-4,
201.97,3.414e-3,,3.414e-3,
201.98,9.606e-3,,9.606e-3,
202.00,6.664e-2,,6.664e-2,
202.02,3.877e-1,,3.877e-1,
202.03,8.754e-1,,8.754e-1,
202.05,3.911e+0,,3.911e+0,
202.07,1.465e+1,,1.465e+1,
202.08,2.654e+1,,2.654e+1,
202.10,7.634e+1,,7.634e+1,
202.12,1.841e+2,,1.841e+2,
202.13,2.677e+2,,2.677e+2,
202.15,4.958e+2,,4.958e+2,
202.17,7.700e+2,,7.700e+2,
202.18,8.983e+2,,8.983e+2,
202.20,1.071e+3,,1.071e+3,
202.22,1.071e+3,,1.071e+3,
202.23,1.003e+3,,1.003e+3,
202.25,7.700e+2,,7.700e+2,
202.27,4.958e+2,,4.958e+2,
202.28,3.724e+2,,3.724e+2,
202.30,1.841e+2,,1.841e+2,
202.32,7.634e+1,,7.634e+1,
202.33,4.601e+1,,4.601e+1,
202.35,1.465e+1,,1.465e+1,
202.37,3.911e+0,,3.911e+0,
202.38,1.891e+0,,1.891e+0,
202.40,3.877e-1,,3.877e-1,
202.42,6.664e-2,,6.664e-2,
202.43,2.586e-2,,2.586e-2,
202.45,3.414e-3,,3.414e-3,
202.47,3.778e-4,,3.778e-4,
202.48,1.177e-4,,1.177e-4,
202.50,1.000e-5,,1.000e-5,
202.52,7.127e-7,,7.127e-7,
202.53,1.781e-7,,1.781e-7,
202.55,9.746e-9,,9.746e-9,
202.57,4.472e-10,,4.472e-10,
202.58,8.967e-11,,8.967e-11,
202.60,3.160e-12,,3.160e-12,
202.62,9.336e-14,,9.336e-14,
202.63,1.502e-14,,1.502e-14,
206.92,4.507e-28,,1.646e-13,4.507e-28
206.93,3.101e-27,,1.650e-13,3.101e-27
206.95,1.053e-25,,1.657e-13,1.053e-25
206.97,1.664e-13,,1.664e-13,3.027e-24
206.98,9.850e-13,,9.850e-13,1.524e-23
207.00,3.046e-11,,3.046e-11,3.412e-22
207.02,7.965e-10,,7.965e-10,6.466e-21
207.03,3.826e-9,,3.826e-9,2.644e-20
207.05,7.783e-8,,7.783e-8,3.902e-19
207.07,1.340e-6,,1.340e-6,4.876e-18
207.08,5.219e-6,,5.219e-6,1.619e-17
207.10,6.988e-5,,6.988e-5,1.576e-16
207.12,7.914e-4,,7.914e-4,1.299e-15
207.13,2.501e-3,,2.501e-3,3.505e-15
207.15,2.204e-2,,2.204e-2,2.251e-14
207.17,1.643e-1,,1.643e-1,1.224e-13
207.18,4.211e-1,,4.211e-1,2.683e-13
207.20,2.442e+0,,2.442e+0,1.137e-12
207.22,1.198e+1,,1.198e+1,4.083e-12
207.23,2.491e+1,,2.491e+1,7.270e-12
207.25,9.503e+1,,9.503e+1,2.035e-11
207.27,3.067e+2,,3.067e+2,4.824e-11
207.28,5.175e+2,,5.175e+2,6.980e-11
207.30,1.299e+3,,1.299e+3,1.290e-10
207.32,2.759e+3,,2.759e+3,2.021e-10
207.33,3.777e+3,,3.777e+3,2.376e-10
207.35,6.240e+3,,6.240e+3,2.902e-10
207.37,8.721e+3,,8.721e+3,3.002e-10
207.38,9.683e+3,,9.683e+3,2.870e-10
207.40,1.053e+4,,1.053e+4,2.316e-10
207.42,9.683e+3,,9.683e+3,1.583e-10
207.43,8.721e+3,,8.721e+3,1.230e-10
207.45,6.240e+3,,6.240e+3,6.561e-11
207.47,3.777e+3,,3.777e+3,2.964e-11
207.48,2.759e+3,,2.759e+3,1.873e-11
207.50,1.299e+3,,1.299e+3,6.599e-12
207.52,5.175e+2,,5.175e+2,1.970e-12
207.53,3.067e+2,,3.067e+2,1.012e-12
207.55,9.503e+1,,9.503e+1,2.356e-13
207.57,2.491e+1,,2.491e+1,4.648e-14
207.58,1.198e+1,,1.198e+1,1.940e-14
207.60,2.442e+0,,2.442e+0,2.985e-15
207.62,4.211e-1,,4.211e-1,3.891e-16
207.63,1.643e-1,,1.643e-1,1.320e-16
207.65,2.204e-2,,2.204e-2,1.342e-17
207.67,2.501e-3,,2.501e-3,1.155e-18
207.68,7.914e-4,,7.914e-4,3.184e-19
207.70,6.988e-5,,6.988e-5,2.137e-20
207.72,5.219e-6,,5.219e-6,1.215e-21
207.73,1.340e-6,,1.340e-6,2.721e-22
207.75,7.783e-8,,7.783e-8,1.205e-23
207.77,3.826e-9,,3.826e-9,4.522e-25
207.78,7.965e-10,,7.965e-10,8.230e-26
207.80,3.046e-11,,3.046e-11,2.406e-27
207.82,9.850e-13,,9.850e-13,2.393e-27
207.83,1.664e-13,,1.664e-13,2.387e-27
208.47,1.980e-27,,7.536e-14,1.980e-27
208.48,1.241e-26,,7.394e-14,1.241e-26
208.50,4.306e-25,,7.110e-14,4.306e-25
208.52,1.267e-23,,6.825e-14,1.267e-23
208.53,6.459e-23,,6.683e-14,6.459e-23
208.55,1.484e-21,,6.399e-14,1.484e-21
208.57,2.890e-20,,6.114e-14,2.890e-20
208.58,1.199e-19,,5.972e-14,1.199e-19
208.60,1.824e-18,,5.688e-14,1.824e-18
208.62,2.352e-17,,5.403e-14,2.352e-17
208.63,7.940e-17,,5.261e-14,7.940e-17
208.65,7.995e-16,,4.977e-14,7.995e-16
208.67,6.826e-15,,4.692e-14,6.826e-15
208.68,1.875e-14,,4.550e-14,1.875e-14
208.70,1.250e-13,,4.266e-14,1.250e-13
208.72,7.065e-13,,3.981e-14,7.065e-13
208.73,1.579e-12,,3.839e-14,1.579e-12
208.75,6.969e-12,,3.555e-14,6.969e-12
208.77,2.608e-11,,3.270e-14,2.608e-11
208.78,4.743e-11,,3.128e-14,4.743e-11
208.80,1.386e-10,,2.844e-14,1.386e-10
208.82,3.433e-10,,2.559e-14,3.433e-10
208.83,5.080e-10,,2.417e-14,5.080e-10
208.85,9.828e-10,,2.133e-14,9.828e-10
208.87,1.612e-9,,1.848e-14,1.612e-9
208.88,1.941e-9,,1.706e-14,1.941e-9
208.90,2.486e-9,,1.422e-14,2.486e-9
208.92,2.699e-9,,1.137e-14,2.699e-9
208.93,2.644e-9,,9.953e-15,2.644e-9
208.95,2.242e-9,,7.109e-15,2.242e-9
208.97,1.612e-9,,4.265e-15,1.612e-9
208.98,1.285e-9,,2.843e-15,1.285e-9
209.00,7.214e-10,,1.052e-13,7.213e-10
209.02,3.467e-10,,3.306e-12,3.434e-10
209.03,2.401e-10,,1.743e-11,2.227e-10
209.05,5.112e-10,,4.281e-10,8.301e-11
209.07,8.952e-9,,8.925e-9,2.753e-11
209.08,3.833e-8,,3.831e-8,1.699e-11
209.10,6.244e-7,,6.244e-7,1.754e-11
209.12,8.636e-6,,8.636e-6,5.345e-11
209.13,3.020e-5,,3.020e-5,9.603e-11
209.15,3.267e-4,,3.267e-4,2.787e-10
209.17,2.999e-3,,2.999e-3,6.884e-10
209.18,8.546e-3,,8.546e-3,1.017e-9
209.20,6.138e-2,,6.138e-2,1.964e-9
209.22,3.744e-1,,3.744e-1,3.216e-9
209.23,8.699e-1,,8.699e-1,3.869e-9
209.25,4.156e+0,,4.156e+0,4.951e-9
209.27,1.689e+1,,1.689e+1,5.375e-9
209.28,3.206e+1,,3.206e+1,5.266e-9
209.30,1.024e+2,,1.024e+2,4.467e-9
209.32,2.794e+2,,2.794e+2,3.216e-9
209.33,4.353e+2,,4.353e+2,2.565e-9
209.35,9.427e+2,,9.427e+2,1.443e-9
209.37,1.761e+3,,1.761e+3,6.884e-10
209.38,2.283e+3,,2.283e+3,4.471e-10
209.40,3.468e+3,,3.468e+3,1.667e-10
209.42,4.646e+3,,4.646e+3,5.274e-11
209.43,5.149e+3,,5.149e+3,2.789e-11
209.45,5.832e+3,,5.832e+3,6.896e-12
209.47,5.970e+3,,5.970e+3,1.446e-12
209.48,5.820e+3,,5.820e+3,6.227e-13
209.50,5.131e+3,,5.131e+3,1.021e-13
209.52,4.068e+3,,4.068e+3,1.419e-14
209.53,3.472e+3,,3.472e+3,4.975e-15
209.55,2.309e+3,,2.309e+3,5.406e-16
209.57,1.349e+3,,1.349e+3,4.984e-17
209.58,9.804e+2,,9.804e+2,1.423e-17
209.60,4.656e+2,,4.656e+2,1.025e-18
209.62,1.912e+2,,1.912e+2,6.263e-20
209.63,1.159e+2,,1.159e+2,1.456e-20
209.65,3.797e+1,,3.797e+1,6.953e-22
209.67,1.067e+1,,1.067e+1,2.817e-23
209.68,5.338e+0,,5.338e+0,5.331e-24
209.70,1.187e+0,,1.187e+0,1.688e-25
209.72,2.252e-1,,2.252e-1,1.685e-25
209.73,9.241e-2,,9.241e-2,1.683e-25
209.75,1.380e-2,,1.380e-2,1.680e-25
209.77,1.755e-3,,1.755e-3,1.677e-25
209.78,5.892e-4,,5.892e-4,1.676e-25
209.80,5.880e-5,,5.880e-5,1.673e-25
209.82,4.989e-6,,4.989e-6,1.670e-25
209.83,1.367e-6,,1.367e-6,1.668e-25
209.85,9.090e-8,,9.090e-8,1.665e-25
209.87,5.134e-9,,5.134e-9,1.662e-25
209.88,1.148e-9,,1.148e-9,1.661e-25
209.90,5.073e-11,,5.073e-11,1.658e-25
209.92,1.892e-12,,1.892e-12,1.654e-25
209.93,3.449e-13,,3.449e-13,1.653e-25
211.38,6.361e-10,6.361e-10,2.943e-13,1.432e-25
211.40,2.170e-8,2.170e-8,2.936e-13,1.429e-25
211.42,6.308e-7,6.308e-7,2.929e-13,1.426e-25
211.43,3.202e-6,3.202e-6,2.926e-13,1.425e-25
211.45,7.317e-5,7.317e-5,2.919e-13,1.422e-25
211.47,1.424e-3,1.424e-3,2.912e-13,1.419e-25
211.48,5.915e-3,5.915e-3,2.909e-13,1.417e-25
211.50,9.048e-2,9.048e-2,2.902e-13,1.414e-25
211.52,1.179e+0,1.179e+0,2.895e-13,1.411e-25
211.53,4.007e+0,4.007e+0,2.891e-13,1.409e-25
211.55,4.105e+1,4.105e+1,2.884e-13,1.406e-25
211.57,3.581e+2,3.581e+2,2.877e-13,1.403e-25
211.58,9.960e+2,9.960e+2,2.874e-13,1.402e-25
211.60,6.831e+3,6.831e+3,2.867e-13,1.399e-25
211.62,3.990e+4,3.990e+4,2.860e-13,1.396e-25
211.63,9.081e+4,9.081e+4,2.856e-13,1.394e-25
211.65,4.170e+5,4.170e+5,2.849e-13,1.391e-25
211.67,1.631e+6,1.631e+6,2.842e-13,1.388e-25
211.68,3.037e+6,3.037e+6,2.839e-13,1.387e-25
211.70,9.338e+6,9.338e+6,2.832e-13,1.384e-25
211.72,2.446e+7,2.446e+7,2.825e-13,1.381e-25
211.73,3.726e+7,3.726e+7,2.821e-13,1.379e-25
211.75,7.671e+7,7.671e+7,2.814e-13,1.376e-25
211.77,1.345e+8,1.345e+8,2.807e-13,1.373e-25
211.78,1.677e+8,1.677e+8,2.804e-13,1.371e-25
211.80,2.312e+8,2.312e+8,2.797e-13,1.368e-25
211.82,2.714e+8,2.714e+8,2.790e-13,1.365e-25
211.83,2.769e+8,2.769e+8,2.786e-13,1.364e-25
211.85,2.556e+8,2.556e+8,2.779e-13,1.361e-25
211.87,2.009e+8,2.009e+8,2.772e-13,1.358e-25
211.88,1.677e+8,1.677e+8,2.769e-13,1.356e-25
211.90,1.036e+8,1.036e+8,2.762e-13,1.353e-25
211.92,5.455e+7,5.455e+7,2.755e-13,1.350e-25
211.93,3.726e+7,3.726e+7,2.752e-13,1.349e-25
211.95,1.542e+7,1.542e+7,2.745e-13,1.346e-25
211.97,5.434e+6,5.434e+6,2.738e-13,1.342e-25
211.98,3.037e+6,3.037e+6,2.734e-13,1.341e-25
212.00,8.414e+5,8.414e+5,2.727e-13,1.338e-25
212.02,1.985e+5,1.985e+5,2.720e-13,1.335e-25
212.03,9.081e+4,9.081e+4,2.717e-13,1.333e-25
212.05,1.687e+4,1.687e+4,2.710e-13,1.330e-25
212.07,2.921e+3,2.921e+3,2.703e-13,1.327e-25
212.08,1.745e+3,1.745e+3,2.699e-13,1.326e-25
212.10,5.638e+3,5.638e+3,2.692e-13,1.323e-25
212.12,3.461e+4,3.461e+4,2.685e-13,1.320e-25
212.13,8.163e+4,8.163e+4,2.682e-13,1.318e-25
212.15,4.030e+5,4.030e+5,2.675e-13,1.315e-25
212.17,1.696e+6,1.696e+6,2.668e-13,1.312e-25
212.18,3.278e+6,3.278e+6,2.664e-13,1.311e-25
212.20,1.086e+7,1.086e+7,2.657e-13,1.307e-25
212.22,3.066e+7,3.066e+7,2.650e-13,1.304e-25
212.23,4.853e+7,4.853e+7,2.647e-13,1.303e-25
212.25,1.078e+8,1.078e+8,2.640e-13,1.300e-25
212.27,2.042e+8,2.042e+8,2.633e-13,1.297e-25
212.28,2.648e+8,2.648e+8,2.629e-13,1.295e-25
212.30,3.947e+8,3.947e+8,2.622e-13,1.292e-25
212.32,5.015e+8,5.015e+8,2.615e-13,1.289e-25
212.33,5.324e+8,5.324e+8,2.612e-13,1.288e-25
212.35,5.324e+8,5.324e+8,2.605e-13,1.285e-25
212.37,4.539e+8,4.539e+8,2.598e-13,1.282e-25
212.38,3.947e+8,3.947e+8,2.594e-13,1.280e-25
212.40,2.648e+8,2.648e+8,2.587e-13,1.277e-25
212.42,1.514e+8,1.514e+8,2.581e-13,1.274e-25
212.43,1.078e+8,1.078e+8,2.577e-13,1.272e-25
212.45,4.853e+7,4.853e+7,2.570e-13,1.269e-25
212.47,1.861e+7,1.861e+7,2.563e-13,1.266e-25
212.48,1.086e+7,1.086e+7,2.560e-13,1.265e-25
212.50,3.278e+6,3.278e+6,2.553e-13,1.262e-25
212.52,8.436e+5,8.436e+5,2.546e-13,1.259e-25
212.53,4.030e+5,4.030e+5,2.542e-13,1.257e-25
212.55,8.162e+4,8.162e+4,2.535e-13,1.254e-25
212.57,1.409e+4,1.409e+4,2.528e-13,1.251e-25
212.58,5.514e+3,5.514e+3,2.525e-13,1.250e-25
212.60,7.491e+2,7.491e+2,2.518e-13,1.247e-25
212.62,8.676e+1,8.676e+1,2.511e-13,1.244e-25
212.63,2.785e+1,2.785e+1,2.507e-13,1.242e-25
212.65,3.167e+0,3.167e+0,2.500e-13,1.239e-25
212.67,7.608e+0,7.608e+0,2.493e-13,1.236e-25
212.68,2.395e+1,2.395e+1,2.490e-13,1.234e-25
212.70,2.206e+2,2.206e+2,2.483e-13,1.231e-25
212.72,1.737e+3,1.737e+3,2.476e-13,1.228e-25
212.73,4.593e+3,4.593e+3,2.472e-13,1.227e-25
212.75,2.851e+4,2.851e+4,2.465e-13,1.224e-25
212.77,1.510e+5,1.510e+5,2.458e-13,1.221e-25
212.78,3.273e+5,3.273e+5,2.455e-13,1.219e-25
212.80,1.366e+6,1.366e+6,2.448e-13,1.216e-25
212.82,4.864e+6,4.864e+6,2.441e-13,1.213e-25
212.83,8.648e+6,8.648e+6,2.437e-13,1.212e-25
212.85,2.427e+7,2.427e+7,2.430e-13,1.209e-25
212.87,5.811e+7,5.811e+7,2.423e-13,1.206e-25
212.88,8.472e+7,8.472e+7,2.420e-13,1.204e-25
212.90,1.599e+8,1.599e+8,2.413e-13,1.201e-25
212.92,2.574e+8,2.574e+8,2.406e-13,1.198e-25
