Wavelength (nm),Sum(calc),Al I (1.0e-2),Al II (9.9e-1),Al III (8.0e-4)
207.80,1.060e-8,,1.060e-8,1.137e-19
207.82,3.430e-10,,3.430e-10,1.114e-19
207.83,5.793e-11,,5.793e-11,1.103e-19
208.47,3.856e-20,,2.649e-11,3.856e-20
208.48,2.417e-19,,2.600e-11,2.417e-19
208.50,8.386e-18,,2.502e-11,8.386e-18
208.52,2.467e-16,,2.404e-11,2.467e-16
208.53,1.258e-15,,2.355e-11,1.258e-15
208.55,2.890e-14,,2.256e-11,2.890e-14
208.57,5.629e-13,,2.158e-11,5.629e-13
208.58,2.336e-12,,2.109e-11,2.336e-12
208.60,3.552e-11,,2.011e-11,3.552e-11
208.62,4.581e-10,,1.913e-11,4.581e-10
208.63,1.546e-9,,1.863e-11,1.546e-9
208.65,1.557e-8,,1.765e-11,1.557e-8
208.67,1.329e-7,,1.667e-11,1.329e-7
208.68,3.652e-7,,1.618e-11,3.652e-7
208.70,2.434e-6,,1.520e-11,2.434e-6
208.72,1.376e-5,,1.421e-11,1.376e-5
208.73,3.075e-5,,1.372e-11,3.075e-5
208.75,1.357e-4,,1.274e-11,1.357e-4
208.77,5.079e-4,,1.176e-11,5.079e-4
208.78,9.237e-4,,1.127e-11,9.237e-4
208.80,2.699e-3,,1.028e-11,2.699e-3
208.82,6.687e-3,,9.303e-12,6.687e-3
208.83,9.894e-3,,8.812e-12,9.894e-3
208.85,1.914e-2,,7.829e-12,1.914e-2
208.87,3.140e-2,,6.847e-12,3.140e-2
208.88,3.780e-2,,6.356e-12,3.780e-2
208.90,4.841e-2,,5.373e-12,4.841e-2
208.92,5.257e-2,,4.391e-12,5.257e-2
208.93,5.150e-2,,3.900e-12,5.150e-2
208.95,4.367e-2,,2.918e-12,4.367e-2
208.97,3.140e-2,,1.935e-12,3.140e-2
208.98,2.502e-2,,1.444e-12,2.502e-2
209.00,1.405e-2,,5.347e-11,1.405e-2
209.02,6.687e-3,,1.680e-9,6.687e-3
209.03,4.337e-3,,8.856e-9,4.337e-3
209.05,1.617e-3,,2.175e-7,1.617e-3
209.07,5.406e-4,,4.534e-6,5.361e-4
209.08,3.503e-4,,1.947e-5,3.308e-4
209.10,6.589e-4,,3.172e-4,3.417e-4
209.12,5.429e-3,,4.388e-3,1.041e-3
209.13,1.722e-2,,1.535e-2,1.870e-3
209.15,1.714e-1,,1.660e-1,5.429e-3
209.17,1.537e+0,,1.524e+0,1.341e-2
209.18,4.362e+0,,4.342e+0,1.981e-2
209.20,3.122e+1,,3.118e+1,3.824e-2
209.22,1.903e+2,,1.902e+2,6.263e-2
209.23,4.420e+2,,4.420e+2,7.535e-2
209.25,2.112e+3,,2.112e+3,9.642e-2
209.27,8.582e+3,,8.582e+3,1.047e-1
209.28,1.629e+4,,1.629e+4,1.026e-1
209.30,5.203e+4,,5.203e+4,8.701e-2
209.32,1.419e+5,,1.419e+5,6.263e-2
209.33,2.212e+5,,2.212e+5,4.995e-2
209.35,4.789e+5,,4.789e+5,2.810e-2
209.37,8.949e+5,,8.949e+5,1.341e-2
209.38,1.160e+6,,1.160e+6,8.708e-3
209.40,1.762e+6,,1.762e+6,3.247e-3
209.42,2.360e+6,,2.360e+6,1.027e-3
209.43,2.615e+6,,2.615e+6,5.432e-4
209.45,2.963e+6,,2.963e+6,1.343e-4
209.47,3.032e+6,,3.032e+6,2.817e-5
209.48,2.956e+6,,2.956e+6,1.213e-5
209.50,2.606e+6,,2.606e+6,1.988e-6
209.52,2.066e+6,,2.066e+6,2.764e-7
209.53,1.763e+6,,1.763e+6,9.690e-8
209.55,1.172e+6,,1.172e+6,1.053e-8
209.57,6.852e+5,,6.852e+5,9.706e-10
209.58,4.978e+5,,4.978e+5,2.771e-10
209.60,2.364e+5,,2.364e+5,1.996e-11
209.62,9.707e+4,,9.707e+4,1.220e-12
209.63,5.883e+4,,5.883e+4,2.835e-13
209.65,1.928e+4,,1.928e+4,1.354e-14
209.67,5.419e+3,,5.419e+3,5.486e-16
209.68,2.710e+3,,2.710e+3,1.038e-16
209.70,6.025e+2,,6.025e+2,3.287e-18
209.72,1.143e+2,,1.143e+2,3.282e-18
209.73,4.692e+1,,4.692e+1,3.279e-18
209.75,7.008e+0,,7.008e+0,3.273e-18
209.77,8.912e-1,,8.912e-1,3.267e-18
209.78,2.992e-1,,2.992e-1,3.264e-18
209.80,2.985e-2,,2.985e-2,3.258e-18
209.82,2.533e-3,,2.533e-3,3.252e-18
209.83,6.943e-4,,6.943e-4,3.249e-18
209.85,4.615e-5,,4.615e-5,3.243e-18
209.87,2.607e-6,,2.607e-6,3.237e-18
209.88,5.826e-7,,5.826e-7,3.234e-18
209.90,2.576e-8,,2.576e-8,3.228e-18
209.92,9.604e-10,,9.604e-10,3.222e-18
209.93,1.751e-10,,1.751e-10,3.219e-18
211.38,7.549e-11,7.549e-11,1.492e-10,2.788e-18
211.40,2.576e-9,2.576e-9,1.489e-10,2.782e-18
211.42,7.487e-8,7.487e-8,1.485e-10,2.776e-18
211.43,3.801e-7,3.801e-7,1.483e-10,2.773e-18
211.45,8.684e-6,8.684e-6,1.480e-10,2.767e-18
211.47,1.690e-4,1.690e-4,1.476e-10,2.761e-18
211.48,7.020e-4,7.020e-4,1.474e-10,2.758e-18
211.50,1.074e-2,1.074e-2,1.471e-10,2.752e-18
211.52,1.399e-1,1.399e-1,1.467e-10,2.746e-18
211.53,4.756e-1,4.756e-1,1.465e-10,2.744e-18
211.55,4.871e+0,4.871e+0,1.462e-10,2.738e-18
211.57,4.250e+1,4.250e+1,1.458e-10,2.732e-18
211.58,1.182e+2,1.182e+2,1.456e-10,2.729e-18
211.60,8.107e+2,8.107e+2,1.453e-10,2.723e-18
211.62,4.736e+3,4.736e+3,1.449e-10,2.717e-18
211.63,1.078e+4,1.078e+4,1.447e-10,2.714e-18
211.65,4.949e+4,4.949e+4,1.444e-10,2.708e-18
