Wavelength (nm),Sum(calc),Al I (8.2e-2),Al II (9.2e-1),Al III (1.3e-6)
201.18,3.784e-15,,3.784e-15,
201.20,1.760e-13,,1.760e-13,
201.22,6.159e-12,,6.159e-12,
201.23,3.408e-11,,3.408e-11,
201.25,9.145e-10,,9.145e-10,
201.27,2.058e-8,,2.058e-8,
201.28,9.139e-8,,9.139e-8,
201.30,1.580e-6,,1.580e-6,
201.32,2.291e-5,,2.291e-5,
201.33,8.168e-5,,8.168e-5,
201.35,9.104e-4,,9.104e-4,
201.37,8.516e-3,,8.516e-3,
201.38,2.439e-2,,2.439e-2,
201.40,1.755e-1,,1.755e-1,
201.42,1.061e+0,,1.061e+0,
201.43,2.443e+0,,2.443e+0,
201.45,1.137e+1,,1.137e+1,
201.47,4.449e+1,,4.449e+1,
201.48,8.247e+1,,8.247e+1,
201.50,2.490e+2,,2.490e+2,
201.52,6.326e+2,,6.326e+2,
201.53,9.455e+2,,9.455e+2,
201.55,1.858e+3,,1.858e+3,
201.57,3.078e+3,,3.078e+3,
201.58,3.718e+3,,3.718e+3,
201.60,4.778e+3,,4.778e+3,
201.62,5.188e+3,,5.188e+3,
201.63,5.077e+3,,5.077e+3,
201.65,4.289e+3,,4.289e+3,
201.67,3.068e+3,,3.068e+3,
201.68,2.438e+3,,2.438e+3,
201.70,1.360e+3,,1.360e+3,
201.72,6.434e+2,,6.434e+2,
201.73,4.159e+2,,4.159e+2,
201.75,1.535e+2,,1.535e+2,
201.77,4.804e+1,,4.804e+1,
201.78,2.526e+1,,2.526e+1,
201.80,6.161e+0,,6.161e+0,
201.82,1.272e+0,,1.272e+0,
201.83,5.428e-1,,5.428e-1,
201.85,8.711e-2,,8.711e-2,
201.87,1.181e-2,,1.181e-2,
201.88,4.079e-3,,4.079e-3,
201.90,4.295e-4,,4.295e-4,
201.92,5.532e-5,,5.532e-5,
201.93,7.167e-5,,7.167e-5,
201.95,6.591e-4,,6.591e-4,
201.97,5.948e-3,,5.948e-3,
201.98,1.674e-2,,1.674e-2,
202.00,1.161e-1,,1.161e-1,
202.02,6.755e-1,,6.755e-1,
202.03,1.525e+0,,1.525e+0,
202.05,6.814e+0,,6.814e+0,
202.07,2.552e+1,,2.552e+1,
202.08,4.624e+1,,4.624e+1,
202.10,1.330e+2,,1.330e+2,
202.12,3.208e+2,,3.208e+2,
202.13,4.664e+2,,4.664e+2,
202.15,8.639e+2,,8.639e+2,
202.17,1.342e+3,,1.342e+3,
202.18,1.565e+3,,1.565e+3,
202.20,1.867e+3,,1.867e+3,
202.22,1.867e+3,,1.867e+3,
202.23,1.747e+3,,1.747e+3,
202.25,1.342e+3,,1.342e+3,
202.27,8.639e+2,,8.639e+2,
202.28,6.489e+2,,6.489e+2,
202.30,3.208e+2,,3.208e+2,
202.32,1.330e+2,,1.330e+2,
202.33,8.018e+1,,8.018e+1,
