Wavelength (nm),Sum,Al I (3.4e-01),Al II (6.6e-01),Al III (4.9e-05)
281.34,4.651e+4,,4.651e+4,
281.36,1.584e+5,,1.584e+5,
281.37,2.826e+5,,2.826e+5,
281.39,8.399e+5,,8.399e+5,
281.41,2.280e+6,,2.280e+6,
281.42,3.631e+6,,3.631e+6,
281.44,8.601e+6,,8.601e+6,
281.46,1.861e+7,,1.861e+7,
281.47,2.645e+7,,2.645e+7,
281.49,4.994e+7,,4.994e+7,
281.51,8.610e+7,,8.610e+7,
281.52,1.093e+8,,1.093e+8,
281.54,1.644e+8,,1.644e+8,
281.56,2.259e+8,,2.259e+8,
281.57,2.559e+8,,2.559e+8,
281.59,3.069e+8,,3.069e+8,
281.61,3.361e+8,,3.361e+8,
281.62,3.399e+8,,3.399e+8,
281.64,3.248e+8,,3.248e+8,
281.66,2.835e+8,,2.835e+8,
281.67,2.559e+8,,2.559e+8,
281.69,1.949e+8,,1.949e+8,
281.71,1.356e+8,,1.356e+8,
281.72,1.093e+8,,1.093e+8,
281.74,6.632e+7,,6.632e+7,
281.76,3.676e+7,,3.676e+7,
281.77,2.645e+7,,2.645e+7,
281.79,1.280e+7,,1.280e+7,
281.81,5.652e+6,,5.652e+6,
281.82,3.631e+6,,3.631e+6,
281.84,1.400e+6,,1.400e+6,
281.86,4.927e+5,,4.927e+5,
281.87,2.826e+5,,2.826e+5,
281.89,8.681e+4,,8.681e+4,
281.91,2.435e+4,,2.435e+4,
281.92,1.247e+4,,1.247e+4,
281.94,3.053e+3,,3.053e+3,
281.96,6.826e+2,,6.826e+2,
281.97,3.119e+2,,3.119e+2,
281.99,6.087e+1,,6.087e+1,
282.01,1.085e+1,,1.085e+1,
282.02,4.425e+0,,4.425e+0,
282.04,6.882e-1,,6.882e-1,
282.06,9.772e-2,,9.772e-2,
282.07,3.559e-2,,3.559e-2,
282.09,4.411e-3,,4.411e-3,
282.11,4.992e-4,,4.992e-4,
282.12,1.623e-4,,1.623e-4,
282.14,1.603e-5,,1.603e-5,
282.16,1.446e-6,,1.446e-6,
282.17,4.198e-7,,4.198e-7,
282.19,3.304e-8,,3.304e-8,
295.51,1.151e-19,,,1.151e-19
295.53,1.297e-18,,,1.297e-18
295.55,1.347e-17,,,1.347e-17
295.56,4.210e-17,,,4.210e-17
295.58,3.865e-16,,,3.865e-16
295.6,3.269e-15,,,3.269e-15
295.61,9.219e-15,,,9.219e-15
295.63,6.893e-14,,,6.893e-14
295.65,4.748e-13,,,4.748e-13
295.66,1.208e-12,,,1.208e-12
295.68,7.358e-12,,,7.358e-12
295.7,4.128e-11,,,4.128e-11
295.71,9.480e-11,,,9.480e-11
295.73,4.702e-10,,,4.702e-10
295.75,2.148e-9,,,2.148e-9
295.76,4.452e-9,,,4.452e-9
295.78,1.798e-8,,,1.798e-8
295.8,6.690e-8,,,6.690e-8
295.81,1.251e-7,,,1.251e-7
295.83,4.116e-7,,,4.116e-7
295.85,1.247e-6,,,1.247e-6
295.86,2.105e-6,,,2.105e-6
295.88,5.639e-6,,,5.639e-6
295.9,1.392e-5,,,1.392e-5
295.91,2.120e-5,,,2.120e-5
295.93,4.625e-5,,,4.625e-5
295.95,9.295e-5,,,9.295e-5
295.96,1.278e-4,,,1.278e-4
295.98,2.270e-4,,,2.270e-4
296,3.716e-4,,,3.716e-4
296.01,4.610e-4,,,4.610e-4
296.03,6.671e-4,,,6.671e-4
296.05,8.892e-4,,,8.892e-4
296.06,9.955e-4,,,9.955e-4
296.08,1.173e-3,,,1.173e-3
296.1,1.274e-3,,,1.274e-3
296.11,1.287e-3,,,1.287e-3
296.13,1.235e-3,,,1.235e-3
296.15,1.092e-3,,,1.092e-3
296.16,9.955e-4,,,9.955e-4
296.18,7.781e-4,,,7.781e-4
296.2,5.603e-4,,,5.603e-4
296.21,4.610e-4,,,4.610e-4
296.23,2.935e-4,,,2.935e-4
296.25,1.721e-4,,,1.721e-4
296.26,1.278e-4,,,1.278e-4
296.28,6.624e-5,,,6.624e-5
296.3,3.164e-5,,,3.164e-5
296.31,2.120e-5,,,2.120e-5
296.33,8.950e-6,,,8.950e-6
296.35,3.481e-6,,,3.481e-6
296.36,2.105e-6,,,2.105e-6
296.38,7.239e-7,,,7.239e-7
