Wavelength (nm),Sum,Al I (3.4e-01),Al II (6.6e-01),Al III (4.9e-05)
309.62,6.586e+5,6.586e+5,,
309.63,3.387e+5,3.387e+5,,
309.65,8.471e+4,8.471e+4,,
309.67,1.965e+4,1.965e+4,,
309.68,9.202e+3,9.202e+3,,
309.7,1.907e+3,1.907e+3,,
309.72,3.668e+2,3.668e+2,,
309.73,1.564e+2,1.564e+2,,
309.75,2.687e+1,2.687e+1,,
309.77,4.283e+0,4.283e+0,,
309.78,1.662e+0,1.662e+0,,
309.8,2.368e-1,2.368e-1,,
309.82,3.129e-2,3.129e-2,,
309.83,1.106e-2,1.106e-2,,
309.85,1.306e-3,1.306e-3,,
309.87,1.430e-4,1.430e-4,,
309.88,4.602e-5,4.602e-5,,
309.9,4.505e-6,4.505e-6,,
317.37,6.281e-20,,,6.281e-20
317.39,5.916e-19,,,5.916e-19
317.4,1.768e-18,,,1.768e-18
317.42,1.496e-17,,,1.496e-17
317.44,1.179e-16,,,1.179e-16
317.45,3.224e-16,,,3.224e-16
317.47,2.284e-15,,,2.284e-15
317.49,1.507e-14,,,1.507e-14
317.5,3.769e-14,,,3.769e-14
317.52,2.234e-13,,,2.234e-13
317.54,1.234e-12,,,1.234e-12
317.55,2.823e-12,,,2.823e-12
317.57,1.401e-11,,,1.401e-11
317.59,6.474e-11,,,6.474e-11
317.6,1.355e-10,,,1.355e-10
317.62,5.628e-10,,,5.628e-10
317.64,2.177e-9,,,2.177e-9
317.65,4.168e-9,,,4.168e-9
317.67,1.449e-8,,,1.449e-8
317.69,4.691e-8,,,4.691e-8
317.7,8.217e-8,,,8.217e-8
317.72,2.391e-7,,,2.391e-7
317.74,6.477e-7,,,6.477e-7
317.75,1.038e-6,,,1.038e-6
317.77,2.528e-6,,,2.528e-6
317.79,5.732e-6,,,5.732e-6
317.8,8.404e-6,,,8.404e-6
317.82,1.713e-5,,,1.713e-5
317.84,3.251e-5,,,3.251e-5
317.85,4.360e-5,,,4.360e-5
317.87,7.437e-5,,,7.437e-5
317.89,1.181e-4,,,1.181e-4
317.9,1.450e-4,,,1.450e-4
317.92,2.070e-4,,,2.070e-4
317.94,2.751e-4,,,2.751e-4
317.95,3.089e-4,,,3.089e-4
317.97,3.691e-4,,,3.691e-4
317.99,4.107e-4,,,4.107e-4
318,4.218e-4,,,4.218e-4
318.02,4.218e-4,,,4.218e-4
318.04,3.928e-4,,,3.928e-4
318.05,3.691e-4,,,3.691e-4
318.07,3.091e-4,,,3.091e-4
318.09,2.412e-4,,,2.412e-4
318.1,2.078e-4,,,2.078e-4
318.12,1.471e-4,,,1.471e-4
318.14,9.968e-5,,,9.968e-5
318.15,8.212e-5,,,8.212e-5
318.17,6.053e-5,,,6.053e-5
318.19,5.824e-5,,,5.824e-5
318.2,6.495e-5,,,6.495e-5
318.22,9.587e-5,,,9.587e-5
318.24,1.528e-4,,,1.528e-4
318.25,1.919e-4,,,1.919e-4
318.27,2.910e-4,,,2.910e-4
318.29,4.140e-4,,,4.140e-4
318.3,4.813e-4,,,4.813e-4
318.32,6.169e-4,,,6.169e-4
318.34,7.367e-4,,,7.367e-4
318.35,7.839e-4,,,7.839e-4
318.37,8.416e-4,,,8.416e-4
318.39,8.416e-4,,,8.416e-4
318.4,8.195e-4,,,8.195e-4
318.42,7.366e-4,,,7.366e-4
318.44,6.168e-4,,,6.168e-4
318.45,5.496e-4,,,5.496e-4
318.47,4.136e-4,,,4.136e-4
318.49,2.900e-4,,,2.900e-4
318.5,2.364e-4,,,2.364e-4
318.52,1.490e-4,,,1.490e-4
318.54,8.747e-5,,,8.747e-5
318.55,6.525e-5,,,6.525e-5
318.57,3.443e-5,,,3.443e-5
318.59,1.692e-5,,,1.692e-5
318.6,1.155e-5,,,1.155e-5
318.62,5.105e-6,,,5.105e-6
318.64,2.101e-6,,,2.101e-6
318.65,1.312e-6,,,1.312e-6
318.67,4.854e-7,,,4.854e-7
318.69,1.673e-7,,,1.673e-7
318.7,9.561e-8,,,9.561e-8
318.72,2.962e-8,,,2.962e-8
318.74,8.545e-9,,,8.545e-9
318.75,4.469e-9,,,4.469e-9
318.77,1.159e-9,,,1.159e-9
318.79,2.800e-10,,,2.800e-10
318.8,1.340e-10,,,1.340e-10
318.82,2.910e-11,,,2.910e-11
318.84,5.887e-12,,,5.887e-12
318.85,2.578e-12,,,2.578e-12
318.87,4.688e-13,,,4.688e-13
318.89,7.939e-14,,,7.939e-14
318.9,3.181e-14,,,3.181e-14
318.92,4.843e-15,,,4.843e-15
318.94,6.868e-16,,,6.868e-16
318.95,2.519e-16,,,2.519e-16
318.97,3.211e-17,,,3.211e-17
318.99,3.812e-18,,,3.812e-18
319,1.279e-18,,,1.279e-18
319.02,1.365e-19,,,1.365e-19
326.91,1.584e-11,,1.584e-11,
326.92,4.833e-11,,4.833e-11,
326.94,4.279e-10,,4.279e-10,
326.96,3.542e-9,,3.542e-9,
326.97,9.937e-9,,9.937e-9,
326.99,7.438e-8,,7.438e-8,
327.01,5.206e-7,,5.206e-7,
327.02,1.343e-6,,1.343e-6,
327.04,8.501e-6,,8.501e-6,
327.06,5.031e-5,,5.031e-5,
327.07,1.194e-4,,1.194e-4,
327.09,6.388e-4,,6.388e-4,
327.11,3.197e-3,,3.197e-3,
327.12,6.974e-3,,6.974e-3,
327.14,3.156e-2,,3.156e-2,
327.16,1.336e-1,,1.336e-1,
327.17,2.679e-1,,2.679e-1,
327.19,1.025e+0,,1.025e+0,
327.21,3.668e+0,,3.668e+0,
327.22,6.766e+0,,6.766e+0,
327.24,2.189e+1,,2.189e+1,
327.26,6.624e+1,,6.624e+1,
327.27,1.124e+2,,1.124e+2,
327.29,3.074e+2,,3.074e+2,
327.31,7.864e+2,,7.864e+2,
327.32,1.227e+3,,1.227e+3,
327.34,2.838e+3,,2.838e+3,
327.36,6.139e+3,,6.139e+3,
327.37,8.804e+3,,8.804e+3,
327.39,1.722e+4,,1.722e+4,
327.41,3.150e+4,,3.150e+4,
327.42,4.155e+4,,4.155e+4,
327.44,6.872e+4,,6.872e+4,
327.46,1.063e+5,,1.063e+5,
327.47,1.289e+5,,1.289e+5,
327.49,1.803e+5,,1.803e+5,
327.51,2.358e+5,,2.358e+5,
327.52,2.630e+5,,2.630e+5,
327.54,3.110e+5,,3.110e+5,
327.56,3.439e+5,,3.439e+5,
327.57,3.527e+5,,3.527e+5,
327.59,3.527e+5,,3.527e+5,
327.61,3.298e+5,,3.298e+5,
327.62,3.110e+5,,3.110e+5,
327.64,2.630e+5,,2.630e+5,
327.66,2.079e+5,,2.079e+5,
327.67,1.803e+5,,1.803e+5,
327.69,1.289e+5,,1.289e+5,
327.71,8.619e+4,,8.619e+4,
327.72,6.872e+4,,6.872e+4,
327.74,4.155e+4,,4.155e+4,
327.76,2.349e+4,,2.349e+4,
327.77,1.722e+4,,1.722e+4,
327.79,8.804e+3,,8.804e+3,
327.81,4.209e+3,,4.209e+3,
327.82,2.838e+3,,2.838e+3,
327.84,1.227e+3,,1.227e+3,
327.86,4.958e+2,,4.958e+2,
327.87,3.074e+2,,3.074e+2,
327.89,1.124e+2,,1.124e+2,
327.91,3.840e+1,,3.840e+1,
327.92,2.189e+1,,2.189e+1,
327.94,6.766e+0,,6.766e+0,
327.96,1.955e+0,,1.955e+0,
327.97,1.025e+0,,1.025e+0,
327.99,2.679e-1,,2.679e-1,
328.01,6.547e-2,,6.547e-2,
328.02,3.156e-2,,3.156e-2,
328.04,6.974e-3,,6.974e-3,
328.06,1.441e-3,,1.441e-3,
328.07,6.388e-4,,6.388e-4,
328.09,1.194e-4,,1.194e-4,
328.11,2.086e-5,,2.086e-5,
328.12,8.501e-6,,8.501e-6,
328.14,1.343e-6,,1.343e-6,
328.16,1.984e-7,,1.984e-7,
328.17,7.438e-8,,7.438e-8,
328.19,9.937e-9,,9.937e-9,
328.21,1.241e-9,,1.241e-9,
328.22,4.279e-10,,4.279e-10,
328.24,4.833e-11,,4.833e-11,
334.17,6.156e-19,,,6.156e-19
334.19,5.291e-18,,,5.291e-18
334.21,4.265e-17,,,4.265e-17
334.22,1.182e-16,,,1.182e-16
334.24,8.652e-16,,,8.652e-16
334.26,5.940e-15,,,5.940e-15
334.27,1.519e-14,,,1.519e-14
334.29,9.471e-14,,,9.471e-14
334.31,5.538e-13,,,5.538e-13
334.32,1.307e-12,,,1.307e-12
334.34,6.941e-12,,,6.941e-12
334.36,3.456e-11,,,3.456e-11
334.38,1.614e-10,,,1.614e-10
334.39,3.405e-10,,,3.405e-10
334.41,1.444e-9,,,1.444e-9
334.43,5.743e-9,,,5.743e-9
334.44,1.118e-8,,,1.118e-8
334.46,4.039e-8,,,4.039e-8
334.48,1.368e-7,,1.999e-11,1.368e-7
334.49,2.459e-7,,5.804e-11,2.458e-7
334.51,7.566e-7,,4.661e-10,7.562e-7
334.53,2.185e-6,,3.511e-9,2.182e-6
334.54,3.627e-6,,9.407e-9,3.617e-6
334.56,9.542e-6,,6.436e-8,9.478e-6
334.58,2.370e-5,,4.130e-7,2.329e-5
334.59,3.666e-5,,1.021e-6,3.564e-5
334.61,8.547e-5,,5.952e-6,7.952e-5
334.63,1.990e-4,,3.254e-5,1.664e-4
334.64,3.093e-4,,7.427e-5,2.350e-4
334.66,8.155e-4,,3.688e-4,4.467e-4
334.68,2.514e-3,,1.718e-3,7.961e-4
334.69,4.656e-3,,3.619e-3,1.038e-3
334.71,1.699e-2,,1.531e-2,1.679e-3
334.73,6.329e-2,,6.074e-2,2.549e-3
334.74,1.212e-1,,1.181e-1,3.066e-3
334.76,4.299e-1,,4.257e-1,4.228e-3
334.78,1.444e+0,,1.439e+0,5.467e-3
334.79,2.588e+0,,2.582e+0,6.069e-3
334.81,7.936e+0,,7.929e+0,7.131e-3
334.83,2.284e+1,,2.283e+1,7.862e-3
334.84,3.783e+1,,3.782e+1,8.063e-3
334.86,9.894e+1,,9.893e+1,8.098e-3
334.88,2.427e+2,,2.427e+2,7.664e-3
334.89,3.711e+2,,3.711e+2,7.303e-3
334.91,8.270e+2,,8.270e+2,6.399e-3
334.93,1.728e+3,,1.728e+3,5.419e-3
334.94,2.439e+3,,2.439e+3,4.962e-3
334.96,4.631e+3,,4.631e+3,4.218e-3
334.98,8.245e+3,,8.245e+3,3.778e-3
334.99,1.074e+4,,1.074e+4,3.682e-3
335.01,1.737e+4,,1.737e+4,3.710e-3
335.03,2.635e+4,,2.635e+4,3.946e-3
335.04,3.168e+4,,3.168e+4,4.099e-3
335.06,4.365e+4,,4.365e+4,4.388e-3
335.08,5.641e+4,,5.641e+4,4.543e-3
335.09,6.261e+4,,6.261e+4,4.543e-3
335.11,7.349e+4,,7.349e+4,4.358e-3
335.13,8.090e+4,,8.090e+4,3.941e-3
335.14,8.287e+4,,8.287e+4,3.662e-3
335.16,8.287e+4,,8.287e+4,3.017e-3
335.18,7.773e+4,,7.773e+4,2.333e-3
335.19,7.349e+4,,7.349e+4,2.003e-3
335.21,6.261e+4,,6.261e+4,1.408e-3
335.23,5.002e+4,,5.002e+4,9.277e-4
335.24,4.365e+4,,4.365e+4,7.353e-4
335.26,3.168e+4,,3.168e+4,4.402e-4
335.28,2.157e+4,,2.157e+4,2.472e-4
335.29,1.737e+4,,1.737e+4,1.808e-4
335.31,1.074e+4,,1.074e+4,9.222e-5
335.33,6.229e+3,,6.229e+3,4.411e-5
335.34,4.631e+3,,4.631e+3,2.979e-5
335.36,2.439e+3,,2.439e+3,1.294e-5
335.38,1.205e+3,,1.205e+3,5.274e-6
335.39,8.270e+2,,8.270e+2,3.286e-6
335.41,3.711e+2,,3.711e+2,1.216e-6
335.43,1.562e+2,,1.562e+2,4.223e-7
335.44,9.893e+1,,9.893e+1,2.429e-7
335.46,3.782e+1,,3.782e+1,7.658e-8
335.48,1.356e+1,,1.356e+1,2.265e-8
335.49,7.929e+0,,7.929e+0,1.202e-8
335.51,2.582e+0,,2.582e+0,3.230e-9
335.53,7.889e-1,,7.889e-1,8.136e-10
335.54,4.257e-1,,4.257e-1,3.987e-10
335.56,1.181e-1,,1.181e-1,9.122e-11
335.58,3.074e-2,,3.074e-2,1.958e-11
335.59,1.531e-2,,1.531e-2,8.853e-12
335.61,3.619e-3,,3.619e-3,1.726e-12
335.63,8.023e-4,,8.023e-4,3.155e-13
335.64,3.688e-4,,3.688e-4,1.317e-13
335.66,7.427e-5,,7.427e-5,2.187e-14
335.68,1.403e-5,,1.403e-5,3.406e-15
335.69,5.952e-6,,5.952e-6,1.312e-15
335.71,1.021e-6,,1.021e-6,1.856e-16
335.73,1.643e-7,,1.643e-7,2.463e-17
335.74,6.436e-8,,6.436e-8,8.757e-18
335.76,9.407e-9,,9.407e-9,1.055e-18
335.78,1.290e-9,,1.290e-9,
335.79,4.661e-10,,4.661e-10,
335.81,5.804e-11,,5.804e-11,
342.21,4.776e-11,,4.776e-11,
342.23,3.715e-10,,3.715e-10,
342.24,1.013e-9,,1.013e-9,
342.26,7.187e-9,,7.187e-9,
342.28,4.797e-8,,4.797e-8,
342.29,1.211e-7,,1.211e-7,
342.31,7.376e-7,,7.376e-7,
342.33,4.224e-6,,4.224e-6,
342.34,9.881e-6,,9.881e-6,
342.36,5.163e-5,,5.163e-5,
342.38,2.537e-4,,2.537e-4,
342.39,5.497e-4,,5.497e-4,
342.41,2.464e-3,,2.464e-3,
342.43,1.039e-2,,1.039e-2,
342.44,2.086e-2,,2.086e-2,
342.46,8.023e-2,,8.023e-2,
342.48,2.903e-1,,2.903e-1,
342.49,5.396e-1,,5.396e-1,
342.51,1.781e+0,,1.781e+0,
342.53,5.530e+0,,5.530e+0,
342.54,9.523e+0,,9.523e+0,
342.56,2.697e+1,,2.697e+1,
342.58,7.185e+1,,7.185e+1,
342.59,1.146e+2,,1.146e+2,
342.61,2.785e+2,,2.785e+2,
342.63,6.366e+2,,6.366e+2,
342.64,9.406e+2,,9.406e+2,
342.66,1.961e+3,,1.961e+3,
342.68,3.847e+3,,3.847e+3,
342.69,5.265e+3,,5.265e+3,
342.71,9.420e+3,,9.420e+3,
342.73,1.585e+4,,1.585e+4,
342.74,2.010e+4,,2.010e+4,
342.76,3.086e+4,,3.086e+4,
342.78,4.456e+4,,4.456e+4,
342.79,5.233e+4,,5.233e+4,
342.81,6.893e+4,,6.893e+4,
342.83,8.541e+4,,8.541e+4,
342.84,9.291e+4,,9.291e+4,
342.86,1.050e+5,,1.050e+5,
342.88,1.117e+5,,1.117e+5,
342.89,1.125e+5,,1.125e+5,
342.91,1.091e+5,,1.091e+5,
342.93,9.954e+4,,9.954e+4,
342.94,9.291e+4,,9.291e+4,
342.96,7.732e+4,,7.732e+4,
342.98,6.052e+4,,6.052e+4,
342.99,5.233e+4,,5.233e+4,
343.01,3.737e+4,,3.737e+4,
343.03,2.510e+4,,2.510e+4,
343.04,2.010e+4,,2.010e+4,
343.06,1.231e+4,,1.231e+4,
343.08,7.097e+3,,7.097e+3,
343.09,5.265e+3,,5.265e+3,
343.11,2.768e+3,,2.768e+3,
343.13,1.369e+3,,1.369e+3,
343.14,9.406e+2,,9.406e+2,
343.16,4.243e+2,,4.243e+2,
343.18,1.800e+2,,1.800e+2,
343.19,1.146e+2,,1.146e+2,
343.21,4.436e+1,,4.436e+1,
343.23,1.615e+1,,1.615e+1,
343.24,9.523e+0,,9.523e+0,
343.26,3.163e+0,,3.163e+0,
343.28,9.879e-1,,9.879e-1,
343.29,5.396e-1,,5.396e-1,
343.31,1.538e-1,,1.538e-1,
343.33,4.122e-2,,4.122e-2,
343.34,2.086e-2,,2.086e-2,
343.36,5.099e-3,,5.099e-3,
343.38,1.173e-3,,1.173e-3,
343.39,5.497e-4,,5.497e-4,
343.41,1.153e-4,,1.153e-4,
343.43,2.276e-5,,2.276e-5,
343.44,9.881e-6,,9.881e-6,
343.46,1.779e-6,,1.779e-6,
343.48,3.012e-7,,3.012e-7,
343.49,1.211e-7,,1.211e-7,
343.51,1.871e-8,,1.871e-8,
343.53,2.718e-9,,2.718e-9,
343.54,1.013e-9,,1.013e-9,
343.56,1.342e-10,,1.342e-10,
343.58,1.673e-11,,1.673e-11,
351.78,1.488e-19,,,1.488e-19
351.8,1.138e-18,,,1.138e-18
351.81,3.078e-18,,,3.078e-18
351.83,2.158e-17,,,2.158e-17
351.85,1.427e-16,,,1.427e-16
351.86,3.593e-16,,,3.593e-16
351.88,2.180e-15,,,2.180e-15
351.9,1.248e-14,,,1.248e-14
351.91,2.922e-14,,,2.922e-14
351.93,1.534e-13,,,1.534e-13
351.95,7.603e-13,,,7.603e-13
351.96,1.656e-12,,,1.656e-12
351.98,7.526e-12,,,7.526e-12
352,3.228e-11,,,3.228e-11
352.01,6.541e-11,,,6.541e-11
352.03,2.572e-10,,,2.572e-10
352.05,9.548e-10,,,9.548e-10
352.06,1.800e-9,,,1.800e-9
352.08,6.127e-9,,,6.127e-9
352.1,1.968e-8,,,1.968e-8
352.11,3.453e-8,,,3.453e-8
352.13,1.017e-7,,,1.017e-7
352.15,2.828e-7,,,2.828e-7
352.16,4.615e-7,,,4.615e-7
352.18,1.177e-6,,,1.177e-6
352.2,2.832e-6,,,2.832e-6
352.21,4.298e-6,,,4.298e-6
352.23,9.486e-6,,,9.486e-6
352.25,1.976e-5,,,1.976e-5
352.26,2.791e-5,,,2.791e-5
352.28,5.330e-5,,,5.330e-5
352.3,9.610e-5,,,9.610e-5
352.31,1.263e-4,,,1.263e-4
352.33,2.088e-4,,,2.088e-4
352.35,3.258e-4,,,3.258e-4
352.36,3.982e-4,,,3.982e-4
352.38,5.698e-4,,,5.698e-4
352.4,7.697e-4,,,7.697e-4
352.41,8.753e-4,,,8.753e-4
352.43,1.084e-3,,,1.084e-3
352.45,1.268e-3,,,1.268e-3
352.46,1.341e-3,,,1.341e-3
352.48,1.438e-3,,,1.438e-3
352.5,1.455e-3,,,1.455e-3
352.51,1.432e-3,,,1.432e-3
352.53,1.329e-3,,,1.329e-3
352.55,1.164e-3,,,1.164e-3
352.56,1.066e-3,,,1.066e-3
352.58,8.564e-4,,,8.564e-4
352.6,6.493e-4,,,6.493e-4
352.61,5.533e-4,,,5.533e-4
352.63,3.847e-4,,,3.847e-4
352.65,2.524e-4,,,2.524e-4
352.66,2.001e-4,,,2.001e-4
352.68,1.204e-4,,,1.204e-4
352.7,6.842e-5,,,6.842e-5
352.71,5.046e-5,,,5.046e-5
352.73,2.629e-5,,,2.629e-5
352.75,1.292e-5,,,1.292e-5
352.76,8.869e-6,,,8.869e-6
352.78,3.999e-6,,,3.999e-6
352.8,1.702e-6,,,1.702e-6
352.81,1.087e-6,,,1.087e-6
352.83,4.241e-7,,,4.241e-7
352.85,1.562e-7,,,1.562e-7
352.86,9.280e-8,,,9.280e-8
352.88,3.135e-8,,,3.135e-8
352.9,9.998e-9,,,9.998e-9
352.91,5.525e-9,,,5.525e-9
352.93,1.616e-9,,,1.616e-9
352.95,4.460e-10,,,4.460e-10
352.96,2.293e-10,,,2.293e-10
352.98,5.804e-11,,,5.804e-11
353,1.387e-11,,,1.387e-11
353.01,6.632e-12,,,6.632e-12
353.03,1.453e-12,,,1.453e-12
353.05,3.005e-13,,,3.005e-13
353.06,1.337e-13,,,1.337e-13
353.08,2.536e-14,,,2.536e-14
353.1,4.540e-15,,,4.540e-15
353.11,1.880e-15,,,1.880e-15
353.13,3.085e-16,,,3.085e-16
353.15,4.780e-17,,,4.780e-17
353.16,1.841e-17,,,1.841e-17
353.18,2.616e-18,,,2.616e-18
353.2,3.508e-19,,,3.508e-19
353.21,8.342e-20,,,8.342e-20
357.93,2.453e-9,,2.453e-9,
357.95,1.840e-8,,1.840e-8,
357.97,1.311e-7,,1.311e-7,
357.98,3.437e-7,,3.437e-7,
358,2.244e-6,,2.244e-6,
358.02,1.386e-5,,1.386e-5,
358.03,3.373e-5,,3.373e-5,
358.05,1.915e-4,,1.915e-4,
358.07,1.029e-3,,1.029e-3,
358.08,2.335e-3,,2.335e-3,
358.1,1.154e-2,,1.154e-2,
358.12,5.391e-2,,5.391e-2,
358.13,1.141e-1,,1.141e-1,
358.15,4.907e-1,,4.907e-1,
358.17,1.996e+0,,1.996e+0,
358.18,3.941e+0,,3.941e+0,
358.2,1.475e+1,,1.475e+1,
358.22,5.222e+1,,5.222e+1,
358.23,9.625e+1,,9.625e+1,
358.25,3.137e+2,,3.137e+2,
358.27,9.675e+2,,9.675e+2,
358.28,1.664e+3,,1.664e+3,
358.3,4.727e+3,,4.727e+3,
358.32,1.271e+4,,1.271e+4,
358.33,2.042e+4,,2.042e+4,
358.35,5.059e+4,,5.059e+4,
358.37,1.187e+5,,1.187e+5,
358.38,1.782e+5,,1.782e+5,
358.4,3.857e+5,,3.857e+5,
358.42,7.912e+5,,7.912e+5,
358.43,1.111e+6,,1.111e+6,
358.45,2.103e+6,,2.103e+6,
358.47,3.779e+6,,3.779e+6,
358.48,4.966e+6,,4.966e+6,
358.5,8.249e+6,,8.249e+6,
358.52,1.301e+7,,1.301e+7,
358.53,1.603e+7,,1.603e+7,
358.55,2.342e+7,,2.342e+7,
358.57,3.253e+7,,3.253e+7,
358.58,3.762e+7,,3.762e+7,
358.6,4.848e+7,,4.848e+7,
358.62,5.946e+7,,5.946e+7,
358.63,6.466e+7,,6.466e+7,
358.65,7.370e+7,,7.370e+7,
358.67,8.004e+7,,8.004e+7,
358.68,8.192e+7,,8.192e+7,
358.7,8.276e+7,,8.276e+7,
358.72,7.969e+7,,7.969e+7,
358.73,7.680e+7,,7.680e+7,
358.75,6.881e+7,,6.881e+7,
358.77,5.875e+7,,5.875e+7,
358.78,5.331e+7,,5.331e+7,
358.8,4.232e+7,,4.232e+7,
358.82,3.199e+7,,3.199e+7,
358.83,2.731e+7,,2.731e+7,
358.85,1.917e+7,,1.917e+7,
358.87,1.280e+7,,1.280e+7,
358.88,1.027e+7,,1.027e+7,
358.9,6.358e+6,,6.358e+6,
358.92,3.741e+6,,3.741e+6,
358.93,2.815e+6,,2.815e+6,
358.95,1.533e+6,,1.533e+6,
358.97,7.929e+5,,7.929e+5,
358.98,5.591e+5,,5.591e+5,
359,2.672e+5,,2.672e+5,
359.02,1.212e+5,,1.212e+5,
359.03,7.997e+4,,7.997e+4,
359.05,3.348e+4,,3.348e+4,
359.07,1.329e+4,,1.329e+4,
359.08,8.202e+3,,8.202e+3,
359.1,3.003e+3,,3.003e+3,
359.12,1.041e+3,,1.041e+3,
359.13,6.010e+2,,6.010e+2,
359.15,1.922e+2,,1.922e+2,
359.17,5.819e+1,,5.819e+1,
359.18,3.138e+1,,3.138e+1,
359.2,8.755e+0,,8.755e+0,
359.22,2.313e+0,,2.313e+0,
359.23,1.165e+0,,1.165e+0,
359.25,2.834e-1,,2.834e-1,
359.27,6.527e-2,,6.527e-2,
359.28,3.068e-2,,3.068e-2,
359.3,6.507e-3,,6.507e-3,
359.32,1.306e-3,,1.306e-3,
359.33,5.731e-4,,5.731e-4,
359.35,1.059e-4,,1.059e-4,
359.37,1.851e-5,,1.851e-5,
359.38,7.582e-6,,7.582e-6,
359.4,1.219e-6,,1.219e-6,
359.42,1.856e-7,,1.856e-7,
359.43,7.087e-8,,7.087e-8,2.673e-15
359.45,9.317e-9,,9.317e-9,1.971e-14
359.47,1.164e-9,,1.164e-9,1.384e-13
359.48,3.581e-13,,,3.581e-13
359.5,2.300e-12,,,2.300e-12
359.52,1.398e-11,,,1.398e-11
359.53,3.375e-11,,,3.375e-11
359.55,1.887e-10,,,1.887e-10
359.57,9.983e-10,,,9.983e-10
359.58,2.249e-9,,,2.249e-9
359.6,1.095e-8,,,1.095e-8
359.62,5.042e-8,,,5.042e-8
359.63,1.060e-7,,,1.060e-7
359.65,4.492e-7,,,4.492e-7
359.67,1.801e-6,,,1.801e-6
359.68,3.532e-6,,,3.532e-6
359.7,1.303e-5,,,1.303e-5
359.72,4.550e-5,,,4.550e-5
359.73,8.326e-5,,,8.326e-5
359.75,2.675e-4,,,2.675e-4
359.77,8.131e-4,,,8.131e-4
359.78,1.388e-3,,,1.388e-3
359.8,3.884e-3,,,3.884e-3
359.82,1.028e-2,,,1.028e-2
359.83,1.638e-2,,,1.638e-2
359.85,3.990e-2,,,3.990e-2
359.87,9.197e-2,,,9.197e-2
359.88,1.368e-1,,,1.368e-1
359.9,2.901e-1,,,2.901e-1
359.92,5.823e-1,,,5.823e-1
359.93,8.081e-1,,,8.081e-1
359.95,1.493e+0,,,1.493e+0
359.97,2.610e+0,,,2.610e+0
359.98,3.381e+0,,,3.381e+0
360,5.441e+0,,,5.441e+0
360.02,8.287e+0,,,8.287e+0
360.03,1.002e+1,,,1.002e+1
360.05,1.405e+1,,,1.405e+1
360.07,1.864e+1,,,1.864e+1
360.08,2.103e+1,,,2.103e+1
360.1,2.570e+1,,,2.570e+1
360.12,2.972e+1,,,2.972e+1
360.13,3.130e+1,,,3.130e+1
360.15,3.333e+1,,,3.333e+1
360.17,3.360e+1,,,3.360e+1
360.18,3.304e+1,,,3.304e+1
360.2,3.067e+1,,,3.067e+1
360.22,2.695e+1,,,2.695e+1
360.23,2.475e+1,,,2.475e+1
360.25,2.004e+1,,,2.004e+1
360.27,1.535e+1,,,1.535e+1
360.28,1.317e+1,,,1.317e+1
360.3,9.298e+0,,,9.298e+0
360.32,6.216e+0,,,6.216e+0
360.33,4.980e+0,,,4.980e+0
360.35,3.068e+0,,,3.068e+0
360.37,1.790e+0,,,1.790e+0
360.38,1.339e+0,,,1.339e+0
360.4,7.202e-1,,,7.202e-1
360.42,3.668e-1,,,3.668e-1
360.43,2.565e-1,,,2.565e-1
360.45,1.204e-1,,,1.204e-1
360.47,5.355e-2,,,5.355e-2
360.48,3.500e-2,,,3.500e-2
360.5,1.435e-2,,,1.435e-2
360.52,5.575e-3,,,5.575e-3
360.53,3.405e-3,,,3.405e-3
360.55,1.220e-3,,,1.220e-3
360.57,4.142e-4,,,4.142e-4
360.58,2.365e-4,,,2.365e-4
360.6,7.405e-5,,,7.405e-5
360.62,2.197e-5,,,2.197e-5
360.63,1.173e-5,,,1.173e-5
360.65,3.211e-6,,,3.211e-6
360.67,8.358e-7,,,8.358e-7
360.68,4.225e-7,,,4.225e-7
360.7,1.307e-7,,,1.307e-7
360.72,1.574e-7,,,1.574e-7
360.73,2.848e-7,,,2.848e-7
360.75,1.092e-6,,,1.092e-6
360.77,4.097e-6,,,4.097e-6
360.78,7.780e-6,,,7.780e-6
360.8,2.692e-5,,,2.692e-5
360.82,8.818e-5,,,8.818e-5
360.83,1.563e-4,,,1.563e-4
360.85,4.712e-4,,,4.712e-4
360.87,1.344e-3,,,1.344e-3
360.88,2.224e-3,,,2.224e-3
360.9,5.841e-3,,,5.841e-3
360.92,1.452e-2,,,1.452e-2
360.93,2.242e-2,,,2.242e-2
360.95,5.129e-2,,,5.129e-2
360.97,1.111e-1,,,1.111e-1
360.98,1.601e-1,,,1.601e-1
361,3.190e-1,,,3.190e-1
361.02,6.017e-1,,,6.017e-1
361.03,8.094e-1,,,8.094e-1
361.05,1.405e+0,,,1.405e+0
361.07,2.309e+0,,,2.309e+0
361.08,2.899e+0,,,2.899e+0
361.1,4.386e+0,,,4.386e+0
361.12,6.278e+0,,,6.278e+0
361.13,7.357e+0,,,7.357e+0
361.15,9.694e+0,,,9.694e+0
361.17,1.209e+1,,,1.209e+1
361.18,1.322e+1,,,1.322e+1
361.2,1.518e+1,,,1.518e+1
361.22,1.649e+1,,,1.649e+1
361.23,1.683e+1,,,1.683e+1
361.25,1.683e+1,,,1.683e+1
361.27,1.593e+1,,,1.593e+1
361.28,1.518e+1,,,1.518e+1
361.3,1.322e+1,,,1.322e+1
361.32,1.090e+1,,,1.090e+1
361.33,9.694e+0,,,9.694e+0
361.35,7.357e+0,,,7.357e+0
