Wavelength (nm),Sum(calc),Al I (7.3e-1),Al II (2.7e-1),Al III (1.4e-7)
201.18,2.761e-14,,2.761e-14,
201.20,1.284e-12,,1.284e-12,
201.22,4.494e-11,,4.494e-11,
201.23,2.487e-10,,2.487e-10,
201.25,6.673e-9,,6.673e-9,
201.27,1.502e-7,,1.502e-7,
201.28,6.669e-7,,6.669e-7,
201.30,1.153e-5,,1.153e-5,
201.32,1.672e-4,,1.672e-4,
201.33,5.960e-4,,5.960e-4,
201.35,6.643e-3,,6.643e-3,
201.37,6.215e-2,,6.215e-2,
201.38,1.780e-1,,1.780e-1,
201.40,1.281e+0,,1.281e+0,
201.42,7.741e+0,,7.741e+0,
201.43,1.783e+1,,1.783e+1,
201.45,8.297e+1,,8.297e+1,
201.47,3.247e+2,,3.247e+2,
201.48,6.018e+2,,6.018e+2,
201.50,1.817e+3,,1.817e+3,
201.52,4.616e+3,,4.616e+3,
201.53,6.899e+3,,6.899e+3,
201.55,1.356e+4,,1.356e+4,
201.57,2.246e+4,,2.246e+4,
201.58,2.713e+4,,2.713e+4,
201.60,3.486e+4,,3.486e+4,
201.62,3.786e+4,,3.786e+4,
201.63,3.704e+4,,3.704e+4,
201.65,3.130e+4,,3.130e+4,
201.67,2.239e+4,,2.239e+4,
201.68,1.779e+4,,1.779e+4,
201.70,9.926e+3,,9.926e+3,
201.72,4.694e+3,,4.694e+3,
201.73,3.035e+3,,3.035e+3,
201.75,1.120e+3,,1.120e+3,
201.77,3.505e+2,,3.505e+2,
201.78,1.843e+2,,1.843e+2,
201.80,4.495e+1,,4.495e+1,
201.82,9.281e+0,,9.281e+0,
201.83,3.960e+0,,3.960e+0,
201.85,6.356e-1,,6.356e-1,
201.87,8.615e-2,,8.615e-2,
201.88,2.976e-2,,2.976e-2,
201.90,3.132e-3,,3.132e-3,
201.92,3.779e-4,,3.779e-4,
201.93,4.327e-4,,4.327e-4,
201.95,3.837e-3,,3.837e-3,
201.97,3.462e-2,,3.462e-2,
201.98,9.741e-2,,9.741e-2,
202.00,6.758e-1,,6.758e-1,
202.02,3.932e+0,,3.932e+0,
202.03,8.877e+0,,8.877e+0,
202.05,3.966e+1,,3.966e+1,
202.07,1.486e+2,,1.486e+2,
202.08,2.691e+2,,2.691e+2,
202.10,7.742e+2,,7.742e+2,
202.12,1.867e+3,,1.867e+3,
202.13,2.715e+3,,2.715e+3,
202.15,5.028e+3,,5.028e+3,
202.17,7.809e+3,,7.809e+3,
202.18,9.109e+3,,9.109e+3,
202.20,1.086e+4,,1.086e+4,
202.22,1.086e+4,,1.086e+4,
202.23,1.017e+4,,1.017e+4,
202.25,7.809e+3,,7.809e+3,
202.27,5.028e+3,,5.028e+3,
202.28,3.777e+3,,3.777e+3,
202.30,1.867e+3,,1.867e+3,
202.32,7.742e+2,,7.742e+2,
202.33,4.666e+2,,4.666e+2,
202.35,1.486e+2,,1.486e+2,
202.37,3.966e+1,,3.966e+1,
202.38,1.918e+1,,1.918e+1,
202.40,3.932e+0,,3.932e+0,
202.42,6.758e-1,,6.758e-1,
202.43,2.623e-1,,2.623e-1,
202.45,3.462e-2,,3.462e-2,
202.47,3.832e-3,,3.832e-3,
202.48,1.193e-3,,1.193e-3,
202.50,1.014e-4,,1.014e-4,
202.52,7.227e-6,,7.227e-6,
202.53,1.806e-6,,1.806e-6,
202.55,9.883e-8,,9.883e-8,
202.57,4.535e-9,,4.535e-9,
202.58,9.094e-10,,9.094e-10,
202.60,3.204e-11,,3.204e-11,
202.62,9.467e-13,,9.467e-13,
202.63,1.523e-13,,1.523e-13,
206.92,9.279e-26,,1.624e-12,9.279e-26
206.93,6.384e-25,,1.628e-12,6.384e-25
206.95,2.168e-23,,1.635e-12,2.168e-23
206.97,1.642e-12,,1.642e-12,6.231e-22
206.98,9.719e-12,,9.719e-12,3.138e-21
207.00,3.005e-10,,3.005e-10,7.025e-20
207.02,7.859e-9,,7.859e-9,1.331e-18
207.03,3.775e-8,,3.775e-8,5.443e-18
207.05,7.680e-7,,7.680e-7,8.034e-17
207.07,1.322e-5,,1.322e-5,1.004e-15
207.08,5.150e-5,,5.150e-5,3.334e-15
207.10,6.895e-4,,6.895e-4,3.245e-14
207.12,7.809e-3,,7.809e-3,2.675e-13
207.13,2.468e-2,,2.468e-2,7.215e-13
207.15,2.174e-1,,2.174e-1,4.634e-12
207.17,1.621e+0,,1.621e+0,2.520e-11
207.18,4.155e+0,,4.155e+0,5.523e-11
207.20,2.409e+1,,2.409e+1,2.341e-10
207.22,1.182e+2,,1.182e+2,8.406e-10
207.23,2.457e+2,,2.457e+2,1.497e-9
207.25,9.376e+2,,9.376e+2,4.189e-9
207.27,3.026e+3,,3.026e+3,9.931e-9
207.28,5.106e+3,,5.106e+3,1.437e-8
207.30,1.282e+4,,1.282e+4,2.656e-8
207.32,2.723e+4,,2.723e+4,4.160e-8
207.33,3.726e+4,,3.726e+4,4.892e-8
207.35,6.157e+4,,6.157e+4,5.974e-8
207.37,8.605e+4,,8.605e+4,6.181e-8
207.38,9.554e+4,,9.554e+4,5.908e-8
207.40,1.039e+5,,1.039e+5,4.768e-8
207.42,9.554e+4,,9.554e+4,3.260e-8
207.43,8.605e+4,,8.605e+4,2.533e-8
207.45,6.157e+4,,6.157e+4,1.351e-8
207.47,3.726e+4,,3.726e+4,6.103e-9
207.48,2.723e+4,,2.723e+4,3.855e-9
207.50,1.282e+4,,1.282e+4,1.359e-9
207.52,5.106e+3,,5.106e+3,4.056e-10
207.53,3.026e+3,,3.026e+3,2.083e-10
207.55,9.376e+2,,9.376e+2,4.851e-11
207.57,2.457e+2,,2.457e+2,9.570e-12
207.58,1.182e+2,,1.182e+2,3.995e-12
207.60,2.409e+1,,2.409e+1,6.146e-13
207.62,4.155e+0,,4.155e+0,8.011e-14
207.63,1.621e+0,,1.621e+0,2.718e-14
207.65,2.174e-1,,2.174e-1,2.762e-15
207.67,2.468e-2,,2.468e-2,2.378e-16
207.68,7.809e-3,,7.809e-3,6.555e-17
207.70,6.895e-4,,6.895e-4,4.399e-18
207.72,5.150e-5,,5.150e-5,2.501e-19
207.73,1.322e-5,,1.322e-5,5.602e-20
207.75,7.680e-7,,7.680e-7,2.482e-21
207.77,3.775e-8,,3.775e-8,9.310e-23
207.78,7.859e-9,,7.859e-9,1.694e-23
207.80,3.005e-10,,3.005e-10,4.953e-25
207.82,9.719e-12,,9.719e-12,4.879e-25
207.83,1.642e-12,,1.642e-12,4.842e-25
208.47,2.477e-25,,7.473e-13,2.477e-25
208.48,1.552e-24,,7.333e-13,1.552e-24
208.50,5.385e-23,,7.054e-13,5.385e-23
