Wavelength (nm),Sum(calc),Al I (2.6e-2),Al II (9.7e-1),Al III (4.9e-5)
201.18,9.838e-14,,9.838e-14,
201.20,4.575e-12,,4.575e-12,
201.22,1.601e-10,,1.601e-10,
201.23,8.860e-10,,8.860e-10,
201.25,2.378e-8,,2.378e-8,
201.27,5.350e-7,,5.350e-7,
201.28,2.376e-6,,2.376e-6,
201.30,4.107e-5,,4.107e-5,
201.32,5.956e-4,,5.956e-4,
201.33,2.124e-3,,2.124e-3,
201.35,2.367e-2,,2.367e-2,
201.37,2.214e-1,,2.214e-1,
201.38,6.342e-1,,6.342e-1,
201.40,4.563e+0,,4.563e+0,
201.42,2.758e+1,,2.758e+1,
201.43,6.351e+1,,6.351e+1,
201.45,2.956e+2,,2.956e+2,
201.47,1.157e+3,,1.157e+3,
201.48,2.144e+3,,2.144e+3,
201.50,6.472e+3,,6.472e+3,
201.52,1.645e+4,,1.645e+4,
201.53,2.458e+4,,2.458e+4,
201.55,4.830e+4,,4.830e+4,
201.57,8.003e+4,,8.003e+4,
201.58,9.666e+4,,9.666e+4,
201.60,1.242e+5,,1.242e+5,
201.62,1.349e+5,,1.349e+5,
201.63,1.320e+5,,1.320e+5,
201.65,1.115e+5,,1.115e+5,
201.67,7.976e+4,,7.976e+4,
201.68,6.339e+4,,6.339e+4,
201.70,3.536e+4,,3.536e+4,
201.72,1.673e+4,,1.673e+4,
201.73,1.081e+4,,1.081e+4,
201.75,3.991e+3,,3.991e+3,
201.77,1.249e+3,,1.249e+3,
201.78,6.565e+2,,6.565e+2,
201.80,1.602e+2,,1.602e+2,
201.82,3.306e+1,,3.306e+1,
201.83,1.411e+1,,1.411e+1,
201.85,2.264e+0,,2.264e+0,
201.87,3.069e-1,,3.069e-1,
201.88,1.060e-1,,1.060e-1,
201.90,1.116e-2,,1.116e-2,
201.92,1.346e-3,,1.346e-3,
201.93,1.542e-3,,1.542e-3,
201.95,1.367e-2,,1.367e-2,
201.97,1.233e-1,,1.233e-1,
201.98,3.471e-1,,3.471e-1,
202.00,2.408e+0,,2.408e+0,
202.02,1.401e+1,,1.401e+1,
202.03,3.163e+1,,3.163e+1,
202.05,1.413e+2,,1.413e+2,
202.07,5.293e+2,,5.293e+2,
202.08,9.589e+2,,9.589e+2,
202.10,2.758e+3,,2.758e+3,
202.12,6.653e+3,,6.653e+3,
202.13,9.672e+3,,9.672e+3,
202.15,1.791e+4,,1.791e+4,
202.17,2.782e+4,,2.782e+4,
202.18,3.245e+4,,3.245e+4,
202.20,3.870e+4,,3.870e+4,
202.22,3.870e+4,,3.870e+4,
202.23,3.623e+4,,3.623e+4,
202.25,2.782e+4,,2.782e+4,
202.27,1.791e+4,,1.791e+4,
202.28,1.346e+4,,1.346e+4,
202.30,6.653e+3,,6.653e+3,
202.32,2.758e+3,,2.758e+3,
202.33,1.662e+3,,1.662e+3,
202.35,5.293e+2,,5.293e+2,
202.37,1.413e+2,,1.413e+2,
202.38,6.834e+1,,6.834e+1,
202.40,1.401e+1,,1.401e+1,
202.42,2.408e+0,,2.408e+0,
202.43,9.345e-1,,9.345e-1,
202.45,1.233e-1,,1.233e-1,
202.47,1.365e-2,,1.365e-2,
202.48,4.251e-3,,4.251e-3,
202.50,3.613e-4,,3.613e-4,
202.52,2.575e-5,,2.575e-5,
202.53,6.434e-6,,6.434e-6,
202.55,3.521e-7,,3.521e-7,
202.57,1.616e-8,,1.616e-8,
202.58,3.240e-9,,3.240e-9,
202.60,1.142e-10,,1.142e-10,
202.62,3.373e-12,,3.373e-12,
202.63,5.427e-13,,5.427e-13,
206.92,3.306e-23,,5.787e-12,3.306e-23
206.93,2.274e-22,,5.800e-12,2.274e-22
206.95,7.724e-21,,5.824e-12,7.724e-21
206.97,5.848e-12,,5.848e-12,2.220e-19
206.98,3.463e-11,,3.463e-11,1.118e-18
207.00,1.071e-9,,1.071e-9,2.503e-17
207.02,2.800e-8,,2.800e-8,4.742e-16
207.03,1.345e-7,,1.345e-7,1.939e-15
207.05,2.736e-6,,2.736e-6,2.862e-14
207.07,4.709e-5,,4.709e-5,3.576e-13
207.08,1.835e-4,,1.835e-4,1.188e-12
207.10,2.456e-3,,2.456e-3,1.156e-11
207.12,2.782e-2,,2.782e-2,9.530e-11
207.13,8.793e-2,,8.793e-2,2.571e-10
207.15,7.747e-1,,7.747e-1,1.651e-9
207.17,5.774e+0,,5.774e+0,8.980e-9
207.18,1.480e+1,,1.480e+1,1.968e-8
207.20,8.583e+1,,8.583e+1,8.341e-8
207.22,4.210e+2,,4.210e+2,2.995e-7
207.23,8.755e+2,,8.755e+2,5.332e-7
207.25,3.341e+3,,3.341e+3,1.492e-6
207.27,1.078e+4,,1.078e+4,3.538e-6
207.28,1.819e+4,,1.819e+4,5.120e-6
207.30,4.567e+4,,4.567e+4,9.464e-6
207.32,9.700e+4,,9.700e+4,1.482e-5
207.33,1.328e+5,,1.328e+5,1.743e-5
207.35,2.194e+5,,2.194e+5,2.128e-5
207.37,3.066e+5,,3.066e+5,2.202e-5
207.38,3.404e+5,,3.404e+5,2.105e-5
207.40,3.701e+5,,3.701e+5,1.699e-5
207.42,3.404e+5,,3.404e+5,1.161e-5
207.43,3.066e+5,,3.066e+5,9.024e-6
207.45,2.194e+5,,2.194e+5,4.812e-6
207.47,1.328e+5,,1.328e+5,2.174e-6
207.48,9.700e+4,,9.700e+4,1.373e-6
207.50,4.567e+4,,4.567e+4,4.840e-7
207.52,1.819e+4,,1.819e+4,1.445e-7
207.53,1.078e+4,,1.078e+4,7.421e-8
207.55,3.341e+3,,3.341e+3,1.728e-8
207.57,8.755e+2,,8.755e+2,3.410e-9
207.58,4.210e+2,,4.210e+2,1.423e-9
207.60,8.583e+1,,8.583e+1,2.190e-10
207.62,1.480e+1,,1.480e+1,2.854e-11
207.63,5.774e+0,,5.774e+0,9.682e-12
207.65,7.747e-1,,7.747e-1,9.840e-13
207.67,8.793e-2,,8.793e-2,8.471e-14
207.68,2.782e-2,,2.782e-2,2.335e-14
207.70,2.456e-3,,2.456e-3,1.567e-15
207.72,1.835e-4,,1.835e-4,8.909e-17
207.73,4.709e-5,,4.709e-5,1.996e-17
207.75,2.736e-6,,2.736e-6,8.841e-19
207.77,1.345e-7,,1.345e-7,3.317e-20
207.78,2.800e-8,,2.800e-8,6.036e-21
207.80,1.071e-9,,1.071e-9,1.765e-22
207.82,3.463e-11,,3.463e-11,1.738e-22
207.83,5.848e-12,,5.848e-12,1.725e-22
208.47,8.823e-23,,2.662e-12,8.823e-23
208.48,5.529e-22,,2.613e-12,5.529e-22
208.50,1.919e-20,,2.513e-12,1.919e-20
208.52,5.645e-19,,2.414e-12,5.645e-19
208.53,2.878e-18,,2.364e-12,2.878e-18
208.55,6.612e-17,,2.264e-12,6.612e-17
208.57,1.288e-15,,2.165e-12,1.288e-15
208.58,5.343e-15,,2.115e-12,5.343e-15
208.60,8.127e-14,,2.015e-12,8.127e-14
208.62,1.048e-12,,1.916e-12,1.048e-12
208.63,3.538e-12,,1.866e-12,3.538e-12
208.65,3.562e-11,,1.766e-12,3.562e-11
208.67,3.042e-10,,1.667e-12,3.042e-10
208.68,8.354e-10,,1.617e-12,8.354e-10
208.70,5.569e-9,,1.517e-12,5.569e-9
208.72,3.148e-8,,1.418e-12,3.148e-8
208.73,7.036e-8,,1.368e-12,7.036e-8
208.75,3.105e-7,,1.269e-12,3.105e-7
208.77,1.162e-6,,1.169e-12,1.162e-6
208.78,2.113e-6,,1.119e-12,2.113e-6
208.80,6.175e-6,,1.020e-12,6.175e-6
208.82,1.530e-5,,9.201e-13,1.530e-5
208.83,2.264e-5,,8.703e-13,2.264e-5
208.85,4.379e-5,,7.707e-13,4.379e-5
208.87,7.183e-5,,6.712e-13,7.183e-5
208.88,8.648e-5,,6.214e-13,8.648e-5
208.90,1.108e-4,,5.218e-13,1.108e-4
208.92,1.203e-4,,4.223e-13,1.203e-4
208.93,1.178e-4,,3.725e-13,1.178e-4
208.95,9.991e-5,,2.729e-13,9.991e-5
208.97,7.183e-5,,1.734e-13,7.183e-5
208.98,5.725e-5,,1.236e-13,5.725e-5
209.00,3.214e-5,,4.576e-12,3.214e-5
209.02,1.530e-5,,1.438e-10,1.530e-5
209.03,9.924e-6,,7.579e-10,9.924e-6
209.05,3.718e-6,,1.862e-8,3.699e-6
209.07,1.615e-6,,3.880e-7,1.227e-6
209.08,2.423e-6,,1.666e-6,7.569e-7
209.10,2.793e-5,,2.715e-5,7.817e-7
209.12,3.779e-4,,3.755e-4,2.382e-6
209.13,1.317e-3,,1.313e-3,4.279e-6
209.15,1.422e-2,,1.420e-2,1.242e-5
209.17,1.304e-1,,1.304e-1,3.068e-5
209.18,3.716e-1,,3.716e-1,4.533e-5
209.20,2.669e+0,,2.669e+0,8.749e-5
209.22,1.628e+1,,1.628e+1,1.433e-4
209.23,3.782e+1,,3.782e+1,1.724e-4
209.25,1.807e+2,,1.807e+2,2.206e-4
209.27,7.344e+2,,7.344e+2,2.395e-4
209.28,1.394e+3,,1.394e+3,2.346e-4
209.30,4.453e+3,,4.453e+3,1.991e-4
209.32,1.215e+4,,1.215e+4,1.433e-4
