Wavelength (nm),Sum(calc),Nd I (3.8e-3),Nd II (8.9e-1)
325.719,5.934e-9,,5.934e-9
325.727,1.207e-7,,1.207e-7
325.735,2.176e-6,,2.176e-6
325.743,3.477e-5,,3.477e-5
325.751,4.926e-4,,4.926e-4
325.759,6.187e-3,,6.187e-3
325.767,6.888e-2,,6.888e-2
325.775,6.799e-1,,6.799e-1
325.784,7.735e+0,,7.735e+0
325.792,5.910e+1,,5.910e+1
325.800,4.002e+2,,4.002e+2
325.808,2.403e+3,,2.403e+3
325.816,1.279e+4,,1.279e+4
325.824,6.034e+4,,6.034e+4
325.832,2.524e+5,,2.524e+5
325.840,9.358e+5,,9.358e+5
325.849,3.539e+6,,3.539e+6
325.857,1.016e+7,,1.016e+7
325.865,2.584e+7,,2.584e+7
325.873,5.829e+7,,5.829e+7
325.881,1.165e+8,,1.165e+8
325.889,2.066e+8,,2.066e+8
325.897,3.246e+8,,3.246e+8
325.906,4.672e+8,,4.672e+8
325.914,5.683e+8,,5.683e+8
325.922,6.127e+8,,6.127e+8
325.930,5.857e+8,,5.857e+8
325.938,4.962e+8,,4.962e+8
325.946,3.727e+8,,3.727e+8
325.954,2.482e+8,,2.482e+8
325.962,1.465e+8,,1.465e+8
325.971,7.010e+7,,7.010e+7
325.979,3.203e+7,,3.203e+7
325.987,1.297e+7,,1.297e+7
325.995,4.658e+6,,4.658e+6
326.003,1.483e+6,,1.483e+6
326.011,4.184e+5,,4.184e+5
326.019,1.047e+5,,1.047e+5
326.027,2.321e+4,,2.321e+4
326.036,3.691e+3,,3.691e+3
326.044,6.336e+2,,6.336e+2
326.052,9.642e+1,,9.642e+1
326.060,1.301e+1,,1.301e+1
326.068,1.555e+0,,1.555e+0
326.076,1.649e-1,,1.649e-1
326.084,1.549e-2,,1.549e-2
326.092,1.291e-3,,1.291e-3
326.101,6.823e-5,,6.823e-5
326.109,4.400e-6,,4.400e-6
326.117,2.515e-7,,2.515e-7
332.620,4.171e-8,,4.171e-8
332.628,7.716e-7,,7.716e-7
332.636,1.272e-5,,1.272e-5
332.644,1.867e-4,,1.867e-4
332.653,3.340e-3,,3.340e-3
332.661,3.836e-2,,3.836e-2
332.669,3.924e-1,,3.924e-1
332.677,3.577e+0,,3.577e+0
332.685,2.905e+1,,2.905e+1
332.693,2.101e+2,,2.101e+2
332.701,1.354e+3,,1.354e+3
332.709,7.775e+3,,7.775e+3
332.718,4.838e+4,,4.838e+4
332.726,2.173e+5,,2.173e+5
332.734,8.694e+5,,8.694e+5
332.742,3.099e+6,,3.099e+6
332.750,9.842e+6,,9.842e+6
332.758,2.784e+7,,2.784e+7
332.766,7.018e+7,,7.018e+7
332.774,1.576e+8,,1.576e+8
332.783,3.409e+8,,3.409e+8
332.791,5.989e+8,,5.989e+8
332.799,9.371e+8,,9.371e+8
332.807,1.306e+9,,1.306e+9
332.815,1.622e+9,,1.622e+9
332.823,1.795e+9,,1.795e+9
332.831,1.769e+9,,1.769e+9
332.840,1.516e+9,,1.516e+9
332.848,1.169e+9,,1.169e+9
332.856,8.031e+8,,8.031e+8
332.864,4.914e+8,,4.914e+8
332.872,2.679e+8,,2.679e+8
332.880,1.301e+8,,1.301e+8
332.888,5.630e+7,,5.630e+7
332.896,2.170e+7,,2.170e+7
332.905,6.468e+6,,6.468e+6
332.913,1.950e+6,,1.950e+6
332.921,5.239e+5,,5.239e+5
332.929,1.254e+5,,1.254e+5
332.937,2.673e+4,,2.673e+4
332.945,5.078e+3,,5.078e+3
332.953,8.592e+2,,8.592e+2
332.961,1.295e+2,,1.295e+2
332.970,1.342e+1,,1.342e+1
332.978,1.583e+0,,1.583e+0
332.986,1.663e-1,,1.663e-1
332.994,1.557e-2,,1.557e-2
333.002,1.298e-3,,1.298e-3
333.010,9.641e-5,,9.641e-5
333.018,6.380e-6,,6.380e-6
333.026,3.761e-7,,3.761e-7
333.238,8.276e-9,,8.276e-9
333.246,1.581e-7,,1.581e-7
333.254,2.692e-6,,2.692e-6
333.262,4.086e-5,,4.086e-5
333.270,5.527e-4,,5.527e-4
333.278,6.663e-3,,6.663e-3
333.287,9.555e-2,,9.555e-2
333.295,9.020e-1,,9.020e-1
333.303,7.588e+0,,7.588e+0
333.311,5.689e+1,,5.689e+1
333.319,3.802e+2,,3.802e+2
333.327,2.264e+3,,2.264e+3
333.335,1.202e+4,,1.202e+4
333.343,5.687e+4,,5.687e+4
333.352,2.847e+5,,2.847e+5
333.360,1.055e+6,,1.055e+6
333.368,3.482e+6,,3.482e+6
333.376,1.025e+7,,1.025e+7
333.384,2.687e+7,,2.687e+7
333.392,6.281e+7,,6.281e+7
333.400,1.308e+8,,1.308e+8
333.409,2.604e+8,,2.604e+8
333.417,4.247e+8,,4.247e+8
333.425,6.174e+8,,6.174e+8
333.433,7.999e+8,,7.999e+8
333.441,9.237e+8,,9.237e+8
333.449,9.507e+8,,9.507e+8
333.457,8.721e+8,,8.721e+8
333.465,7.129e+8,,7.129e+8
333.474,4.953e+8,,4.953e+8
333.482,3.170e+8,,3.170e+8
333.490,1.809e+8,,1.809e+8
333.498,9.197e+7,,9.197e+7
333.506,4.168e+7,,4.168e+7
333.514,1.683e+7,,1.683e+7
333.522,6.060e+6,,6.060e+6
333.530,1.944e+6,,1.944e+6
333.539,4.716e+5,,4.716e+5
333.547,1.185e+5,,1.185e+5
333.555,2.652e+4,,2.652e+4
333.563,5.293e+3,,5.293e+3
333.571,9.413e+2,,9.413e+2
333.579,1.492e+2,,1.492e+2
333.587,2.108e+1,,2.108e+1
333.595,2.654e+0,,2.654e+0
333.604,2.248e-1,,2.248e-1
333.612,2.216e-2,,2.216e-2
333.620,1.947e-3,,1.947e-3
333.628,1.525e-4,,1.525e-4
333.636,1.064e-5,,1.064e-5
333.644,6.619e-7,,6.619e-7
333.701,6.517e-8,,6.517e-8
333.709,1.150e-6,,1.150e-6
333.717,1.808e-5,,1.808e-5
333.726,3.498e-4,,3.498e-4
333.734,4.310e-3,,4.310e-3
333.742,4.735e-2,,4.735e-2
333.750,4.637e-1,,4.637e-1
333.758,4.049e+0,,4.049e+0
333.766,3.152e+1,,3.152e+1
333.774,2.188e+2,,2.188e+2
333.782,1.354e+3,,1.354e+3
333.791,9.169e+3,,9.169e+3
333.799,4.445e+4,,4.445e+4
333.807,1.921e+5,,1.921e+5
333.815,7.404e+5,,7.404e+5
333.823,2.544e+6,,2.544e+6
333.831,7.791e+6,,7.791e+6
333.839,2.127e+7,,2.127e+7
333.847,5.179e+7,,5.179e+7
333.856,1.229e+8,,1.229e+8
333.864,2.343e+8,,2.343e+8
333.872,3.985e+8,,3.985e+8
333.880,6.042e+8,,6.042e+8
333.888,8.167e+8,,8.167e+8
333.896,9.842e+8,,9.842e+8
333.904,1.057e+9,,1.057e+9
333.913,9.993e+8,,9.993e+8
333.921,8.412e+8,,8.412e+8
333.929,6.313e+8,,6.313e+8
333.937,4.224e+8,,4.224e+8
333.945,2.520e+8,,2.520e+8
333.953,1.340e+8,,1.340e+8
333.961,6.354e+7,,6.354e+7
333.969,2.686e+7,,2.686e+7
333.978,8.889e+6,,8.889e+6
333.986,2.944e+6,,2.944e+6
333.994,8.693e+5,,8.693e+5
334.002,2.289e+5,,2.289e+5
334.010,5.372e+4,,5.372e+4
334.018,1.124e+4,,1.124e+4
334.026,2.097e+3,,2.097e+3
334.034,3.487e+2,,3.487e+2
334.043,4.041e+1,,4.041e+1
334.051,5.266e+0,,5.266e+0
334.059,6.118e-1,,6.118e-1
334.067,6.337e-2,,6.337e-2
334.075,5.852e-3,,5.852e-3
334.083,4.818e-4,,4.818e-4
334.091,3.536e-5,,3.536e-5
334.099,2.314e-6,,2.314e-6
334.108,9.389e-8,,9.389e-8
336.286,2.643e-8,,2.643e-8
336.294,4.721e-7,,4.721e-7
336.302,7.531e-6,,7.531e-6
336.311,1.484e-4,,1.484e-4
336.319,1.862e-3,,1.862e-3
336.327,2.086e-2,,2.086e-2
336.335,2.087e-1,,2.087e-1
336.343,1.866e+0,,1.866e+0
336.351,1.489e+1,,1.489e+1
336.359,1.062e+2,,1.062e+2
336.367,6.759e+2,,6.759e+2
336.376,4.739e+3,,4.739e+3
336.384,2.373e+4,,2.373e+4
336.392,1.061e+5,,1.061e+5
336.400,4.238e+5,,4.238e+5
336.408,1.512e+6,,1.512e+6
336.416,4.816e+6,,4.816e+6
336.424,1.370e+7,,1.370e+7
336.432,3.483e+7,,3.483e+7
336.441,8.687e+7,,8.687e+7
336.449,1.736e+8,,1.736e+8
336.457,3.099e+8,,3.099e+8
336.465,4.940e+8,,4.940e+8
336.473,7.033e+8,,7.033e+8
336.481,8.943e+8,,8.943e+8
336.489,1.016e+9,,1.016e+9
336.498,1.024e+9,,1.024e+9
336.506,9.142e+8,,9.142e+8
336.514,7.292e+8,,7.292e+8
336.522,5.195e+8,,5.195e+8
336.530,3.305e+8,,3.305e+8
336.538,1.878e+8,,1.878e+8
336.546,9.531e+7,,9.531e+7
336.554,4.320e+7,,4.320e+7
336.563,1.549e+7,,1.549e+7
336.571,5.523e+6,,5.523e+6
336.579,1.758e+6,,1.758e+6
336.587,4.999e+5,,4.999e+5
336.595,1.269e+5,,1.269e+5
336.603,2.879e+4,,2.879e+4
336.611,5.832e+3,,5.832e+3
336.619,1.055e+3,,1.055e+3
336.628,1.346e+2,,1.346e+2
336.636,1.915e+1,,1.915e+1
336.644,2.434e+0,,2.434e+0
336.652,2.762e-1,,2.762e-1
336.660,2.799e-2,,2.799e-2
336.668,2.534e-3,,2.534e-3
336.676,2.048e-4,,2.048e-4
336.684,1.479e-5,,1.479e-5
336.693,6.716e-7,,6.716e-7
354.113,1.030e-8,,1.030e-8
354.121,1.637e-7,,1.637e-7
354.129,2.348e-6,,2.348e-6
354.137,3.041e-5,,3.041e-5
354.145,3.558e-4,,3.558e-4
354.154,5.012e-3,,5.012e-3
354.162,4.721e-2,,4.721e-2
354.170,4.017e-1,,4.017e-1
354.178,3.086e+0,,3.086e+0
354.186,2.141e+1,,2.141e+1
354.194,1.341e+2,,1.341e+2
354.202,7.591e+2,,7.591e+2
354.210,3.879e+3,,3.879e+3
354.219,2.151e+4,,2.151e+4
354.227,8.852e+4,,8.852e+4
354.235,3.289e+5,,3.289e+5
354.243,1.104e+6,,1.104e+6
354.251,3.345e+6,,3.345e+6
354.259,9.154e+6,,9.154e+6
354.267,2.262e+7,,2.262e+7
354.276,5.542e+7,,5.542e+7
354.284,1.103e+8,,1.103e+8
354.292,1.982e+8,,1.982e+8
354.300,3.217e+8,,3.217e+8
354.308,4.715e+8,,4.715e+8
354.316,6.241e+8,,6.241e+8
354.324,7.460e+8,,7.460e+8
354.332,8.053e+8,,8.053e+8
354.341,7.769e+8,,7.769e+8
354.349,6.753e+8,,6.753e+8
354.357,5.301e+8,,5.301e+8
354.365,3.758e+8,,3.758e+8
354.373,2.406e+8,,2.406e+8
354.381,1.391e+8,,1.391e+8
354.389,7.261e+7,,7.261e+7
354.397,3.423e+7,,3.423e+7
354.406,1.301e+7,,1.301e+7
354.414,4.938e+6,,4.938e+6
354.422,1.693e+6,,1.693e+6
354.430,5.242e+5,,5.242e+5
354.438,1.466e+5,,1.466e+5
354.446,3.701e+4,,3.701e+4
354.454,8.439e+3,,8.439e+3
354.462,1.738e+3,,1.738e+3
354.471,2.600e+2,,2.600e+2
354.479,4.312e+1,,4.312e+1
354.487,6.457e+0,,6.457e+0
354.495,8.732e-1,,8.732e-1
354.503,1.066e-1,,1.066e-1
354.511,1.176e-2,,1.176e-2
354.519,1.171e-3,,1.171e-3
354.528,7.742e-5,,7.742e-5
354.536,6.209e-6,,6.209e-6
354.544,4.497e-7,,4.497e-7
355.357,2.620e-8,,2.620e-8
355.365,3.980e-7,,3.980e-7
355.373,5.465e-6,,5.465e-6
355.381,6.780e-5,,6.780e-5
355.389,7.603e-4,,7.603e-4
355.397,7.704e-3,,7.704e-3
355.405,7.055e-2,,7.055e-2
355.414,7.550e-1,,7.550e-1
355.422,5.576e+0,,5.576e+0
355.430,3.721e+1,,3.721e+1
355.438,2.244e+2,,2.244e+2
355.446,1.223e+3,,1.223e+3
355.454,6.026e+3,,6.026e+3
355.462,2.683e+4,,2.683e+4
355.470,1.079e+5,,1.079e+5
355.479,4.578e+5,,4.578e+5
355.487,1.485e+6,,1.485e+6
355.495,4.355e+6,,4.355e+6
355.503,1.154e+7,,1.154e+7
355.511,2.763e+7,,2.763e+7
355.519,5.978e+7,,5.978e+7
355.527,1.169e+8,,1.169e+8
355.536,2.203e+8,,2.203e+8
355.544,3.474e+8,,3.474e+8
355.552,4.952e+8,,4.952e+8
355.560,6.378e+8,,6.378e+8
355.568,7.424e+8,,7.424e+8
355.576,7.809e+8,,7.809e+8
355.584,7.424e+8,,7.424e+8
355.592,6.378e+8,,6.378e+8
355.601,4.763e+8,,4.763e+8
355.609,3.300e+8,,3.300e+8
355.617,2.066e+8,,2.066e+8
355.625,1.169e+8,,1.169e+8
355.633,5.978e+7,,5.978e+7
355.641,2.763e+7,,2.763e+7
355.649,1.154e+7,,1.154e+7
355.657,4.355e+6,,4.355e+6
355.666,1.289e+6,,1.289e+6
355.674,3.924e+5,,3.924e+5
355.682,1.079e+5,,1.079e+5
355.690,2.683e+4,,2.683e+4
355.698,6.026e+3,,6.026e+3
355.706,1.223e+3,,1.223e+3
355.714,2.244e+2,,2.244e+2
355.722,3.721e+1,,3.721e+1
355.731,4.367e+0,,4.367e+0
355.739,5.839e-1,,5.839e-1
355.747,7.055e-2,,7.055e-2
355.755,7.704e-3,,7.704e-3
355.763,7.603e-4,,7.603e-4
355.771,6.780e-5,,6.780e-5
355.779,5.465e-6,,5.465e-6
355.788,2.849e-7,,2.849e-7
355.853,7.101e-8,,7.101e-8
355.861,1.071e-6,,1.071e-6
355.869,1.459e-5,,1.459e-5
355.877,1.798e-4,,1.798e-4
355.885,2.003e-3,,2.003e-3
355.893,2.016e-2,,2.016e-2
355.901,1.835e-1,,1.835e-1
355.909,1.510e+0,,1.510e+0
355.918,1.433e+1,,1.433e+1
355.926,9.512e+1,,9.512e+1
355.934,5.708e+2,,5.708e+2
355.942,3.097e+3,,3.097e+3
355.950,1.519e+4,,1.519e+4
355.958,6.733e+4,,6.733e+4
355.966,2.698e+5,,2.698e+5
355.974,9.774e+5,,9.774e+5
355.983,3.686e+6,,3.686e+6
355.991,1.077e+7,,1.077e+7
355.999,2.847e+7,,2.847e+7
356.007,6.801e+7,,6.801e+7
356.015,1.469e+8,,1.469e+8
356.023,2.867e+8,,2.867e+8
356.031,5.058e+8,,5.058e+8
356.040,8.493e+8,,8.493e+8
356.048,1.209e+9,,1.209e+9
356.056,1.556e+9,,1.556e+9
356.064,1.811e+9,,1.811e+9
356.072,1.905e+9,,1.905e+9
356.080,1.811e+9,,1.811e+9
356.088,1.556e+9,,1.556e+9
356.096,1.209e+9,,1.209e+9
356.105,8.068e+8,,8.068e+8
356.113,5.058e+8,,5.058e+8
356.121,2.867e+8,,2.867e+8
356.129,1.469e+8,,1.469e+8
356.137,6.801e+7,,6.801e+7
356.145,2.847e+7,,2.847e+7
356.153,1.077e+7,,1.077e+7
356.161,3.686e+6,,3.686e+6
356.170,9.774e+5,,9.774e+5
356.178,2.698e+5,,2.698e+5
356.186,6.733e+4,,6.733e+4
356.194,1.519e+4,,1.519e+4
356.202,3.097e+3,,3.097e+3
356.210,5.708e+2,,5.708e+2
356.218,9.512e+1,,9.512e+1
356.226,1.433e+1,,1.433e+1
356.235,1.510e+0,,1.510e+0
356.243,1.835e-1,,1.835e-1
356.251,2.016e-2,,2.016e-2
356.259,2.003e-3,,2.003e-3
356.267,1.798e-4,,1.798e-4
356.275,1.459e-5,,1.459e-5
356.283,1.071e-6,,1.071e-6
356.665,3.094e-8,,3.094e-8
356.674,6.691e-7,,6.691e-7
356.682,9.241e-6,,9.241e-6
356.690,1.154e-4,,1.154e-4
356.698,1.304e-3,,1.304e-3
356.706,1.332e-2,,1.332e-2
356.714,1.231e-1,,1.231e-1
356.722,1.028e+0,,1.028e+0
356.730,7.771e+0,,7.771e+0
356.739,6.706e+1,,6.706e+1
356.747,4.093e+2,,4.093e+2
356.755,2.260e+3,,2.260e+3
356.763,1.128e+4,,1.128e+4
356.771,5.094e+4,,5.094e+4
356.779,2.080e+5,,2.080e+5
356.787,7.681e+5,,7.681e+5
356.795,2.566e+6,,2.566e+6
356.804,8.835e+6,,8.835e+6
356.812,2.383e+7,,2.383e+7
356.820,5.815e+7,,5.815e+7
356.828,1.283e+8,,1.283e+8
356.836,2.560e+8,,2.560e+8
356.844,4.621e+8,,4.621e+8
356.852,7.542e+8,,7.542e+8
356.861,1.161e+9,,1.161e+9
356.869,1.530e+9,,1.530e+9
356.877,1.824e+9,,1.824e+9
356.885,1.967e+9,,1.967e+9
356.893,1.918e+9,,1.918e+9
356.901,1.692e+9,,1.692e+9
356.909,1.349e+9,,1.349e+9
356.917,9.735e+8,,9.735e+8
356.926,5.978e+8,,5.978e+8
356.934,3.483e+8,,3.483e+8
356.942,1.835e+8,,1.835e+8
356.950,8.747e+7,,8.747e+7
356.958,3.770e+7,,3.770e+7
356.966,1.469e+7,,1.469e+7
356.974,5.180e+6,,5.180e+6
356.982,1.652e+6,,1.652e+6
356.991,4.048e+5,,4.048e+5
356.999,1.042e+5,,1.042e+5
357.007,2.427e+4,,2.427e+4
357.015,5.113e+3,,5.113e+3
357.023,9.739e+2,,9.739e+2
357.031,1.678e+2,,1.678e+2
357.039,2.614e+1,,2.614e+1
357.047,3.683e+0,,3.683e+0
357.056,3.602e-1,,3.602e-1
357.064,4.100e-2,,4.100e-2
357.072,4.220e-3,,4.220e-3
357.080,3.928e-4,,3.928e-4
357.088,3.307e-5,,3.307e-5
357.096,2.518e-6,,2.518e-6
358.527,2.921e-8,,2.921e-8
358.535,4.446e-7,,4.446e-7
358.543,6.126e-6,,6.126e-6
358.551,7.642e-5,,7.642e-5
358.559,8.630e-4,,8.630e-4
358.568,1.172e-2,,1.172e-2
358.576,1.071e-1,,1.071e-1
358.584,8.865e-1,,8.865e-1
358.592,6.643e+0,,6.643e+0
358.600,4.506e+1,,4.506e+1
358.608,2.767e+2,,2.767e+2
358.616,1.539e+3,,1.539e+3
358.625,9.413e+3,,9.413e+3
358.633,4.237e+4,,4.237e+4
358.641,1.726e+5,,1.726e+5
358.649,6.368e+5,,6.368e+5
358.657,2.127e+6,,2.127e+6
358.665,6.431e+6,,6.431e+6
358.673,1.760e+7,,1.760e+7
358.681,4.362e+7,,4.362e+7
358.690,1.075e+8,,1.075e+8
358.698,2.157e+8,,2.157e+8
358.706,3.917e+8,,3.917e+8
358.714,6.441e+8,,6.441e+8
358.722,9.588e+8,,9.588e+8
358.730,1.292e+9,,1.292e+9
358.738,1.577e+9,,1.577e+9
358.746,1.741e+9,,1.741e+9
358.755,1.729e+9,,1.729e+9
358.763,1.546e+9,,1.546e+9
358.771,1.252e+9,,1.252e+9
358.779,9.173e+8,,9.173e+8
358.787,6.086e+8,,6.086e+8
358.795,3.656e+8,,3.656e+8
358.803,1.988e+8,,1.988e+8
358.811,9.787e+7,,9.787e+7
358.820,3.916e+7,,3.916e+7
358.828,1.561e+7,,1.561e+7
358.836,5.631e+6,,5.631e+6
358.844,1.839e+6,,1.839e+6
358.852,5.439e+5,,5.439e+5
358.860,1.456e+5,,1.456e+5
358.868,3.530e+4,,3.530e+4
358.877,6.363e+3,,6.363e+3
358.885,1.248e+3,,1.248e+3
358.893,2.218e+2,,2.218e+2
358.901,3.566e+1,,3.566e+1
358.909,5.193e+0,,5.193e+0
358.917,6.844e-1,,6.844e-1
358.925,8.167e-2,,8.167e-2
358.933,8.824e-3,,8.824e-3
358.942,6.409e-4,,6.409e-4
358.950,5.605e-5,,5.605e-5
358.958,4.437e-6,,4.437e-6
358.966,3.181e-7,,3.181e-7
359.039,8.162e-8,,8.162e-8
359.047,1.173e-6,,1.173e-6
359.055,1.527e-5,,1.527e-5
359.063,1.799e-4,,1.799e-4
359.072,2.564e-3,,2.564e-3
359.080,2.448e-2,,2.448e-2
359.088,2.116e-1,,2.116e-1
359.096,1.657e+0,,1.657e+0
359.104,1.175e+1,,1.175e+1
359.112,7.543e+1,,7.543e+1
359.120,4.386e+2,,4.386e+2
359.129,2.823e+3,,2.823e+3
359.137,1.329e+4,,1.329e+4
359.145,5.669e+4,,5.669e+4
359.153,2.190e+5,,2.190e+5
359.161,7.658e+5,,7.658e+5
359.169,2.426e+6,,2.426e+6
359.177,6.957e+6,,6.957e+6
359.185,1.807e+7,,1.807e+7
359.194,4.698e+7,,4.698e+7
359.202,9.884e+7,,9.884e+7
359.210,1.883e+8,,1.883e+8
359.218,3.249e+8,,3.249e+8
359.226,5.077e+8,,5.077e+8
359.234,7.184e+8,,7.184e+8
359.242,9.205e+8,,9.205e+8
359.250,1.068e+9,,1.068e+9
359.259,1.122e+9,,1.122e+9
359.267,1.054e+9,,1.054e+9
359.275,8.973e+8,,8.973e+8
359.283,6.916e+8,,6.916e+8
359.291,4.828e+8,,4.828e+8
359.299,3.052e+8,,3.052e+8
359.307,1.747e+8,,1.747e+8
359.315,9.055e+7,,9.055e+7
359.324,3.841e+7,,3.841e+7
359.332,1.613e+7,,1.613e+7
359.340,6.132e+6,,6.132e+6
359.348,2.112e+6,,2.112e+6
359.356,6.584e+5,,6.584e+5
359.364,1.859e+5,,1.859e+5
359.372,4.755e+4,,4.755e+4
359.380,1.101e+4,,1.101e+4
359.389,1.887e+3,,1.887e+3
359.397,3.539e+2,,3.539e+2
359.405,6.011e+1,,6.011e+1
359.413,9.247e+0,,9.247e+0
359.421,1.288e+0,,1.288e+0
359.429,1.625e-1,,1.625e-1
359.437,1.856e-2,,1.856e-2
359.446,1.436e-3,,1.436e-3
359.454,1.329e-4,,1.329e-4
359.462,1.114e-5,,1.114e-5
359.470,8.452e-7,,8.452e-7
359.478,5.808e-8,,5.808e-8
359.584,9.669e-8,,9.669e-8
359.592,1.362e-6,,1.362e-6
359.600,1.737e-5,,1.737e-5
359.608,2.007e-4,,2.007e-4
359.616,2.101e-3,,2.101e-3
359.624,1.992e-2,,1.992e-2
359.632,1.711e-1,,1.711e-1
359.641,1.708e+0,,1.708e+0
359.649,1.189e+1,,1.189e+1
359.657,7.500e+1,,7.500e+1
359.665,4.285e+2,,4.285e+2
359.673,2.217e+3,,2.217e+3
359.681,1.039e+4,,1.039e+4
359.689,4.413e+4,,4.413e+4
359.698,1.995e+5,,1.995e+5
359.706,6.866e+5,,6.866e+5
359.714,2.140e+6,,2.140e+6
359.722,6.045e+6,,6.045e+6
359.730,1.546e+7,,1.546e+7
359.738,3.583e+7,,3.583e+7
359.746,7.522e+7,,7.522e+7
359.754,1.430e+8,,1.430e+8
359.763,2.619e+8,,2.619e+8
359.771,4.037e+8,,4.037e+8
359.779,5.635e+8,,5.635e+8
359.787,7.127e+8,,7.127e+8
359.795,8.165e+8,,8.165e+8
359.803,8.473e+8,,8.473e+8
359.811,7.966e+8,,7.966e+8
359.819,6.783e+8,,6.783e+8
359.828,5.031e+8,,5.031e+8
359.836,3.472e+8,,3.472e+8
359.844,2.171e+8,,2.171e+8
359.852,1.229e+8,,1.229e+8
359.860,6.308e+7,,6.308e+7
359.868,2.931e+7,,2.931e+7
359.876,1.234e+7,,1.234e+7
359.884,4.706e+6,,4.706e+6
359.893,1.414e+6,,1.414e+6
359.901,4.369e+5,,4.369e+5
359.909,1.223e+5,,1.223e+5
359.917,3.103e+4,,3.103e+4
359.925,7.130e+3,,7.130e+3
359.933,1.489e+3,,1.489e+3
359.941,3.141e+2,,3.141e+2
359.950,2.936e+2,,2.936e+2
359.958,1.375e+3,,1.375e+3
359.966,6.642e+3,,6.642e+3
359.974,2.920e+4,,2.920e+4
359.982,1.163e+5,,1.163e+5
359.990,4.196e+5,,4.196e+5
359.998,1.372e+6,,1.372e+6
360.006,4.064e+6,,4.064e+6
360.015,1.225e+7,,1.225e+7
360.023,2.942e+7,,2.942e+7
360.031,6.402e+7,,6.402e+7
360.039,1.262e+8,,1.262e+8
360.047,2.254e+8,,2.254e+8
360.055,3.647e+8,,3.647e+8
360.063,5.346e+8,,5.346e+8
360.071,7.101e+8,,7.101e+8
360.080,8.684e+8,,8.684e+8
360.088,9.352e+8,,9.352e+8
360.096,9.124e+8,,9.124e+8
360.104,8.064e+8,,8.064e+8
360.112,6.458e+8,,6.458e+8
360.120,4.686e+8,,4.686e+8
360.128,3.080e+8,,3.080e+8
360.136,1.834e+8,,1.834e+8
360.145,9.100e+7,,9.100e+7
360.153,4.394e+7,,4.394e+7
360.161,1.922e+7,,1.922e+7
360.169,7.619e+6,,7.619e+6
360.177,2.736e+6,,2.736e+6
360.185,8.901e+5,,8.901e+5
360.193,2.624e+5,,2.624e+5
360.202,5.899e+4,,5.899e+4
360.210,1.410e+4,,1.410e+4
360.218,3.052e+3,,3.052e+3
360.226,5.988e+2,,5.988e+2
360.234,1.064e+2,,1.064e+2
360.242,1.713e+1,,1.713e+1
360.250,2.500e+0,,2.500e+0
360.258,3.304e-1,,3.304e-1
360.267,3.013e-2,,3.013e-2
360.275,3.229e-3,,3.229e-3
360.283,3.135e-4,,3.135e-4
360.291,2.757e-5,,2.757e-5
360.299,2.197e-6,,2.197e-6
360.307,1.587e-7,,1.587e-7
360.754,2.860e-8,,2.860e-8
360.762,4.262e-7,,4.262e-7
360.771,7.914e-6,,7.914e-6
360.779,9.570e-5,,9.570e-5
360.787,1.049e-3,,1.049e-3
360.795,1.042e-2,,1.042e-2
360.803,9.387e-2,,9.387e-2
360.811,7.664e-1,,7.664e-1
360.819,5.671e+0,,5.671e+0
360.827,3.804e+1,,3.804e+1
360.836,2.878e+2,,2.878e+2
360.844,1.567e+3,,1.567e+3
360.852,7.731e+3,,7.731e+3
360.860,3.458e+4,,3.458e+4
360.868,1.402e+5,,1.402e+5
360.876,5.152e+5,,5.152e+5
360.884,1.716e+6,,1.716e+6
360.892,5.183e+6,,5.183e+6
360.901,1.598e+7,,1.598e+7
360.909,3.915e+7,,3.915e+7
360.917,8.698e+7,,8.698e+7
360.925,1.751e+8,,1.751e+8
360.933,3.196e+8,,3.196e+8
360.941,5.288e+8,,5.288e+8
360.949,7.930e+8,,7.930e+8
360.958,1.112e+9,,1.112e+9
360.966,1.354e+9,,1.354e+9
360.974,1.494e+9,,1.494e+9
360.982,1.494e+9,,1.494e+9
360.990,1.354e+9,,1.354e+9
360.998,1.112e+9,,1.112e+9
361.006,8.285e+8,,8.285e+8
361.014,5.593e+8,,5.593e+8
361.023,3.196e+8,,3.196e+8
361.031,1.751e+8,,1.751e+8
361.039,8.698e+7,,8.698e+7
361.047,3.915e+7,,3.915e+7
361.055,1.598e+7,,1.598e+7
361.063,5.909e+6,,5.909e+6
361.071,1.981e+6,,1.981e+6
361.079,6.021e+5,,6.021e+5
361.088,1.402e+5,,1.402e+5
361.096,3.458e+4,,3.458e+4
361.104,7.731e+3,,7.731e+3
361.112,1.567e+3,,1.567e+3
361.120,2.878e+2,,2.878e+2
361.128,4.792e+1,,4.792e+1
361.136,7.233e+0,,7.233e+0
361.144,9.895e-1,,9.895e-1
361.153,9.387e-2,,9.387e-2
361.161,1.042e-2,,1.042e-2
361.169,1.049e-3,,1.049e-3
361.177,9.570e-5,,9.570e-5
361.185,7.914e-6,,7.914e-6
361.193,5.932e-7,,5.932e-7
361.356,2.055e-8,,2.055e-8
361.364,3.072e-7,,3.072e-7
361.372,4.164e-6,,4.164e-6
361.380,5.118e-5,,5.118e-5
361.388,5.703e-4,,5.703e-4
361.396,5.763e-3,,5.763e-3
361.405,6.916e-2,,6.916e-2
361.413,5.676e-1,,5.676e-1
361.421,4.223e+0,,4.223e+0
